feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__AMOTL2,100,50,1.0,0.009999999776482582,-0.25,0.29,True,1.0
TPM__FAM222A,100,50,1.0,0.18000000715255737,0.47,0.21,True,1.0
TPM__AXL,100,50,1.0,0.10000000149011612,-0.37,0.16,True,1.0
TPM__LOXL2,100,50,1.0,0.07999999821186066,-0.33,0.16,True,1.0
TPM__DAG1,100,50,1.0,0.009999999776482582,0.03,0.16,True,1.0
METH__IKBKE,100,50,1.0,0.10999999940395355,0.41,0.17,True,1.0
METH__LOC100130987,100,50,1.0,0.09000000357627869,0.39,0.2,True,1.0
METH__GADD45A,100,50,1.0,0.019999999552965164,0.23,0.16,True,1.0
TPM__GRB14,100,50,1.0,0.009999999776482582,0.1,0.16,True,1.0
TPM__PSG5,100,50,1.0,0.05000000074505806,-0.33,0.2,True,1.0
TPM__TNFRSF12A,100,50,1.0,0.019999999552965164,-0.27,0.16,True,1.0
TPM__EPHA2,100,50,1.0,0.009999999776482582,-0.21,0.16,True,1.0
TPM__SAA1,100,50,1.0,0.09000000357627869,-0.34,0.16,True,1.0
TPM__TNIP1,100,50,1.0,0.14000000059604645,-0.46,0.17,True,1.0
TPM__SP100,100,50,1.0,0.15000000596046448,-0.42,0.16,True,1.0
TPM__PDCD1LG2,100,50,1.0,0.05999999865889549,-0.4,0.17,True,1.0
TPM__CRIM1-DT,100,50,1.0,0.07000000029802322,-0.31,0.19,True,1.0
METH__BIN2,100,50,1.0,0.03999999910593033,0.04,0.18,True,1.0
TPM__EGFR,100,50,1.0,0.05000000074505806,-0.3,0.2,True,1.0
METH__GABARAP,100,50,1.0,0.03999999910593033,-0.31,0.18,True,1.0
TPM__LINC02057,100,50,1.0,0.03999999910593033,-0.28,0.18,True,1.0
TPM__SRCIN1,100,50,1.0,0.1599999964237213,0.41,0.17,True,1.0
TPM__EFR3B,100,50,1.0,0.1599999964237213,0.41,0.17,True,1.0
METH__CCM2,100,50,1.0,0.05999999865889549,0.12,0.19,True,1.0
TPM__CAV2,100,50,1.0,0.029999999329447746,-0.27,0.19,True,1.0
TPM__PRSS23,100,50,1.0,0.019999999552965164,-0.21,0.19,True,1.0
TPM__CGB8,100,50,1.0,0.05000000074505806,-0.36,0.19,True,1.0
TPM__ANXA8L1,100,50,1.0,0.07000000029802322,-0.34,0.19,True,1.0
TPM__LINC00842,100,50,1.0,0.09000000357627869,-0.32,0.17,True,1.0
TPM__HCN3,100,50,1.0,0.07999999821186066,0.29,0.18,True,1.0
