feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.17000000178813934,0.42,0.15,True,1.0
METH__PARP10,97,47,0.97,0.18000000715255737,0.38,0.12,True,0.992
METH__C15orf52,96,46,0.96,0.15000000596046448,-0.37,0.13,True,0.832
TPM__MORC4,88,38,0.88,0.17000000178813934,0.34,0.1,False,0.0
TPM__WFS1,83,33,0.83,0.17000000178813934,0.4,0.09,False,0.0
TPM__AREG,80,30,0.8,0.1599999964237213,0.41,0.14,False,0.0
TPM__KLRG1,79,29,0.79,0.1599999964237213,-0.38,0.15,False,0.0
TPM__PSAP,76,26,0.76,0.1599999964237213,0.39,0.11,False,0.0
TPM__EAF2,76,26,0.76,0.1899999976158142,-0.38,0.15,False,0.0
TPM__ANKRD1,71,21,0.71,0.1599999964237213,0.46,0.21,False,0.0
TPM__TMEM51,69,19,0.69,0.1599999964237213,0.33,0.14,False,0.0
TPM__BMS1P23,65,15,0.65,0.18000000715255737,0.43,0.15,False,0.0
TPM__ARSD,65,16,0.65,0.17000000178813934,0.42,0.09,False,0.0
TPM__EVA1A,64,15,0.64,0.15000000596046448,0.41,0.1,False,0.0
TPM__TMEM54,63,15,0.63,0.1599999964237213,0.36,0.09,False,0.0
TPM__DOT1L,63,13,0.63,0.1599999964237213,-0.42,0.09,False,0.0
TPM__PDCD6IP-DT,63,14,0.63,0.17000000178813934,0.43,0.21,False,0.0
TPM__NPTN,62,12,0.62,0.15000000596046448,0.41,0.17,False,0.0
METH__ITGA4,62,12,0.62,0.1599999964237213,0.34,0.17,False,0.0
TPM__SDSL,62,13,0.62,0.17000000178813934,0.4,0.12,False,0.0
TPM__KDM2B,61,11,0.61,0.20000000298023224,-0.44,0.18,False,0.0
TPM__TAX1BP3,60,11,0.6,0.1599999964237213,0.42,0.16,False,0.0
TPM__CDCP1,59,10,0.59,0.1599999964237213,0.41,0.13,False,0.0
TPM__GPSM3,58,11,0.58,0.15000000596046448,-0.33,0.14,False,0.0
TPM__PRSS23,58,10,0.58,0.27000001072883606,0.52,0.19,False,0.0
TPM__CHMP3,58,8,0.58,0.17000000178813934,0.41,0.14,False,0.013
METH__SNX7,57,7,0.57,0.17000000178813934,-0.39,0.12,True,0.053
TPM__SSH3,57,10,0.57,0.15000000596046448,0.37,0.15,False,0.0
TPM__RAI14,57,10,0.57,0.15000000596046448,0.37,0.13,False,0.0
TPM__LAMB1,56,9,0.56,0.17000000178813934,0.37,0.16,False,0.002
TPM__PTGR1,55,9,0.55,0.17000000178813934,0.36,0.11,False,0.002
TPM__PLPP2,55,6,0.55,0.2199999988079071,0.43,0.14,True,0.181
TPM__APLP2,54,6,0.54,0.1599999964237213,0.42,0.14,True,0.181
TPM__IL17RC,53,6,0.53,0.15000000596046448,0.35,0.16,True,0.181
METH__RASSF1,52,7,0.52,0.1899999976158142,0.4,0.12,True,0.053
TPM__CLCF1,52,7,0.52,0.2199999988079071,0.48,0.2,True,0.053
TPM__ELOVL1,51,6,0.51,0.15000000596046448,0.42,0.1,True,0.181
TPM__ENC1,51,7,0.51,0.15000000596046448,0.4,0.13,True,0.053
TPM__STAC3,50,4,0.5,0.18000000715255737,-0.4,0.15,True,0.832
TPM__KRT8P3,50,7,0.5,0.1599999964237213,0.44,0.14,True,0.053
TPM__BTC,50,4,0.5,0.17000000178813934,0.46,0.22,True,0.832
TPM__KRT80,50,3,0.5,0.1899999976158142,0.46,0.13,True,0.992
TPM__WWC1,48,3,0.48,0.1599999964237213,0.41,0.15,True,0.992
METH__IL10,48,4,0.48,0.17000000178813934,0.34,0.12,True,0.832
TPM__PPL,48,5,0.48,0.1599999964237213,0.43,0.13,True,0.458
TPM__ZBED4,48,3,0.48,0.15000000596046448,-0.41,0.09,True,0.992
METH__PTPN14,47,5,0.47,0.17000000178813934,-0.39,0.24,True,0.458
TPM__EXT1,46,6,0.46,0.15000000596046448,0.36,0.14,True,0.181
TPM__CTSD,45,4,0.45,0.1899999976158142,0.45,0.17,True,0.832
TPM__HDAC11,45,2,0.45,0.18000000715255737,0.41,0.15,True,1.0
TPM__HVCN1,44,3,0.44,0.1599999964237213,-0.29,0.14,True,0.992
TPM__GRK2,44,4,0.44,0.15000000596046448,-0.36,0.15,True,0.832
TPM__ZNF589,43,1,0.43,0.15000000596046448,-0.39,0.1,True,1.0
METH__CEBPE,43,1,0.43,0.1599999964237213,0.36,0.11,True,1.0
TPM__DOCK5,43,1,0.43,0.15000000596046448,0.36,0.09,True,1.0
TPM__ADAM9,43,1,0.43,0.25999999046325684,0.51,0.19,True,1.0
TPM__RND3,42,3,0.42,0.18000000715255737,0.38,0.12,True,0.992
TPM__TSKU,42,1,0.42,0.15000000596046448,0.38,0.14,True,1.0
TPM__CD72,42,3,0.42,0.15000000596046448,-0.27,0.11,True,0.992
TPM__MET,42,0,0.42,0.25999999046325684,0.5,0.23,False,
TPM__LINC00511,41,1,0.41,0.17000000178813934,0.42,0.17,True,1.0
TPM__SEC14L2,41,1,0.41,0.1599999964237213,0.39,0.16,True,1.0
TPM__PHLDB2,41,4,0.41,0.1599999964237213,0.4,0.12,True,0.832
TPM__NT5E,41,1,0.41,0.20000000298023224,0.46,0.14,True,1.0
TPM__RHPN2,41,1,0.41,0.15000000596046448,0.39,0.1,True,1.0
METH__PRKAG1,41,4,0.41,0.15000000596046448,0.37,0.18,True,0.832
METH__CCM2,41,2,0.41,0.25999999046325684,0.43,0.28,True,1.0
TPM__ARHGAP4,40,1,0.4,0.15000000596046448,-0.39,0.16,True,1.0
TPM__ITGB1P1,40,3,0.4,0.17000000178813934,0.43,0.16,True,0.992
TPM__CCND1,39,1,0.39,0.17000000178813934,0.34,0.17,True,1.0
TPM__TRAF3IP3,39,3,0.39,0.2199999988079071,-0.44,0.17,True,0.992
TPM__IER3,38,0,0.38,0.15000000596046448,0.38,0.13,False,
METH__TBC1D10C,38,1,0.38,0.18000000715255737,0.38,0.18,True,1.0
TPM__SLC35D2,37,0,0.37,0.23999999463558197,0.45,0.18,False,
METH__CCDC12,37,1,0.37,0.18000000715255737,-0.34,0.2,True,1.0
TPM__TWF1,36,0,0.36,0.1599999964237213,0.4,0.13,False,
TPM__KCNAB2,36,0,0.36,0.1599999964237213,-0.38,0.09,False,
TPM__ITGB1,35,0,0.35,0.17000000178813934,0.44,0.16,False,
TPM__CTNNA1,35,2,0.35,0.17000000178813934,0.44,0.14,True,1.0
METH__CAPN2,35,0,0.35,0.1599999964237213,-0.42,0.13,False,
TPM__PTPN21,35,1,0.35,0.15000000596046448,0.36,0.17,True,1.0
METH__ITGA2,34,3,0.34,0.17000000178813934,-0.43,0.15,True,0.992
METH__GCET2,34,1,0.34,0.15000000596046448,0.36,0.08,True,1.0
TPM__MYCBP2,34,0,0.34,0.1599999964237213,-0.4,0.14,False,
TPM__DDR1,34,0,0.34,0.1599999964237213,0.34,0.11,False,
TPM__SEPTIN6,34,2,0.34,0.20999999344348907,-0.43,0.19,True,1.0
TPM__CRIM1,33,0,0.33,0.20999999344348907,0.45,0.16,False,
TPM__GFI1,33,2,0.33,0.1599999964237213,-0.36,0.14,True,1.0
TPM__PRDM2,32,0,0.32,0.1599999964237213,-0.38,0.07,False,
METH__CAP2,31,0,0.31,0.18000000715255737,-0.36,0.16,False,
TPM__S100A13,31,0,0.31,0.20999999344348907,0.44,0.14,False,
TPM__SERPINB6,31,5,0.31,0.15000000596046448,0.34,0.1,True,0.458
TPM__ANKLE1,31,2,0.31,0.25,-0.45,0.13,True,1.0
METH__CD38,31,1,0.31,0.15000000596046448,0.31,0.09,True,1.0
TPM__PSTPIP1,30,0,0.3,0.1899999976158142,-0.38,0.16,False,
TPM__PTTG1IP,30,0,0.3,0.17000000178813934,0.42,0.12,False,
TPM__TNFAIP1,29,1,0.29,0.1599999964237213,0.38,0.14,True,1.0
TPM__TRNP1,29,3,0.29,0.1599999964237213,0.39,0.09,True,0.992
TPM__NPAS2,29,2,0.29,0.1599999964237213,0.41,0.18,True,1.0
METH__HCST,29,0,0.29,0.1899999976158142,0.37,0.17,False,
TPM__C19orf33,29,0,0.29,0.20000000298023224,0.43,0.17,False,
TPM__GPAT3,29,0,0.29,0.1599999964237213,0.41,0.15,False,
TPM__TGM2,29,4,0.29,0.17000000178813934,0.43,0.14,True,0.832
TPM__SPATS2L,29,4,0.29,0.20000000298023224,0.44,0.14,True,0.832
TPM__PXN,28,0,0.28,0.20000000298023224,0.42,0.13,False,
METH__SSH3,28,0,0.28,0.1599999964237213,-0.31,0.17,False,
TPM__MLPH,28,1,0.28,0.15000000596046448,0.41,0.13,True,1.0
METH__DOK3,28,0,0.28,0.17000000178813934,0.33,0.09,False,
TPM__FLI1,28,1,0.28,0.17000000178813934,-0.33,0.12,True,1.0
TPM__CUEDC1,28,1,0.28,0.20000000298023224,0.39,0.19,True,1.0
TPM__LIF-AS2,28,0,0.28,0.15000000596046448,0.45,0.19,False,
TPM__AGAP2,28,0,0.28,0.23999999463558197,-0.48,0.15,False,
TPM__ARHGAP9,28,0,0.28,0.25,-0.44,0.22,False,
TPM__FHL2,28,1,0.28,0.2199999988079071,0.47,0.18,True,1.0
TPM__ID1,27,1,0.27,0.15000000596046448,0.33,0.11,True,1.0
TPM__DKK1,27,0,0.27,0.15000000596046448,0.41,0.18,False,
TPM__NACC2,27,0,0.27,0.1599999964237213,0.36,0.12,False,
TPM__DOCK1,27,0,0.27,0.1899999976158142,0.34,0.16,False,
METH__PIK3CG,27,0,0.27,0.1899999976158142,0.36,0.15,False,
METH__RGS1,27,0,0.27,0.18000000715255737,0.36,0.16,False,
METH__PRSS48,27,1,0.27,0.18000000715255737,0.37,0.08,True,1.0
METH__TERF1,26,3,0.26,0.1599999964237213,-0.36,0.17,True,0.992
METH__C21orf125,26,0,0.26,0.15000000596046448,0.36,0.12,False,
TPM__CXCR4,26,2,0.26,0.1599999964237213,-0.31,0.16,True,1.0
METH__GPR125,26,0,0.26,0.18000000715255737,-0.36,0.18,False,
METH__MGAT1,26,0,0.26,0.1899999976158142,0.36,0.1,False,
TPM__PLS3,26,0,0.26,0.1899999976158142,0.39,0.15,False,
METH__PTGFRN,26,0,0.26,0.15000000596046448,-0.3,0.15,False,
TPM__BAG3,26,1,0.26,0.15000000596046448,0.39,0.17,True,1.0
METH__LOC283663,25,0,0.25,0.15000000596046448,0.3,0.14,False,
METH__CDKN2D,25,1,0.25,0.1899999976158142,0.39,0.21,True,1.0
TPM__NRP1,25,0,0.25,0.15000000596046448,0.39,0.12,False,
TPM__AMIGO2,25,0,0.25,0.1599999964237213,0.4,0.12,False,
TPM__DCBLD2,25,0,0.25,0.20999999344348907,0.46,0.1,False,
TPM__BCL2,25,0,0.25,0.15000000596046448,-0.36,0.13,False,
TPM__GIPC1,25,0,0.25,0.20999999344348907,0.44,0.15,False,
METH__MAP1LC3B2,24,0,0.24,0.15000000596046448,0.32,0.14,False,
TPM__ITPRIPL1,24,0,0.24,0.18000000715255737,-0.39,0.15,False,
TPM__PTPRK,24,1,0.24,0.15000000596046448,0.33,0.15,True,1.0
TPM__TSPAN17,24,1,0.24,0.15000000596046448,0.4,0.08,True,1.0
METH__TTC23,24,1,0.24,0.1599999964237213,-0.32,0.19,True,1.0
TPM__HCLS1,23,0,0.23,0.20000000298023224,-0.34,0.16,False,
METH__HRCT1,23,3,0.23,0.17000000178813934,-0.43,0.15,True,0.992
TPM__PTPRF,23,1,0.23,0.17000000178813934,0.31,0.1,True,1.0
