feature,Selection count,Pair count,CPSS Score
METH__CCM2,100,50,1.0
TPM__ANKRD1,100,50,1.0
TPM__LINC02535,100,50,1.0
TPM__CEP170B,100,50,1.0
METH__DSTN,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__AMOTL2,100,50,1.0
TPM__BTC,100,50,1.0
METH__FAM114A1,100,50,1.0
METH__SPAG9,100,50,1.0
TPM__EPHA2,100,50,1.0
METH__NR2F2,100,50,1.0
TPM__ITGB5,100,50,1.0
METH__PTPN14,100,50,1.0
TPM__PDCD6IP-DT,100,50,1.0
TPM__IRAG2,100,50,1.0
TPM__MET,100,50,1.0
TPM__SDC4,100,50,1.0
TPM__PDE1B,100,50,1.0
METH__LAMB2,100,50,1.0
TPM__ARHGAP9,100,50,1.0
METH__LOC100130776,100,50,1.0
TPM__MIR142HG,99,49,0.99
METH__RCAN1,99,49,0.99
METH__THOC6,99,49,0.99
METH__AADAT,99,49,0.99
TPM__TRG-AS1,99,49,0.99
METH__PTPRK,98,48,0.98
METH__C20orf4,98,48,0.98
METH__U2AF1L4,98,48,0.98
METH__C9orf150,98,48,0.98
METH__MIR574,98,48,0.98
METH__SASH1,97,47,0.97
METH__TAP1,97,47,0.97
METH__HNRNPC,96,46,0.96
METH__CDKN2D,96,46,0.96
METH__TAF12,96,46,0.96
METH__NRP1,96,46,0.96
METH__LCA5,95,45,0.95
METH__C16orf3,94,45,0.94
METH__MIPOL1,94,44,0.94
METH__RGNEF,94,44,0.94
METH__AP1B1,93,44,0.93
METH__EXOC6B,91,41,0.91
METH__C7orf70,88,38,0.88
METH__KLHL29,86,36,0.86
METH__GABARAPL1,86,36,0.86
METH__EFNA5,85,35,0.85
TPM__BLNK,84,35,0.84
METH__TPX2,83,34,0.83
METH__LRRC28,76,28,0.76
METH__TEAD4,76,26,0.76
METH__ZNF230,75,26,0.75
METH__ZNF697,74,26,0.74
METH__C14orf128,74,25,0.74
METH__PTGR2,74,26,0.74
CNV__NPEPPS,68,21,0.68
METH__TMEM49,67,21,0.67
METH__C6orf217,66,19,0.66
CNV__EFTUD2,66,19,0.66
METH__EAF2,65,15,0.65
METH__CEBPD,65,18,0.65
CNV__TOP2A,65,18,0.65
METH__WIBG,61,14,0.61
METH__CDC42EP4,60,20,0.6
METH__C19orf48,60,18,0.6
METH__ARHGEF12,58,18,0.58
METH__C21orf59,57,13,0.57
METH__TOP2A,57,14,0.57
METH__TXNDC12,56,11,0.56
METH__EDN1,54,12,0.54
CNV__BIRC3,51,10,0.51
CNV__KRAS,49,10,0.49
CNV__SPOP,48,10,0.48
CNV__NUMA1,47,10,0.47
CNV__CCR7,47,11,0.47
CNV__LASP1,45,7,0.45
CNV__SMARCE1,44,5,0.44
METH__UGGT2,44,8,0.44
METH__AHI1,43,7,0.43
CNV__ERBB2,43,7,0.43
CNV__UBR5,42,8,0.42
CNV__EXT1,39,6,0.39
METH__ZNF503,37,2,0.37
METH__NCOA6,37,4,0.37
METH__PCGF2,37,4,0.37
METH__ABCD3,37,5,0.37
METH__SYNJ1,36,5,0.36
METH__LRP6,36,4,0.36
METH__NFS1,36,5,0.36
CNV__CDK12,36,5,0.36
CNV__NDRG1,35,6,0.35
METH__ZNF227,35,6,0.35
CNV__HNRNPA2B1,33,1,0.33
CNV__EIF3E,33,4,0.33
METH__LRRC58,32,2,0.32
METH__SPRYD3,32,3,0.32
CNV__SDHD,32,5,0.32
CNV__DDX10,31,4,0.31
CNV__HOXA11,31,2,0.31
METH__ATP6V1D,31,2,0.31
METH__TIAL1,31,1,0.31
METH__MIR1296,30,2,0.3
METH__VPS37C,29,3,0.29
CNV__MLLT6,28,4,0.28
METH__HSF2BP,28,4,0.28
CNV__TLX3,28,2,0.28
CNV__AKT1,28,4,0.28
METH__CREBL2,26,2,0.26
CNV__SFRP4,25,4,0.25
CNV__HOXA9,25,3,0.25
METH__ANGPTL7,25,0,0.25
CNV__PABPC1,25,1,0.25
CNV__ARID1A,24,2,0.24
CNV__BRIP1,24,2,0.24
CNV__ZBTB16,23,2,0.23
METH__ISOC2,23,2,0.23
METH__ZNF57,23,1,0.23
METH__RPL23AP7,23,1,0.23
CNV__SDC4,22,3,0.22
CNV__AKT2,22,1,0.22
CNV__MEN1,22,1,0.22
CNV__RUNX1T1,22,3,0.22
CNV__FLI1,21,4,0.21
METH__ARRDC3,21,1,0.21
CNV__CCND2,20,0,0.2
CNV__CDKN1B,20,0,0.2
CNV__UBE2D2,20,1,0.2
METH__ERCC1,19,1,0.19
CNV__COL2A1,18,0,0.18
METH__CIR1,18,1,0.18
CNV__ARHGEF12,18,0,0.18
CNV__PTPRT,18,0,0.18
CNV__NCOR2,17,1,0.17
CNV__RASA1,17,0,0.17
CNV__MAP3K1,17,0,0.17
CNV__MAFB,17,1,0.17
CNV__PTPRB,17,2,0.17
CNV__RAD21,17,0,0.17
METH__LDOC1L,16,1,0.16
CNV__ARHGEF10L,16,1,0.16
CNV__WWTR1,16,1,0.16
CNV__KCNJ5,15,0,0.15
CNV__GNA13,15,0,0.15
CNV__FUBP1,15,1,0.15
CNV__MTOR,15,0,0.15
CNV__NCOA2,15,1,0.15
CNV__HEY1,15,0,0.15
METH__SRD5A1,15,1,0.15
METH__DHX34,15,0,0.15
CNV__EBF1,15,2,0.15
METH__EIF4G3,15,0,0.15
CNV__ERCC4,15,0,0.15
CNV__PMS1,14,0,0.14
CNV__NT5C3A,14,0,0.14
METH__C14orf178,14,2,0.14
CNV__TFG,14,0,0.14
CNV__ZNF780A,14,1,0.14
CNV__ETNK1,14,0,0.14
CNV__BCL7A,14,0,0.14
CNV__PRKD2,14,1,0.14
METH__TMTC3,13,1,0.13
METH__ARRB2,13,2,0.13
CNV__RBM15,13,1,0.13
CNV__LCK,13,0,0.13
CNV__PRDM16,13,2,0.13
CNV__TNFRSF17,13,0,0.13
METH__PIK3C3,13,1,0.13
CNV__NBN,13,0,0.13
CNV__RGS7,13,0,0.13
METH__SPRED1,13,1,0.13
METH__LOC729082,12,1,0.12
CNV__AJUBA,12,0,0.12
CNV__TCF4,12,1,0.12
CNV__BARD1,12,0,0.12
CNV__HLA-A,12,0,0.12
CNV__CD79A,11,0,0.11
METH__RPS6KA4,11,0,0.11
METH__RAPH1,11,0,0.11
CNV__SETDB1,11,0,0.11
CNV__GAS7,11,2,0.11
CNV__ARHGAP26,11,0,0.11
CNV__CDC73,11,0,0.11
CNV__TRIM33,11,0,0.11
CNV__DICER1,11,0,0.11
CNV__FOXO3,11,0,0.11
METH__POLM,10,0,0.1
METH__ADCK4,10,0,0.1
CNV__HOXD13,10,0,0.1
CNV__ACVR1,10,0,0.1
METH__RNF31,10,0,0.1
METH__SKI,10,0,0.1
CNV__ID3,10,0,0.1
CNV__CREB1,10,0,0.1
CNV__MDM2,10,0,0.1
CNV__FUS,10,0,0.1
CNV__FLT4,10,0,0.1
METH__GORASP1,10,0,0.1
CNV__WT1,9,1,0.09
CNV__ZNF429,9,0,0.09
CNV__SOX21,9,0,0.09
CNV__CEBPA,9,0,0.09
CNV__DDB2,9,0,0.09
CNV__NRAS,9,1,0.09
CNV__KDM3B,9,0,0.09
METH__PPAPDC1B,9,0,0.09
METH__GPN3,9,0,0.09
CNV__NPM1,8,0,0.08
CNV__AXIN2,8,0,0.08
CNV__CLIP1,8,0,0.08
CNV__PER1,8,0,0.08
METH__SNW1,8,0,0.08
CNV__NFE2L2,8,0,0.08
METH__RNF10,8,0,0.08
CNV__DCTN1,8,0,0.08
CNV__PREX2,8,0,0.08
CNV__HTRA2,8,0,0.08
METH__SDCBP,8,0,0.08
CNV__MAP2K4,8,1,0.08
CNV__ITK,8,0,0.08
CNV__PRR14,8,0,0.08
CNV__PTPN11,8,0,0.08
CNV__TAL1,7,0,0.07
CNV__MAP2K2,7,0,0.07
CNV__OLIG2,7,0,0.07
CNV__SRSF3,7,0,0.07
CNV__CHD4,7,0,0.07
METH__PPP2R5B,7,0,0.07
CNV__HERPUD1,7,0,0.07
CNV__BCL11A,7,0,0.07
CNV__HOXD11,7,0,0.07
CNV__POU2F2,7,0,0.07
METH__STOML2,7,0,0.07
CNV__IL6ST,7,1,0.07
CNV__PTEN,6,0,0.06
CNV__BAP1,6,0,0.06
METH__TMEM44,6,0,0.06
METH__DIAPH3,6,0,0.06
CNV__PAX5,6,0,0.06
CNV__ERCC3,6,0,0.06
CNV__CCND3,6,0,0.06
METH__TARS,6,0,0.06
CNV__CDH1,6,0,0.06
METH__C2orf64,6,0,0.06
CNV__GRIN2A,6,1,0.06
CNV__FGFR4,6,0,0.06
CNV__MYH11,6,0,0.06
CNV__PIK3R1,6,0,0.06
CNV__BTG1,6,0,0.06
CNV__CTCF,6,1,0.06
CNV__CPEB3,5,0,0.05
CNV__RPL5,5,0,0.05
METH__SPIN1,5,0,0.05
METH__LIN7C,5,0,0.05
CNV__ACVR2A,5,0,0.05
METH__ARMC10,5,0,0.05
METH__QRICH2,5,0,0.05
CNV__RHPN2,5,0,0.05
CNV__AFF4,5,0,0.05
CNV__BMPR2,5,0,0.05
METH__MAFF,5,0,0.05
METH__PPP2R5E,5,0,0.05
CNV__FAT2,5,0,0.05
METH__MIR423,5,0,0.05
METH__MIR1915,5,0,0.05
CNV__APC,5,0,0.05
METH__ARPC5,5,0,0.05
METH__FZD4,4,0,0.04
METH__CEP290,4,0,0.04
METH__FAM114A2,4,0,0.04
METH__ARHGAP26,4,0,0.04
METH__UROD,4,0,0.04
CNV__BCL3,4,0,0.04
METH__CLASP1,4,0,0.04
CNV__STIL,4,0,0.04
CNV__REL,4,0,0.04
METH__PLAGL2,4,0,0.04
