feature,Selection count,Pair count,CPSS Score
TPM__DUSP6,98,48,0.98
TPM__BIN3,88,38,0.88
TPM__TMC6,86,36,0.86
TPM__SH3BP1,85,35,0.85
TPM__PLA2G12A,85,35,0.85
TPM__ADAT2,85,35,0.85
TPM__TLR4,80,30,0.8
TPM__HSDL2-AS1,75,25,0.75
TPM__SPRED1,74,24,0.74
TPM__RGS9,74,25,0.74
METH__CLPP,70,20,0.7
TPM__POLR1D,70,20,0.7
TPM__GOLGA3,68,19,0.68
TPM__ETV5,68,19,0.68
TPM__FAM218A,67,18,0.67
TPM__LINC00920,67,19,0.67
TPM__USP9X,66,17,0.66
METH__SNORA69,66,17,0.66
TPM__HMGA1,64,16,0.64
TPM__SLC2A8,64,14,0.64
TPM__LRRFIP1P1,63,14,0.63
TPM__CEP89,62,12,0.62
TPM__ZMYND10,62,13,0.62
TPM__GFRA1,62,13,0.62
TPM__CLIC4,61,12,0.61
TPM__ZCRB1,59,10,0.59
TPM__SPRY4-AS1,59,10,0.59
METH__PRDM1,57,9,0.57
METH__MS4A6A,57,10,0.57
METH__TIAM1,55,5,0.55
TPM__TMEM150C,53,6,0.53
TPM__PEG10,53,9,0.53
TPM__ANKRD13C-DT,52,7,0.52
TPM__WWC3,51,3,0.51
TPM__GINM1,51,7,0.51
TPM__ABHD14A-ACY1,50,5,0.5
TPM__CAPN3,49,5,0.49
METH__SNORD18C,49,5,0.49
TPM__RBBP7,47,5,0.47
TPM__MYBL1,46,7,0.46
TPM__KLHDC2,46,1,0.46
TPM__PLK3,46,1,0.46
METH__HUS1B,45,5,0.45
TPM__POMT1,44,3,0.44
TPM__MCUB,44,3,0.44
TPM__SPRY2,43,3,0.43
TPM__NXPH4,43,3,0.43
TPM__RPGRIP1L,43,3,0.43
TPM__TLE2,43,3,0.43
TPM__ARRDC3,42,0,0.42
TPM__ZNF737,42,3,0.42
METH__LOC100134317,41,1,0.41
TPM__TNFRSF14-AS1,40,1,0.4
TPM__SCARA3,39,1,0.39
TPM__CDK16,38,1,0.38
METH__TBX6,38,0,0.38
TPM__SGCE,38,3,0.38
TPM__IMMP1L,37,1,0.37
METH__ABCA4,37,0,0.37
TPM__GPR137C,37,1,0.37
TPM__AAMDC,37,1,0.37
TPM__BCL2A1,37,1,0.37
METH__C19orf18,37,5,0.37
TPM__CCDC110,36,0,0.36
METH__SRD5A1,36,0,0.36
TPM__ZNF415,35,0,0.35
TPM__ETV4,35,0,0.35
TPM__PPP1R3F,34,1,0.34
TPM__CERS4,34,0,0.34
TPM__ZNF844,34,2,0.34
TPM__ZNF853,33,1,0.33
TPM__COMMD2,33,0,0.33
METH__C22orf31,32,0,0.32
TPM__MATN2,32,0,0.32
TPM__ZNF594,32,1,0.32
TPM__RPL27A,32,0,0.32
TPM__TXNDC16,32,0,0.32
METH__RPS11,31,0,0.31
METH__DHX16,31,1,0.31
TPM__IMPDH2,31,0,0.31
TPM__ZNF567-DT,30,0,0.3
METH__DUSP7,30,1,0.3
TPM__PTOV1-AS1,30,0,0.3
METH__PEX10,29,0,0.29
TPM__VEZT,29,1,0.29
TPM__BCAS4,29,0,0.29
TPM__ZNF287,29,1,0.29
TPM__AS3MT,28,0,0.28
METH__SLC25A20,28,0,0.28
TPM__PALS1,28,0,0.28
METH__C9orf80,28,1,0.28
TPM__LMAN2L,27,1,0.27
TPM__COQ7,27,0,0.27
TPM__LINC02901,27,0,0.27
TPM__RIBC1,27,0,0.27
TPM__MMUT,27,1,0.27
METH__AKR7L,26,1,0.26
METH__FAM71C,26,1,0.26
TPM__SANBR,26,0,0.26
TPM__LYZ,26,0,0.26
TPM__MPC2,25,1,0.25
METH__MIA,25,0,0.25
TPM__FCGR2A,25,0,0.25
TPM__PNMA2,25,1,0.25
TPM__IGFBP5,25,1,0.25
TPM__ELFN1-AS1,25,3,0.25
METH__SLC2A3,24,0,0.24
METH__HP,24,0,0.24
TPM__PPME1,24,0,0.24
