feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.1599999964237213,0.4,0.06,True,1.0
TPM__SLC38A5,94,44,0.94,0.10999999940395355,-0.31,0.09,True,0.181
TPM__TRNP1,88,38,0.88,0.15000000596046448,0.4,0.1,False,0.0
METH__RWDD3,86,36,0.86,0.11999999731779099,-0.34,0.07,False,0.0
TPM__TRABD,86,36,0.86,0.12999999523162842,-0.38,0.05,False,0.0
TPM__ZBED4,84,34,0.84,0.15000000596046448,-0.4,0.11,False,0.0
TPM__ATP5F1A,83,33,0.83,0.11999999731779099,-0.36,0.07,False,0.0
TPM__UBL7-DT,82,32,0.82,0.11999999731779099,-0.36,0.12,False,0.0
TPM__RASAL2-AS1,78,28,0.78,0.14000000059604645,0.38,0.13,False,0.0
TPM__EVA1A,76,26,0.76,0.15000000596046448,0.41,0.13,False,0.0
TPM__MTO1,75,25,0.75,0.10999999940395355,-0.31,0.07,False,0.0
TPM__HM13,75,25,0.75,0.11999999731779099,0.34,0.06,False,0.0
METH__MIR150,72,22,0.72,0.12999999523162842,0.36,0.06,False,0.0
TPM__FN1,72,22,0.72,0.11999999731779099,0.37,0.06,False,0.0
METH__MGAT1,72,22,0.72,0.1599999964237213,0.37,0.14,False,0.0
TPM__KRT8P45,70,20,0.7,0.10999999940395355,0.37,0.12,False,0.0
TPM__RIOK1,70,20,0.7,0.11999999731779099,-0.33,0.04,False,0.0
TPM__PTTG1IP,67,17,0.67,0.1599999964237213,0.41,0.1,False,0.0
CNV__MAFB,67,17,0.67,0.10999999940395355,0.36,0.19,False,0.0
CNV__NFATC2,67,20,0.67,0.10999999940395355,0.36,0.17,False,0.0
TPM__TMEM139,66,17,0.66,0.10999999940395355,0.35,0.08,False,0.0
METH__CDT1,66,16,0.66,0.10999999940395355,0.34,0.11,False,0.0
TPM__AOPEP,64,16,0.64,0.12999999523162842,0.37,0.12,False,0.0
TPM__TPM1,63,13,0.63,0.14000000059604645,0.37,0.12,False,0.0
TPM__DYNLRB1,62,16,0.62,0.11999999731779099,0.36,0.05,False,0.0
TPM__RND3,62,13,0.62,0.11999999731779099,0.35,0.12,False,0.0
TPM__GIPC1,60,13,0.6,0.11999999731779099,0.37,0.07,False,0.0
TPM__POFUT1,59,11,0.59,0.11999999731779099,0.38,0.03,False,0.0
TPM__CHMP4B,58,11,0.58,0.11999999731779099,0.36,0.15,False,0.0
TPM__CSK,58,12,0.58,0.1599999964237213,-0.41,0.13,False,0.0
TPM__ARHGEF28,58,11,0.58,0.12999999523162842,0.38,0.06,False,0.0
TPM__LAMB1,57,8,0.57,0.12999999523162842,0.36,0.08,False,0.013
TPM__EIF3L,55,7,0.55,0.11999999731779099,-0.37,0.08,True,0.053
TPM__MATN2,55,11,0.55,0.11999999731779099,0.36,0.14,False,0.0
TPM__SPATS2L,54,9,0.54,0.1599999964237213,0.41,0.18,False,0.002
TPM__RGL3,53,6,0.53,0.12999999523162842,0.39,0.09,True,0.181
TPM__NBL1,53,7,0.53,0.12999999523162842,0.36,0.13,True,0.053
METH__GCET2,50,4,0.5,0.12999999523162842,0.37,0.09,True,0.832
TPM__RN7SL689P,49,4,0.49,0.10999999940395355,0.36,0.09,True,0.832
TPM__RSL24D1,47,3,0.47,0.11999999731779099,-0.37,0.09,True,0.992
TPM__ME2,46,3,0.46,0.11999999731779099,-0.36,0.09,True,0.992
TPM__PPP2R3A,46,1,0.46,0.10999999940395355,0.34,0.1,True,1.0
TPM__CARD10,45,4,0.45,0.15000000596046448,0.38,0.12,True,0.832
METH__KRT39,45,2,0.45,0.10999999940395355,0.33,0.06,True,1.0
TPM__ABHD12,44,2,0.44,0.11999999731779099,0.36,0.08,True,1.0
METH__RHEB,44,2,0.44,0.14000000059604645,-0.38,0.09,True,1.0
TPM__CD151,43,1,0.43,0.15000000596046448,0.42,0.11,True,1.0
TPM__SGMS2,43,3,0.43,0.17000000178813934,0.41,0.08,True,0.992
TPM__KDM2B,42,3,0.42,0.12999999523162842,-0.37,0.12,True,0.992
TPM__SYS1,42,3,0.42,0.12999999523162842,0.37,0.09,True,0.992
TPM__EAF2,42,2,0.42,0.11999999731779099,-0.33,0.1,True,1.0
TPM__ANP32A,42,2,0.42,0.10999999940395355,-0.37,0.08,True,1.0
TPM__KRT19,41,3,0.41,0.12999999523162842,0.35,0.1,True,0.992
TPM__IL13RA1,41,1,0.41,0.11999999731779099,0.33,0.15,True,1.0
TPM__LGALS3,41,0,0.41,0.12999999523162842,0.36,0.04,False,
TPM__LTBR,40,0,0.4,0.15000000596046448,0.38,0.12,False,
TPM__ANXA2,39,4,0.39,0.12999999523162842,0.41,0.11,True,0.832
TPM__ITGB5,39,1,0.39,0.15000000596046448,0.39,0.11,True,1.0
TPM__POLR1H,39,0,0.39,0.10999999940395355,-0.33,0.11,False,
TPM__TMEM51,38,1,0.38,0.11999999731779099,0.33,0.11,True,1.0
TPM__CTNNA1,38,0,0.38,0.10999999940395355,0.39,0.14,False,
TPM__ELOVL1,37,2,0.37,0.10999999940395355,0.36,0.09,True,1.0
TPM__TBC1D2,37,0,0.37,0.11999999731779099,0.36,0.08,False,
TPM__NHS,37,1,0.37,0.10999999940395355,0.35,0.1,True,1.0
TPM__MANBAL,37,2,0.37,0.2199999988079071,0.45,0.13,True,1.0
TPM__ANKRD1,36,0,0.36,0.12999999523162842,0.43,0.14,False,
METH__KRI1,36,2,0.36,0.17000000178813934,0.41,0.12,True,1.0
TPM__CCDC9B,36,0,0.36,0.11999999731779099,0.37,0.12,False,
TPM__APMAP,36,0,0.36,0.10999999940395355,0.36,0.05,False,
TPM__TMEM54,35,1,0.35,0.10999999940395355,0.33,0.06,True,1.0
TPM__TNS2,35,2,0.35,0.10999999940395355,0.39,0.08,True,1.0
METH__PATL1,35,1,0.35,0.12999999523162842,-0.36,0.08,True,1.0
TPM__SLC2A1,34,2,0.34,0.11999999731779099,0.36,0.02,True,1.0
TPM__KIF3B,34,1,0.34,0.14000000059604645,0.37,0.05,True,1.0
TPM__CUEDC1,32,1,0.32,0.1599999964237213,0.38,0.11,True,1.0
TPM__NECTIN2,32,0,0.32,0.10999999940395355,0.34,0.12,False,
TPM__MYO1C,32,2,0.32,0.10999999940395355,0.32,0.11,True,1.0
METH__TRPV2,32,0,0.32,0.10999999940395355,0.34,0.09,False,
TPM__DDR1,32,1,0.32,0.10999999940395355,0.32,0.06,True,1.0
TPM__EXT1,31,2,0.31,0.11999999731779099,0.33,0.06,True,1.0
METH__FERMT3,31,0,0.31,0.1599999964237213,0.38,0.17,False,
TPM__SHB,31,1,0.31,0.12999999523162842,0.36,0.13,True,1.0
METH__VAV1,30,1,0.3,0.11999999731779099,0.38,0.14,True,1.0
METH__GAS2L3,30,0,0.3,0.10999999940395355,-0.34,0.09,False,
TPM__HDAC11,30,0,0.3,0.14000000059604645,0.39,0.1,False,
METH__RPS6KA1,30,1,0.3,0.10999999940395355,0.37,0.12,True,1.0
METH__CEBPE,30,0,0.3,0.10999999940395355,0.34,0.1,False,
TPM__PLK2,29,0,0.29,0.15000000596046448,0.38,0.09,False,
METH__DGKZ,28,0,0.28,0.11999999731779099,0.35,0.09,False,
TPM__CTNND1,28,0,0.28,0.10999999940395355,0.3,0.11,False,
TPM__USP38-DT,28,0,0.28,0.11999999731779099,-0.37,0.11,False,
METH__C13orf29,27,1,0.27,0.11999999731779099,-0.35,0.08,True,1.0
TPM__ASPH,26,0,0.26,0.17000000178813934,0.43,0.14,False,
TPM__DSTN,26,1,0.26,0.11999999731779099,0.36,0.13,True,1.0
METH__SSH3,25,0,0.25,0.10999999940395355,-0.29,0.06,False,
TPM__SH3BP4,25,0,0.25,0.15000000596046448,0.36,0.11,False,
