feature,Selection count,Pair count,CPSS Score
CNV__MAFB,100,50,1.0
TPM__MND1,100,50,1.0
TPM__MYO1F,100,50,1.0
TPM__KRT8P10,100,50,1.0
METH__BZRAP1,100,50,1.0
TPM__CRIM1,100,50,1.0
METH__AGAP2,100,50,1.0
TPM__P2RY8,100,50,1.0
TPM__APP,100,50,1.0
TPM__SH3D19,100,50,1.0
TPM__PRSS23,100,50,1.0
TPM__SH2D3C,100,50,1.0
CNV__RBM39,100,50,1.0
TPM__HES1,100,50,1.0
TPM__MATN3,100,50,1.0
TPM__S100A10,100,50,1.0
TPM__PTPN7,100,50,1.0
TPM__SDC4,100,50,1.0
TPM__ARHGAP29,100,50,1.0
TPM__PIK3CG,100,50,1.0
TPM__SPATS2L,100,50,1.0
TPM__GPR39,100,50,1.0
TPM__NTN4,100,50,1.0
METH__FERMT3,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__LINC01186,100,50,1.0
METH__JUB,99,49,0.99
TPM__ITGAX,99,49,0.99
METH__RAB11FIP1,97,47,0.97
METH__TCF3,97,47,0.97
CNV__NFATC2,96,46,0.96
METH__TERF1,96,46,0.96
CNV__SALL4,95,45,0.95
METH__SPAG9,95,45,0.95
METH__CELSR3,95,45,0.95
METH__B4GALT1,95,45,0.95
CNV__ASXL1,93,43,0.93
METH__C4orf12,93,43,0.93
CNV__PLCG1,92,42,0.92
METH__ARSJ,92,42,0.92
CNV__TOP1,91,41,0.91
METH__ZNF697,90,40,0.9
CNV__PTK6,87,37,0.87
CNV__SS18L1,87,37,0.87
CNV__SRC,81,31,0.81
METH__CAST,81,33,0.81
METH__ADCY6,79,31,0.79
METH__ATP6V1D,78,29,0.78
METH__PTPN14,77,29,0.77
METH__C14orf128,73,25,0.73
METH__ZNF230,72,24,0.72
TPM__RNVU1-28,71,23,0.71
METH__CCDC49,70,22,0.7
METH__PPP1R13L,70,23,0.7
METH__TTC23,69,19,0.69
METH__SLC19A2,68,20,0.68
METH__AP1B1,66,20,0.66
TPM__ATP5F1EP2,64,16,0.64
CNV__NKX2-1,59,15,0.59
TPM__SNORA80A,56,9,0.56
METH__CD3EAP,53,13,0.53
CNV__HIF1A,48,8,0.48
CNV__ABCB1,45,7,0.45
CNV__SFRP4,44,8,0.44
METH__RAB11FIP5,41,5,0.41
TPM__RNA5SP323,39,4,0.39
CNV__MAP2K4,39,7,0.39
CNV__NFKBIA,38,4,0.38
CNV__ACVR1,35,6,0.35
METH__RAP2C,35,4,0.35
CNV__GAS7,33,4,0.33
TPM__SNORD10,33,5,0.33
TPM__RNVU1-26,31,0,0.31
CNV__FBN2,30,3,0.3
CNV__FANCM,30,2,0.3
METH__C6orf217,29,1,0.29
METH__PEX7,29,5,0.29
MUT__KRAS,29,0,0.29
TPM__RNA5SP187,29,2,0.29
CNV__H3C2,29,2,0.29
CNV__ARHGAP5,29,3,0.29
CNV__KTN1,27,2,0.27
CNV__FOXA1,25,2,0.25
CNV__TRIP11,24,2,0.24
CNV__MAX,23,1,0.23
METH__RAPH1,22,1,0.22
CNV__SIX1,22,1,0.22
METH__SMAD1,21,3,0.21
CNV__GOLGA5,21,1,0.21
CNV__TSHR,20,1,0.2
METH__TPX2,19,0,0.19
CNV__ERC1,19,1,0.19
CNV__BCL11A,19,2,0.19
METH__AHI1,18,1,0.18
CNV__BCR,18,1,0.18
CNV__NIN,18,2,0.18
CNV__USP6,18,1,0.18
CNV__SPEN,18,0,0.18
METH__ELAC1,18,3,0.18
CNV__APC,17,0,0.17
CNV__HTRA2,16,1,0.16
CNV__LMNA,16,1,0.16
CNV__PCBP1,16,1,0.16
CNV__HLA-B,16,1,0.16
CNV__FIP1L1,15,1,0.15
METH__MOBKL1A,15,0,0.15
CNV__BCL9,14,1,0.14
CNV__ZFP36L1,14,1,0.14
CNV__KDM5A,14,1,0.14
CNV__PDGFRA,14,1,0.14
CNV__RANBP2,12,0,0.12
CNV__STIL,12,0,0.12
CNV__CPEB3,12,0,0.12
METH__C14orf79,12,0,0.12
CNV__ARNT,12,0,0.12
CNV__PHOX2B,12,0,0.12
CNV__RABEP1,12,0,0.12
CNV__ALK,11,0,0.11
CNV__RAD51B,11,2,0.11
CNV__DCTN1,11,0,0.11
CNV__MYCL,11,1,0.11
CNV__NFE2L2,11,0,0.11
METH__KIF18A,11,0,0.11
CNV__ZBTB7B,11,1,0.11
CNV__NT5C2,11,0,0.11
TPM__SNORA4,11,0,0.11
CNV__PER1,11,0,0.11
CNV__AFF3,11,0,0.11
CNV__FGFR2,10,1,0.1
METH__MIR1915,10,0,0.1
CNV__NRAS,10,0,0.1
TPM__SNORA49,10,0,0.1
CNV__POU5F1,10,1,0.1
CNV__HLA-A,10,0,0.1
MUT__PIK3CA,10,0,0.1
CNV__CCND2,10,0,0.1
TPM__SNORA15,10,1,0.1
CNV__GPHN,10,0,0.1
CNV__TCF7L2,9,0,0.09
CNV__TRIM27,9,1,0.09
CNV__SDHB,9,0,0.09
CNV__STRN,9,0,0.09
TPM__SCARNA4,9,2,0.09
CNV__ZNF165,9,1,0.09
MUT__ARID1A,9,0,0.09
MUT__KMT2C,9,0,0.09
CNV__LOX,9,0,0.09
CNV__FANCE,9,0,0.09
CNV__NFKB2,8,0,0.08
METH__NFE2L2,8,0,0.08
MUT__VHL,8,0,0.08
CNV__TLX1,8,0,0.08
CNV__SRSF3,8,1,0.08
CNV__FANCL,8,0,0.08
CNV__PRCC,8,0,0.08
CNV__PPT2,8,1,0.08
CNV__FGFR3,8,0,0.08
CNV__PDE4DIP,8,1,0.08
CNV__SF3B1,8,0,0.08
CNV__KIT,8,0,0.08
CNV__TRIM33,8,1,0.08
METH__BRIP1,8,0,0.08
TPM__SNORA80B,8,0,0.08
CNV__SETDB1,8,0,0.08
CNV__PIM1,7,0,0.07
CNV__TNC,7,1,0.07
CNV__HOXD11,7,0,0.07
CNV__ARID1A,7,0,0.07
CNV__SLC34A2,7,1,0.07
MUT__HLA-A,7,0,0.07
CNV__ZNF384,7,0,0.07
CNV__CHD4,7,2,0.07
CNV__FCRL4,7,0,0.07
MUT__SDHA,7,0,0.07
CNV__NOTCH2,7,0,0.07
CNV__EPHA2,6,0,0.06
METH__ZNF646,6,0,0.06
CNV__HMGA1,6,0,0.06
CNV__NTRK1,6,0,0.06
CNV__TPM3,6,0,0.06
METH__EXO1,6,0,0.06
CNV__CDKN1A,6,1,0.06
CNV__RPL5,6,0,0.06
METH__DHX8,6,0,0.06
CNV__XPO1,6,0,0.06
CNV__RBM15,5,0,0.05
METH__CETN3,5,0,0.05
CNV__FUBP1,5,0,0.05
CNV__SUFU,5,0,0.05
CNV__ACSL3,5,0,0.05
METH__BAG2,5,0,0.05
