feature,Selection count,Pair count,CPSS Score
TPM__SLC7A11,100,50,1.0
TPM__PTTG1IP,93,43,0.93
TPM__NMRAL2P,92,42,0.92
TPM__RAB32,87,37,0.87
TPM__C16orf86,84,34,0.84
TPM__APLP2,84,34,0.84
METH__ZNF579,82,32,0.82
METH__C21orf125,81,31,0.81
TPM__STAC3,78,28,0.78
TPM__PVR,76,27,0.76
METH__MGAT1,76,26,0.76
TPM__MID1,74,24,0.74
TPM__PPL,72,23,0.72
TPM__DKK1,71,21,0.71
METH__ITPRIPL1,71,21,0.71
TPM__CARD10,71,21,0.71
METH__SHC2,70,20,0.7
TPM__ANXA2P2,70,20,0.7
TPM__GPAT3,68,18,0.68
TPM__GPD2,66,16,0.66
TPM__SQSTM1,65,15,0.65
TPM__IQCJ-SCHIP1,63,14,0.63
TPM__AGAP2,61,12,0.61
TPM__CUEDC1,61,13,0.61
TPM__SOX13,61,11,0.61
TPM__NPAS2,61,11,0.61
TPM__KIF21B,60,11,0.6
METH__SSH3,59,9,0.59
TPM__S100A10,57,8,0.57
TPM__GIPC1,57,9,0.57
TPM__NGEF,56,8,0.56
TPM__RPL18A,55,9,0.55
TPM__LINC03061,55,8,0.55
TPM__CDR2L,54,7,0.54
TPM__GRAMD2B,54,9,0.54
TPM__RPL3,54,7,0.54
TPM__IL18,54,6,0.54
TPM__ZNF101,54,5,0.54
TPM__SPATS2L,53,6,0.53
TPM__DST,50,8,0.5
TPM__LGALS3,49,8,0.49
TPM__RND3,48,2,0.48
TPM__BCAR1,47,3,0.47
TPM__FAM177A1,45,1,0.45
TPM__MGAT4B,45,5,0.45
TPM__S100A16,43,4,0.43
TPM__TXNRD1,43,3,0.43
TPM__ADAM9,42,2,0.42
TPM__CAV2,41,3,0.41
TPM__TRIM16L,41,0,0.41
TPM__FCHO2,40,3,0.4
METH__TERF1,40,1,0.4
TPM__IL13RA1,40,1,0.4
METH__RHEB,39,1,0.39
METH__SYTL4,39,1,0.39
TPM__ME1,39,1,0.39
TPM__CHMP3,38,2,0.38
TPM__FAT1,38,1,0.38
TPM__ITGB1,37,1,0.37
TPM__CAST,37,1,0.37
TPM__CRIM1,37,2,0.37
METH__PTP4A1,36,0,0.36
TPM__AOPEP,36,1,0.36
TPM__KRT80,36,0,0.36
TPM__KBTBD8,35,0,0.35
METH__CCDC12,35,0,0.35
