feature,Selection count,Pair count,CPSS Score
TPM__FOXJ1,98,48,0.98
TPM__SNHG26,97,47,0.97
TPM__MRTFA,95,45,0.95
TPM__MRPS18AP1,90,40,0.9
TPM__LONRF2,89,39,0.89
METH__SIPA1,88,38,0.88
METH__DHDH,85,35,0.85
TPM__ADA,83,33,0.83
METH__MYBPC1,82,32,0.82
METH__MIR365-1,82,32,0.82
TPM__CUTC,79,29,0.79
METH__LOC144571,78,28,0.78
TPM__MCM5,78,28,0.78
METH__RBAK,76,26,0.76
TPM__FAM174A,75,25,0.75
METH__NSUN5B,75,25,0.75
METH__C16orf54,73,23,0.73
TPM__MOB3A,73,23,0.73
METH__EPHA4,73,23,0.73
TPM__EAF2,72,22,0.72
METH__BPI,72,23,0.72
TPM__ARHGEF6,66,16,0.66
METH__PDS5A,62,13,0.62
METH__CCDC102A,61,14,0.61
TPM__TLR1,56,10,0.56
TPM__WLS,55,6,0.55
METH__OVOL2,55,9,0.55
TPM__APBB1IP,55,8,0.55
METH__SHMT2,53,5,0.53
METH__GCET2,53,8,0.53
TPM__TUBA5P,52,6,0.52
TPM__TNF,52,5,0.52
METH__LASS6,51,8,0.51
TPM__SPIRE2,50,6,0.5
TPM__SLC6A8,49,5,0.49
METH__NEIL2,49,7,0.49
METH__ITGA4,49,3,0.49
METH__EVL,48,5,0.48
TPM__SH3BP4,48,6,0.48
METH__GOLGA5,46,3,0.46
TPM__SLC46A1,46,3,0.46
TPM__AGAP2,46,4,0.46
METH__PROCA1,45,1,0.45
METH__SCML1,45,2,0.45
METH__MIR182,45,3,0.45
TPM__ASAP2,45,5,0.45
TPM__ADGRG1,44,2,0.44
METH__C7orf23,44,1,0.44
TPM__TNFAIP8,44,4,0.44
METH__RBM38,44,3,0.44
METH__RAVER1,42,2,0.42
METH__LOC100188949,42,2,0.42
METH__TTLL13,42,2,0.42
METH__ANKRD44,41,1,0.41
TPM__EPHA10,41,2,0.41
TPM__GNGT2,41,1,0.41
TPM__CARD8-AS1,40,1,0.4
TPM__TACC2,39,0,0.39
TPM__BTBD3,39,2,0.39
METH__HMCN1,39,2,0.39
TPM__TBC1D10C,39,1,0.39
METH__ONECUT2,39,2,0.39
METH__TBC1D10C,39,1,0.39
METH__WDR35,38,1,0.38
TPM__NOS1AP,38,2,0.38
TPM__GMIP,38,0,0.38
METH__KCNK1,37,1,0.37
TPM__GSTM3,37,6,0.37
METH__AADAT,37,3,0.37
TPM__SNX9,37,0,0.37
TPM__SLC26A11,36,1,0.36
TPM__MANSC1,35,0,0.35
METH__CCDC88B,35,0,0.35
METH__PARD3B,34,1,0.34
TPM__NUP153-AS1,34,6,0.34
TPM__HID1,34,0,0.34
METH__FEZF1,34,0,0.34
METH__ARNTL,34,0,0.34
TPM__GLB1L2,33,0,0.33
TPM__ALOX5AP,33,1,0.33
TPM__BAIAP2,33,0,0.33
TPM__LYL1,33,1,0.33
METH__BEAN,33,0,0.33
METH__C7orf63,33,1,0.33
METH__HSP90AA1,33,3,0.33
TPM__IRF8,32,0,0.32
TPM__SOX13,32,3,0.32
TPM__PSMB10,32,2,0.32
TPM__ACAP1,32,0,0.32
METH__KRT18,32,0,0.32
TPM__RFTN1,32,0,0.32
TPM__MCF2L-AS1,32,2,0.32
TPM__ADCY6,31,1,0.31
METH__PLEKHA5,31,3,0.31
METH__DNAH6,31,2,0.31
METH__PKP2,31,0,0.31
METH__FZD8,31,0,0.31
METH__CCNJL,30,1,0.3
TPM__CCDC40,30,3,0.3
METH__PCLO,30,1,0.3
METH__LNPEP,29,0,0.29
METH__SASH3,29,0,0.29
TPM__C1orf226,29,2,0.29
METH__NPAS2,29,0,0.29
METH__STAT5A,29,0,0.29
METH__MLPH,29,4,0.29
METH__ATP6V1D,29,0,0.29
METH__ACLY,28,0,0.28
METH__PTPRB,28,0,0.28
METH__AP1M2,28,0,0.28
TPM__CACFD1,28,1,0.28
TPM__HLA-DOB,28,3,0.28
TPM__SPR,27,0,0.27
TPM__TRAF3IP3,27,1,0.27
TPM__DLGAP4-AS1,27,6,0.27
METH__CACNA2D1,27,2,0.27
METH__SPATA6,26,1,0.26
METH__FOXA1,26,0,0.26
METH__NLRP1,25,4,0.25
METH__HOOK1,25,0,0.25
TPM__INPP5D,25,0,0.25
METH__SEMA3C,25,0,0.25
METH__PNMA2,25,2,0.25
TPM__PIK3CD,25,3,0.25
METH__FERMT3,25,0,0.25
TPM__FMNL1,24,1,0.24
TPM__OCRL,24,0,0.24
TPM__HSD11B2,24,8,0.24
METH__LOC100125556,24,3,0.24
METH__TSPAN12,24,2,0.24
METH__MYH14,24,2,0.24
TPM__SCNN1A,24,0,0.24
TPM__RHOB,24,2,0.24
METH__CTSZ,23,0,0.23
TPM__EPB41L1,23,0,0.23
METH__PLEKHA1,23,0,0.23
METH__ARL4A,22,0,0.22
TPM__DAGLA,22,2,0.22
METH__LGMN,22,1,0.22
METH__MATN3,22,0,0.22
