feature,Selection count,Pair count,CPSS Score
TPM__VWA8,99,49,0.99
TPM__VAV3,98,48,0.98
TPM__TFF3,94,44,0.94
MUT__EGFR,94,44,0.94
TPM__STK32A,92,42,0.92
TPM__ADGRF4,84,34,0.84
TPM__KLF9,84,34,0.84
METH__MIR205,78,28,0.78
TPM__DYNLT3,77,27,0.77
METH__LHFPL2,73,23,0.73
TPM__APBB1,70,20,0.7
TPM__CNRIP1,69,20,0.69
TPM__MIR4458HG,69,19,0.69
TPM__ARMCX2,68,18,0.68
TPM__SLC7A5,68,18,0.68
METH__SLC1A5,68,18,0.68
TPM__HSD17B8,64,14,0.64
TPM__PLXND1,63,14,0.63
TPM__NID1,62,13,0.62
METH__PGAM5,61,13,0.61
METH__ALOX12,61,13,0.61
METH__CNN3,60,12,0.6
TPM__TBX3,57,9,0.57
TPM__FAM50A,56,8,0.56
TPM__VGF,56,8,0.56
METH__KRT5,56,7,0.56
TPM__DIXDC1,55,8,0.55
TPM__MACF1,55,8,0.55
TPM__NPR2,55,8,0.55
METH__CHST14,55,8,0.55
TPM__DGKA,54,5,0.54
TPM__KIF3A,53,9,0.53
TPM__SRGAP2B,53,7,0.53
TPM__FAM167B,53,6,0.53
TPM__ITGA10,53,7,0.53
TPM__H2BP1,52,9,0.52
TPM__TNS2,51,5,0.51
TPM__INPP5F,51,6,0.51
TPM__CNIH3,49,6,0.49
TPM__UGT1A6,49,4,0.49
TPM__SOX15,49,6,0.49
TPM__PRKD1,49,3,0.49
TPM__NLGN1,47,3,0.47
TPM__ANKRD33BP1,47,5,0.47
TPM__ELMO2,47,4,0.47
METH__FAM127C,46,3,0.46
METH__PLEKHO2,45,2,0.45
METH__MLPH,45,1,0.45
TPM__MAGED2,44,6,0.44
TPM__DGKI,44,3,0.44
METH__OSM,44,3,0.44
TPM__LSAMP,44,2,0.44
TPM__BOD1,43,3,0.43
TPM__IGFBP5,43,2,0.43
METH__PTK6,43,1,0.43
TPM__CUL4B,43,2,0.43
METH__G0S2,43,3,0.43
TPM__TNFAIP8,42,4,0.42
TPM__TTC22,42,1,0.42
TPM__NBPF9,42,3,0.42
TPM__HOXB5,41,1,0.41
TPM__HOXB2,41,3,0.41
TPM__DCLK1,41,1,0.41
TPM__DUOX1,41,2,0.41
METH__GPR81,40,2,0.4
TPM__RPS6KA1,40,3,0.4
METH__LMO3,39,1,0.39
TPM__LYN,39,0,0.39
METH__NKX6-2,39,1,0.39
TPM__TRPM8,39,1,0.39
TPM__TMEM108,39,3,0.39
TPM__HOXB3,37,0,0.37
TPM__EPB41L3,36,0,0.36
TPM__TXNDC15,35,2,0.35
TPM__PCDHB3,35,1,0.35
TPM__PEG10,35,1,0.35
TPM__PIP5K1C,35,1,0.35
TPM__FGD1,35,1,0.35
TPM__CADM1,34,2,0.34
METH__IL17RC,34,1,0.34
TPM__FARP1,34,0,0.34
METH__CCDC13,34,3,0.34
TPM__FAM83B,34,2,0.34
TPM__CD99L2,34,1,0.34
METH__SPRR4,33,0,0.33
TPM__CEP112,33,1,0.33
TPM__FRMD3,33,2,0.33
METH__MACC1,33,0,0.33
TPM__CIART,32,2,0.32
TPM__ALOX12P2,32,0,0.32
TPM__LY6D,32,0,0.32
METH__FGD4,32,2,0.32
TPM__FKBP7,32,0,0.32
TPM__MRAS,31,1,0.31
METH__TPD52L2,31,0,0.31
TPM__PCDHB9,30,1,0.3
TPM__ETV1,30,0,0.3
TPM__HCN2,30,0,0.3
METH__DGKA,30,0,0.3
TPM__DEF6,30,0,0.3
METH__TRIM29,30,0,0.3
METH__GNA15,30,0,0.3
TPM__NR2F1,30,0,0.3
TPM__TMEM102,30,1,0.3
