feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__TUFT1,100,50,1.0,0.23000000417232513,0.45,0.18,True,1.0
TPM__CD53,100,50,1.0,0.25999999046325684,-0.33,0.19,True,1.0
TPM__LURAP1L,100,50,1.0,0.10999999940395355,0.37,0.18,True,1.0
TPM__CORO1A,100,50,1.0,0.20999999344348907,-0.34,0.22,True,1.0
TPM__WAS,100,50,1.0,0.27000001072883606,-0.34,0.22,True,1.0
TPM__BCAR1,100,50,1.0,0.25999999046325684,0.41,0.18,True,1.0
METH__PPP1R16B,100,50,1.0,0.20000000298023224,0.33,0.17,True,1.0
TPM__STAC3,100,50,1.0,0.17000000178813934,-0.33,0.17,True,1.0
TPM__MET,100,50,1.0,0.2199999988079071,0.44,0.17,True,1.0
TPM__TJP1,100,50,1.0,0.2800000011920929,0.39,0.2,True,1.0
TPM__MIR142HG,100,50,1.0,0.27000001072883606,-0.36,0.23,True,1.0
TPM__DCK,100,50,1.0,0.25,-0.44,0.2,True,1.0
TPM__PTPN7,100,50,1.0,0.2800000011920929,-0.39,0.2,True,1.0
TPM__NCKAP1L,100,50,1.0,0.27000001072883606,-0.35,0.25,True,1.0
TPM__KRT18,99,49,0.99,0.2199999988079071,0.44,0.19,True,1.0
METH__BIN2,99,49,0.99,0.28999999165534973,0.36,0.19,True,1.0
METH__CCM2,99,49,0.99,0.28999999165534973,0.43,0.22,True,1.0
TPM__RCSD1,99,49,0.99,0.2800000011920929,-0.29,0.21,True,1.0
TPM__CTTN,98,48,0.98,0.27000001072883606,0.41,0.22,True,1.0
TPM__IKZF1,98,48,0.98,0.27000001072883606,-0.34,0.3,True,1.0
TPM__FKBP9,98,48,0.98,0.25,0.39,0.23,True,1.0
TPM__P2RY8,97,47,0.97,0.27000001072883606,-0.32,0.22,True,0.992
TPM__TMC8,97,47,0.97,0.1899999976158142,-0.28,0.17,True,0.992
TPM__FAM78A,97,47,0.97,0.23999999463558197,-0.4,0.2,True,0.992
TPM__ARHGAP15,97,47,0.97,0.30000001192092896,-0.41,0.2,True,0.992
TPM__TBC1D10C,96,46,0.96,0.23000000417232513,-0.25,0.18,True,0.832
TPM__IRAG2,95,45,0.95,0.25999999046325684,-0.34,0.18,True,0.458
TPM__TMEM131L,95,45,0.95,0.1899999976158142,-0.36,0.18,True,0.458
METH__LAMB2,95,45,0.95,0.20000000298023224,-0.21,0.18,True,0.458
TPM__ITGAV,94,44,0.94,0.1599999964237213,0.36,0.2,True,0.181
TPM__JARID2,94,44,0.94,0.07000000029802322,-0.27,0.2,True,0.181
METH__OSM,94,44,0.94,0.27000001072883606,0.42,0.22,True,0.181
METH__C9orf150,93,43,0.93,0.20999999344348907,-0.35,0.24,True,0.053
TPM__ARHGAP9,93,43,0.93,0.25999999046325684,-0.4,0.19,True,0.053
METH__PTPN7,93,43,0.93,0.25999999046325684,0.37,0.18,True,0.053
TPM__PDE1B,93,43,0.93,0.20999999344348907,-0.34,0.18,True,0.053
TPM__SDC4,92,42,0.92,0.1899999976158142,0.41,0.17,False,0.013
TPM__INPP5D,91,41,0.91,0.23000000417232513,-0.39,0.19,False,0.002
TPM__DOCK8,90,40,0.9,0.1599999964237213,-0.22,0.18,False,0.0
METH__RASAL2,90,40,0.9,0.1899999976158142,-0.36,0.18,False,0.0
TPM__CACNG4,89,39,0.89,0.07000000029802322,0.32,0.18,False,0.0
TPM__LYL1,88,38,0.88,0.23999999463558197,-0.31,0.2,False,0.0
TPM__WASL,87,39,0.87,0.18000000715255737,0.35,0.18,False,0.0
TPM__GPSM3,87,37,0.87,0.17000000178813934,-0.34,0.18,False,0.0
TPM__HCLS1,87,38,0.87,0.1899999976158142,-0.31,0.19,False,0.0
TPM__CSK,86,37,0.86,0.17000000178813934,-0.38,0.18,False,0.0
TPM__CD52,85,36,0.85,0.20999999344348907,-0.28,0.2,False,0.0
TPM__EVI2B,84,34,0.84,0.20000000298023224,-0.3,0.17,False,0.0
TPM__PIK3CG,84,34,0.84,0.25,-0.35,0.25,False,0.0
TPM__YAP1,83,34,0.83,0.1899999976158142,0.34,0.2,False,0.0
METH__GULP1,80,32,0.8,0.20000000298023224,-0.3,0.18,False,0.0
METH__AGAP2,80,32,0.8,0.20000000298023224,-0.32,0.21,False,0.0
TPM__MFNG,79,31,0.79,0.18000000715255737,-0.25,0.18,False,0.0
TPM__FLI1,79,30,0.79,0.17000000178813934,-0.3,0.23,False,0.0
TPM__KIAA1671,77,27,0.77,0.15000000596046448,0.34,0.17,False,0.0
TPM__CD63,76,27,0.76,0.14000000059604645,0.34,0.18,False,0.0
METH__MGAT1,75,27,0.75,0.20999999344348907,0.37,0.17,False,0.0
TPM__APBB1IP,75,28,0.75,0.1599999964237213,-0.23,0.18,False,0.0
TPM__RHOH,74,24,0.74,0.20999999344348907,-0.35,0.18,False,0.0
METH__EIF3K,73,26,0.73,0.2199999988079071,0.39,0.18,False,0.0
METH__NEIL2,71,22,0.71,0.20999999344348907,0.41,0.19,False,0.0
METH__PKP2,67,19,0.67,0.14000000059604645,-0.35,0.18,False,0.0
TPM__PPFIBP1,63,22,0.63,0.09000000357627869,0.26,0.18,False,0.0
METH__MAP4K1,62,16,0.62,0.2199999988079071,0.4,0.22,False,0.0
METH__RAC2,56,12,0.56,0.10000000149011612,0.37,0.16,False,0.0
METH__MIPOL1,56,14,0.56,0.17000000178813934,-0.28,0.18,False,0.0
METH__HSP90AA1,55,11,0.55,0.17000000178813934,0.34,0.19,False,0.0
METH__SASH1,55,14,0.55,0.18000000715255737,-0.28,0.17,False,0.0
METH__TMEM149,55,13,0.55,0.2199999988079071,0.35,0.18,False,0.0
TPM__SLC19A3,49,10,0.49,0.019999999552965164,0.3,0.2,False,0.0
METH__TMC6,45,8,0.45,0.12999999523162842,0.28,0.19,False,0.013
METH__NRP1,43,7,0.43,0.14000000059604645,-0.28,0.18,True,0.053
METH__SUOX,40,9,0.4,0.11999999731779099,-0.23,0.2,False,0.002
METH__CCDC12,37,4,0.37,0.20999999344348907,-0.32,0.17,True,0.832
CNV__HGF,35,5,0.35,0.019999999552965164,0.2,0.18,True,0.458
METH__C14orf166,33,7,0.33,0.10000000149011612,-0.19,0.18,True,0.053
CNV__LPP,31,2,0.31,0.05999999865889549,0.28,0.17,True,1.0
CNV__PAK2,30,3,0.3,0.05999999865889549,0.29,0.19,True,0.992
METH__CORO1B,29,2,0.29,0.10000000149011612,0.29,0.17,True,1.0
METH__ITGB8,29,4,0.29,0.12999999523162842,-0.27,0.18,True,0.832
METH__PRIC285,28,6,0.28,0.20000000298023224,0.38,0.18,True,0.181
METH__TMEM51,27,1,0.27,0.12999999523162842,-0.21,0.17,True,1.0
METH__TEAD1,27,1,0.27,0.18000000715255737,-0.25,0.18,True,1.0
METH__RNASEH2B,26,1,0.26,0.07000000029802322,0.23,0.2,True,1.0
CNV__HIP1,25,2,0.25,0.029999999329447746,0.2,0.18,True,1.0
METH__FAT1,25,1,0.25,0.1599999964237213,-0.29,0.19,True,1.0
METH__EIF4G2,25,0,0.25,0.0,0.02,0.18,False,
METH__ZNF395,24,2,0.24,0.10999999940395355,-0.33,0.18,True,1.0
CNV__ABCB1,24,2,0.24,0.019999999552965164,0.21,0.17,True,1.0
TPM__RNA5SP187,24,0,0.24,0.029999999329447746,-0.15,0.19,False,
CNV__GTF2I,23,2,0.23,0.019999999552965164,0.2,0.19,True,1.0
METH__C1orf126,23,1,0.23,0.12999999523162842,-0.2,0.18,True,1.0
CNV__TBL1XR1,22,1,0.22,0.05000000074505806,0.28,0.17,True,1.0
CNV__TP63,20,1,0.2,0.05999999865889549,0.28,0.18,True,1.0
CNV__MB21D2,20,0,0.2,0.05999999865889549,0.28,0.2,False,
METH__TOP2A,19,0,0.19,0.10000000149011612,-0.22,0.18,False,
CNV__MLF1,18,1,0.18,0.05000000074505806,0.27,0.18,True,1.0
CNV__ELN,18,2,0.18,0.029999999329447746,0.21,0.19,True,1.0
TPM__SNORA80A,18,0,0.18,0.0,0.04,0.17,False,
METH__RAG1AP1,17,1,0.17,0.10000000149011612,-0.18,0.18,True,1.0
METH__AP2A1,15,0,0.15,0.05999999865889549,-0.21,0.18,False,
METH__IL15,15,0,0.15,0.10000000149011612,-0.23,0.17,False,
TPM__RNA5SP216,15,0,0.15,0.0,0.02,0.19,False,
TPM__SNORD10,15,0,0.15,0.0,-0.01,0.18,False,
METH__LRIG3,15,0,0.15,0.20000000298023224,-0.27,0.18,False,
METH__AP1B1,14,0,0.14,0.12999999523162842,0.27,0.19,False,
METH__TEAD4,13,1,0.13,0.10999999940395355,-0.23,0.2,True,1.0
METH__DNAJC16,13,0,0.13,0.009999999776482582,0.03,0.18,False,
METH__DSTN,13,0,0.13,0.1599999964237213,-0.29,0.21,False,
METH__ISOC1,13,0,0.13,0.0,0.01,0.17,False,
METH__KLF4,12,1,0.12,0.12999999523162842,-0.27,0.19,True,1.0
CNV__POLQ,12,0,0.12,0.05000000074505806,0.25,0.19,False,
CNV__PPP6C,11,1,0.11,0.05000000074505806,0.24,0.18,True,1.0
METH__PTGFRN,11,0,0.11,0.15000000596046448,-0.27,0.19,False,
CNV__PTPRB,11,0,0.11,0.009999999776482582,0.25,0.19,False,
METH__U2AF1L4,11,1,0.11,0.12999999523162842,0.31,0.2,True,1.0
METH__ZNF697,11,0,0.11,0.18000000715255737,-0.22,0.17,False,
CNV__KRAS,11,0,0.11,0.009999999776482582,0.26,0.19,False,
CNV__PPFIBP1,11,0,0.11,0.029999999329447746,0.24,0.19,False,
METH__PPIC,10,1,0.1,0.1599999964237213,-0.29,0.18,True,1.0
CNV__RAD51C,9,0,0.09,0.03999999910593033,0.25,0.19,False,
CNV__PPM1D,8,0,0.08,0.029999999329447746,0.24,0.18,False,
MUT__BRAF,8,0,0.08,0.0,-0.02,0.18,False,
METH__CTSZ,8,0,0.08,0.14000000059604645,0.2,0.21,False,
CNV__KMT2D,8,0,0.08,0.029999999329447746,0.22,0.17,False,
