feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__DSTN,100,50,1.0,0.05999999865889549,-0.25,0.2,True,1.0
METH__PTPN14,100,50,1.0,0.03999999910593033,-0.26,0.21,True,1.0
METH__ANXA11,98,48,0.98,0.029999999329447746,-0.25,0.21,True,1.0
METH__TCEANC,96,46,0.96,0.019999999552965164,-0.22,0.2,True,0.832
METH__EIF4E,96,46,0.96,0.03999999910593033,-0.19,0.2,True,0.832
METH__EEF2K,96,46,0.96,0.03999999910593033,-0.21,0.2,True,0.832
METH__SUOX,95,45,0.95,0.05000000074505806,-0.22,0.24,True,0.458
METH__C14orf147,94,44,0.94,0.05999999865889549,-0.17,0.23,True,0.181
CNV__AKT1,94,44,0.94,0.019999999552965164,0.22,0.21,True,0.181
METH__ZNF697,89,40,0.89,0.03999999910593033,-0.18,0.19,False,0.0
CNV__TBL1XR1,87,37,0.87,0.03999999910593033,0.24,0.21,False,0.0
CNV__NBN,87,38,0.87,0.019999999552965164,0.18,0.21,False,0.0
METH__ARMC10,83,33,0.83,0.03999999910593033,-0.21,0.21,False,0.0
CNV__NIN,83,33,0.83,0.03999999910593033,0.23,0.2,False,0.0
METH__TPX2,81,31,0.81,0.05999999865889549,-0.15,0.21,False,0.0
METH__PPP2R2D,81,31,0.81,0.009999999776482582,0.09,0.2,False,0.0
METH__TEAD4,81,31,0.81,0.019999999552965164,-0.19,0.21,False,0.0
METH__KDM4D,80,31,0.8,0.03999999910593033,-0.14,0.21,False,0.0
CNV__BIRC6,78,29,0.78,0.009999999776482582,0.18,0.2,False,0.0
METH__C10orf114,78,29,0.78,0.009999999776482582,-0.12,0.21,False,0.0
METH__SUPT6H,77,29,0.77,0.029999999329447746,-0.14,0.2,False,0.0
CNV__TRAF3,77,29,0.77,0.019999999552965164,0.22,0.23,False,0.0
CNV__TCL1A,77,27,0.77,0.029999999329447746,0.22,0.21,False,0.0
CNV__PTPRB,73,23,0.73,0.019999999552965164,0.17,0.2,False,0.0
CNV__XPO1,73,23,0.73,0.019999999552965164,0.2,0.24,False,0.0
CNV__MSH2,71,21,0.71,0.03999999910593033,0.2,0.21,False,0.0
TPM__CSAG4,71,27,0.71,0.0,0.04,0.19,False,0.0
CNV__PIK3CA,69,22,0.69,0.03999999910593033,0.24,0.23,False,0.0
CNV__MECOM,69,22,0.69,0.03999999910593033,0.23,0.24,False,0.0
METH__ILVBL,69,21,0.69,0.009999999776482582,-0.1,0.21,False,0.0
CNV__SIX1,69,23,0.69,0.03999999910593033,0.23,0.21,False,0.0
METH__DNAL4,68,20,0.68,0.019999999552965164,-0.12,0.21,False,0.0
METH__GMFB,67,19,0.67,0.019999999552965164,-0.09,0.19,False,0.0
CNV__STRN,67,19,0.67,0.029999999329447746,0.19,0.21,False,0.0
METH__LOC81691,67,18,0.67,0.03999999910593033,-0.16,0.2,False,0.0
CNV__HSP90AA1,65,19,0.65,0.019999999552965164,0.21,0.24,False,0.0
