feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.11999999731779099,0.33,0.1,True,1.0
TPM__CRACR2A,95,45,0.95,0.10999999940395355,-0.33,0.12,True,0.458
TPM__LINC00511,83,33,0.83,0.15000000596046448,0.4,0.09,False,0.0
TPM__CARD10,82,32,0.82,0.10999999940395355,0.32,0.11,False,0.0
TPM__FRAT2,79,29,0.79,0.10000000149011612,-0.31,0.07,False,0.0
METH__MIR150,78,28,0.78,0.11999999731779099,0.33,0.12,False,0.0
TPM__FN1,78,29,0.78,0.11999999731779099,0.38,0.1,False,0.0
METH__LOC100130776,74,24,0.74,0.11999999731779099,-0.29,0.13,False,0.0
TPM__LAMB1,74,24,0.74,0.10999999940395355,0.33,0.09,False,0.0
TPM__RASAL2-AS1,74,24,0.74,0.11999999731779099,0.37,0.13,False,0.0
TPM__CHMP3,70,20,0.7,0.11999999731779099,0.37,0.13,False,0.0
TPM__RGL3,70,21,0.7,0.11999999731779099,0.36,0.12,False,0.0
TPM__ADAM9,68,18,0.68,0.18000000715255737,0.44,0.1,False,0.0
TPM__PEA15,68,18,0.68,0.11999999731779099,0.35,0.08,False,0.0
TPM__EVA1A,65,15,0.65,0.1599999964237213,0.42,0.1,False,0.0
TPM__BCL11A,64,15,0.64,0.10999999940395355,-0.31,0.12,False,0.0
TPM__SEMA3C,64,16,0.64,0.10000000149011612,0.31,0.13,False,0.0
TPM__POLR1H,63,14,0.63,0.11999999731779099,-0.34,0.06,False,0.0
TPM__SLC4A3,63,13,0.63,0.10999999940395355,0.34,0.09,False,0.0
TPM__RCC2,62,12,0.62,0.09000000357627869,-0.31,0.11,False,0.0
TPM__CDT1,61,16,0.61,0.10000000149011612,-0.33,0.07,False,0.0
METH__NLRP14,61,15,0.61,0.10999999940395355,-0.31,0.11,False,0.0
TPM__P4HA2,61,12,0.61,0.10000000149011612,0.33,0.07,False,0.0
METH__PROCA1,60,11,0.6,0.10999999940395355,0.31,0.13,False,0.0
TPM__GRAMD2B,58,9,0.58,0.14000000059604645,0.39,0.11,False,0.002
TPM__PLXNB3,58,11,0.58,0.10999999940395355,0.34,0.09,False,0.0
METH__IFITM1,57,9,0.57,0.10000000149011612,0.31,0.07,False,0.002
TPM__RPL10A,56,6,0.56,0.10000000149011612,-0.33,0.09,True,0.181
TPM__NFATC3,56,10,0.56,0.10000000149011612,-0.3,0.1,False,0.0
TPM__BTC,55,7,0.55,0.10000000149011612,0.34,0.14,True,0.053
METH__LAPTM4A,55,8,0.55,0.10999999940395355,-0.3,0.22,False,0.013
METH__FAIM3,54,8,0.54,0.11999999731779099,0.33,0.12,False,0.013
TPM__CLIP1,54,6,0.54,0.10000000149011612,0.34,0.12,True,0.181
TPM__ZCCHC3,53,7,0.53,0.10000000149011612,-0.33,0.04,True,0.053
TPM__THBS1,52,8,0.52,0.14000000059604645,0.39,0.11,False,0.013
TPM__CCDC69,52,6,0.52,0.10999999940395355,-0.3,0.12,True,0.181
TPM__LHFPL2,51,5,0.51,0.10000000149011612,0.33,0.11,True,0.458
TPM__SPATS2L,51,6,0.51,0.15000000596046448,0.39,0.18,True,0.181
TPM__UACA,51,4,0.51,0.11999999731779099,0.35,0.09,True,0.832
METH__C15orf52,50,6,0.5,0.10000000149011612,-0.28,0.09,True,0.181
TPM__PRXL2C,50,7,0.5,0.10000000149011612,0.3,0.06,True,0.053
METH__CARD8,50,5,0.5,0.11999999731779099,0.33,0.1,True,0.458
METH__IL2RB,50,4,0.5,0.10000000149011612,0.32,0.08,True,0.832
METH__NLRC3,49,5,0.49,0.10000000149011612,0.25,0.17,True,0.458
METH__ERRFI1,49,6,0.49,0.12999999523162842,-0.37,0.12,True,0.181
METH__CASZ1,49,5,0.49,0.10000000149011612,-0.26,0.09,True,0.458
TPM__CRYZL2P,49,4,0.49,0.10000000149011612,0.34,0.14,True,0.832
METH__BTBD16,48,4,0.48,0.10000000149011612,0.31,0.05,True,0.832
TPM__MRPS18AP1,48,6,0.48,0.10000000149011612,-0.3,0.13,True,0.181
METH__CD160,48,3,0.48,0.10000000149011612,0.31,0.12,True,0.992
TPM__CTSL,47,1,0.47,0.10999999940395355,0.34,0.14,True,1.0
METH__HSPBP1,46,4,0.46,0.10000000149011612,0.31,0.06,True,0.832
TPM__FLI1,46,3,0.46,0.10000000149011612,-0.27,0.17,True,0.992
TPM__RAI14,46,3,0.46,0.11999999731779099,0.34,0.11,True,0.992
TPM__GPAT3,44,6,0.44,0.11999999731779099,0.37,0.1,True,0.181
TPM__SNX7,44,4,0.44,0.10999999940395355,0.32,0.1,True,0.832
TPM__AGAP2,43,2,0.43,0.15000000596046448,-0.4,0.13,True,1.0
METH__TBC1D10C,42,4,0.42,0.10999999940395355,0.34,0.14,True,0.832
METH__GCET2,42,2,0.42,0.11999999731779099,0.33,0.03,True,1.0
TPM__ANKRD1,41,3,0.41,0.10999999940395355,0.37,0.13,True,0.992
TPM__PRKAG2,41,3,0.41,0.11999999731779099,0.34,0.11,True,0.992
TPM__AOPEP,40,1,0.4,0.10000000149011612,0.33,0.14,True,1.0
TPM__CDC14B,40,2,0.4,0.11999999731779099,0.3,0.14,True,1.0
TPM__KDM2B,40,1,0.4,0.12999999523162842,-0.36,0.08,True,1.0
TPM__BMS1P23,40,3,0.4,0.14000000059604645,0.4,0.16,True,0.992
TPM__NRBP2,40,0,0.4,0.10000000149011612,0.31,0.09,False,
TPM__WWC2,39,2,0.39,0.10000000149011612,0.3,0.08,True,1.0
TPM__ABLIM3,39,1,0.39,0.10999999940395355,0.38,0.13,True,1.0
TPM__ARHGEF28,39,1,0.39,0.10000000149011612,0.33,0.12,True,1.0
METH__SNX7,38,2,0.38,0.10999999940395355,-0.33,0.12,True,1.0
TPM__DOCK5,38,1,0.38,0.10000000149011612,0.31,0.09,True,1.0
TPM__CLIP4,38,1,0.38,0.11999999731779099,0.32,0.11,True,1.0
TPM__PTPN21,38,0,0.38,0.10000000149011612,0.31,0.14,False,
TPM__MIR22HG,37,1,0.37,0.10999999940395355,0.35,0.1,True,1.0
METH__MAP1LC3B2,37,2,0.37,0.11999999731779099,0.31,0.14,True,1.0
TPM__PSAP,37,1,0.37,0.10999999940395355,0.37,0.1,True,1.0
TPM__CRIM1-DT,37,1,0.37,0.12999999523162842,0.37,0.08,True,1.0
METH__FERMT3,37,1,0.37,0.12999999523162842,0.36,0.11,True,1.0
TPM__KDELR3,36,0,0.36,0.11999999731779099,0.36,0.07,False,
TPM__NPAS2,36,0,0.36,0.11999999731779099,0.36,0.1,False,
TPM__SGMS2,36,0,0.36,0.11999999731779099,0.33,0.08,False,
TPM__RBPMS-AS1,36,1,0.36,0.10999999940395355,0.39,0.13,True,1.0
TPM__FCHO1,36,4,0.36,0.10000000149011612,-0.33,0.11,True,0.832
TPM__TRNP1,36,4,0.36,0.11999999731779099,0.37,0.13,True,0.832
TPM__AMIGO2,36,1,0.36,0.10999999940395355,0.34,0.1,True,1.0
TPM__FRAT1,35,2,0.35,0.10000000149011612,-0.31,0.09,True,1.0
METH__MIR21,35,1,0.35,0.10000000149011612,-0.33,0.11,True,1.0
TPM__NPTN,34,0,0.34,0.10000000149011612,0.35,0.06,False,
TPM__GPR39,34,0,0.34,0.11999999731779099,0.36,0.11,False,
TPM__SMAP2,34,0,0.34,0.10000000149011612,-0.31,0.13,False,
METH__YOD1,34,1,0.34,0.14000000059604645,-0.37,0.12,True,1.0
METH__MGAT1,34,1,0.34,0.12999999523162842,0.33,0.1,True,1.0
TPM__PAM,33,0,0.33,0.10999999940395355,0.35,0.1,False,
TPM__ENC1,33,1,0.33,0.10999999940395355,0.32,0.06,True,1.0
TPM__RBMS2,33,1,0.33,0.10000000149011612,0.31,0.08,True,1.0
METH__C13orf29,33,0,0.33,0.14000000059604645,-0.36,0.14,False,
TPM__CTSD,32,0,0.32,0.10000000149011612,0.36,0.11,False,
TPM__FUCA2,32,1,0.32,0.10000000149011612,0.32,0.05,True,1.0
TPM__TNS2,32,0,0.32,0.10999999940395355,0.37,0.13,False,
TPM__SHB,32,0,0.32,0.10000000149011612,0.31,0.08,False,
TPM__GDF15,31,0,0.31,0.10000000149011612,0.34,0.07,False,
TPM__MARS2,31,1,0.31,0.09000000357627869,-0.32,0.08,True,1.0
TPM__DSTN,31,1,0.31,0.10000000149011612,0.36,0.11,True,1.0
