feature,Selection count,Pair count,CPSS Score
TPM__NCKAP1L,100,50,1.0
METH__LMCD1,100,50,1.0
TPM__MIR142HG,100,50,1.0
METH__ZNF697,100,50,1.0
METH__GPR39,100,50,1.0
TPM__PTPRC,100,50,1.0
TPM__PKD1L2,100,50,1.0
TPM__SLC66A1LP,100,50,1.0
METH__PTPN14,100,50,1.0
METH__KLF4,100,50,1.0
TPM__THBS1,100,50,1.0
TPM__IKZF1,100,50,1.0
METH__ARHGAP5,100,50,1.0
METH__GPAA1,100,50,1.0
TPM__EPHA2-AS1,100,50,1.0
METH__EFNA5,100,50,1.0
METH__TMEM49,99,49,0.99
METH__C6orf217,99,49,0.99
METH__RAPH1,99,49,0.99
METH__ZNF414,99,49,0.99
METH__LRP6,93,43,0.93
METH__IFT20,90,40,0.9
METH__LRBA,88,38,0.88
METH__PCCA,87,37,0.87
METH__MIR1915,83,34,0.83
METH__SF3B4,79,30,0.79
METH__USP12,77,27,0.77
METH__OAZ1,76,26,0.76
METH__GPN3,69,21,0.69
CNV__APOBEC3B,66,17,0.66
METH__NUDCD3,66,21,0.66
METH__XPR1,65,18,0.65
METH__GORASP1,63,19,0.63
METH__KLF6,62,17,0.62
CNV__BIRC3,61,16,0.61
METH__AGPHD1,61,16,0.61
METH__SREBF2,58,12,0.58
METH__SKI,56,11,0.56
CNV__EP300,54,10,0.54
METH__DCAF12,53,8,0.53
CNV__SDHB,51,9,0.51
METH__ANP32A,51,10,0.51
CNV__FOXA2,51,11,0.51
CNV__FAT3,47,9,0.47
METH__ERCC3,47,8,0.47
CNV__NTRK1,46,12,0.46
CNV__MAML2,45,8,0.45
CNV__ARHGEF12,45,7,0.45
METH__C12orf47,43,11,0.43
METH__POLRMT,42,7,0.42
CNV__XPO1,41,7,0.41
METH__MFAP3,41,6,0.41
CNV__LCK,41,3,0.41
CNV__SDHAF2,39,8,0.39
CNV__CRNKL1,39,3,0.39
METH__WDR3,39,7,0.39
METH__MAPKAPK5,38,7,0.38
METH__AP2M1,38,2,0.38
CNV__PCBP1,37,7,0.37
CNV__ARHGEF10L,37,8,0.37
CNV__SIRPA,37,8,0.37
CNV__NF2,36,1,0.36
METH__RHOT1,36,1,0.36
CNV__PAX7,36,7,0.36
CNV__MTOR,35,3,0.35
CNV__KLF6,34,6,0.34
CNV__EWSR1,34,3,0.34
CNV__NSD1,32,5,0.32
CNV__MRTFA,31,2,0.31
METH__C14orf79,31,5,0.31
CNV__LRIG3,30,3,0.3
METH__HIPK1,30,4,0.3
CNV__SPEN,30,3,0.3
CNV__KDR,29,6,0.29
CNV__PDGFB,29,2,0.29
CNV__HSPG2,29,3,0.29
CNV__PRKACA,29,5,0.29
CNV__FBLN1,28,1,0.28
METH__MIR1237,27,2,0.27
CNV__GAS7,27,5,0.27
METH__PPP1R12A,27,2,0.27
CNV__SMARCA4,27,2,0.27
CNV__ZNRF3,27,3,0.27
CNV__MN1,26,1,0.26
CNV__SDHC,26,1,0.26
CNV__KEAP1,26,1,0.26
CNV__MAP2K4,26,4,0.26
CNV__EPS15,26,2,0.26
METH__CSTB,26,2,0.26
CNV__HOXD13,25,3,0.25
CNV__CASZ1,25,2,0.25
CNV__STK11,24,1,0.24
CNV__ZBTB16,24,2,0.24
METH__SF1,24,2,0.24
CNV__NFE2L2,24,2,0.24
CNV__BARD1,24,2,0.24
CNV__GLI1,23,2,0.23
CNV__DICER1,22,1,0.22
CNV__BCL11A,22,1,0.22
CNV__ERCC3,22,1,0.22
CNV__FBXO11,22,1,0.22
CNV__BCL11B,22,5,0.22
CNV__NEFH,22,0,0.22
CNV__IDH1,22,2,0.22
CNV__EFTUD2,21,0,0.21
CNV__SPOP,21,2,0.21
CNV__PLCB4,21,0,0.21
METH__CWC22,21,0,0.21
CNV__STAT6,21,1,0.21
CNV__RABEP1,21,2,0.21
CNV__FANCL,20,2,0.2
CNV__FLCN,20,3,0.2
CNV__MUC1,20,2,0.2
CNV__HOXD11,20,3,0.2
METH__STK11,20,0,0.2
METH__ZFAND3,20,0,0.2
CNV__TRAF3,19,2,0.19
CNV__HLF,19,3,0.19
METH__FOXO3,19,1,0.19
CNV__TRIP11,19,1,0.19
METH__SKIV2L2,19,0,0.19
CNV__MSI2,19,1,0.19
METH__SYAP1,18,1,0.18
METH__TMEM18,18,0,0.18
CNV__CHEK2,18,2,0.18
CNV__CDK12,18,0,0.18
CNV__SFPQ,18,3,0.18
CNV__HTRA2,18,1,0.18
CNV__FLT4,17,2,0.17
CNV__LASP1,17,1,0.17
CNV__SUZ12,17,1,0.17
CNV__RBFOX2,17,1,0.17
CNV__TLL1,17,1,0.17
METH__CCNG1,17,1,0.17
CNV__EZR,17,3,0.17
METH__PNN,17,0,0.17
CNV__NCOR2,16,1,0.16
CNV__ACVR1,16,2,0.16
CNV__IKZF3,16,0,0.16
CNV__USP6,16,1,0.16
CNV__FAT1,16,1,0.16
CNV__NAB2,16,2,0.16
CNV__SF3B1,16,0,0.16
CNV__POLD1,16,0,0.16
CNV__PER1,16,1,0.16
CNV__TBX3,15,1,0.15
CNV__SOX9,15,2,0.15
CNV__TCF12,15,0,0.15
METH__RBM14,15,0,0.15
CNV__EML4,15,2,0.15
CNV__EPAS1,15,1,0.15
CNV__TAL1,15,0,0.15
CNV__STAT5B,15,0,0.15
CNV__RRAGC,15,1,0.15
METH__SLC35F5,15,1,0.15
CNV__FANCI,14,1,0.14
METH__ZNF33A,14,0,0.14
CNV__FN1,14,0,0.14
CNV__STAT3,14,0,0.14
CNV__AXIN1,14,0,0.14
CNV__MYH9,14,1,0.14
METH__WNK1,14,0,0.14
CNV__MCM3AP,14,0,0.14
