feature,Selection count,Pair count,CPSS Score
METH__KLHL29,100,50,1.0
METH__C7orf70,100,50,1.0
METH__AGPHD1,100,50,1.0
METH__LNPEP,100,50,1.0
TPM__MIR142HG,100,50,1.0
CNV__CLTCL1,93,43,0.93
CNV__KRAS,91,42,0.91
METH__LRRC1,90,40,0.9
METH__CAPN10,83,33,0.83
CNV__DGCR8,81,31,0.81
CNV__LZTR1,81,31,0.81
CNV__FBLN1,80,30,0.8
CNV__FGFR1,74,24,0.74
METH__ZNF574,67,23,0.67
CNV__NSD3,65,18,0.65
METH__C19orf42,65,17,0.65
METH__EIF2B5,62,17,0.62
METH__TM9SF2,61,14,0.61
CNV__NSD1,58,15,0.58
CNV__ACVR1,58,16,0.58
CNV__NPM1,57,15,0.57
CNV__EGFR,56,10,0.56
CNV__RBFOX2,55,10,0.55
CNV__EWSR1,55,14,0.55
METH__CCAR1,55,15,0.55
CNV__STRN,54,12,0.54
CNV__NUMA1,54,12,0.54
CNV__MAPK1,53,11,0.53
CNV__HOOK3,53,11,0.53
CNV__ARHGAP26,51,8,0.51
CNV__TLX3,50,11,0.5
METH__RPS25,49,9,0.49
CNV__MSI2,48,9,0.48
CNV__SBDS,47,8,0.47
CNV__TCIRG1,46,7,0.46
CNV__MECOM,45,6,0.45
CNV__KEL,45,10,0.45
CNV__KAT6A,45,8,0.45
CNV__ELN,45,11,0.45
CNV__BCR,45,5,0.45
CNV__MAP2,45,5,0.45
CNV__EBF1,43,8,0.43
CNV__FAT2,43,9,0.43
CNV__PDGFRB,43,9,0.43
CNV__HEY1,43,9,0.43
CNV__SOS1,42,7,0.42
CNV__RELA,42,7,0.42
CNV__SOX9,42,8,0.42
CNV__FEV,40,7,0.4
CNV__DDB2,40,7,0.4
METH__PTCD2,40,1,0.4
CNV__FGFR4,38,3,0.38
CNV__HIP1,38,11,0.38
CNV__ARHGAP5,36,1,0.36
METH__CSTB,36,9,0.36
CNV__PAX3,36,5,0.36
CNV__FLT4,35,3,0.35
CNV__FSTL3,35,1,0.35
CNV__POT1,35,6,0.35
CNV__CASZ1,34,2,0.34
CNV__COL1A1,34,3,0.34
CNV__IKBKB,34,5,0.34
METH__PCF11,32,2,0.32
CNV__HERC2,32,3,0.32
CNV__FUS,32,0,0.32
CNV__TMEM127,32,5,0.32
CNV__GNAQ,32,3,0.32
CNV__ETV5,32,5,0.32
METH__CENPC1,32,6,0.32
CNV__CHEK2,32,4,0.32
CNV__ZNF780A,32,2,0.32
CNV__PIK3R1,32,3,0.32
CNV__NCOA4,31,2,0.31
CNV__SPEN,31,1,0.31
CNV__RHPN2,31,6,0.31
CNV__HTRA2,31,2,0.31
CNV__EPHA3,31,2,0.31
CNV__ZEB1,30,3,0.3
CNV__CUL3,30,1,0.3
CNV__CHD4,30,3,0.3
CNV__CYLD,29,3,0.29
CNV__GLI1,29,3,0.29
CNV__ACSL3,29,1,0.29
CNV__CD74,29,5,0.29
CNV__TP63,29,4,0.29
METH__PPTC7,29,4,0.29
CNV__SOCS1,29,2,0.29
CNV__ZNRF3,29,4,0.29
CNV__NFKBIA,28,2,0.28
CNV__RET,28,2,0.28
CNV__XPC,28,3,0.28
CNV__ATIC,28,1,0.28
CNV__CEBPA,27,3,0.27
CNV__ELL,27,2,0.27
CNV__SATB1,27,1,0.27
METH__RPRD1A,27,0,0.27
CNV__ERBB3,27,1,0.27
CNV__AKT2,27,2,0.27
CNV__MTOR,27,3,0.27
METH__NSUN3,27,0,0.27
CNV__PPM1D,26,2,0.26
CNV__ATF1,26,1,0.26
CNV__UBE2D2,26,2,0.26
METH__DHFRL1,26,0,0.26
CNV__RNF43,26,1,0.26
CNV__BCL11A,26,3,0.26
CNV__RAD51C,26,3,0.26
CNV__GTF2I,25,1,0.25
CNV__TGFBR2,25,2,0.25
METH__PPP1R10,25,0,0.25
CNV__LPP,25,3,0.25
CNV__FANCC,25,5,0.25
CNV__PPARG,25,3,0.25
CNV__BLM,25,1,0.25
CNV__PARP4,25,4,0.25
METH__USP1,25,4,0.25
CNV__ERCC3,24,2,0.24
CNV__WNK2,24,1,0.24
METH__KHDRBS1,24,3,0.24
CNV__MYCN,24,3,0.24
CNV__WWTR1,24,0,0.24
CNV__RASA1,24,3,0.24
METH__C2orf24,24,3,0.24
CNV__VHL,23,3,0.23
CNV__FANCM,23,1,0.23
CNV__PAX8,22,2,0.22
CNV__POLE,22,2,0.22
CNV__USP44,22,0,0.22
METH__DDHD2,22,0,0.22
METH__DCUN1D5,21,3,0.21
CNV__TGIF1,21,3,0.21
CNV__CRTC1,21,2,0.21
CNV__ERBB2,21,2,0.21
CNV__SMARCB1,21,1,0.21
CNV__CPEB3,21,2,0.21
METH__ANKRD13B,20,1,0.2
CNV__PTPN6,20,2,0.2
CNV__AJUBA,20,1,0.2
CNV__TCF3,20,1,0.2
CNV__FANCF,20,0,0.2
CNV__DCTN1,20,0,0.2
CNV__ACVR2A,20,2,0.2
CNV__DTX1,19,0,0.19
CNV__PTCH1,19,1,0.19
CNV__CHD2,19,1,0.19
CNV__ID3,19,0,0.19
CNV__MEN1,19,1,0.19
CNV__SMARCD1,19,1,0.19
CNV__DNMT3A,19,1,0.19
CNV__NKX2-1,19,0,0.19
CNV__FAS,18,1,0.18
CNV__BCL7A,18,1,0.18
CNV__CCND2,18,1,0.18
CNV__NCOA1,18,1,0.18
METH__DCTN3,18,1,0.18
CNV__CLIP1,18,1,0.18
CNV__NIN,18,1,0.18
CNV__SRGAP3,17,0,0.17
CNV__KTN1,17,1,0.17
METH__SART1,17,0,0.17
METH__ZADH2,17,1,0.17
CNV__MLF1,17,2,0.17
CNV__PRKACA,17,0,0.17
CNV__NKTR,17,2,0.17
METH__RPS27,17,1,0.17
CNV__ALK,17,0,0.17
CNV__CDK12,16,0,0.16
CNV__FES,16,0,0.16
CNV__NXF1,16,1,0.16
CNV__NTRK3,16,2,0.16
CNV__CREBBP,16,0,0.16
METH__NFYA,16,0,0.16
CNV__CTNNB1,16,1,0.16
CNV__SDHAF2,16,1,0.16
CNV__NR4A3,15,1,0.15
METH__HNRNPD,15,0,0.15
CNV__HLF,15,0,0.15
CNV__RHOH,15,3,0.15
CNV__BCL2L12,15,1,0.15
CNV__PML,15,1,0.15
CNV__WT1,15,0,0.15
CNV__FOXA1,15,1,0.15
CNV__WDCP,15,0,0.15
CNV__APC,15,1,0.15
CNV__DNAJB1,15,1,0.15
CNV__LRP1B,15,1,0.15
CNV__TET1,14,0,0.14
CNV__CXCR4,14,0,0.14
CNV__MYD88,14,0,0.14
CNV__RRAS2,14,0,0.14
CNV__ETNK1,14,1,0.14
CNV__PRR14,14,0,0.14
CNV__SIN3A,14,0,0.14
CNV__TAL2,14,2,0.14
METH__SUV420H2,14,0,0.14
CNV__CCNE1,14,1,0.14
CNV__KMT2B,13,1,0.13
CNV__EGR2,13,0,0.13
CNV__FANCD2,13,0,0.13
METH__RBPJ,13,1,0.13
CNV__MLLT1,13,0,0.13
CNV__TEC,13,0,0.13
CNV__SP140,13,0,0.13
CNV__RMI2,13,0,0.13
