feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__MIR142,100,50,1.0,0.27000001072883606,0.39,0.24,True,1.0,unimodal,0.7,True
TPM__KRT18,100,50,1.0,0.3100000023841858,0.55,0.24,True,1.0,unimodal,0.7,True
TPM__C19orf33,100,50,1.0,0.25,0.51,0.22,True,1.0,unimodal,0.7,True
TPM__IKZF1,100,50,1.0,0.28999999165534973,-0.38,0.3,True,1.0,unimodal,0.7,True
TPM__SDC4,100,50,1.0,0.2800000011920929,0.52,0.22,True,1.0,unimodal,0.7,True
TPM__TJP1,100,50,1.0,0.3100000023841858,0.5,0.28,True,1.0,unimodal,0.7,True
TPM__SPATS2L,100,50,1.0,0.2199999988079071,0.5,0.21,True,1.0,unimodal,0.7,True
TPM__KRT8,100,50,1.0,0.2800000011920929,0.54,0.23,True,1.0,unimodal,0.7,True
TPM__CD53,99,49,0.99,0.27000001072883606,-0.37,0.23,True,1.0,unimodal,0.7,True
TPM__MIR142HG,99,49,0.99,0.30000001192092896,-0.36,0.26,True,1.0,unimodal,0.7,True
TPM__ITGA3,99,49,0.99,0.25,0.51,0.23,True,1.0,unimodal,0.7,True
METH__EIF3K,97,47,0.97,0.30000001192092896,0.46,0.24,True,0.992,unimodal,0.7,True
TPM__PADI1,97,47,0.97,0.12999999523162842,0.49,0.24,True,0.992,unimodal,0.7,True
TPM__AMOTL2,97,47,0.97,0.27000001072883606,0.48,0.22,True,0.992,unimodal,0.7,True
TPM__SEPTIN6,97,47,0.97,0.23000000417232513,-0.46,0.24,True,0.992,unimodal,0.7,True
TPM__WASL,96,46,0.96,0.17000000178813934,0.36,0.23,True,0.832,unimodal,0.7,True
TPM__TNFRSF12A,96,46,0.96,0.2800000011920929,0.5,0.23,True,0.832,unimodal,0.7,True
TPM__BCAR3,96,46,0.96,0.25,0.49,0.24,True,0.832,unimodal,0.7,True
TPM__PON2,96,46,0.96,0.23000000417232513,0.45,0.23,True,0.832,unimodal,0.7,True
TPM__PTPN7,96,46,0.96,0.27000001072883606,-0.34,0.32,True,0.832,unimodal,0.7,True
TPM__ZNF860,95,45,0.95,0.07999999821186066,0.39,0.21,True,0.458,unimodal,0.7,True
METH__MAP4K1,95,45,0.95,0.30000001192092896,0.46,0.23,True,0.458,unimodal,0.7,True
TPM__HRCT1,95,45,0.95,0.10999999940395355,0.49,0.22,True,0.458,unimodal,0.7,True
TPM__S100A16,94,44,0.94,0.23999999463558197,0.46,0.21,True,0.181,unimodal,0.7,True
METH__ANKRD44,94,44,0.94,0.23000000417232513,0.43,0.23,True,0.181,unimodal,0.7,True
METH__OSM,94,44,0.94,0.27000001072883606,0.49,0.22,True,0.181,unimodal,0.7,True
TPM__TNS2,93,43,0.93,0.15000000596046448,0.43,0.22,True,0.053,unimodal,0.7,True
TPM__GMFG,92,42,0.92,0.20999999344348907,-0.31,0.24,False,0.013,worst_case,0.8897435897435897,True
TPM__SGMS2,91,41,0.91,0.23000000417232513,0.47,0.21,False,0.002,worst_case,0.8897435897435897,True
TPM__MFNG,91,41,0.91,0.18000000715255737,-0.27,0.22,False,0.002,worst_case,0.8897435897435897,True
TPM__ANKRD1,91,41,0.91,0.15000000596046448,0.47,0.23,False,0.002,worst_case,0.8897435897435897,True
TPM__ARHGAP30,90,40,0.9,0.23999999463558197,-0.3,0.22,False,0.0,worst_case,0.8897435897435897,True
TPM__ARHGEF28,90,40,0.9,0.1899999976158142,0.44,0.21,False,0.0,worst_case,0.8897435897435897,True
TPM__TWF1,90,40,0.9,0.20000000298023224,0.44,0.25,False,0.0,worst_case,0.8897435897435897,True
TPM__DOCK1,90,40,0.9,0.20999999344348907,0.34,0.22,False,0.0,worst_case,0.8897435897435897,True
TPM__YAP1,90,41,0.9,0.27000001072883606,0.47,0.21,False,0.002,worst_case,0.8897435897435897,True
TPM__CTTN,89,39,0.89,0.25,0.49,0.25,False,0.0,worst_case,0.8897435897435897,True
