feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.14000000059604645,0.37,0.09,True,1.0
METH__SRRM2,96,46,0.96,0.10999999940395355,0.32,0.08,True,0.832
TPM__TATDN3,90,40,0.9,0.10000000149011612,-0.32,0.07,False,0.0
TPM__LMO7,83,33,0.83,0.10999999940395355,0.34,0.08,False,0.0
TPM__TMEM51,81,31,0.81,0.09000000357627869,0.27,0.08,False,0.0
TPM__WFS1,80,30,0.8,0.10999999940395355,0.31,0.06,False,0.0
TPM__PADI1,79,29,0.79,0.12999999523162842,0.38,0.12,False,0.0
TPM__BTC,77,27,0.77,0.15000000596046448,0.43,0.17,False,0.0
TPM__BMP4,75,25,0.75,0.10000000149011612,0.35,0.05,False,0.0
TPM__RPL36AP44,74,24,0.74,0.10999999940395355,0.36,0.1,False,0.0
TPM__NR2F2,72,22,0.72,0.12999999523162842,0.35,0.07,False,0.0
TPM__ITPR3,71,21,0.71,0.09000000357627869,0.3,0.09,False,0.0
TPM__PSORS1C1,70,20,0.7,0.09000000357627869,0.35,0.1,False,0.0
METH__PER3,70,20,0.7,0.09000000357627869,-0.26,0.08,False,0.0
TPM__FAM3C,67,18,0.67,0.09000000357627869,0.32,0.04,False,0.0
METH__PIK3CG,65,16,0.65,0.11999999731779099,0.32,0.11,False,0.0
TPM__EIF3L,65,16,0.65,0.10000000149011612,-0.32,0.1,False,0.0
TPM__PHF7,65,17,0.65,0.09000000357627869,-0.3,0.1,False,0.0
TPM__GRK3,61,14,0.61,0.10999999940395355,-0.32,0.14,False,0.0
TPM__EPS8,59,11,0.59,0.1599999964237213,0.41,0.08,False,0.0
METH__YOD1,58,9,0.58,0.10000000149011612,-0.31,0.07,False,0.002
TPM__ARHGEF6,58,9,0.58,0.10999999940395355,-0.3,0.14,False,0.002
TPM__MORC4,55,8,0.55,0.10000000149011612,0.27,0.09,False,0.013
TPM__SOX9,54,4,0.54,0.10000000149011612,0.35,0.12,True,0.832
METH__ERRFI1,54,9,0.54,0.14000000059604645,-0.39,0.08,False,0.002
TPM__CDT1,52,5,0.52,0.10000000149011612,-0.31,0.07,True,0.458
TPM__EVL,52,4,0.52,0.10000000149011612,-0.33,0.06,True,0.832
METH__PARP10,52,8,0.52,0.09000000357627869,0.28,0.09,False,0.013
TPM__RGL3,52,6,0.52,0.11999999731779099,0.36,0.11,True,0.181
TPM__GPAT3,51,8,0.51,0.11999999731779099,0.37,0.07,False,0.013
METH__TRIM44,51,4,0.51,0.10000000149011612,-0.29,0.06,True,0.832
TPM__CAV2,50,5,0.5,0.10000000149011612,0.31,0.12,True,0.458
TPM__DCBLD2,49,4,0.49,0.12999999523162842,0.38,0.1,True,0.832
TPM__SYTL2,49,5,0.49,0.10000000149011612,0.34,0.1,True,0.458
TPM__STAC3,49,2,0.49,0.11999999731779099,-0.34,0.09,True,1.0
METH__IL10,49,6,0.49,0.10999999940395355,0.3,0.09,True,0.181
TPM__ZCCHC3,49,4,0.49,0.11999999731779099,-0.34,0.08,True,0.832
TPM__TMEM54,48,3,0.48,0.10000000149011612,0.29,0.06,True,0.992
TPM__EVA1A,48,3,0.48,0.10000000149011612,0.34,0.06,True,0.992
METH__RGS14,48,6,0.48,0.09000000357627869,0.29,0.09,True,0.181
TPM__NECTIN2,47,4,0.47,0.09000000357627869,0.28,0.08,True,0.832
TPM__PKP3,47,4,0.47,0.09000000357627869,0.3,0.07,True,0.832
TPM__PVR,47,4,0.47,0.10000000149011612,0.31,0.1,True,0.832
METH__KRI1,47,4,0.47,0.14000000059604645,0.36,0.15,True,0.832
TPM__MRPS18AP1,46,4,0.46,0.09000000357627869,-0.28,0.13,True,0.832
TPM__RBPMS-AS1,46,4,0.46,0.10000000149011612,0.37,0.13,True,0.832
TPM__FLI1,45,2,0.45,0.10999999940395355,-0.28,0.16,True,1.0
TPM__LINC00973,45,4,0.45,0.10999999940395355,0.37,0.1,True,0.832
TPM__KLHL8,44,3,0.44,0.09000000357627869,-0.31,0.06,True,0.992
TPM__AGAP2,44,1,0.44,0.17000000178813934,-0.42,0.1,True,1.0
METH__FAIM3,44,5,0.44,0.11999999731779099,0.34,0.06,True,0.458
TPM__FCHO1,43,3,0.43,0.09000000357627869,-0.31,0.07,True,0.992
TPM__IER3,42,2,0.42,0.10000000149011612,0.31,0.09,True,1.0
TPM__INKA1,42,4,0.42,0.09000000357627869,-0.3,0.05,True,0.832
METH__TMEM149,42,1,0.42,0.10000000149011612,0.29,0.14,True,1.0
METH__OGFR,42,3,0.42,0.09000000357627869,0.32,0.15,True,0.992
TPM__CHMP3,42,0,0.42,0.09000000357627869,0.32,0.1,False,
TPM__ALS2CL,42,0,0.42,0.11999999731779099,0.33,0.06,False,
METH__TBC1D10C,41,0,0.41,0.09000000357627869,0.33,0.11,False,
TPM__MYO1E,41,4,0.41,0.09000000357627869,0.29,0.09,True,0.832
TPM__OSBPL10,41,2,0.41,0.09000000357627869,0.28,0.09,True,1.0
TPM__PTGR1,41,3,0.41,0.09000000357627869,0.28,0.11,True,0.992
TPM__ARID1A,41,3,0.41,0.09000000357627869,-0.33,0.04,True,0.992
TPM__PLS3,40,0,0.4,0.09000000357627869,0.27,0.08,False,
TPM__MIR22HG,40,3,0.4,0.10000000149011612,0.31,0.08,True,0.992
TPM__LRATD2,40,4,0.4,0.09000000357627869,0.29,0.12,True,0.832
TPM__SDSL,39,1,0.39,0.09000000357627869,0.29,0.09,True,1.0
TPM__TMEM139,39,0,0.39,0.10999999940395355,0.28,0.09,False,
METH__ABHD10,39,2,0.39,0.10000000149011612,-0.3,0.13,True,1.0
TPM__MT2A,39,3,0.39,0.09000000357627869,0.3,0.1,True,0.992
METH__CD38,38,1,0.38,0.09000000357627869,0.29,0.11,True,1.0
TPM__PPP1R16B,38,2,0.38,0.10000000149011612,-0.28,0.14,True,1.0
TPM__FTH1P2,38,0,0.38,0.09000000357627869,0.3,0.12,False,
TPM__GPR39,38,2,0.38,0.14000000059604645,0.39,0.12,True,1.0
TPM__ADAM9,38,1,0.38,0.15000000596046448,0.39,0.13,True,1.0
TPM__FAT1,38,1,0.38,0.09000000357627869,0.29,0.09,True,1.0
METH__SPATA13,37,0,0.37,0.09000000357627869,-0.31,0.09,False,
TPM__KIF21B,37,1,0.37,0.09000000357627869,-0.27,0.06,True,1.0
TPM__LCMT1-AS1,37,2,0.37,0.09000000357627869,-0.3,0.04,True,1.0
TPM__NPC2,37,2,0.37,0.10000000149011612,0.31,0.09,True,1.0
TPM__EPB41L1,35,0,0.35,0.09000000357627869,0.26,0.05,False,
TPM__CYB561,35,2,0.35,0.10999999940395355,0.29,0.09,True,1.0
TPM__SEPTIN6,35,2,0.35,0.15000000596046448,-0.4,0.1,True,1.0
METH__IBTK,35,0,0.35,0.10000000149011612,-0.31,0.09,False,
TPM__RIOK1,34,2,0.34,0.09000000357627869,-0.3,0.1,True,1.0
TPM__NTN4,34,1,0.34,0.10999999940395355,0.35,0.13,True,1.0
TPM__WFDC3,34,6,0.34,0.09000000357627869,0.34,0.1,True,0.181
TPM__IL13RA1,33,1,0.33,0.10000000149011612,0.27,0.1,True,1.0
TPM__CDC25A,33,0,0.33,0.10000000149011612,-0.32,0.08,False,
TPM__RND3,32,0,0.32,0.10000000149011612,0.32,0.1,False,
METH__SSH3,32,2,0.32,0.10999999940395355,-0.28,0.08,True,1.0
TPM__LAMC2,32,0,0.32,0.09000000357627869,0.36,0.13,False,
TPM__THSD4,32,0,0.32,0.10999999940395355,0.34,0.06,False,
METH__C15orf52,32,1,0.32,0.09000000357627869,-0.28,0.08,True,1.0
METH__BIN2,32,1,0.32,0.10000000149011612,0.28,0.17,True,1.0
METH__GPR126,32,0,0.32,0.10000000149011612,-0.33,0.11,False,
TPM__AREG,31,1,0.31,0.10999999940395355,0.35,0.12,True,1.0
TPM__ZNF101,31,0,0.31,0.10000000149011612,-0.31,0.08,False,
METH__HCST,31,2,0.31,0.10999999940395355,0.3,0.11,True,1.0
METH__EVL,31,0,0.31,0.09000000357627869,0.25,0.11,False,
TPM__ITPRIPL1,31,1,0.31,0.10999999940395355,-0.31,0.15,True,1.0
METH__GPD2,31,2,0.31,0.10000000149011612,-0.28,0.1,True,1.0
TPM__KRT80,31,1,0.31,0.14000000059604645,0.38,0.1,True,1.0
METH__MGAT1,31,1,0.31,0.10999999940395355,0.29,0.07,True,1.0
TPM__ABLIM3,30,1,0.3,0.10000000149011612,0.35,0.13,True,1.0
TPM__DAG1,30,1,0.3,0.09000000357627869,0.28,0.11,True,1.0
TPM__APLP2,30,0,0.3,0.10000000149011612,0.32,0.05,False,
TPM__ARHGAP4,29,2,0.29,0.09000000357627869,-0.31,0.1,True,1.0
TPM__CDC42EP2,29,2,0.29,0.09000000357627869,0.31,0.01,True,1.0
TPM__ASAP2,29,0,0.29,0.10999999940395355,0.31,0.1,False,
METH__RGS1,29,0,0.29,0.10000000149011612,0.3,0.09,False,
TPM__TRNP1,29,2,0.29,0.10000000149011612,0.33,0.11,True,1.0
TPM__RHPN2,29,0,0.29,0.10999999940395355,0.33,0.07,False,
TPM__ITGA2,28,0,0.28,0.10999999940395355,0.36,0.11,False,
METH__ME1,28,1,0.28,0.09000000357627869,-0.28,0.05,True,1.0
TPM__LINC00857,28,0,0.28,0.10000000149011612,0.34,0.07,False,
TPM__SH3TC2,28,0,0.28,0.09000000357627869,0.36,0.11,False,
TPM__PDXP,27,1,0.27,0.10000000149011612,-0.31,0.12,True,1.0
METH__GHRLOS,27,2,0.27,0.09000000357627869,0.28,0.1,True,1.0
TPM__CARMIL2,27,0,0.27,0.09000000357627869,-0.26,0.08,False,
TPM__ATP1B1,27,2,0.27,0.10999999940395355,0.3,0.08,True,1.0
METH__GCET2,27,2,0.27,0.10000000149011612,0.32,0.07,True,1.0
METH__CDSN,27,0,0.27,0.09000000357627869,0.3,0.09,False,
TPM__MET,26,0,0.26,0.15000000596046448,0.39,0.13,False,
TPM__NGEF,26,10,0.26,0.09000000357627869,0.31,0.07,False,0.0
TPM__TPD52L1,26,1,0.26,0.10000000149011612,0.31,0.09,True,1.0
TPM__TINAGL1,26,0,0.26,0.10999999940395355,0.33,0.06,False,
METH__CEBPE,26,1,0.26,0.10000000149011612,0.3,0.03,True,1.0
TPM__PDCD6IP-DT,25,0,0.25,0.10000000149011612,0.34,0.11,False,
METH__SQSTM1,25,0,0.25,0.10000000149011612,-0.33,0.12,False,
METH__VTRNA1-2,25,2,0.25,0.11999999731779099,-0.32,0.06,True,1.0
TPM__S100A13,25,0,0.25,0.11999999731779099,0.33,0.14,False,
TPM__LRRC8E,25,1,0.25,0.10999999940395355,0.32,0.09,True,1.0
METH__ZNF579,25,5,0.25,0.10000000149011612,-0.3,0.09,True,0.458
TPM__KCNAB2,25,0,0.25,0.09000000357627869,-0.28,0.09,False,
METH__GSPT1,25,0,0.25,0.09000000357627869,-0.31,0.08,False,
TPM__ARHGAP9,25,0,0.25,0.15000000596046448,-0.33,0.11,False,
TPM__PDE1B,24,0,0.24,0.10999999940395355,-0.32,0.13,False,
TPM__ANKLE1,24,0,0.24,0.11999999731779099,-0.34,0.08,False,
TPM__CUEDC1,24,0,0.24,0.11999999731779099,0.32,0.08,False,
TPM__ENC1,24,4,0.24,0.10000000149011612,0.32,0.09,True,0.832
TPM__ARSD,23,4,0.23,0.10000000149011612,0.31,0.05,True,0.832
TPM__NPAS2,23,3,0.23,0.10999999940395355,0.35,0.1,True,0.992
METH__SOAT2,23,0,0.23,0.10000000149011612,0.29,0.05,False,
METH__ITPRIPL2,23,0,0.23,0.10999999940395355,-0.31,0.1,False,
TPM__RASSF7,23,0,0.23,0.10999999940395355,0.33,0.06,False,
TPM__SUMF1,23,2,0.23,0.09000000357627869,0.31,0.09,True,1.0
TPM__ADGRF1,23,0,0.23,0.09000000357627869,0.3,0.12,False,
TPM__BAIAP2,23,1,0.23,0.11999999731779099,0.34,0.11,True,1.0
METH__RUNDC2C,22,0,0.22,0.10999999940395355,-0.33,0.08,False,
TPM__ALDH3B1,22,3,0.22,0.11999999731779099,0.34,0.09,True,0.992
TPM__SHISA4,22,0,0.22,0.09000000357627869,0.31,0.06,False,
METH__CCDC12,22,1,0.22,0.10000000149011612,-0.29,0.14,True,1.0
METH__TERF1,22,4,0.22,0.10000000149011612,-0.32,0.15,True,0.832
TPM__BCL11A,22,0,0.22,0.09000000357627869,-0.27,0.12,False,
TPM__FTH1P20,22,3,0.22,0.10000000149011612,0.34,0.09,True,0.992
TPM__DEPDC5,22,1,0.22,0.09000000357627869,-0.28,0.03,True,1.0
TPM__EGFR,22,0,0.22,0.11999999731779099,0.35,0.13,False,
TPM__F2RL1,22,1,0.22,0.11999999731779099,0.37,0.13,True,1.0
TPM__PLPP2,22,0,0.22,0.14000000059604645,0.36,0.11,False,
TPM__RNF122,21,2,0.21,0.09000000357627869,-0.3,0.12,True,1.0
TPM__SHB,21,5,0.21,0.11999999731779099,0.33,0.09,True,0.458
TPM__MAP4K1,21,0,0.21,0.10999999940395355,-0.31,0.15,False,
TPM__S100A10,21,0,0.21,0.10999999940395355,0.36,0.08,False,
METH__HCG22,21,0,0.21,0.10000000149011612,0.31,0.11,False,
TPM__HKDC1,21,4,0.21,0.09000000357627869,0.35,0.11,True,0.832
TPM__PLEC,21,0,0.21,0.10999999940395355,0.36,0.08,False,
TPM__BMS1P23,21,1,0.21,0.09000000357627869,0.31,0.1,True,1.0
TPM__SGMS2,21,1,0.21,0.12999999523162842,0.33,0.15,True,1.0
TPM__GIPC1,21,1,0.21,0.11999999731779099,0.36,0.13,True,1.0
TPM__TOM1L1,21,0,0.21,0.10000000149011612,0.23,0.1,False,
METH__FAM113B,21,1,0.21,0.09000000357627869,0.22,0.11,True,1.0
TPM__KITLG,21,6,0.21,0.10000000149011612,0.33,0.07,True,0.181
TPM__TGFA,21,4,0.21,0.10999999940395355,0.34,0.08,True,0.832
METH__PROCA1,20,0,0.2,0.12999999523162842,0.33,0.11,False,
TPM__PDGFB,20,2,0.2,0.09000000357627869,0.33,0.05,True,1.0
TPM__TRG-AS1,20,1,0.2,0.10000000149011612,-0.27,0.11,True,1.0
TPM__CAST,20,5,0.2,0.09000000357627869,0.31,0.06,True,0.458
TPM__SEC14L2,20,2,0.2,0.10000000149011612,0.33,0.09,True,1.0
TPM__PTTG1IP,20,4,0.2,0.09000000357627869,0.32,0.11,True,0.832
TPM__IGFBP6,20,1,0.2,0.10999999940395355,0.33,0.09,True,1.0
TPM__CORO1A,20,0,0.2,0.10999999940395355,-0.29,0.12,False,
TPM__GPC1,20,1,0.2,0.10999999940395355,0.32,0.11,True,1.0
METH__PRKAG1,19,3,0.19,0.09000000357627869,0.29,0.14,True,0.992
