feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__LRIG3,100,50,1.0,0.10000000149011612,-0.27,0.24,True,1.0,unimodal,0.71,True
TPM__PIK3CG,100,50,1.0,0.10999999940395355,-0.21,0.24,True,1.0,unimodal,0.71,True
METH__TMEM49,100,50,1.0,0.07999999821186066,-0.29,0.22,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.11999999731779099,-0.19,0.24,True,1.0,unimodal,0.71,True
METH__ATP6V1D,99,49,0.99,0.05999999865889549,-0.17,0.23,True,1.0,unimodal,0.71,True
METH__ZNF697,99,49,0.99,0.07000000029802322,-0.2,0.27,True,1.0,unimodal,0.71,True
METH__CMTM1,98,48,0.98,0.019999999552965164,0.22,0.23,True,1.0,unimodal,0.71,True
METH__C6orf217,97,47,0.97,0.029999999329447746,-0.25,0.25,True,0.992,unimodal,0.71,True
CNV__NFKBIA,96,46,0.96,0.019999999552965164,0.21,0.23,True,0.832,unimodal,0.71,True
METH__CCDC84,95,45,0.95,0.029999999329447746,0.15,0.23,True,0.458,unimodal,0.71,True
METH__KDM4D,93,43,0.93,0.03999999910593033,-0.18,0.26,True,0.053,unimodal,0.71,True
METH__AHI1,93,43,0.93,0.019999999552965164,-0.25,0.26,True,0.053,unimodal,0.71,True
METH__CCT6P1,92,42,0.92,0.029999999329447746,0.08,0.23,False,0.013,worst_case,0.8918367346938776,True
METH__ZNF623,90,40,0.9,0.0,0.03,0.23,False,0.0,worst_case,0.8918367346938776,True
CNV__IKZF3,90,40,0.9,0.0,0.19,0.24,False,0.0,worst_case,0.8918367346938776,True
