feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__LRIG3,100,50,1.0,0.10000000149011612,-0.27,0.24,True,1.0
TPM__PIK3CG,100,50,1.0,0.10999999940395355,-0.21,0.24,True,1.0
METH__TMEM49,100,50,1.0,0.07999999821186066,-0.29,0.22,True,1.0
TPM__MIR142HG,100,50,1.0,0.11999999731779099,-0.19,0.24,True,1.0
METH__ATP6V1D,99,49,0.99,0.05999999865889549,-0.17,0.23,True,1.0
METH__ZNF697,99,49,0.99,0.07000000029802322,-0.2,0.27,True,1.0
METH__CMTM1,98,48,0.98,0.019999999552965164,0.22,0.23,True,1.0
METH__C6orf217,97,47,0.97,0.029999999329447746,-0.25,0.25,True,0.992
CNV__NFKBIA,96,46,0.96,0.019999999552965164,0.21,0.23,True,0.832
METH__CCDC84,95,45,0.95,0.029999999329447746,0.15,0.23,True,0.458
METH__KDM4D,93,43,0.93,0.03999999910593033,-0.18,0.26,True,0.053
METH__AHI1,93,43,0.93,0.019999999552965164,-0.25,0.26,True,0.053
METH__CCT6P1,92,42,0.92,0.029999999329447746,0.08,0.23,False,0.013
METH__ZNF623,90,40,0.9,0.0,0.03,0.23,False,0.0
CNV__IKZF3,90,40,0.9,0.0,0.19,0.24,False,0.0
CNV__BCL9L,89,39,0.89,0.029999999329447746,0.19,0.23,False,0.0
METH__PPAPDC1B,87,37,0.87,0.029999999329447746,-0.16,0.24,False,0.0
CNV__KRAS,87,37,0.87,0.009999999776482582,0.21,0.25,False,0.0
CNV__ERBB2,85,35,0.85,0.009999999776482582,0.19,0.23,False,0.0
CNV__ARHGEF12,85,35,0.85,0.029999999329447746,0.19,0.23,False,0.0
CNV__ARHGAP5,84,34,0.84,0.0,0.19,0.24,False,0.0
CNV__MAML2,82,33,0.82,0.03999999910593033,0.18,0.21,False,0.0
METH__GPN3,81,31,0.81,0.029999999329447746,0.15,0.22,False,0.0
METH__MFAP3,80,32,0.8,0.019999999552965164,-0.1,0.22,False,0.0
METH__TARS,79,29,0.79,0.029999999329447746,-0.17,0.25,False,0.0
CNV__PAFAH1B2,79,30,0.79,0.029999999329447746,0.17,0.24,False,0.0
CNV__MLF1,79,31,0.79,0.029999999329447746,0.21,0.23,False,0.0
CNV__SF3B1,78,30,0.78,0.029999999329447746,0.18,0.23,False,0.0
CNV__SDHAF2,77,27,0.77,0.029999999329447746,0.2,0.26,False,0.0
CNV__FAM174B,77,27,0.77,0.029999999329447746,0.17,0.21,False,0.0
METH__DGCR6L,76,26,0.76,0.019999999552965164,-0.12,0.23,False,0.0
METH__STRN,75,25,0.75,0.0,-0.15,0.23,False,0.0
CNV__CBL,75,29,0.75,0.029999999329447746,0.18,0.23,False,0.0
CNV__ERCC3,74,24,0.74,0.019999999552965164,0.18,0.24,False,0.0
CNV__CDK6,74,26,0.74,0.0,0.14,0.22,False,0.0
CNV__ESRRA,72,26,0.72,0.029999999329447746,0.2,0.22,False,0.0
METH__YIPF3,70,20,0.7,0.019999999552965164,0.12,0.22,False,0.0
CNV__CLTC,69,20,0.69,0.029999999329447746,0.16,0.23,False,0.0
CNV__RPL22,69,23,0.69,0.0,0.06,0.23,False,0.0
CNV__NUMA1,68,19,0.68,0.009999999776482582,0.19,0.23,False,0.0
CNV__HOXD13,68,21,0.68,0.029999999329447746,0.19,0.23,False,0.0
CNV__ATIC,67,21,0.67,0.019999999552965164,0.17,0.23,False,0.0
CNV__MITF,66,23,0.66,0.0,0.09,0.22,False,0.0
CNV__HSPG2,66,20,0.66,0.0,0.03,0.23,False,0.0
METH__MBOAT1,66,20,0.66,0.019999999552965164,-0.08,0.22,False,0.0
CNV__PPM1D,66,20,0.66,0.019999999552965164,0.15,0.23,False,0.0
CNV__PIK3R1,65,18,0.65,0.019999999552965164,0.16,0.23,False,0.0
CNV__LCK,63,16,0.63,0.0,0.06,0.24,False,0.0
CNV__KCNJ5,63,20,0.63,0.029999999329447746,0.18,0.24,False,0.0
CNV__TRIM24,63,16,0.63,0.019999999552965164,0.14,0.22,False,0.0
METH__SAT2,63,20,0.63,0.0,-0.03,0.23,False,0.0
CNV__CDC73,62,19,0.62,0.009999999776482582,0.11,0.24,False,0.0
CNV__ZBTB20,62,18,0.62,0.019999999552965164,0.18,0.23,False,0.0
METH__SF3B4,61,15,0.61,0.009999999776482582,0.09,0.22,False,0.0
CNV__PPFIBP1,60,14,0.6,0.0,0.17,0.24,False,0.0
CNV__TNFRSF14,59,17,0.59,0.009999999776482582,0.07,0.24,False,0.0
METH__TRAF4,59,14,0.59,0.0,-0.06,0.23,False,0.0
METH__DNAJC28,59,9,0.59,0.009999999776482582,-0.18,0.23,False,0.002
METH__SKI,58,14,0.58,0.03999999910593033,-0.15,0.22,False,0.0
METH__GOLIM4,58,11,0.58,0.029999999329447746,-0.14,0.22,False,0.0
CNV__DDB2,57,17,0.57,0.029999999329447746,0.19,0.24,False,0.0
CNV__BMPR2,57,13,0.57,0.019999999552965164,0.18,0.23,False,0.0
CNV__U2AF2,56,17,0.56,0.019999999552965164,0.16,0.23,False,0.0
CNV__STRN,56,14,0.56,0.019999999552965164,0.17,0.24,False,0.0
CNV__STAT5B,56,15,0.56,0.019999999552965164,0.15,0.23,False,0.0
CNV__FLI1,55,13,0.55,0.029999999329447746,0.18,0.25,False,0.0
METH__ROD1,52,10,0.52,0.009999999776482582,-0.12,0.21,False,0.0
CNV__RANBP2,52,10,0.52,0.019999999552965164,0.18,0.23,False,0.0
CNV__PSIP1,52,12,0.52,0.0,0.06,0.23,False,0.0
CNV__STAT3,51,9,0.51,0.009999999776482582,0.15,0.23,False,0.002
METH__POP4,51,9,0.51,0.0,-0.02,0.24,False,0.002
CNV__MLLT3,51,12,0.51,0.0,0.04,0.23,False,0.0
METH__RPL23AP7,51,9,0.51,0.0,0.03,0.26,False,0.002
CNV__CASP8,51,10,0.51,0.019999999552965164,0.18,0.23,False,0.0
CNV__CREB1,50,9,0.5,0.019999999552965164,0.18,0.23,False,0.002
METH__KLHL18,50,7,0.5,0.029999999329447746,-0.14,0.22,True,0.053
METH__ZNF574,48,12,0.48,0.0,-0.04,0.23,False,0.0
CNV__PALB2,48,9,0.48,0.019999999552965164,0.16,0.22,False,0.002
CNV__BCL7A,47,7,0.47,0.029999999329447746,0.18,0.22,True,0.053
CNV__MDM2,47,11,0.47,0.0,0.16,0.24,False,0.0
METH__PSMB6,46,7,0.46,0.009999999776482582,-0.1,0.25,True,0.053
CNV__PICALM,46,11,0.46,0.019999999552965164,0.17,0.23,False,0.0
METH__ZNF346,46,5,0.46,0.0,-0.13,0.22,True,0.458
CNV__CCND1,46,9,0.46,0.0,0.16,0.23,False,0.002
CNV__ERC1,46,12,0.46,0.019999999552965164,0.16,0.23,False,0.0
METH__PLK4,46,6,0.46,0.0,-0.07,0.24,True,0.181
METH__ZNF227,46,8,0.46,0.009999999776482582,-0.13,0.22,False,0.013
METH__LDOC1L,45,7,0.45,0.029999999329447746,-0.08,0.22,True,0.053
METH__FAM114A2,45,6,0.45,0.009999999776482582,-0.11,0.24,True,0.181
CNV__PRDM16,45,9,0.45,0.009999999776482582,0.07,0.24,False,0.002
CNV__PTMA,44,6,0.44,0.019999999552965164,0.18,0.23,True,0.181
CNV__GOPC,43,6,0.43,0.0,0.07,0.23,True,0.181
CNV__FANCG,43,10,0.43,0.009999999776482582,0.12,0.23,False,0.0
CNV__TAL2,42,8,0.42,0.029999999329447746,0.17,0.26,False,0.013
METH__ZNF317,42,8,0.42,0.009999999776482582,-0.07,0.23,False,0.013
CNV__CHD4,42,9,0.42,0.009999999776482582,0.15,0.23,False,0.002
CNV__ASPSCR1,42,5,0.42,0.019999999552965164,0.16,0.23,True,0.458
CNV__ZNF384,41,9,0.41,0.009999999776482582,0.15,0.23,False,0.002
METH__RABL2A,40,5,0.4,0.0,0.03,0.25,True,0.458
CNV__IDH1,40,7,0.4,0.019999999552965164,0.18,0.22,True,0.053
CNV__GNAQ,39,7,0.39,0.029999999329447746,0.17,0.24,True,0.053
CNV__SP140,39,5,0.39,0.019999999552965164,0.17,0.24,True,0.458
CNV__CDKN1B,39,5,0.39,0.009999999776482582,0.14,0.22,True,0.458
METH__EPN2,38,7,0.38,0.019999999552965164,-0.07,0.23,True,0.053
METH__C1orf128,37,3,0.37,0.019999999552965164,-0.13,0.23,True,0.992
CNV__PTPN6,37,3,0.37,0.009999999776482582,0.15,0.23,True,0.992
CNV__SMARCA4,36,6,0.36,0.009999999776482582,0.07,0.23,True,0.181
CNV__PAX8,36,8,0.36,0.019999999552965164,0.18,0.23,False,0.013
CNV__ATF1,36,5,0.36,0.019999999552965164,0.15,0.24,True,0.458
METH__NFYA,36,2,0.36,0.0,0.08,0.23,True,1.0
METH__RPS27,36,4,0.36,0.0,0.0,0.24,True,0.832
CNV__SRSF2,35,6,0.35,0.019999999552965164,0.15,0.23,True,0.181
CNV__BARD1,35,7,0.35,0.019999999552965164,0.18,0.22,True,0.053
CNV__FOXO3,35,3,0.35,0.0,0.09,0.22,True,0.992
METH__C10orf78,34,3,0.34,0.019999999552965164,-0.16,0.23,True,0.992
CNV__MPL,33,5,0.33,0.0,0.1,0.24,True,0.458
CNV__PAX5,33,5,0.33,0.009999999776482582,0.11,0.23,True,0.458
METH__CGRRF1,33,5,0.33,0.029999999329447746,-0.14,0.25,True,0.458
CNV__CANT1,33,6,0.33,0.019999999552965164,0.14,0.23,True,0.181
METH__ZNF770,32,2,0.32,0.019999999552965164,-0.06,0.23,True,1.0
CNV__RNF213,32,4,0.32,0.019999999552965164,0.14,0.23,True,0.832
CNV__SYK,31,4,0.31,0.019999999552965164,0.17,0.25,True,0.832
CNV__ETV6,30,4,0.3,0.009999999776482582,0.14,0.23,True,0.832
CNV__FOXP1,30,5,0.3,0.0,0.07,0.24,True,0.458
CNV__CDKN2C,30,5,0.3,0.009999999776482582,0.11,0.23,True,0.458
METH__MYSM1,30,7,0.3,0.0,-0.03,0.23,True,0.053
CNV__HOXD11,30,2,0.3,0.019999999552965164,0.19,0.23,True,1.0
CNV__ALK,28,2,0.28,0.0,0.16,0.25,True,1.0
METH__E2F7,28,4,0.28,0.0,-0.08,0.21,True,0.832
CNV__FANCC,28,4,0.28,0.019999999552965164,0.15,0.25,True,0.832
METH__RNFT1,27,1,0.27,0.019999999552965164,-0.14,0.25,True,1.0
METH__C6orf72,27,6,0.27,0.0,0.0,0.23,True,0.181
METH__TRMT5,27,0,0.27,0.019999999552965164,-0.12,0.22,False,
METH__ARL1,26,1,0.26,0.019999999552965164,-0.11,0.25,True,1.0
METH__NCAPD2,26,1,0.26,0.0,0.06,0.22,True,1.0
METH__RPS25,26,2,0.26,0.0,0.01,0.25,True,1.0
CNV__STAT6,26,4,0.26,0.009999999776482582,0.15,0.24,True,0.832
CNV__KLF4,25,1,0.25,0.029999999329447746,0.17,0.25,True,1.0
CNV__CSF3R,25,1,0.25,0.0,0.09,0.24,True,1.0
CNV__TNC,25,4,0.25,0.019999999552965164,0.15,0.24,True,0.832
CNV__AFF3,25,2,0.25,0.019999999552965164,0.18,0.22,True,1.0
CNV__STIL,25,2,0.25,0.009999999776482582,0.1,0.25,True,1.0
CNV__HMGA2,25,1,0.25,0.009999999776482582,0.15,0.25,True,1.0
METH__AZI2,24,0,0.24,0.009999999776482582,-0.09,0.24,False,
CNV__NR4A3,24,4,0.24,0.019999999552965164,0.16,0.26,True,0.832
METH__GOLGB1,24,1,0.24,0.009999999776482582,-0.09,0.25,True,1.0
CNV__NFE2L2,24,2,0.24,0.019999999552965164,0.19,0.22,True,1.0
CNV__GLI1,23,4,0.23,0.0,0.15,0.24,True,0.832
METH__RFX3,23,0,0.23,0.0,0.02,0.23,False,
CNV__FUBP1,22,1,0.22,0.009999999776482582,0.12,0.21,True,1.0
METH__TINF2,22,1,0.22,0.0,-0.06,0.23,True,1.0
CNV__SETD2,21,2,0.21,0.0,0.06,0.21,True,1.0
CNV__MUTYH,21,2,0.21,0.009999999776482582,0.1,0.25,True,1.0
METH__CENPL,21,0,0.21,0.0,-0.04,0.22,False,
CNV__LRIG3,20,2,0.2,0.019999999552965164,0.16,0.25,True,1.0
CNV__DDIT3,20,2,0.2,0.0,0.15,0.24,True,1.0
CNV__FN1,19,1,0.19,0.019999999552965164,0.17,0.23,True,1.0
METH__TMEM170A,19,0,0.19,0.0,0.04,0.22,False,
CNV__CNTRL,19,2,0.19,0.019999999552965164,0.16,0.24,True,1.0
METH__TMEM194A,19,2,0.19,0.0,0.02,0.27,True,1.0
METH__USP53,19,1,0.19,0.019999999552965164,-0.07,0.25,True,1.0
METH__ZNF784,19,1,0.19,0.009999999776482582,-0.1,0.23,True,1.0
METH__CCNG1,18,1,0.18,0.0,-0.1,0.25,True,1.0
METH__PDXDC1,18,0,0.18,0.009999999776482582,-0.07,0.22,False,
METH__ARL6,17,0,0.17,0.009999999776482582,-0.09,0.22,False,
METH__C17orf81,17,1,0.17,0.0,0.02,0.3,True,1.0
CNV__EPS15,17,2,0.17,0.009999999776482582,0.1,0.25,True,1.0
CNV__XPA,17,2,0.17,0.019999999552965164,0.16,0.26,True,1.0
METH__WNK1,17,2,0.17,0.0,0.02,0.25,True,1.0
METH__MSH2,16,0,0.16,0.009999999776482582,-0.07,0.25,False,
METH__CDC37L1,16,1,0.16,0.0,-0.05,0.23,True,1.0
CNV__SOS1,16,0,0.16,0.019999999552965164,0.16,0.24,False,
METH__LOC440944,16,0,0.16,0.0,0.05,0.22,False,
CNV__RRAGC,16,0,0.16,0.0,0.1,0.24,False,
CNV__SET,16,0,0.16,0.019999999552965164,0.15,0.25,False,
METH__PRKCE,15,1,0.15,0.019999999552965164,-0.09,0.23,True,1.0
METH__HMGCS1,15,1,0.15,0.0,0.01,0.23,True,1.0
METH__NDUFB9,14,0,0.14,0.009999999776482582,-0.07,0.23,False,
METH__THAP2,14,1,0.14,0.0,-0.08,0.22,True,1.0
METH__UBL5,14,0,0.14,0.0,-0.04,0.23,False,
METH__UBR5,14,0,0.14,0.0,0.0,0.23,False,
METH__ZNF408,14,1,0.14,0.0,-0.01,0.22,True,1.0
METH__LPCAT4,14,0,0.14,0.0,0.02,0.22,False,
METH__ENTPD6,14,0,0.14,0.009999999776482582,-0.02,0.23,False,
METH__ZMYM4,13,1,0.13,0.0,0.01,0.22,True,1.0
METH__BHLHE40,13,0,0.13,0.009999999776482582,-0.11,0.22,False,
METH__ASNSD1,13,0,0.13,0.0,-0.0,0.25,False,
METH__ESF1,13,0,0.13,0.0,-0.01,0.24,False,
METH__JUND,12,0,0.12,0.0,0.02,0.23,False,
METH__TMEM192,12,1,0.12,0.009999999776482582,-0.14,0.22,True,1.0
CNV__NUP214,12,1,0.12,0.009999999776482582,0.13,0.24,True,1.0
METH__DEDD,12,1,0.12,0.0,-0.03,0.25,True,1.0
CNV__MLLT10,12,1,0.12,0.009999999776482582,0.09,0.23,True,1.0
METH__RAB2B,12,0,0.12,0.0,-0.03,0.24,False,
METH__MSL2,12,0,0.12,0.0,0.0,0.22,False,
CNV__PPP6C,12,1,0.12,0.019999999552965164,0.15,0.22,True,1.0
CNV__RALGDS,11,1,0.11,0.009999999776482582,0.13,0.23,True,1.0
METH__SLC25A12,11,0,0.11,0.0,-0.02,0.22,False,
METH__ANO10,11,0,0.11,0.009999999776482582,-0.09,0.23,False,
METH__RRN3P3,10,0,0.1,0.0,-0.03,0.27,False,
CNV__PTCH1,10,0,0.1,0.019999999552965164,0.16,0.26,False,
METH__RHOA,10,0,0.1,0.0,-0.01,0.21,False,
METH__ABT1,10,0,0.1,0.009999999776482582,-0.07,0.24,False,
METH__BAG4,10,0,0.1,0.0,-0.05,0.24,False,
METH__ZBTB3,10,0,0.1,0.0,-0.0,0.23,False,
METH__USP1,10,1,0.1,0.0,0.03,0.24,True,1.0
METH__ESRRA,9,0,0.09,0.0,0.02,0.26,False,
METH__KIN,9,0,0.09,0.009999999776482582,-0.08,0.22,False,
METH__SYVN1,9,0,0.09,0.0,-0.04,0.25,False,
METH__RAB40C,9,0,0.09,0.0,0.01,0.24,False,
METH__HCFC2,9,0,0.09,0.0,-0.09,0.24,False,
METH__SNORA76,9,0,0.09,0.0,-0.03,0.22,False,
METH__XRCC1,9,0,0.09,0.0,-0.05,0.25,False,
CNV__ABL1,9,2,0.09,0.009999999776482582,0.13,0.24,True,1.0
METH__CWC22,9,0,0.09,0.0,0.02,0.24,False,
METH__SEPT7,9,0,0.09,0.0,-0.0,0.22,False,
METH__UROD,9,0,0.09,0.009999999776482582,-0.11,0.22,False,
METH__UQCRH,8,0,0.08,0.009999999776482582,0.02,0.25,False,
CNV__WNK2,8,2,0.08,0.019999999552965164,0.16,0.24,True,1.0
METH__SR140,8,1,0.08,0.0,-0.06,0.24,True,1.0
METH__PIN1,8,0,0.08,0.009999999776482582,-0.09,0.23,False,
METH__SMG7,8,0,0.08,0.009999999776482582,-0.07,0.24,False,
METH__MIR760,8,0,0.08,0.0,0.01,0.22,False,
METH__LRRC41,8,0,0.08,0.009999999776482582,0.0,0.25,False,
METH__SNORD27,8,1,0.08,0.0,0.01,0.23,True,1.0
METH__PLEKHM1,8,0,0.08,0.0,-0.01,0.25,False,
METH__HNRPA1L-2,8,0,0.08,0.0,0.02,0.24,False,
METH__PCNXL3,8,0,0.08,0.0,0.0,0.23,False,
METH__ATAD1,7,0,0.07,0.0,-0.09,0.26,False,
METH__PDXDC2,7,0,0.07,0.0,-0.07,0.25,False,
METH__SETD3,7,0,0.07,0.009999999776482582,-0.12,0.23,False,
METH__ID1,7,0,0.07,0.009999999776482582,-0.1,0.22,False,
METH__CKS1B,7,0,0.07,0.0,-0.09,0.22,False,
METH__RB1CC1,7,0,0.07,0.0,-0.06,0.23,False,
METH__ROGDI,7,0,0.07,0.0,0.03,0.22,False,
METH__DZIP3,6,0,0.06,0.0,-0.08,0.23,False,
METH__C4orf21,6,0,0.06,0.0,0.03,0.24,False,
METH__C22orf29,6,0,0.06,0.0,0.0,0.24,False,
METH__DOCK4,6,0,0.06,0.009999999776482582,-0.05,0.23,False,
METH__MIR1181,6,0,0.06,0.0,-0.06,0.22,False,
METH__PRKAB1,6,0,0.06,0.0,0.05,0.25,False,
METH__CDV3,6,0,0.06,0.0,-0.03,0.24,False,
METH__ZNF277,6,0,0.06,0.009999999776482582,-0.06,0.22,False,
METH__RHEBL1,6,0,0.06,0.009999999776482582,-0.09,0.23,False,
METH__KBTBD6,6,0,0.06,0.0,-0.02,0.23,False,
METH__GOT1,6,0,0.06,0.009999999776482582,-0.04,0.23,False,
METH__KIAA0196,6,0,0.06,0.009999999776482582,-0.06,0.23,False,
METH__FAM134C,6,0,0.06,0.0,-0.0,0.23,False,
METH__STK11,6,0,0.06,0.0,0.05,0.23,False,
METH__CDC45L,6,0,0.06,0.0,-0.07,0.23,False,
METH__ZMPSTE24,5,0,0.05,0.009999999776482582,-0.09,0.22,False,
METH__NVL,5,0,0.05,0.0,-0.03,0.26,False,
METH__AP4M1,5,0,0.05,0.0,-0.09,0.24,False,
METH__ACAT1,5,0,0.05,0.009999999776482582,-0.05,0.22,False,
METH__POLR3C,5,0,0.05,0.0,-0.06,0.24,False,
METH__RPS10,5,0,0.05,0.0,-0.03,0.23,False,
METH__SOX4,5,0,0.05,0.009999999776482582,-0.03,0.23,False,
METH__GSK3A,5,0,0.05,0.0,-0.0,0.22,False,
METH__DARS2,5,0,0.05,0.0,-0.06,0.24,False,
METH__C5orf44,5,0,0.05,0.0,-0.06,0.22,False,
METH__LOC147727,5,0,0.05,0.0,0.01,0.25,False,
METH__TDG,5,0,0.05,0.0,0.04,0.22,False,
METH__CLPX,5,0,0.05,0.0,-0.05,0.23,False,
METH__RQCD1,5,0,0.05,0.0,-0.03,0.24,False,
METH__PRR12,5,0,0.05,0.0,0.01,0.24,False,
METH__SLC30A7,4,0,0.04,0.009999999776482582,-0.07,0.26,False,
METH__ARMC6,4,0,0.04,0.0,0.04,0.23,False,
METH__GNAI3,4,1,0.04,0.0,-0.07,0.23,True,1.0
METH__PRIM2,4,0,0.04,0.0,-0.05,0.23,False,
METH__MAPKAPK3,4,0,0.04,0.0,-0.05,0.23,False,
METH__HECTD3,4,0,0.04,0.009999999776482582,-0.13,0.22,False,
METH__TOX4,4,0,0.04,0.0,-0.05,0.23,False,
METH__INPPL1,4,0,0.04,0.0,-0.01,0.25,False,
METH__C11orf30,4,0,0.04,0.0,-0.01,0.23,False,
METH__HIRA,4,0,0.04,0.009999999776482582,-0.06,0.22,False,
METH__USP37,4,0,0.04,0.0,-0.03,0.24,False,
METH__GIN1,4,0,0.04,0.0,-0.02,0.21,False,
METH__TDRD3,4,0,0.04,0.0,-0.09,0.26,False,
METH__SERP1,4,0,0.04,0.0,0.02,0.25,False,
METH__EXOSC5,4,0,0.04,0.0,-0.0,0.27,False,
METH__CCDC18,4,0,0.04,0.0,-0.07,0.24,False,
METH__ZFP91,4,0,0.04,0.0,0.01,0.26,False,
METH__COQ10B,4,0,0.04,0.0,0.02,0.22,False,
METH__ZNF460,4,0,0.04,0.0,0.0,0.23,False,
METH__RPL35A,4,0,0.04,0.0,0.03,0.23,False,
METH__UFD1L,3,0,0.03,0.0,-0.07,0.23,False,
METH__SNRPD2,3,0,0.03,0.0,-0.06,0.22,False,
METH__SNRPD3,3,0,0.03,0.0,-0.05,0.27,False,
METH__TSN,3,0,0.03,0.0,0.02,0.23,False,
METH__SPEN,3,0,0.03,0.009999999776482582,-0.08,0.24,False,
METH__NAB2,3,0,0.03,0.0,-0.04,0.23,False,
METH__NAA38,3,0,0.03,0.0,-0.02,0.25,False,
METH__MXD1,3,0,0.03,0.0,-0.04,0.23,False,
METH__CBX3,3,0,0.03,0.0,0.03,0.22,False,
METH__SNORD84,3,0,0.03,0.0,-0.02,0.25,False,
METH__SFRS14,3,0,0.03,0.0,0.01,0.22,False,
METH__UBQLN4,3,0,0.03,0.0,-0.02,0.22,False,
METH__TIMM22,3,0,0.03,0.009999999776482582,-0.1,0.23,False,
METH__LOC641298,3,0,0.03,0.0,-0.03,0.27,False,
METH__KCTD9,3,0,0.03,0.0,-0.09,0.24,False,
METH__CNOT3,3,0,0.03,0.0,0.01,0.24,False,
METH__CDK8,3,0,0.03,0.0,-0.01,0.23,False,
METH__MIR484,3,0,0.03,0.0,0.02,0.24,False,
METH__RAP2A,3,0,0.03,0.0,-0.07,0.23,False,
METH__PCM1,3,0,0.03,0.0,-0.05,0.25,False,
METH__NHLRC3,3,0,0.03,0.0,-0.05,0.23,False,
METH__RIC8A,3,0,0.03,0.0,0.04,0.23,False,
METH__DUT,3,0,0.03,0.0,-0.05,0.27,False,
METH__NGRN,3,0,0.03,0.0,-0.02,0.24,False,
METH__TRIAP1,3,0,0.03,0.0,-0.06,0.22,False,
METH__CTNNBIP1,3,0,0.03,0.0,-0.01,0.23,False,
METH__ASB7,3,0,0.03,0.009999999776482582,-0.08,0.22,False,
METH__SLC35A5,3,0,0.03,0.0,-0.03,0.24,False,
METH__FLJ37453,2,0,0.02,0.009999999776482582,-0.08,0.24,False,
METH__MRPL51,2,0,0.02,0.0,-0.02,0.22,False,
METH__PPWD1,2,0,0.02,0.0,-0.05,0.24,False,
METH__BET1L,2,0,0.02,0.0,0.02,0.24,False,
METH__CEP192,2,0,0.02,0.0,0.03,0.26,False,
METH__USP45,2,0,0.02,0.0,-0.07,0.22,False,
