feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__CHST14,100,50,1.0,0.09000000357627869,-0.28,0.12,True,1.0
TPM__RPS6KA1,99,49,0.99,0.07999999821186066,-0.29,0.05,True,1.0
TPM__SLC38A5,97,47,0.97,0.12999999523162842,-0.35,0.13,True,0.992
TPM__BOD1,94,44,0.94,0.10000000149011612,0.33,0.06,True,0.181
TPM__RASAL2-AS1,93,43,0.93,0.10000000149011612,0.31,0.07,True,0.053
TPM__LHFPL2,79,29,0.79,0.09000000357627869,0.3,0.0,False,0.0
TPM__CORO1A-AS1,76,26,0.76,0.07999999821186066,-0.25,0.15,False,0.0
METH__GCET2,75,25,0.75,0.12999999523162842,0.36,0.13,False,0.0
TPM__PTTG1IP,75,25,0.75,0.10000000149011612,0.34,0.15,False,0.0
METH__CIITA,74,24,0.74,0.07999999821186066,0.29,0.04,False,0.0
TPM__TPM1,73,23,0.73,0.09000000357627869,0.27,0.09,False,0.0
TPM__TBC1D10C,73,25,0.73,0.09000000357627869,-0.19,0.05,False,0.0
TPM__POLR1H,71,21,0.71,0.10999999940395355,-0.31,0.04,False,0.0
METH__C16orf54,71,21,0.71,0.10999999940395355,0.27,0.07,False,0.0
METH__C1orf97,67,18,0.67,0.09000000357627869,-0.3,0.09,False,0.0
TPM__PPDPF,66,17,0.66,0.07000000029802322,0.26,0.04,False,0.0
TPM__PIK3CG,64,17,0.64,0.10000000149011612,-0.21,0.14,False,0.0
METH__MIER3,64,14,0.64,0.09000000357627869,-0.29,0.09,False,0.0
TPM__ATP1B1,63,14,0.63,0.10999999940395355,0.31,0.08,False,0.0
TPM__TRG-AS1,62,13,0.62,0.12999999523162842,-0.23,0.14,False,0.0
TPM__RPL10A,61,14,0.61,0.09000000357627869,-0.3,0.04,False,0.0
TPM__CDT1,61,12,0.61,0.07999999821186066,-0.25,0.08,False,0.0
TPM__PDCD6IP-DT,60,12,0.6,0.07999999821186066,0.3,0.1,False,0.0
METH__H2AFY,59,9,0.59,0.07999999821186066,0.2,0.11,False,0.002
TPM__CD4,58,10,0.58,0.07999999821186066,-0.17,0.12,False,0.0
METH__PRSS48,58,11,0.58,0.07999999821186066,0.26,0.06,False,0.0
METH__RUFY1,56,10,0.56,0.12999999523162842,-0.29,0.09,False,0.0
METH__HSP90AA1,56,10,0.56,0.10999999940395355,0.32,0.16,False,0.0
TPM__DENND2B,56,11,0.56,0.07999999821186066,0.24,0.08,False,0.0
METH__PCLO,56,8,0.56,0.07999999821186066,-0.25,0.14,False,0.013
METH__C15orf52,55,7,0.55,0.09000000357627869,-0.26,0.12,True,0.053
METH__C9orf78,53,7,0.53,0.07999999821186066,0.26,0.08,True,0.053
METH__USP20,53,7,0.53,0.07999999821186066,0.26,0.08,True,0.053
TPM__AGAP2,51,5,0.51,0.11999999731779099,-0.33,0.11,True,0.458
TPM__CTTNBP2NL,51,6,0.51,0.07999999821186066,0.25,0.05,True,0.181
METH__SHISA4,50,3,0.5,0.07999999821186066,-0.27,0.03,True,0.992
METH__C7orf23,49,2,0.49,0.10000000149011612,-0.27,0.11,True,1.0
TPM__INKA1,49,6,0.49,0.09000000357627869,-0.27,0.06,True,0.181
TPM__PXN,48,3,0.48,0.07999999821186066,0.26,0.08,True,0.992
TPM__PARVA,48,4,0.48,0.10000000149011612,0.3,0.13,True,0.832
TPM__ABLIM3,46,2,0.46,0.09000000357627869,0.33,0.08,True,1.0
TPM__LINC00511,46,4,0.46,0.10000000149011612,0.33,0.09,True,0.832
TPM__RGMB,45,4,0.45,0.07999999821186066,0.26,0.03,True,0.832
METH__SPIRE2,45,5,0.45,0.07999999821186066,-0.2,0.1,True,0.458
TPM__PDZD11,45,2,0.45,0.07999999821186066,0.28,0.09,True,1.0
TPM__ITGAV,44,1,0.44,0.07999999821186066,0.26,0.09,True,1.0
TPM__COL6A1,44,2,0.44,0.07999999821186066,0.3,0.07,True,1.0
METH__MIR150,43,3,0.43,0.10000000149011612,0.29,0.02,True,0.992
TPM__RASGRP2,43,3,0.43,0.14000000059604645,-0.29,0.15,True,0.992
TPM__ASPH,43,0,0.43,0.07999999821186066,0.29,0.08,False,
METH__TRIM44,43,4,0.43,0.09000000357627869,-0.28,0.03,True,0.832
TPM__ELMO1,43,1,0.43,0.10000000149011612,-0.26,0.07,True,1.0
TPM__GIPC1,42,1,0.42,0.07999999821186066,0.27,0.15,True,1.0
TPM__TMEM51,42,1,0.42,0.07999999821186066,0.25,0.08,True,1.0
METH__CACNA2D1,41,1,0.41,0.07999999821186066,-0.26,0.1,True,1.0
TPM__CSK,41,1,0.41,0.10000000149011612,-0.32,0.09,True,1.0
METH__CD1C,41,2,0.41,0.09000000357627869,-0.2,0.09,True,1.0
METH__PROCA1,41,1,0.41,0.14000000059604645,0.33,0.09,True,1.0
TPM__LGALS3,41,4,0.41,0.07999999821186066,0.27,0.02,True,0.832
METH__CARD8,41,3,0.41,0.07999999821186066,0.23,0.06,True,0.992
