feature,Selection count,Pair count,CPSS Score
METH__CHST14,100,50,1.0
TPM__RPS6KA1,99,49,0.99
TPM__SLC38A5,97,47,0.97
TPM__BOD1,94,44,0.94
TPM__RASAL2-AS1,93,43,0.93
TPM__LHFPL2,79,29,0.79
TPM__CORO1A-AS1,76,26,0.76
METH__GCET2,75,25,0.75
TPM__PTTG1IP,75,25,0.75
METH__CIITA,74,24,0.74
TPM__TPM1,73,23,0.73
TPM__TBC1D10C,73,25,0.73
METH__C16orf54,71,21,0.71
TPM__POLR1H,71,21,0.71
METH__C1orf97,67,18,0.67
TPM__PPDPF,66,17,0.66
TPM__PIK3CG,64,17,0.64
METH__MIER3,64,14,0.64
TPM__ATP1B1,63,14,0.63
TPM__TRG-AS1,62,13,0.62
TPM__RPL10A,61,14,0.61
TPM__CDT1,61,12,0.61
TPM__PDCD6IP-DT,60,12,0.6
METH__H2AFY,59,9,0.59
TPM__CD4,58,10,0.58
METH__PRSS48,58,11,0.58
METH__PCLO,56,8,0.56
TPM__DENND2B,56,11,0.56
METH__RUFY1,56,10,0.56
METH__HSP90AA1,56,10,0.56
METH__C15orf52,55,7,0.55
METH__C9orf78,53,7,0.53
METH__USP20,53,7,0.53
TPM__AGAP2,51,5,0.51
TPM__CTTNBP2NL,51,6,0.51
METH__SHISA4,50,3,0.5
METH__C7orf23,49,2,0.49
TPM__INKA1,49,6,0.49
TPM__PXN,48,3,0.48
TPM__PARVA,48,4,0.48
TPM__LINC00511,46,4,0.46
TPM__ABLIM3,46,2,0.46
TPM__PDZD11,45,2,0.45
TPM__RGMB,45,4,0.45
METH__SPIRE2,45,5,0.45
TPM__ITGAV,44,1,0.44
TPM__COL6A1,44,2,0.44
METH__MIR150,43,3,0.43
TPM__RASGRP2,43,3,0.43
TPM__ASPH,43,0,0.43
METH__TRIM44,43,4,0.43
TPM__ELMO1,43,1,0.43
TPM__GIPC1,42,1,0.42
TPM__TMEM51,42,1,0.42
METH__PROCA1,41,1,0.41
TPM__LGALS3,41,4,0.41
METH__CARD8,41,3,0.41
METH__CD1C,41,2,0.41
TPM__CSK,41,1,0.41
METH__CACNA2D1,41,1,0.41
TPM__SERTAD4-AS1,40,3,0.4
METH__RBM38,40,3,0.4
TPM__DEF6,39,2,0.39
TPM__JUN,39,2,0.39
METH__TBC1D10C,38,1,0.38
TPM__WFS1,38,2,0.38
