feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__PRSS48,100,50,1.0,0.17000000178813934,0.35,0.23,True,1.0
TPM__P2RY8,100,50,1.0,0.20999999344348907,-0.25,0.25,True,1.0
TPM__PARVA,100,50,1.0,0.1899999976158142,0.39,0.22,True,1.0
TPM__PDE1B,100,50,1.0,0.1899999976158142,-0.33,0.24,True,1.0
TPM__NCKAP1L,100,50,1.0,0.20999999344348907,-0.31,0.22,True,1.0
METH__FAT1,100,50,1.0,0.17000000178813934,-0.36,0.23,True,1.0
METH__TEAD4,100,50,1.0,0.12999999523162842,-0.29,0.27,True,1.0
METH__DSTN,100,50,1.0,0.18000000715255737,-0.37,0.22,True,1.0
METH__CCM2,100,50,1.0,0.27000001072883606,0.41,0.28,True,1.0
TPM__RASGRP2,100,50,1.0,0.18000000715255737,-0.33,0.22,True,1.0
METH__MAP4K1,100,50,1.0,0.2199999988079071,0.37,0.22,True,1.0
METH__RAVER1,100,50,1.0,0.1599999964237213,-0.24,0.22,True,1.0
METH__ZNF697,100,50,1.0,0.14000000059604645,-0.27,0.23,True,1.0
TPM__TRAF3IP3,100,50,1.0,0.2199999988079071,-0.38,0.23,True,1.0
TPM__SRGAP1,100,50,1.0,0.18000000715255737,0.38,0.21,True,1.0
TPM__IKZF1,100,50,1.0,0.25,-0.33,0.26,True,1.0
TPM__CARD10,100,50,1.0,0.17000000178813934,0.36,0.21,True,1.0
METH__PRIC285,100,50,1.0,0.2199999988079071,0.38,0.23,True,1.0
TPM__MIR142HG,100,50,1.0,0.23999999463558197,-0.29,0.27,True,1.0
TPM__DOCK1,100,50,1.0,0.18000000715255737,0.29,0.21,True,1.0
TPM__GMFG,100,50,1.0,0.20000000298023224,-0.25,0.22,True,1.0
TPM__ACP7,99,49,0.99,0.019999999552965164,0.29,0.25,True,1.0
METH__THBS1,99,49,0.99,0.17000000178813934,-0.38,0.22,True,1.0
TPM__PIK3CG,99,49,0.99,0.20999999344348907,-0.25,0.26,True,1.0
METH__INTU,98,48,0.98,0.1599999964237213,-0.31,0.23,True,1.0
TPM__KRT23,98,48,0.98,0.029999999329447746,0.24,0.21,True,1.0
METH__LRIG3,98,48,0.98,0.15000000596046448,-0.31,0.23,True,1.0
METH__NRP1,97,47,0.97,0.14000000059604645,-0.37,0.3,True,0.992
METH__TERF1,97,47,0.97,0.17000000178813934,-0.37,0.22,True,0.992
METH__TEAD1,88,38,0.88,0.12999999523162842,-0.29,0.21,False,0.0
METH__PCGF2,87,37,0.87,0.10000000149011612,-0.27,0.21,False,0.0
METH__KLF4,85,35,0.85,0.12999999523162842,-0.29,0.23,False,0.0
METH__GPAA1,83,33,0.83,0.09000000357627869,-0.27,0.21,False,0.0
METH__EAF2,83,33,0.83,0.10000000149011612,0.28,0.23,False,0.0
METH__RAPH1,82,33,0.82,0.05999999865889549,-0.29,0.23,False,0.0
METH__RECQL4,77,27,0.77,0.0,0.04,0.23,False,0.0
METH__RGMB,76,28,0.76,0.12999999523162842,-0.3,0.23,False,0.0
METH__ITGA5,72,23,0.72,0.07999999821186066,-0.22,0.21,False,0.0
METH__PTPN14,71,22,0.71,0.15000000596046448,-0.36,0.24,False,0.0
METH__CCRN4L,63,17,0.63,0.07000000029802322,-0.25,0.23,False,0.0
METH__ATP6V1D,62,18,0.62,0.10000000149011612,-0.26,0.22,False,0.0
METH__BMPR1A,61,16,0.61,0.07999999821186066,-0.21,0.21,False,0.0
CNV__HSP90AA1,61,15,0.61,0.03999999910593033,0.23,0.2,False,0.0
CNV__SRC,60,17,0.6,0.05999999865889549,0.25,0.22,False,0.0
METH__XAB2,60,16,0.6,0.009999999776482582,-0.06,0.21,False,0.0
METH__FGFR1OP,59,13,0.59,0.05000000074505806,-0.2,0.23,False,0.0
CNV__SALL4,55,15,0.55,0.05999999865889549,0.27,0.21,False,0.0
CNV__ASPSCR1,52,11,0.52,0.03999999910593033,0.2,0.22,False,0.0
METH__C10orf41,52,11,0.52,0.10999999940395355,-0.27,0.19,False,0.0
CNV__GLI1,51,6,0.51,0.019999999552965164,0.24,0.21,True,0.181
METH__EFNA5,50,9,0.5,0.07000000029802322,-0.28,0.22,False,0.002
METH__LDOC1L,50,5,0.5,0.07999999821186066,-0.18,0.2,True,0.458
METH__LCA5,50,10,0.5,0.10999999940395355,-0.27,0.21,False,0.0
METH__LOC81691,50,5,0.5,0.07000000029802322,-0.2,0.22,True,0.458
METH__C7orf70,48,7,0.48,0.07000000029802322,0.13,0.19,True,0.053
CNV__ITK,47,9,0.47,0.05000000074505806,0.26,0.22,False,0.002
CNV__TLX3,45,5,0.45,0.05000000074505806,0.26,0.22,True,0.458
METH__C14orf79,44,9,0.44,0.0,-0.08,0.22,False,0.002
METH__LOC100131801,44,8,0.44,0.009999999776482582,-0.06,0.24,False,0.013
METH__ACTN1,43,8,0.43,0.15000000596046448,-0.34,0.22,False,0.013
CNV__NPM1,41,7,0.41,0.05999999865889549,0.26,0.22,True,0.053
METH__MRPL41,41,7,0.41,0.05000000074505806,-0.19,0.2,True,0.053
METH__TMEM150A,40,2,0.4,0.05000000074505806,-0.24,0.22,True,1.0
CNV__POLE,40,6,0.4,0.05999999865889549,0.25,0.21,True,0.181
METH__PCCA,40,7,0.4,0.05999999865889549,-0.23,0.25,True,0.053
METH__LRP6,39,5,0.39,0.10000000149011612,-0.26,0.2,True,0.458
CNV__NCOR2,39,5,0.39,0.05999999865889549,0.26,0.22,True,0.458
CNV__CD74,39,6,0.39,0.05999999865889549,0.27,0.23,True,0.181
CNV__EFTUD2,38,4,0.38,0.03999999910593033,0.21,0.22,True,0.832
CNV__CLIP1,37,4,0.37,0.05000000074505806,0.25,0.22,True,0.832
METH__EDN1,36,6,0.36,0.05999999865889549,-0.32,0.22,True,0.181
CNV__DDIT3,36,7,0.36,0.019999999552965164,0.24,0.21,True,0.053
METH__SLC43A1,36,8,0.36,0.0,0.01,0.21,False,0.013
CNV__BCL7A,35,3,0.35,0.05999999865889549,0.25,0.22,True,0.992
CNV__UBE2D2,35,4,0.35,0.05999999865889549,0.26,0.21,True,0.832
METH__PTGR2,35,6,0.35,0.07000000029802322,-0.28,0.23,True,0.181
METH__MOBKL1A,33,2,0.33,0.009999999776482582,-0.22,0.22,True,1.0
CNV__FEV,33,1,0.33,0.05000000074505806,0.24,0.23,True,1.0
CNV__LRIG3,32,2,0.32,0.05000000074505806,0.24,0.22,True,1.0
CNV__CASP8,32,6,0.32,0.05000000074505806,0.24,0.27,True,0.181
CNV__FGFR4,32,1,0.32,0.03999999910593033,0.26,0.22,True,1.0
CNV__SF3B1,32,2,0.32,0.05999999865889549,0.25,0.25,True,1.0
CNV__FUS,32,2,0.32,0.05000000074505806,0.24,0.23,True,1.0
CNV__PMS1,31,4,0.31,0.05000000074505806,0.25,0.27,True,0.832
CNV__ARHGAP26,31,6,0.31,0.05999999865889549,0.27,0.23,True,0.181
METH__ADAT1,30,2,0.3,0.009999999776482582,-0.11,0.21,True,1.0
METH__MRPL20,30,5,0.3,0.009999999776482582,-0.07,0.21,True,0.458
CNV__EBF1,29,1,0.29,0.05000000074505806,0.26,0.22,True,1.0
CNV__FLT4,29,2,0.29,0.05000000074505806,0.25,0.22,True,1.0
CNV__DTX1,28,1,0.28,0.05999999865889549,0.26,0.19,True,1.0
METH__C11orf48,28,3,0.28,0.009999999776482582,0.06,0.2,True,0.992
CNV__POLQ,27,3,0.27,0.05000000074505806,0.22,0.2,True,0.992
METH__C11orf83,27,1,0.27,0.009999999776482582,0.05,0.21,True,1.0
CNV__BRIP1,26,2,0.26,0.019999999552965164,0.19,0.22,True,1.0
METH__ARMC10,26,1,0.26,0.07000000029802322,-0.23,0.23,True,1.0
METH__SPRY2,25,2,0.25,0.09000000357627869,-0.17,0.23,True,1.0
METH__PGBD4,24,1,0.24,0.0,-0.13,0.2,True,1.0
METH__EED,24,2,0.24,0.0,0.07,0.21,True,1.0
CNV__ING1,23,2,0.23,0.0,0.07,0.18,True,1.0
CNV__NSD1,23,1,0.23,0.05000000074505806,0.26,0.22,True,1.0
CNV__IL6ST,22,1,0.22,0.019999999552965164,0.19,0.25,True,1.0
CNV__PDGFRB,22,2,0.22,0.05999999865889549,0.27,0.23,True,1.0
CNV__FN1,22,0,0.22,0.03999999910593033,0.23,0.23,False,
METH__FZD1,22,1,0.22,0.029999999329447746,-0.18,0.21,True,1.0
CNV__AJUBA,21,4,0.21,0.03999999910593033,0.21,0.2,True,0.832
METH__SUOX,21,0,0.21,0.05999999865889549,-0.23,0.22,False,
METH__TOP2A,21,2,0.21,0.10000000149011612,-0.28,0.26,True,1.0
CNV__CDH11,20,2,0.2,0.029999999329447746,0.19,0.21,True,1.0
CNV__MYH11,20,1,0.2,0.009999999776482582,0.2,0.21,True,1.0
METH__SLC19A2,20,1,0.2,0.03999999910593033,-0.24,0.21,True,1.0
CNV__DNM2,19,2,0.19,0.009999999776482582,0.11,0.19,True,1.0
METH__POLRMT,19,1,0.19,0.029999999329447746,-0.13,0.2,True,1.0
CNV__HMGA2,19,1,0.19,0.029999999329447746,0.23,0.21,True,1.0
METH__TROAP,19,1,0.19,0.05000000074505806,-0.19,0.21,True,1.0
CNV__USP44,18,2,0.18,0.05000000074505806,0.23,0.26,True,1.0
CNV__BMPR2,18,0,0.18,0.05000000074505806,0.23,0.26,False,
CNV__PIK3R1,18,2,0.18,0.019999999552965164,0.17,0.22,True,1.0
CNV__NFE2L2,17,0,0.17,0.03999999910593033,0.23,0.24,False,
CNV__KDM3B,17,1,0.17,0.05000000074505806,0.25,0.21,True,1.0
CNV__MAP3K1,16,0,0.16,0.019999999552965164,0.18,0.25,False,
CNV__EGR2,16,3,0.16,0.009999999776482582,0.19,0.22,True,0.992
CNV__FANCL,16,2,0.16,0.03999999910593033,0.22,0.21,True,1.0
METH__TIAL1,16,0,0.16,0.05000000074505806,0.18,0.2,False,
METH__ERCC1,15,0,0.15,0.05999999865889549,-0.18,0.22,False,
METH__TMEM44,15,0,0.15,0.029999999329447746,-0.24,0.22,False,
CNV__PPP6C,15,0,0.15,0.05000000074505806,0.22,0.2,False,
METH__CINP,15,1,0.15,0.05000000074505806,-0.16,0.21,True,1.0
CNV__ACSL3,15,1,0.15,0.05000000074505806,0.23,0.22,True,1.0
CNV__CREB1,15,0,0.15,0.03999999910593033,0.22,0.25,False,
CNV__TNC,15,0,0.15,0.05999999865889549,0.23,0.2,False,
METH__C16orf46,15,1,0.15,0.0,-0.09,0.22,True,1.0
CNV__CIITA,15,1,0.15,0.03999999910593033,0.2,0.22,True,1.0
CNV__PAX3,15,1,0.15,0.05000000074505806,0.23,0.23,True,1.0
METH__TRIM41,14,0,0.14,0.019999999552965164,-0.1,0.21,False,
METH__KLHL11,14,0,0.14,0.029999999329447746,-0.13,0.21,False,
METH__ALCAM,14,0,0.14,0.03999999910593033,-0.25,0.23,False,
METH__PCSK5,14,0,0.14,0.05999999865889549,-0.19,0.22,False,
CNV__HTRA2,14,2,0.14,0.03999999910593033,0.22,0.21,True,1.0
CNV__MAP2,14,0,0.14,0.05000000074505806,0.22,0.23,False,
CNV__USP6,14,0,0.14,0.029999999329447746,0.19,0.21,False,
CNV__BARD1,14,0,0.14,0.05000000074505806,0.23,0.23,False,
CNV__RMI2,14,0,0.14,0.03999999910593033,0.21,0.22,False,
CNV__IDH1,13,0,0.13,0.03999999910593033,0.21,0.24,False,
METH__KIN,13,0,0.13,0.019999999552965164,-0.12,0.21,False,
METH__MICALL1,13,1,0.13,0.009999999776482582,-0.05,0.2,True,1.0
CNV__PDPR,13,0,0.13,0.029999999329447746,0.19,0.2,False,
CNV__CDH1,13,1,0.13,0.019999999552965164,0.18,0.22,True,1.0
CNV__CYLD,13,0,0.13,0.03999999910593033,0.19,0.21,False,
CNV__HOXD11,12,0,0.12,0.05000000074505806,0.23,0.24,False,
CNV__HOXD13,12,0,0.12,0.05000000074505806,0.24,0.25,False,
CNV__EXT2,12,0,0.12,0.029999999329447746,0.21,0.2,False,
CNV__PBRM1,12,0,0.12,0.009999999776482582,0.07,0.2,False,
CNV__ERCC3,12,0,0.12,0.03999999910593033,0.2,0.23,False,
METH__HMGCR,12,1,0.12,0.05999999865889549,-0.24,0.22,True,1.0
METH__CDK7,11,0,0.11,0.05999999865889549,-0.15,0.22,False,
CNV__ACVR1,11,0,0.11,0.05000000074505806,0.23,0.25,False,
CNV__BRD7,11,0,0.11,0.03999999910593033,0.2,0.22,False,
CNV__WIF1,11,0,0.11,0.029999999329447746,0.23,0.22,False,
CNV__FANCF,11,0,0.11,0.029999999329447746,0.2,0.21,False,
METH__ALG3,11,0,0.11,0.009999999776482582,-0.1,0.22,False,
CNV__MAP2K1,11,2,0.11,0.019999999552965164,0.15,0.22,True,1.0
METH__TMEM208,10,0,0.1,0.009999999776482582,-0.05,0.22,False,
CNV__CUL3,10,2,0.1,0.05000000074505806,0.23,0.21,True,1.0
CNV__LYL1,10,1,0.1,0.009999999776482582,0.1,0.21,True,1.0
CNV__WT1,10,1,0.1,0.029999999329447746,0.21,0.21,True,1.0
METH__KIAA1328,10,0,0.1,0.05999999865889549,-0.19,0.24,False,
CNV__TNFRSF17,10,0,0.1,0.03999999910593033,0.22,0.21,False,
METH__SUV420H2,10,0,0.1,0.029999999329447746,-0.17,0.23,False,
CNV__RGL3,10,0,0.1,0.009999999776482582,0.1,0.2,False,
CNV__RANBP2,10,0,0.1,0.03999999910593033,0.22,0.23,False,
CNV__TMEM127,9,0,0.09,0.029999999329447746,0.21,0.23,False,
CNV__PAX8,9,0,0.09,0.03999999910593033,0.21,0.23,False,
CNV__ATIC,9,0,0.09,0.03999999910593033,0.23,0.23,False,
CNV__TEC,8,0,0.08,0.009999999776482582,0.14,0.23,False,
