feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__TRNP1,96,46,0.96
TPM__SPATS2L,91,41,0.91
TPM__ARSD,88,38,0.88
TPM__CARD10,87,37,0.87
METH__MGAT1,85,35,0.85
TPM__LTBP3,74,24,0.74
TPM__GPAT3,73,23,0.73
TPM__ANKRD1,72,22,0.72
METH__LOC148709,71,21,0.71
TPM__CUEDC1,71,22,0.71
TPM__PLPP2,68,18,0.68
METH__EIF3K,68,18,0.68
TPM__VMP1,68,19,0.68
TPM__RASAL2-AS1,67,17,0.67
TPM__EPB41L1,66,16,0.66
TPM__IGFBP6,66,16,0.66
TPM__ADAM9,62,14,0.62
TPM__KIFC3,62,12,0.62
TPM__CCND1,60,10,0.6
TPM__CRIM1-DT,59,12,0.59
TPM__ARHGAP19,58,8,0.58
TPM__PRSS23,58,9,0.58
TPM__TMEM51,57,9,0.57
TPM__SHISA4,56,8,0.56
TPM__LGALS3,53,8,0.53
TPM__TNFAIP1,53,6,0.53
TPM__KRT8P3,53,4,0.53
METH__SH3BGRL2,53,7,0.53
TPM__ITPRIPL1,52,6,0.52
TPM__CRIM1,52,10,0.52
TPM__KIF21B,52,6,0.52
TPM__ANXA2P2,52,7,0.52
TPM__APLP2,50,5,0.5
TPM__SUMF1,50,4,0.5
TPM__SEMA3C,50,5,0.5
TPM__LAMB1,48,5,0.48
TPM__TOM1L1,48,0,0.48
TPM__PDCD6IP-DT,47,3,0.47
TPM__C19orf33,47,3,0.47
TPM__SNX7,47,3,0.47
TPM__PMEPA1,47,5,0.47
TPM__ENC1,45,3,0.45
TPM__CHMP3,45,5,0.45
TPM__IL12RB1,45,4,0.45
TPM__NACC2,44,5,0.44
TPM__CST3,43,2,0.43
TPM__PHLDA1,43,2,0.43
METH__EPHA2,42,2,0.42
TPM__SEPTIN6,42,1,0.42
TPM__CDCP1,41,2,0.41
METH__MAP4K1,40,4,0.4
TPM__SNX33,40,0,0.4
TPM__RHBDF1,39,2,0.39
TPM__PTTG1IP,39,0,0.39
TPM__FLI1,38,1,0.38
TPM__PTPN21,38,3,0.38
TPM__PHLDB1,37,0,0.37
METH__TERF1,37,0,0.37
TPM__SEPTIN10,37,3,0.37
TPM__AGAP2,37,1,0.37
TPM__BMS1P23,37,2,0.37
TPM__CARMIL2,37,1,0.37
TPM__PTGR1,36,1,0.36
TPM__PVR,36,0,0.36
TPM__KDM2B,35,1,0.35
TPM__ANXA4,35,1,0.35
TPM__ITGAV,35,1,0.35
METH__FAM129C,35,2,0.35
TPM__PHLDA2,35,0,0.35
TPM__TWF1,35,11,0.35
TPM__MYO1E,34,1,0.34
TPM__RAI14,34,1,0.34
TPM__ARPIN-AP3S2,34,1,0.34
TPM__SH2D4A,34,1,0.34
TPM__AHNAK2,33,0,0.33
TPM__KBTBD8,33,2,0.33
TPM__SLC35D2,32,1,0.32
TPM__RAB1A,31,1,0.31
TPM__CCDC9B,31,0,0.31
TPM__BOK,31,1,0.31
TPM__PPP1R14B-AS1,31,1,0.31
TPM__TRG-AS1,30,0,0.3
TPM__CDC42EP1,30,2,0.3
TPM__THSD4,29,2,0.29
TPM__CLIP1,28,0,0.28
METH__GSPT1,28,1,0.28
TPM__NHSL3,28,0,0.28
METH__OSM,28,1,0.28
TPM__PON2,28,0,0.28
TPM__RND3,28,0,0.28
TPM__MYB,27,1,0.27
TPM__ANKLE1,27,0,0.27
TPM__SNX21,27,0,0.27
TPM__IL13RA1,25,1,0.25
TPM__GULP1,24,2,0.24
METH__LOC144571,24,0,0.24
TPM__DDR1,24,0,0.24
TPM__PDGFB,24,3,0.24
TPM__HSPG2,23,2,0.23
TPM__DAG1,23,0,0.23
TPM__PHLDB2,23,1,0.23
TPM__RIN2,23,1,0.23
METH__EVL,23,0,0.23
TPM__EPS8,23,0,0.23
TPM__EMP1,22,0,0.22
TPM__TNFRSF21,22,3,0.22
TPM__ASPH,22,0,0.22
METH__ANKRD57,22,0,0.22
TPM__TM4SF1,21,0,0.21
TPM__F2RL1,21,2,0.21
TPM__CLCF1,21,1,0.21
TPM__CD276,21,0,0.21
TPM__FAT1,21,7,0.21
TPM__NQO1,21,0,0.21
TPM__RBPMS,21,3,0.21
TPM__LAPTM4A,21,1,0.21
TPM__S100A13,21,2,0.21
TPM__TAX1BP3,21,2,0.21
METH__ARSJ,21,0,0.21
TPM__ANXA1,21,0,0.21
TPM__ARSJ,21,1,0.21
TPM__P4HA2,20,1,0.2
METH__PIK3CG,20,0,0.2
TPM__S100A10,20,0,0.2
TPM__RHPN2,20,0,0.2
METH__OSBPL1A,20,0,0.2
TPM__ALDH3B1,20,0,0.2
TPM__CTTN,20,0,0.2
TPM__GNG12,20,0,0.2
TPM__SNX9,20,1,0.2
TPM__CSK,20,0,0.2
TPM__CDC42EP2,20,5,0.2
TPM__CAV2,20,1,0.2
TPM__TSKU,20,2,0.2
TPM__ANXA2,20,0,0.2
TPM__SMAP2,20,0,0.2
TPM__TRAF3IP3,19,0,0.19
TPM__ARHGEF28,19,1,0.19
TPM__TSPAN6,19,1,0.19
TPM__WASL,19,1,0.19
TPM__EGFR,19,0,0.19
METH__SSH3,19,0,0.19
TPM__SRGAP1,18,0,0.18
METH__SPAG9,18,2,0.18
TPM__CORO1A-AS1,18,0,0.18
TPM__TEAD1,18,0,0.18
TPM__LINC00857,18,5,0.18
TPM__NCEH1,18,2,0.18
TPM__IER5L,18,4,0.18
METH__PTRF,18,6,0.18
TPM__KLF4,18,1,0.18
TPM__ARHGAP9,18,0,0.18
TPM__SQSTM1,17,0,0.17
TPM__ASAP2,17,0,0.17
TPM__DCBLD2,17,0,0.17
TPM__IQSEC2,17,5,0.17
METH__ERRFI1,17,0,0.17
TPM__SLC49A4,17,4,0.17
TPM__SSH3,17,0,0.17
TPM__MIR22HG,17,4,0.17
TPM__SHB,17,2,0.17
TPM__BCAM,17,4,0.17
METH__HSPC159,17,1,0.17
METH__PROCA1,17,1,0.17
TPM__DSTN,16,2,0.16
METH__PRSS23,16,3,0.16
TPM__ITPRIPL2,16,3,0.16
TPM__NR2F2,16,1,0.16
TPM__LAMC1,16,1,0.16
TPM__TGM2,16,3,0.16
TPM__FLNB,16,1,0.16
TPM__GPR39,16,2,0.16
TPM__YAP1,16,0,0.16
METH__YIF1B,16,0,0.16
TPM__SDC4,16,0,0.16
TPM__RHOH,16,0,0.16
TPM__BCAR3,16,0,0.16
METH__ANKRD44,16,0,0.16
TPM__DOCK1,16,1,0.16
TPM__BAG3,15,0,0.15
TPM__SMAGP,15,3,0.15
TPM__MPP3,15,4,0.15
TPM__LAMA5,15,0,0.15
TPM__LRRC8E,15,2,0.15
TPM__CAPN2,15,0,0.15
TPM__NTN4,15,3,0.15
METH__PRSS48,15,4,0.15
TPM__TPM1,15,0,0.15
TPM__PSORS1C1,15,4,0.15
METH__INPP5D,15,0,0.15
