feature,Selection count,Pair count,CPSS Score
CNV__EGFR,97,47,0.97
TPM__SH3YL1,95,45,0.95
MUT__EGFR,94,44,0.94
METH__MIR1288,92,42,0.92
TPM__TMEM102,90,40,0.9
METH__MIR205,85,35,0.85
METH__GPR81,85,35,0.85
TPM__MDFI,84,34,0.84
TPM__DIXDC1,80,30,0.8
TPM__CHRDL1,80,30,0.8
METH__MLPH,78,28,0.78
METH__NCRUPAR,78,28,0.78
TPM__NPR2,77,27,0.77
METH__SHH,75,25,0.75
METH__ALOX12,72,22,0.72
METH__TCHHL1,71,21,0.71
TPM__APBB1,71,21,0.71
METH__DPH3B,70,20,0.7
TPM__SPRY4,65,15,0.65
TPM__VAV3,65,15,0.65
METH__MACC1,64,14,0.64
TPM__BACE1,64,14,0.64
TPM__FOXE1,63,13,0.63
METH__RDH5,63,13,0.63
TPM__ZNF674-AS1,62,13,0.62
TPM__ADGRF4,61,12,0.61
TPM__MIR100HG,58,9,0.58
TPM__MACF1,58,10,0.58
TPM__MAGI2-AS3,57,10,0.57
METH__SVIP,57,8,0.57
TPM__STK26,56,6,0.56
TPM__LY6D,56,8,0.56
TPM__SLC7A5,56,10,0.56
METH__PLOD2,55,8,0.55
METH__SCAMP4,54,8,0.54
TPM__PTPN2,54,6,0.54
METH__ADAT3,54,8,0.54
TPM__CIART,53,8,0.53
TPM__TTC22,53,7,0.53
TPM__ARMCX1,52,7,0.52
TPM__KLK8,50,4,0.5
TPM__DNAJC22,48,3,0.48
TPM__XDH,48,3,0.48
TPM__NR2F1,47,4,0.47
TPM__CDH3,47,2,0.47
TPM__DENND2C,46,3,0.46
TPM__KRT16,46,0,0.46
METH__RHOU,46,1,0.46
TPM__TNS2,46,2,0.46
TPM__HOXB2,45,4,0.45
TPM__FAM50A,45,2,0.45
TPM__TXNDC15,45,3,0.45
TPM__FBXL7,45,6,0.45
TPM__PRAF2,44,3,0.44
TPM__HIPK2,44,5,0.44
TPM__FKBP7,44,2,0.44
TPM__CEP170,43,3,0.43
TPM__RN7SKP16,43,4,0.43
TPM__ZNF214,41,1,0.41
TPM__PTMS,40,1,0.4
METH__PAQR7,40,2,0.4
METH__PRSS22,40,2,0.4
TPM__DOCK4,39,0,0.39
TPM__ENO2,39,1,0.39
METH__PHC1,39,2,0.39
TPM__GEM,39,0,0.39
TPM__FAM157D,38,5,0.38
TPM__EMB,38,0,0.38
METH__FAM155A,38,2,0.38
TPM__BCL11A,38,3,0.38
TPM__TMEM263,38,0,0.38
TPM__FGD3,37,1,0.37
TPM__KRT14,37,2,0.37
TPM__TNFAIP8,37,0,0.37
TPM__LINC02541,37,2,0.37
METH__LHFPL2,37,1,0.37
METH__NRSN2,36,0,0.36
TPM__PLOD3,36,1,0.36
TPM__SEMA4A,36,1,0.36
METH__MIR934,36,0,0.36
TPM__MYG1-AS1,36,1,0.36
TPM__KIRREL3,36,0,0.36
TPM__MUC16,36,2,0.36
TPM__C1orf74,35,2,0.35
TPM__ARHGAP27,35,2,0.35
METH__SPRR2G,34,0,0.34
TPM__HNRNPA1P33,34,1,0.34
TPM__C16orf74,34,2,0.34
TPM__CNRIP1,34,1,0.34
METH__LPIN2,33,1,0.33
METH__ZNF323,33,0,0.33
