feature,Selection count,Pair count,CPSS Score
METH__KDELR2,100,50,1.0
TPM__IFNWP19,100,50,1.0
TPM__BNC1,100,50,1.0
CNV__FOXP1,92,42,0.92
METH__GCN1L1,85,36,0.85
CNV__TRIP11,80,32,0.8
CNV__TOP1,80,30,0.8
METH__IFT20,80,30,0.8
CNV__TSHR,79,29,0.79
CNV__MLH1,76,27,0.76
CNV__TRIM24,76,26,0.76
CNV__TRAF3,74,26,0.74
CNV__CCNB1IP1,73,24,0.73
CNV__SMO,72,26,0.72
METH__STRAP,72,24,0.72
METH__TMEM143,71,24,0.71
CNV__HSP90AA1,71,22,0.71
CNV__APC,71,25,0.71
METH__CCDC84,70,23,0.7
CNV__MAFB,69,25,0.69
CNV__KEL,69,24,0.69
CNV__GOLGA5,68,19,0.68
CNV__FGD5,68,20,0.68
METH__ZNF546,68,18,0.68
CNV__AFF4,67,20,0.67
METH__LSM11,66,18,0.66
CNV__IRF1,65,19,0.65
CNV__SS18L1,65,19,0.65
CNV__PPARG,65,20,0.65
METH__CGGBP1,65,15,0.65
CNV__CRNKL1,65,22,0.65
CNV__NCOR1,65,19,0.65
CNV__LOX,63,17,0.63
CNV__POT1,63,21,0.63
METH__CWF19L2,63,19,0.63
CNV__SND1,62,18,0.62
CNV__SRC,62,16,0.62
CNV__ASXL1,61,22,0.61
CNV__RUNX1T1,61,15,0.61
METH__ATP6V1D,61,15,0.61
CNV__BRAF,60,17,0.6
TPM__RNA5SP187,59,12,0.59
CNV__NFATC2,59,16,0.59
CNV__AJUBA,58,14,0.58
CNV__AKT1,57,14,0.57
METH__C17orf68,57,11,0.57
METH__TMEM106B,57,12,0.57
METH__VAV2,57,13,0.57
METH__C20orf12,57,12,0.57
CNV__FANCD2,56,12,0.56
METH__ZMAT5,56,10,0.56
METH__PPM1D,55,11,0.55
METH__ERCC3,55,12,0.55
CNV__TCL1A,53,11,0.53
CNV__VHL,53,11,0.53
CNV__PTPN6,53,13,0.53
CNV__PTK6,52,9,0.52
METH__UCRC,52,10,0.52
METH__CABIN1,52,11,0.52
CNV__DICER1,51,13,0.51
CNV__RBM38,51,12,0.51
CNV__EXT1,51,12,0.51
CNV__FAT2,50,12,0.5
CNV__GNAS,50,13,0.5
CNV__HIF1A,49,9,0.49
METH__SLC25A19,49,9,0.49
CNV__MRTFA,49,9,0.49
CNV__KTN1,48,10,0.48
CNV__SDHAF2,48,10,0.48
CNV__EZH2,47,9,0.47
CNV__KDM3B,46,5,0.46
CNV__PLCB4,46,9,0.46
CNV__PREX2,45,8,0.45
CNV__HEY1,45,7,0.45
METH__AP1B1,45,11,0.45
CNV__PDGFB,44,6,0.44
METH__RAD54B,44,6,0.44
CNV__CD74,44,6,0.44
CNV__PLCG1,42,10,0.42
CNV__FOXA2,42,5,0.42
METH__NRIP1,42,5,0.42
CNV__NRG1,42,7,0.42
METH__TMC1,41,8,0.41
CNV__UBE2D2,41,6,0.41
CNV__BCL11B,41,9,0.41
CNV__TCEA1,40,8,0.4
CNV__KMT2C,39,3,0.39
CNV__NDRG1,39,6,0.39
METH__PTPN12,39,6,0.39
CNV__AKT2,39,5,0.39
CNV__UBR5,38,5,0.38
CNV__RHOA,38,5,0.38
METH__FASN,38,3,0.38
CNV__RECQL4,37,6,0.37
CNV__CREB3L2,37,2,0.37
METH__BBS9,37,5,0.37
METH__XPO5,37,6,0.37
CNV__TLX1,37,4,0.37
CNV__ZNF384,36,7,0.36
CNV__NBN,36,6,0.36
CNV__TLX3,36,7,0.36
METH__HMGCR,36,3,0.36
CNV__SUZ12,36,2,0.36
CNV__FAM135B,36,6,0.36
CNV__ARHGAP26,35,7,0.35
CNV__ZNF780A,35,4,0.35
METH__GNG10,35,7,0.35
CNV__EHD2,34,3,0.34
CNV__SIRPA,34,4,0.34
CNV__NCOA1,34,5,0.34
METH__C11orf73,33,7,0.33
METH__SYAP1,33,6,0.33
METH__MED7,33,4,0.33
TPM__VTRNA2-1,33,2,0.33
TPM__SNORA26,33,2,0.33
METH__CWC15,33,0,0.33
CNV__NCOA2,32,6,0.32
CNV__GNAI2,32,2,0.32
METH__DCDC1,32,2,0.32
CNV__SALL4,32,4,0.32
METH__MAD1L1,31,1,0.31
CNV__FANCA,31,4,0.31
CNV__CPEB3,31,1,0.31
CNV__EPHA7,31,4,0.31
CNV__ATF1,31,4,0.31
METH__GTPBP1,31,2,0.31
METH__ZNF251,30,3,0.3
