feature,Selection count,Pair count,CPSS Score
TPM__IKZF1,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__TUFT1,100,50,1.0
TPM__ARHGAP15,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__CETN2,100,50,1.0
TPM__RASSF7,100,50,1.0
TPM__FLI1,100,50,1.0
TPM__TJP1,100,50,1.0
TPM__TMED10,100,50,1.0
TPM__ABHD11,100,50,1.0
TPM__PDE1B,100,50,1.0
TPM__CEP170B,100,50,1.0
METH__BZRAP1,100,50,1.0
TPM__SLFN11,100,50,1.0
TPM__CARD8-AS1,100,50,1.0
METH__CCM2,100,50,1.0
TPM__RCSD1,99,49,0.99
TPM__DAG1,99,49,0.99
TPM__SSH3,99,49,0.99
TPM__RHBDF1,99,49,0.99
TPM__RHOH,99,49,0.99
METH__CUL1,98,48,0.98
TPM__FAM151B-DT,98,48,0.98
TPM__ARFGEF3,98,48,0.98
TPM__NCKAP1,97,47,0.97
TPM__DSP-AS1,96,46,0.96
TPM__CD38,96,46,0.96
TPM__HCLS1,96,46,0.96
TPM__SLC49A4,96,46,0.96
METH__KRTAP5-1,95,46,0.95
TPM__SDC3,95,45,0.95
TPM__PRR15-DT,95,45,0.95
TPM__SDSL,95,45,0.95
TPM__LAMB2,95,45,0.95
TPM__GNG12,94,44,0.94
TPM__PHLDB1,94,44,0.94
METH__ZNF615,94,44,0.94
TPM__RAC2,93,43,0.93
TPM__IQCJ-SCHIP1,92,43,0.92
TPM__ZCCHC7,92,42,0.92
TPM__NIBAN2,92,42,0.92
TPM__PARP11,92,42,0.92
TPM__LMX1B,91,41,0.91
METH__LAMB2,91,41,0.91
TPM__ELMO1,91,42,0.91
METH__SLC44A3,90,40,0.9
METH__BIN2,90,40,0.9
TPM__GPAT3,90,40,0.9
TPM__PRKCZ-AS1,88,41,0.88
TPM__CBY1,87,38,0.87
TPM__PRKCB,87,37,0.87
METH__MARVELD2,87,37,0.87
TPM__CORO1A,86,36,0.86
TPM__PRSS23,85,35,0.85
METH__CACNA1D,83,35,0.83
TPM__TM4SF1-AS1,83,33,0.83
TPM__GALNT11,83,35,0.83
METH__C9orf150,82,32,0.82
TPM__ACVR2A,81,33,0.81
METH__PTPRCAP,81,31,0.81
CNV__CCND3,80,30,0.8
TPM__SH3TC2-DT,80,31,0.8
TPM__GNGT2,79,31,0.79
METH__SEPT10,78,29,0.78
TPM__FBLIM1,76,28,0.76
METH__ANKRD57,76,27,0.76
METH__LMCD1,76,26,0.76
TPM__CORO1A-AS1,76,30,0.76
TPM__LEF1,75,27,0.75
TPM__PIK3CG,75,27,0.75
TPM__PTPN22,72,27,0.72
TPM__LINC01843,70,24,0.7
METH__HCLS1,66,20,0.66
METH__PTPRK,65,17,0.65
METH__PSMB8,65,20,0.65
METH__CDC42BPB,64,19,0.64
METH__ATOH1,64,20,0.64
METH__RGS14,58,16,0.58
METH__B2M,57,13,0.57
METH__TERF1,55,13,0.55
CNV__ABI1,55,9,0.55
METH__TMEM51,54,11,0.54
METH__LRIG3,54,10,0.54
METH__PARD3B,52,14,0.52
METH__ABHD10,51,11,0.51
CNV__MLLT10,50,6,0.5
METH__C17orf87,49,8,0.49
METH__GPR37,47,10,0.47
TPM__MIR200CHG,47,7,0.47
METH__PKP2,46,7,0.46
METH__SNX5,45,7,0.45
TPM__PRKY,43,5,0.43
METH__FAM47E,42,6,0.42
METH__TCF3,41,10,0.41
METH__TMEM149,41,5,0.41
CNV__MEN1,40,6,0.4
METH__TYROBP,39,8,0.39
METH__MIR574,39,2,0.39
CNV__KLF6,38,6,0.38
METH__SASH1,36,6,0.36
CNV__RBM39,34,2,0.34
CNV__RELA,34,5,0.34
METH__NRP1,34,5,0.34
CNV__TOP1,33,3,0.33
METH__ARHGEF1,33,2,0.33
METH__GULP1,30,7,0.3
METH__FAM84B,30,4,0.3
METH__DHRS7B,30,6,0.3
TPM__LINC01194,29,2,0.29
METH__CDC42EP4,27,2,0.27
METH__IMPDH1,27,1,0.27
METH__AADAT,27,3,0.27
CNV__ETNK1,26,1,0.26
METH__ZCCHC8,26,2,0.26
CNV__CREB3L1,25,1,0.25
METH__LCA5,25,2,0.25
METH__KLF4,25,0,0.25
METH__CDKN2D,24,2,0.24
CNV__EXT2,24,1,0.24
CNV__CCND2,24,3,0.24
CNV__PICALM,24,1,0.24
METH__ADAMTS9,23,2,0.23
METH__DSTN,22,2,0.22
METH__B9D1,22,0,0.22
CNV__KRAS,21,1,0.21
CNV__NCOA2,21,2,0.21
METH__CD2BP2,20,0,0.2
CNV__FES,20,2,0.2
TPM__RNVU1-26,20,0,0.2
METH__LRP6,19,0,0.19
METH__ZNF697,18,0,0.18
METH__MAP4K3,18,0,0.18
CNV__FLT3,17,1,0.17
TPM__SNORA20,16,0,0.16
TPM__RNU4-89P,15,0,0.15
METH__BIVM,15,1,0.15
METH__SUOX,15,2,0.15
METH__WWTR1,15,2,0.15
CNV__ZNF384,14,0,0.14
METH__RPIA,14,0,0.14
CNV__MCM3AP,14,0,0.14
CNV__ETV6,14,0,0.14
CNV__RUNX1,14,1,0.14
METH__TMEM134,13,0,0.13
CNV__PARP4,12,0,0.12
CNV__SOHLH2,12,0,0.12
CNV__ERC1,11,0,0.11
CNV__FANCD2,11,1,0.11
CNV__IFNAR1,11,1,0.11
CNV__DUSP16,11,0,0.11
TPM__RNA5SP187,11,0,0.11
CNV__NTRK3,10,0,0.1
METH__ITGB8,10,0,0.1
CNV__CDX2,10,0,0.1
CNV__FANCF,10,0,0.1
METH__PPIC,10,0,0.1
TPM__RNA5SP216,10,0,0.1
CNV__DDB2,9,0,0.09
METH__ARHGAP5,9,2,0.09
CNV__CHD4,9,0,0.09
CNV__BLM,9,0,0.09
METH__SRGAP1,9,0,0.09
CNV__ERG,9,0,0.09
CNV__ATF7IP,9,0,0.09
TPM__SNORA31,9,0,0.09
CNV__VHL,8,0,0.08
CNV__LMO1,8,0,0.08
TPM__RNVU1-25,8,0,0.08
CNV__PTPN6,8,0,0.08
CNV__FAM174B,8,0,0.08
CNV__TRAF7,8,0,0.08
CNV__LASP1,7,0,0.07
CNV__CRTC3,7,0,0.07
METH__C6orf217,7,1,0.07
CNV__RAD51D,7,1,0.07
CNV__MYOD1,7,0,0.07
CNV__TFG,7,0,0.07
TPM__SCARNA1,7,1,0.07
CNV__CDKN1B,7,0,0.07
CNV__FANCI,7,0,0.07
CNV__CHD2,7,0,0.07
CNV__U2AF2,7,0,0.07
CNV__BRCA2,7,0,0.07
CNV__XPC,7,0,0.07
METH__SPSB3,6,0,0.06
