feature,Selection count,Pair count,CPSS Score
METH__CCM2,100,50,1.0
TPM__GMFG,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__LAMB2,100,50,1.0
TPM__AMOTL2,100,50,1.0
TPM__CTTN,100,50,1.0
TPM__IRAG2,100,50,1.0
METH__PTPN14,100,50,1.0
TPM__PSTPIP1,100,50,1.0
TPM__RCSD1,100,50,1.0
TPM__MAP4K1,100,50,1.0
TPM__WAS,100,50,1.0
TPM__KRT15,100,50,1.0
TPM__IKZF1,100,50,1.0
TPM__SLC44A3-AS1,100,50,1.0
TPM__MIR142HG,100,50,1.0
METH__ANKRD44,100,50,1.0
METH__CCDC12,100,50,1.0
TPM__CORO1A-AS1,100,50,1.0
TPM__ITGA3,100,50,1.0
TPM__ACAP1,100,50,1.0
TPM__SDC4,100,50,1.0
METH__THAP10,100,50,1.0
TPM__MATN3,100,50,1.0
TPM__PTPRCAP,100,50,1.0
TPM__GPX8,100,50,1.0
TPM__LAPTM4A,100,50,1.0
METH__PTGR2,100,50,1.0
TPM__EGFR,100,50,1.0
TPM__TJP1,100,50,1.0
METH__LAMB2,100,50,1.0
METH__ERBB2,100,50,1.0
TPM__GNG12,100,50,1.0
TPM__EPHA2,100,50,1.0
METH__BCL9L,99,49,0.99
TPM__ARHGAP15,99,49,0.99
METH__PSMB8,99,49,0.99
METH__RAVER1,99,49,0.99
TPM__PDE1B,98,48,0.98
TPM__PIK3CG,97,47,0.97
TPM__BNAT1,96,46,0.96
METH__C14orf128,96,46,0.96
METH__KLF4,95,45,0.95
TPM__LINC00702,95,45,0.95
METH__TMEM51,95,45,0.95
TPM__HOXC13-AS,93,43,0.93
METH__TTC23,92,42,0.92
METH__TMEM149,92,42,0.92
METH__PTPRK,91,41,0.91
METH__LRRC49,91,41,0.91
METH__GPR125,91,41,0.91
METH__THBS1,91,41,0.91
METH__NPAS2,91,43,0.91
METH__TCF3,90,40,0.9
METH__GABARAPL1,90,40,0.9
METH__TERF1,87,37,0.87
METH__KIAA1949,85,35,0.85
METH__GPR39,84,36,0.84
METH__EVL,77,29,0.77
METH__HSP90AA1,77,30,0.77
METH__INTU,75,26,0.75
METH__BACE1,74,24,0.74
METH__DSTN,73,27,0.73
METH__RBAK,73,23,0.73
METH__ENAH,72,26,0.72
METH__ARSJ,72,25,0.72
METH__ATG4D,70,21,0.7
METH__TMEM49,70,23,0.7
METH__PPIC,67,19,0.67
METH__NRP1,66,18,0.66
METH__C9orf150,65,18,0.65
TPM__H2BP1,59,18,0.59
METH__PCGF2,59,16,0.59
CNV__MAML2,58,13,0.58
METH__CHCHD4,55,10,0.55
CNV__KLF6,55,11,0.55
CNV__SDHA,51,8,0.51
METH__SLC1A1,51,10,0.51
METH__TRIM3,49,12,0.49
METH__TEAD1,47,8,0.47
METH__SGTB,43,5,0.43
CNV__TERT,42,7,0.42
CNV__NKX2-1,42,6,0.42
CNV__FANCM,42,6,0.42
METH__LAPTM4A,41,3,0.41
METH__ZNF57,41,3,0.41
CNV__MAP3K1,41,6,0.41
METH__EAF2,40,6,0.4
METH__HIF1AN,39,4,0.39
METH__LNPEP,38,9,0.38
METH__ACTN1,38,3,0.38
METH__MPP5,36,4,0.36
METH__ZNF697,34,6,0.34
METH__UBE2C,34,4,0.34
CNV__EP300,34,3,0.34
CNV__MRTFA,33,3,0.33
METH__ITGB8,33,3,0.33
CNV__DROSHA,33,4,0.33
METH__RGMB,33,5,0.33
CNV__NFKBIA,32,4,0.32
METH__SMAD1,32,2,0.32
CNV__CDH10,32,3,0.32
CNV__FOXA1,30,3,0.3
CNV__HIF1A,28,3,0.28
METH__FAT1,28,4,0.28
CNV__ARHGAP5,28,3,0.28
CNV__FN1,26,1,0.26
METH__RAPH1,26,2,0.26
CNV__PSIP1,26,1,0.26
CNV__MLLT3,25,3,0.25
METH__IQCB1,24,2,0.24
METH__MOBKL1A,23,3,0.23
CNV__CCNB1IP1,21,0,0.21
CNV__CDK4,21,1,0.21
CNV__IL6ST,20,2,0.2
METH__MRPS35,20,1,0.2
METH__CMTM1,20,2,0.2
METH__TPX2,20,1,0.2
CNV__LIFR,20,2,0.2
CNV__PLCB4,19,1,0.19
METH__TEAD4,18,0,0.18
CNV__MAX,18,2,0.18
CNV__SIX1,18,0,0.18
CNV__PPP2R1A,16,0,0.16
CNV__ACSL3,16,0,0.16
CNV__MAP2,15,0,0.15
METH__AHI1,15,0,0.15
CNV__PAX3,15,0,0.15
METH__C7orf70,15,0,0.15
METH__C18orf19,14,0,0.14
CNV__COL2A1,14,0,0.14
CNV__BIRC6,14,0,0.14
METH__WDR43,13,0,0.13
CNV__BARD1,13,1,0.13
CNV__PDPR,13,2,0.13
CNV__NIN,13,0,0.13
CNV__SP140,13,0,0.13
CNV__FEV,12,0,0.12
CNV__PTMA,12,0,0.12
CNV__LRIG3,12,0,0.12
CNV__MECOM,12,0,0.12
CNV__ETV5,11,0,0.11
CNV__ACKR3,11,0,0.11
CNV__NIPBL,11,1,0.11
CNV__ATIC,11,0,0.11
CNV__CMTR2,11,0,0.11
METH__LRBA,11,0,0.11
CNV__CTCF,11,0,0.11
CNV__CUL3,11,0,0.11
CNV__KTN1,11,0,0.11
CNV__EGR2,10,0,0.1
METH__SRP72,10,0,0.1
METH__RHOT1,10,0,0.1
CNV__DIS3,10,0,0.1
METH__ARRDC3,10,0,0.1
CNV__DDIT3,10,0,0.1
METH__WIBG,10,1,0.1
CNV__IL7R,10,0,0.1
METH__LRP6,10,0,0.1
CNV__PRRX1,9,1,0.09
CNV__CCDC6,9,0,0.09
METH__DHX57,9,0,0.09
CNV__MEN1,9,0,0.09
CNV__U2AF2,9,0,0.09
CNV__CBFB,9,0,0.09
CNV__ACVR1,9,0,0.09
CNV__CDH1,9,0,0.09
METH__GIT2,9,1,0.09
CNV__CREB1,9,0,0.09
CNV__NFE2L2,9,0,0.09
CNV__GPHN,9,0,0.09
CNV__ERCC3,8,0,0.08
CNV__ESRRA,8,0,0.08
CNV__ARID2,8,0,0.08
METH__NHLRC3,8,1,0.08
CNV__NCOA4,8,0,0.08
CNV__PTCH1,8,0,0.08
CNV__USP6,8,0,0.08
CNV__SLC34A2,8,0,0.08
CNV__PTEN,8,0,0.08
CNV__MAF,8,0,0.08
METH__TMTC3,8,1,0.08
CNV__ZNF208,8,0,0.08
CNV__RET,7,0,0.07
CNV__ERBB4,7,0,0.07
METH__PCCA,7,0,0.07
METH__ZNF623,7,0,0.07
METH__LOC100129716,7,0,0.07
CNV__GLI1,7,0,0.07
METH__MORN2,7,0,0.07
METH__ZNF226,7,0,0.07
CNV__TGFBR2,7,0,0.07
CNV__MARK2,7,1,0.07
METH__C6orf217,7,0,0.07
CNV__ZCRB1,7,0,0.07
CNV__NAB2,6,0,0.06
CNV__HOXD11,6,0,0.06
METH__PTPN21,6,0,0.06
CNV__TMEM127,6,0,0.06
CNV__DICER1,6,1,0.06
CNV__ZFHX3,6,0,0.06
METH__UBR3,6,0,0.06
CNV__SATB1,6,0,0.06
CNV__NR4A3,6,0,0.06
MUT__CBLC,6,0,0.06
CNV__MAP3K13,6,0,0.06
METH__ZNF498,6,0,0.06
CNV__FGFR2,6,0,0.06
CNV__PER1,6,0,0.06
METH__EFNA5,6,0,0.06
CNV__TEC,6,0,0.06
CNV__ZNF148,6,0,0.06
METH__ZNF224,6,0,0.06
CNV__HSP90AA1,6,0,0.06
CNV__LCK,5,0,0.05
CNV__AKT1,5,0,0.05
METH__ATP6V1D,5,0,0.05
CNV__RAD51B,5,0,0.05
METH__TOP2A,5,0,0.05
CNV__ERCC4,5,0,0.05
CNV__STAT6,5,0,0.05
CNV__NT5C2,5,0,0.05
CNV__SDHC,5,0,0.05
CNV__IDH1,5,0,0.05
CNV__XPC,5,0,0.05
METH__NR4A2,5,0,0.05
CNV__SUFU,5,0,0.05
CNV__MLH1,5,0,0.05
CNV__TLX1,4,0,0.04
CNV__BMPR1A,4,0,0.04
CNV__CPEB3,4,0,0.04
METH__THNSL1,4,0,0.04
CNV__DNAJB1,4,0,0.04
CNV__NCOR2,4,0,0.04
METH__BBS9,4,0,0.04
CNV__POLQ,4,0,0.04
CNV__LMO2,4,0,0.04
METH__SKI,4,0,0.04
CNV__NFKB2,4,0,0.04
METH__NUDT2,4,0,0.04
CNV__FAS,4,0,0.04
CNV__REL,4,1,0.04
CNV__TNFRSF17,4,0,0.04
CNV__MYD88,4,0,0.04
METH__ASPM,4,0,0.04
CNV__SOX9,4,0,0.04
CNV__EPS15,4,0,0.04
CNV__PRR14,4,0,0.04
CNV__CNTRL,4,0,0.04
CNV__EPAS1,4,0,0.04
