feature,Selection count,Pair count,CPSS Score
TPM__SSR1,100,50,1.0
TPM__TNF,97,47,0.97
TPM__NECTIN3,92,42,0.92
TPM__NUCB2,90,40,0.9
METH__FAM78A,89,39,0.89
METH__METTL11A,87,37,0.87
TPM__SNHG18,86,36,0.86
TPM__CAPRIN2,84,34,0.84
TPM__EXOC2,83,33,0.83
TPM__BOD1,79,29,0.79
TPM__RASAL2-AS1,79,29,0.79
TPM__BCL2L1,74,24,0.74
METH__HAVCR2,73,23,0.73
TPM__SQSTM1,73,23,0.73
TPM__FRMD5,72,22,0.72
TPM__CALM2,71,21,0.71
TPM__FARS2,71,21,0.71
METH__HNF4G,70,20,0.7
TPM__RPS18,69,19,0.69
TPM__EHBP1,69,19,0.69
TPM__EVL,69,19,0.69
TPM__TSPAN3,67,18,0.67
TPM__C1orf226,66,19,0.66
TPM__GPX3,66,16,0.66
METH__PLCE1,63,16,0.63
TPM__TBILA,62,14,0.62
TPM__PRP4K,62,13,0.62
TPM__LRIG3,59,11,0.59
METH__ULBP3,57,8,0.57
TPM__ACAP1,57,8,0.57
TPM__GNG12,57,9,0.57
TPM__TAF11,56,11,0.56
METH__MIR365-1,55,8,0.55
TPM__EPHA2,55,8,0.55
TPM__TBC1D10C,53,4,0.53
TPM__MAP4K1,51,8,0.51
TPM__ARSJ,51,5,0.51
TPM__ATP2A3,50,4,0.5
METH__TP53I3,50,3,0.5
METH__HSP90AA1,48,4,0.48
TPM__CRIM1-DT,47,4,0.47
TPM__PYGB,46,2,0.46
TPM__LRRC8A,46,4,0.46
METH__SLC25A27,45,4,0.45
TPM__TP53I3,45,2,0.45
TPM__SH3BP4,44,1,0.44
METH__SNX7,43,3,0.43
TPM__FMNL1,43,4,0.43
TPM__CSNK2B,42,3,0.42
TPM__ARHGEF10L,42,1,0.42
TPM__PRRC2A,42,6,0.42
METH__ERRFI1,41,0,0.41
TPM__ITGB8,39,3,0.39
TPM__EPCAM-DT,38,0,0.38
TPM__PLCE1,38,3,0.38
METH__LYPD1,38,3,0.38
METH__JUB,38,2,0.38
TPM__GLIS2,38,3,0.38
TPM__HSPA12A,37,1,0.37
TPM__SHB,37,0,0.37
METH__ZNF214,36,3,0.36
TPM__CARD10,36,0,0.36
METH__NUDT16,36,0,0.36
TPM__SEPTIN6,35,0,0.35
TPM__HKDC1,35,1,0.35
TPM__LINC01843,34,1,0.34
METH__TMEM149,34,1,0.34
TPM__NUDT16L2P,34,2,0.34
TPM__BEND7,34,0,0.34
TPM__LDLRAD4,33,1,0.33
TPM__FRAT1,33,0,0.33
METH__KIF21A,33,1,0.33
METH__GAS2L3,32,0,0.32
METH__ENPP1,32,1,0.32
TPM__RTN4,32,3,0.32
METH__SCML1,32,1,0.32
METH__ANKRD44,31,0,0.31
TPM__PROCR,31,3,0.31
TPM__RTKN,31,2,0.31
TPM__DDX39B,31,0,0.31
METH__EVL,31,3,0.31
METH__CCDC88B,30,0,0.3
TPM__CYTH4,30,0,0.3
METH__IL2RB,30,0,0.3
TPM__TMEM51,30,0,0.3
TPM__JARID2,29,0,0.29
METH__PLEKHA1,29,0,0.29
METH__MIR142,29,0,0.29
TPM__PHF7,29,2,0.29
TPM__NACC2,28,0,0.28
TPM__ALOX5AP,28,2,0.28
TPM__ABT1,27,0,0.27
TPM__PRSS23,26,0,0.26
TPM__SDC1,26,0,0.26
METH__DSTN,26,0,0.26
METH__RBM9,26,2,0.26
TPM__DCBLD2,26,1,0.26
TPM__RNASEH2B,25,3,0.25
TPM__HS3ST1,25,0,0.25
TPM__PFN2,25,0,0.25
TPM__SRC,25,1,0.25
TPM__RHPN2,25,1,0.25
TPM__PSORS1C1,24,1,0.24
METH__BCMO1,24,1,0.24
METH__RHOH,24,0,0.24
METH__SYT17,24,0,0.24
METH__SIRT2,24,0,0.24
TPM__CDC42BPB,24,0,0.24
TPM__UACA,24,0,0.24
METH__DOK2,23,0,0.23
TPM__POLR1H,23,6,0.23
TPM__KLF3,22,4,0.22
METH__RASSF1,22,0,0.22
TPM__LINC00511,22,0,0.22
TPM__RCSD1,22,0,0.22
METH__SGSM1,22,0,0.22
TPM__TMEM17,22,2,0.22
TPM__FKBP9,22,0,0.22
TPM__NOS1AP,22,0,0.22
METH__ITGA4,22,5,0.22
METH__KCNK1,21,1,0.21
TPM__AHNAK2,21,0,0.21
TPM__ARHGEF6,21,1,0.21
METH__MMRN1,21,2,0.21
METH__SELPLG,21,0,0.21
TPM__TNFRSF12A,20,0,0.2
TPM__PLEKHA1,20,0,0.2
TPM__TM4SF1,20,0,0.2
TPM__LAMA5,20,0,0.2
METH__C9orf78,20,0,0.2
METH__USP20,20,0,0.2
TPM__MYRF,19,0,0.19
TPM__LSM2,19,5,0.19
TPM__EPS8,19,1,0.19
METH__UGGT2,19,0,0.19
TPM__TRNP1,19,0,0.19
METH__BZRAP1,19,0,0.19
TPM__SPATA20,18,2,0.18
TPM__EVI2B,18,0,0.18
TPM__PIK3CG,18,0,0.18
TPM__PPARG,18,2,0.18
TPM__SPATS2L,18,0,0.18
TPM__ASPH,18,0,0.18
TPM__MTO1,18,4,0.18
TPM__RASGRP2,18,0,0.18
TPM__CLDN12,17,0,0.17
TPM__NCKAP1L,17,0,0.17
METH__SASH1,17,0,0.17
TPM__FAM78A,17,0,0.17
METH__SASH3,17,4,0.17
METH__CYP39A1,17,0,0.17
TPM__CAPN2,17,0,0.17
TPM__ARHGAP15,17,0,0.17
TPM__RHOH,17,0,0.17
METH__HSPC159,17,1,0.17
METH__LYPD6,16,0,0.16
METH__CAP2,16,0,0.16
METH__PRRG1,16,1,0.16
METH__B3GNT5,16,2,0.16
TPM__LAMC1,16,2,0.16
METH__ST7OT1,15,4,0.15
METH__MYO1G,15,0,0.15
METH__ST7OT4,15,4,0.15
METH__RUFY1,15,3,0.15
METH__FOXQ1,15,1,0.15
TPM__BTC,15,4,0.15
TPM__KITLG,14,5,0.14
METH__LGMN,14,0,0.14
METH__TSPAN12,14,0,0.14
TPM__TEAD1,14,0,0.14
TPM__GPSM3,14,0,0.14
METH__RGS1,14,2,0.14
TPM__PDE1B,14,0,0.14
TPM__PLS3,14,0,0.14
METH__THAP10,14,0,0.14
TPM__LCP1,14,1,0.14
TPM__MID1,14,2,0.14
TPM__BLOC1S5,13,0,0.13
TPM__IKZF1,13,0,0.13
TPM__AOPEP,13,3,0.13
TPM__NPHP1,13,1,0.13
TPM__CRIM1,13,1,0.13
TPM__RIOK1,13,0,0.13
TPM__ARMH1,13,2,0.13
METH__PKN1,13,0,0.13
TPM__DOCK1,13,0,0.13
TPM__DSG2,13,2,0.13
METH__COBL,13,0,0.13
TPM__LTBP3,13,2,0.13
METH__RPS6KA1,13,2,0.13
TPM__PHLDB1,12,0,0.12
TPM__PRRG1,12,2,0.12
TPM__SEMA3B,12,2,0.12
TPM__AGAP2,12,0,0.12
METH__AADAT,12,1,0.12
TPM__EGFR,12,0,0.12
TPM__IQCJ-SCHIP1,12,0,0.12
TPM__WASL,12,0,0.12
METH__POLD3,12,1,0.12
METH__RINL,12,0,0.12
TPM__TRIM27,12,3,0.12
TPM__IGFBP6,12,1,0.12
METH__FRMD5,12,2,0.12
TPM__MGAT4B,12,0,0.12
METH__CDKN2D,12,2,0.12
TPM__PLCD3,12,0,0.12
TPM__THAP10,11,1,0.11
METH__PFKFB2,11,2,0.11
TPM__SCML1,11,0,0.11
TPM__FERMT3,11,0,0.11
METH__PROCA1,11,2,0.11
METH__FERMT3,11,0,0.11
METH__GPR171,11,2,0.11
TPM__NHSL3,11,0,0.11
METH__MGAT1,11,3,0.11
TPM__ZDHHC1,11,3,0.11
