feature,Selection count,Pair count,CPSS Score
TPM__ANKRD1,100,50,1.0
TPM__ARHGAP9,100,50,1.0
TPM__FAM78A,100,50,1.0
METH__MIR142,100,50,1.0
TPM__SRGAP1,100,50,1.0
TPM__PTGR1,100,50,1.0
TPM__PRSS23,100,50,1.0
TPM__KLF3-AS1,100,50,1.0
TPM__ARSJ,100,50,1.0
TPM__EHD2,100,50,1.0
TPM__IL13RA1,100,50,1.0
TPM__IKZF1,100,50,1.0
TPM__SEPTIN6,100,50,1.0
TPM__RN7SL689P,100,50,1.0
TPM__ZNF205,100,50,1.0
TPM__SDC4,100,50,1.0
TPM__SLC4A3,100,50,1.0
TPM__PPP1R26-AS1,100,50,1.0
TPM__NECTIN2,100,50,1.0
TPM__MATN3,100,50,1.0
TPM__ABCC3,100,50,1.0
TPM__TNFRSF12A,100,50,1.0
TPM__LAMC2,100,50,1.0
TPM__DLG5,100,50,1.0
TPM__RBPMS-AS1,100,50,1.0
TPM__GPRC5A,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__MID1,100,50,1.0
METH__PTPN14,100,50,1.0
TPM__EGFR,100,50,1.0
TPM__TJP1,100,50,1.0
TPM__CETN2,100,50,1.0
TPM__LINC01836,100,50,1.0
TPM__COL6A1,100,50,1.0
TPM__LINC00857,99,49,0.99
TPM__TNKS1BP1,99,49,0.99
TPM__NTN4,99,49,0.99
TPM__NDST1,99,49,0.99
TPM__PTPRC,99,49,0.99
TPM__CD53,99,49,0.99
TPM__NHSL3,98,48,0.98
TPM__PSTPIP1,98,48,0.98
TPM__SFTA1P,98,48,0.98
TPM__GPX8,98,48,0.98
METH__MIR574,97,47,0.97
TPM__MIR3936HG,97,47,0.97
METH__TMEM51,97,47,0.97
TPM__IFNWP19,97,47,0.97
METH__LOC148709,96,46,0.96
METH__PSMB8,95,45,0.95
TPM__TMEM132A,94,45,0.94
TPM__PPP1R16B,93,43,0.93
METH__AMOTL2,93,43,0.93
METH__NRP1,91,41,0.91
TPM__NEURL3,91,41,0.91
METH__KLF4,89,39,0.89
