feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__SEPTIN6,100,50,1.0,0.09000000357627869,-0.28,0.19,True,1.0
METH__ABHD10,100,50,1.0,0.05999999865889549,-0.22,0.15,True,1.0
METH__FEZ2,100,50,1.0,0.029999999329447746,-0.15,0.16,True,1.0
TPM__CCND2,100,50,1.0,0.019999999552965164,-0.13,0.17,True,1.0
METH__LRFN1,99,49,0.99,0.0,-0.09,0.16,True,1.0
METH__ZNF414,99,49,0.99,0.019999999552965164,0.09,0.16,True,1.0
TPM__CDH12P2,99,49,0.99,0.019999999552965164,-0.11,0.16,True,1.0
METH__C1orf212,99,49,0.99,0.07000000029802322,-0.24,0.16,True,1.0
METH__RNFT1,98,48,0.98,0.05000000074505806,-0.15,0.15,True,1.0
TPM__MT1A,98,48,0.98,0.019999999552965164,0.14,0.16,True,1.0
METH__N4BP2L2,98,48,0.98,0.05000000074505806,-0.16,0.16,True,1.0
METH__ACO1,97,47,0.97,0.0,0.0,0.16,True,0.992
TPM__RNA5SP187,96,46,0.96,0.029999999329447746,-0.16,0.21,True,0.832
TPM__NPEPPSP2,94,44,0.94,0.0,-0.07,0.16,True,0.181
TPM__RNVU1-31,93,43,0.93,0.0,-0.03,0.16,True,0.053
TPM__SCARNA22,92,42,0.92,0.019999999552965164,-0.12,0.15,False,0.013
TPM__HSBP1P2,91,41,0.91,0.009999999776482582,0.08,0.16,False,0.002
METH__INPP5K,89,39,0.89,0.009999999776482582,-0.11,0.17,False,0.0
TPM__SNORA80E,89,39,0.89,0.009999999776482582,-0.08,0.23,False,0.0
METH__TUBA1C,88,38,0.88,0.05000000074505806,-0.13,0.18,False,0.0
TPM__SNORA2C,86,36,0.86,0.0,0.01,0.17,False,0.0
METH__USP3,83,33,0.83,0.009999999776482582,-0.08,0.17,False,0.0
METH__C2orf64,82,32,0.82,0.019999999552965164,-0.11,0.16,False,0.0
TPM__RPS28P5,81,31,0.81,0.0,0.0,0.18,False,0.0
CNV__FBLN1,80,31,0.8,0.0,0.04,0.18,False,0.0
METH__WDSUB1,79,30,0.79,0.009999999776482582,-0.11,0.16,False,0.0
TPM__CKS1BP2,77,28,0.77,0.0,0.05,0.21,False,0.0
MUT__BRAF,76,26,0.76,0.019999999552965164,0.15,0.25,False,0.0
METH__NEK4,76,28,0.76,0.029999999329447746,-0.13,0.19,False,0.0
TPM__SNORA31,74,27,0.74,0.0,-0.01,0.15,False,0.0
TPM__RNVU1-26,74,25,0.74,0.009999999776482582,-0.1,0.2,False,0.0
CNV__AJUBA,73,24,0.73,0.019999999552965164,0.14,0.18,False,0.0
TPM__SNORA80B,73,24,0.73,0.009999999776482582,-0.1,0.18,False,0.0
CNV__CCNB1IP1,66,21,0.66,0.019999999552965164,0.13,0.19,False,0.0
TPM__SNORA15,65,16,0.65,0.0,0.05,0.19,False,0.0
METH__EIF4G2,64,16,0.64,0.0,0.06,0.15,False,0.0
TPM__RNA5SP203,63,19,0.63,0.009999999776482582,-0.09,0.16,False,0.0
CNV__MARK2,61,16,0.61,0.019999999552965164,0.13,0.15,False,0.0
MUT__PTEN,58,10,0.58,0.009999999776482582,0.11,0.26,False,0.0
TPM__SNORA71D,55,12,0.55,0.0,0.05,0.15,False,0.0
TPM__SNORA80A,55,12,0.55,0.0,0.04,0.16,False,0.0
MUT__ARID1A,54,9,0.54,0.019999999552965164,0.12,0.25,False,0.002
TPM__SNORA2B,54,14,0.54,0.009999999776482582,-0.09,0.16,False,0.0
METH__POM121,53,11,0.53,0.009999999776482582,-0.1,0.16,False,0.0
METH__TBC1D22A,53,8,0.53,0.019999999552965164,-0.05,0.17,False,0.013
METH__FAM168A,53,7,0.53,0.019999999552965164,-0.11,0.17,True,0.053
TPM__RNA5SP323,53,8,0.53,0.009999999776482582,-0.1,0.2,False,0.013
TPM__SNORA20,52,7,0.52,0.0,-0.07,0.15,True,0.053
METH__ZMYND17,50,11,0.5,0.009999999776482582,0.05,0.16,False,0.0
TPM__SNORA27,50,12,0.5,0.0,-0.08,0.18,False,0.0
METH__SNORD25,49,9,0.49,0.009999999776482582,0.1,0.16,False,0.002
TPM__SNORA16B,48,7,0.48,0.009999999776482582,-0.11,0.19,True,0.053
MUT__PIK3R1,47,4,0.47,0.019999999552965164,0.13,0.26,True,0.832
CNV__CHD4,46,8,0.46,0.009999999776482582,0.1,0.16,False,0.013
TPM__SNORA72,46,11,0.46,0.0,-0.02,0.16,False,0.0
CNV__MYH9,46,6,0.46,0.0,0.02,0.19,True,0.181
METH__SLC7A6,46,7,0.46,0.0,0.11,0.15,True,0.053
TPM__SNORA2A,46,6,0.46,0.0,0.01,0.19,True,0.181
TPM__RNU4-89P,46,9,0.46,0.009999999776482582,-0.07,0.16,False,0.002
METH__C14orf80,45,7,0.45,0.0,0.06,0.16,True,0.053
METH__C10orf118,44,6,0.44,0.009999999776482582,-0.09,0.15,True,0.181
CNV__ZBTB20,43,5,0.43,0.019999999552965164,0.14,0.17,True,0.458
METH__RBM7,43,4,0.43,0.0,-0.14,0.18,True,0.832
CNV__ZNF331,42,7,0.42,0.009999999776482582,0.08,0.17,True,0.053
CNV__SETBP1,42,7,0.42,0.0,-0.05,0.16,True,0.053
CNV__MITF,41,8,0.41,0.009999999776482582,0.09,0.17,False,0.013
CNV__ETV6,41,9,0.41,0.009999999776482582,0.07,0.19,False,0.002
CNV__DOT1L,40,5,0.4,0.0,-0.04,0.17,True,0.458
TPM__SNORA70,40,7,0.4,0.0,-0.03,0.16,True,0.053
MUT__HLA-A,40,3,0.4,0.0,-0.08,0.21,True,0.992
CNV__DUSP16,39,8,0.39,0.009999999776482582,0.07,0.19,False,0.013
CNV__ELL,39,5,0.39,0.0,-0.02,0.17,True,0.458
METH__WIPI2,39,6,0.39,0.009999999776482582,-0.1,0.16,True,0.181
METH__DHFRL1,38,1,0.38,0.009999999776482582,-0.12,0.18,True,1.0
METH__TOMM22,38,6,0.38,0.0,0.0,0.16,True,0.181
TPM__SCARNA4,37,3,0.37,0.0,-0.02,0.2,True,0.992
TPM__SNORA46,37,4,0.37,0.0,-0.02,0.18,True,0.832
CNV__PEG3,37,4,0.37,0.009999999776482582,0.09,0.17,True,0.832
CNV__CCND2,37,7,0.37,0.0,0.1,0.16,True,0.053
CNV__NEFH,37,6,0.37,0.0,0.02,0.21,True,0.181
CNV__ATF7IP,36,7,0.36,0.009999999776482582,0.08,0.19,True,0.053
CNV__MRTFA,34,3,0.34,0.0,0.04,0.17,True,0.992
CNV__ITK,34,6,0.34,0.009999999776482582,0.1,0.16,True,0.181
CNV__PTPN6,32,5,0.32,0.009999999776482582,0.09,0.16,True,0.458
TPM__RNU6ATAC,32,3,0.32,0.0,0.06,0.2,True,0.992
METH__TMEM60,32,2,0.32,0.009999999776482582,-0.09,0.19,True,1.0
CNV__ZNF384,31,5,0.31,0.009999999776482582,0.1,0.16,True,0.458
METH__MLL,31,1,0.31,0.0,-0.01,0.15,True,1.0
