feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL11A,97,47,0.97,0.23000000417232513,-0.45,0.2,True,0.992
TPM__TNFRSF12A,97,47,0.97,0.23000000417232513,0.47,0.25,True,0.992
TPM__CD53,90,40,0.9,0.20000000298023224,-0.32,0.22,False,0.0
TPM__ARHGAP29,84,35,0.84,0.18000000715255737,0.44,0.2,False,0.0
TPM__LIF,74,26,0.74,0.18000000715255737,0.43,0.21,False,0.0
TPM__PHLDA2,73,25,0.73,0.18000000715255737,0.39,0.23,False,0.0
TPM__MEI1,71,21,0.71,0.03999999910593033,-0.37,0.21,False,0.0
TPM__MCPH1,68,18,0.68,0.15000000596046448,-0.33,0.23,False,0.0
TPM__TGIF1,66,18,0.66,0.12999999523162842,0.39,0.25,False,0.0
TPM__NQO1,64,16,0.64,0.18000000715255737,0.46,0.2,False,0.0
METH__HDAC7,63,14,0.63,0.14000000059604645,-0.44,0.21,False,0.0
TPM__AKR1A1,62,17,0.62,0.12999999523162842,-0.35,0.2,False,0.0
METH__TNFSF4,62,14,0.62,0.14000000059604645,0.4,0.2,False,0.0
METH__RGS14,59,16,0.59,0.18000000715255737,0.43,0.19,False,0.0
TPM__GALNT10,54,11,0.54,0.10999999940395355,0.36,0.21,False,0.0
TPM__SEC11A,47,6,0.47,0.03999999910593033,0.34,0.24,True,0.181
TPM__BCL7C,47,6,0.47,0.05000000074505806,0.34,0.21,True,0.181
METH__MIR145,47,2,0.47,0.10999999940395355,0.39,0.2,True,1.0
METH__MYBPHL,46,6,0.46,0.1599999964237213,0.37,0.21,True,0.181
METH__NFAM1,44,6,0.44,0.10000000149011612,0.29,0.23,True,0.181
METH__DGKZ,43,4,0.43,0.20000000298023224,0.46,0.23,True,0.832
TPM__NAP1L1,43,6,0.43,0.10999999940395355,-0.3,0.21,True,0.181
METH__EVL,42,3,0.42,0.15000000596046448,0.3,0.21,True,0.992
TPM__RN7SL689P,42,3,0.42,0.14000000059604645,0.4,0.19,True,0.992
TPM__PLEKHA1,41,3,0.41,0.05999999865889549,0.18,0.21,True,0.992
METH__CHD8,39,5,0.39,0.12999999523162842,0.36,0.25,True,0.458
METH__INPP5D,35,3,0.35,0.18000000715255737,0.4,0.22,True,0.992
METH__PRAC,35,4,0.35,0.09000000357627869,0.32,0.2,True,0.832
TPM__LINC02454,34,3,0.34,0.07000000029802322,0.36,0.22,True,0.992
TPM__PTPN14,34,2,0.34,0.10999999940395355,0.3,0.21,True,1.0
TPM__MYOM2,34,3,0.34,0.07000000029802322,-0.26,0.2,True,0.992
METH__FAM129C,31,2,0.31,0.20000000298023224,0.41,0.19,True,1.0
TPM__AOPEP,31,2,0.31,0.07000000029802322,0.3,0.19,True,1.0
TPM__B4GALT4,30,1,0.3,0.07000000029802322,0.34,0.2,True,1.0
METH__SSTR5,30,1,0.3,0.07000000029802322,-0.21,0.21,True,1.0
TPM__RN7SL75P,29,1,0.29,0.05999999865889549,-0.21,0.2,True,1.0
TPM__NOL3,26,1,0.26,0.10999999940395355,0.3,0.21,True,1.0
METH__CORO1B,26,2,0.26,0.17000000178813934,0.41,0.23,True,1.0
TPM__GAA,24,3,0.24,0.019999999552965164,0.16,0.2,True,0.992
TPM__LOX,22,1,0.22,0.05000000074505806,0.31,0.21,True,1.0
METH__PPAP2C,21,0,0.21,0.009999999776482582,-0.06,0.21,False,
METH__CTGF,21,0,0.21,0.11999999731779099,-0.31,0.25,False,
METH__GPR132,21,2,0.21,0.10000000149011612,0.27,0.19,True,1.0
TPM__GATA6-AS1,21,1,0.21,0.05000000074505806,0.29,0.26,True,1.0
METH__NLRC3,20,0,0.2,0.20000000298023224,0.4,0.22,False,
METH__MT2A,19,0,0.19,0.12999999523162842,-0.31,0.17,False,
TPM__MPZ,19,1,0.19,0.019999999552965164,-0.2,0.22,True,1.0
TPM__NUDT11,17,0,0.17,0.019999999552965164,-0.15,0.2,False,
METH__CRYBG3,17,0,0.17,0.07999999821186066,0.33,0.19,False,
TPM__SOWAHC,17,0,0.17,0.10999999940395355,0.3,0.2,False,
METH__ZBTB48,17,0,0.17,0.05999999865889549,-0.08,0.22,False,
TPM__GUSBP15,17,0,0.17,0.07000000029802322,-0.23,0.22,False,
METH__AP1B1,16,0,0.16,0.14000000059604645,0.38,0.19,False,
METH__PARVG,16,0,0.16,0.03999999910593033,0.2,0.2,False,
METH__TGIF2,16,0,0.16,0.09000000357627869,0.31,0.2,False,
TPM__FNDC4,16,0,0.16,0.09000000357627869,0.29,0.2,False,
TPM__IMPDH2,15,0,0.15,0.07999999821186066,-0.28,0.2,False,
TPM__PFDN1,13,0,0.13,0.009999999776482582,0.2,0.21,False,
METH__GP5,13,0,0.13,0.10999999940395355,0.29,0.2,False,
METH__UGT1A5,13,0,0.13,0.05999999865889549,0.25,0.19,False,
TPM__RASSF2,11,0,0.11,0.03999999910593033,-0.16,0.28,False,
TPM__CAST,10,0,0.1,0.10999999940395355,0.38,0.21,False,
TPM__MANBAL,9,1,0.09,0.05999999865889549,0.24,0.24,True,1.0
METH__COL17A1,8,0,0.08,0.07000000029802322,0.27,0.25,False,
TPM__SYDE2,7,0,0.07,0.009999999776482582,0.15,0.19,False,
TPM__FBXO27,7,0,0.07,0.05999999865889549,0.25,0.19,False,
TPM__CD22,7,1,0.07,0.029999999329447746,0.08,0.22,True,1.0
METH__FAM190A,7,0,0.07,0.0,-0.02,0.21,False,
METH__WNT2,6,0,0.06,0.0,0.03,0.2,False,
TPM__NXPH4,6,0,0.06,0.0,-0.05,0.23,False,
METH__MGC14436,6,0,0.06,0.019999999552965164,-0.14,0.31,False,
METH__KCNK1,6,0,0.06,0.10000000149011612,-0.31,0.21,False,
TPM__ATP6AP1,5,0,0.05,0.029999999329447746,0.25,0.22,False,
TPM__FOXF2,5,0,0.05,0.029999999329447746,0.22,0.2,False,
METH__C6orf217,5,0,0.05,0.14000000059604645,-0.36,0.21,False,
METH__CD200R1,5,0,0.05,0.07999999821186066,0.25,0.19,False,
METH__KRTAP9-3,5,0,0.05,0.019999999552965164,0.13,0.19,False,
METH__PIGM,4,0,0.04,0.14000000059604645,-0.31,0.21,False,
TPM__LITAF,4,0,0.04,0.03999999910593033,0.26,0.2,False,
TPM__LINC00910,4,0,0.04,0.009999999776482582,-0.04,0.2,False,
METH__CENPE,4,0,0.04,0.03999999910593033,-0.19,0.2,False,
METH__PTGIR,4,0,0.04,0.05999999865889549,0.17,0.18,False,
METH__SLC6A20,4,0,0.04,0.019999999552965164,-0.05,0.21,False,
METH__ZNF414,4,0,0.04,0.03999999910593033,0.16,0.22,False,
TPM__ZFAT,3,0,0.03,0.03999999910593033,-0.16,0.2,False,
METH__TERF1,3,0,0.03,0.11999999731779099,-0.28,0.17,False,
TPM__VAT1,2,0,0.02,0.019999999552965164,0.23,0.27,False,
METH__C7orf70,2,0,0.02,0.09000000357627869,0.28,0.19,False,
TPM__ZNF37A,2,0,0.02,0.019999999552965164,-0.09,0.22,False,
TPM__SNHG18,2,0,0.02,0.029999999329447746,0.16,0.22,False,
CNV__FUBP1,1,0,0.01,0.009999999776482582,0.1,0.19,False,
METH__EVPL,1,0,0.01,0.009999999776482582,-0.1,0.2,False,
METH__TXNDC12,1,0,0.01,0.03999999910593033,0.2,0.2,False,
CNV__RPL5,1,0,0.01,0.0,0.06,0.2,False,
METH__SLC22A7,1,0,0.01,0.009999999776482582,0.11,0.2,False,
METH__OR4C16,1,0,0.01,0.009999999776482582,-0.06,0.2,False,
METH__CCDC154,1,0,0.01,0.05999999865889549,0.22,0.21,False,
TPM__CFAP20,1,0,0.01,0.019999999552965164,-0.03,0.21,False,
METH__SCARNA23,1,0,0.01,0.009999999776482582,-0.09,0.21,False,
METH__PCCA,1,0,0.01,0.09000000357627869,-0.27,0.19,False,
METH__SEMA5A,1,0,0.01,0.03999999910593033,-0.17,0.21,False,
METH__PROKR1,1,0,0.01,0.0,-0.04,0.23,False,
METH__KLHL29,0,0,0.0,,,,False,
METH__ANKRD13A,0,0,0.0,,,,False,
METH__RPS14,0,0,0.0,,,,False,
METH__ASTE1,0,0,0.0,,,,False,
METH__PTPN21,0,0,0.0,,,,False,
METH__INTS9,0,0,0.0,,,,False,
METH__MRPL17,0,0,0.0,,,,False,
CNV__CDKN2C,0,0,0.0,,,,False,
METH__ZNF498,0,0,0.0,,,,False,
METH__MCRS1,0,0,0.0,,,,False,
METH__RAD54L,0,0,0.0,,,,False,
MUT__PTCH1,0,0,0.0,,,,False,
METH__METTL13,0,0,0.0,,,,False,
METH__WDR74,0,0,0.0,,,,False,
METH__VEGFB,0,0,0.0,,,,False,
METH__UBE2W,0,0,0.0,,,,False,
METH__ZNF578,0,0,0.0,,,,False,
METH__BBS7,0,0,0.0,,,,False,
METH__USPL1,0,0,0.0,,,,False,
METH__PCDHGB5,0,0,0.0,,,,False,
METH__C9orf43,0,0,0.0,,,,False,
METH__RHOBTB3,0,0,0.0,,,,False,
METH__TRIP13,0,0,0.0,,,,False,
METH__PNN,0,0,0.0,,,,False,
METH__ZNF8,0,0,0.0,,,,False,
METH__BRD9,0,0,0.0,,,,False,
METH__PMS2L3,0,0,0.0,,,,False,
METH__C2orf64,0,0,0.0,,,,False,
METH__ARHGAP26,0,0,0.0,,,,False,
METH__RTCD1,0,0,0.0,,,,False,
METH__LOC678655,0,0,0.0,,,,False,
METH__TADA2A,0,0,0.0,,,,False,
METH__NUDCD1,0,0,0.0,,,,False,
METH__JUN,0,0,0.0,,,,False,
TPM__SNORA75,0,0,0.0,,,,False,
METH__TCAM1,0,0,0.0,,,,False,
METH__WAC,0,0,0.0,,,,False,
