feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__DOT1L,97,47,0.97,0.1599999964237213,-0.41,0.06,True,0.992
TPM__FN1,95,45,0.95,0.14000000059604645,0.38,0.11,True,0.458
TPM__RASAL2-AS1,86,36,0.86,0.1599999964237213,0.41,0.15,False,0.0
TPM__ANKRD1,82,32,0.82,0.15000000596046448,0.44,0.15,False,0.0
TPM__RAI14,80,30,0.8,0.1599999964237213,0.37,0.13,False,0.0
TPM__ENC1,80,30,0.8,0.17000000178813934,0.41,0.15,False,0.0
TPM__CUEDC1,78,28,0.78,0.2199999988079071,0.43,0.16,False,0.0
TPM__PSTPIP1,77,27,0.77,0.18000000715255737,-0.39,0.22,False,0.0
METH__ANKRD44,75,26,0.75,0.1899999976158142,0.4,0.18,False,0.0
TPM__CHMP3,74,24,0.74,0.1599999964237213,0.43,0.19,False,0.0
TPM__EXT1,71,21,0.71,0.14000000059604645,0.36,0.17,False,0.0
METH__TRIM44,70,20,0.7,0.15000000596046448,-0.35,0.14,False,0.0
METH__C21orf125,69,19,0.69,0.15000000596046448,0.36,0.15,False,0.0
TPM__EVA1A,68,19,0.68,0.17000000178813934,0.43,0.16,False,0.0
TPM__PDCD6IP-DT,67,17,0.67,0.15000000596046448,0.42,0.14,False,0.0
TPM__SOX9,67,17,0.67,0.15000000596046448,0.41,0.19,False,0.0
TPM__TPM1,66,16,0.66,0.18000000715255737,0.42,0.16,False,0.0
METH__PARVA,63,13,0.63,0.17000000178813934,-0.39,0.12,False,0.0
TPM__TCEAL4,60,13,0.6,0.15000000596046448,0.35,0.1,False,0.0
METH__GCET2,59,13,0.59,0.1599999964237213,0.38,0.1,False,0.0
TPM__DDN,56,8,0.56,0.15000000596046448,-0.37,0.13,False,0.013
TPM__LINC00511,56,8,0.56,0.17000000178813934,0.42,0.17,False,0.013
TPM__ADAM9,55,8,0.55,0.2199999988079071,0.49,0.23,False,0.013
TPM__RBM15,55,9,0.55,0.15000000596046448,-0.39,0.08,False,0.002
TPM__SEPTIN10,55,10,0.55,0.1599999964237213,0.32,0.17,False,0.0
TPM__KDM2B,55,8,0.55,0.17000000178813934,-0.4,0.09,False,0.013
METH__MAP1LC3B2,54,8,0.54,0.1599999964237213,0.34,0.15,False,0.013
METH__MGC29506,53,9,0.53,0.1599999964237213,0.38,0.11,False,0.002
TPM__PLEC,53,5,0.53,0.14000000059604645,0.39,0.09,True,0.458
TPM__CORO1A-AS1,52,10,0.52,0.1599999964237213,-0.31,0.17,False,0.0
METH__MGAT1,51,8,0.51,0.18000000715255737,0.36,0.15,False,0.013
TPM__EAF2,49,4,0.49,0.17000000178813934,-0.38,0.13,True,0.832
METH__TBC1D10C,48,4,0.48,0.1599999964237213,0.35,0.17,True,0.832
TPM__ERRFI1,48,4,0.48,0.18000000715255737,0.4,0.17,True,0.832
TPM__PTTG1IP,48,5,0.48,0.17000000178813934,0.44,0.17,True,0.458
TPM__SPATS2L,48,4,0.48,0.1899999976158142,0.44,0.19,True,0.832
TPM__TMEM51,47,3,0.47,0.1599999964237213,0.35,0.2,True,0.992
TPM__PTPN21,47,7,0.47,0.15000000596046448,0.35,0.17,True,0.053
METH__ZNF214,47,5,0.47,0.15000000596046448,-0.35,0.12,True,0.458
TPM__CRIM1,47,5,0.47,0.20000000298023224,0.44,0.15,True,0.458
METH__SNX7,47,5,0.47,0.18000000715255737,-0.37,0.12,True,0.458
TPM__PTGR1,47,2,0.47,0.1599999964237213,0.37,0.11,True,1.0
TPM__HCST,46,5,0.46,0.17000000178813934,-0.29,0.17,True,0.458
TPM__SDSL,46,1,0.46,0.14000000059604645,0.36,0.12,True,1.0
TPM__CCN2,46,2,0.46,0.1599999964237213,0.44,0.13,True,1.0
TPM__PMEPA1,45,3,0.45,0.1599999964237213,0.4,0.1,True,0.992
METH__EVL,45,4,0.45,0.17000000178813934,0.32,0.2,True,0.832
TPM__SEMA3C,45,3,0.45,0.15000000596046448,0.38,0.15,True,0.992
METH__PTGFRN,45,3,0.45,0.14000000059604645,-0.3,0.17,True,0.992
TPM__EPS8,44,2,0.44,0.18000000715255737,0.41,0.1,True,1.0
METH__SSH3,44,4,0.44,0.14000000059604645,-0.3,0.16,True,0.832
METH__SOAT2,44,4,0.44,0.1599999964237213,0.39,0.15,True,0.832
TPM__CCDC9B,44,5,0.44,0.20000000298023224,0.45,0.15,True,0.458
METH__SH3BGRL2,44,1,0.44,0.18000000715255737,-0.33,0.17,True,1.0
METH__FAM129C,44,3,0.44,0.20999999344348907,0.41,0.19,True,0.992
TPM__LCP1,43,2,0.43,0.15000000596046448,-0.32,0.13,True,1.0
TPM__CORO1A,42,1,0.42,0.18000000715255737,-0.35,0.17,True,1.0
TPM__SNX7,42,3,0.42,0.20999999344348907,0.41,0.18,True,0.992
TPM__KIF21B,42,4,0.42,0.15000000596046448,-0.35,0.1,True,0.832
TPM__TSPAN17,42,2,0.42,0.14000000059604645,0.39,0.09,True,1.0
