feature,Selection count,Pair count,CPSS Score
TPM__MIR200CHG,100,50,1.0
METH__PNN,100,50,1.0
METH__NRF1,100,50,1.0
TPM__MIR142HG,100,50,1.0
MUT__KRAS,99,49,0.99
TPM__NPEPPSP2,96,46,0.96
METH__C14orf138,95,45,0.95
CNV__HSP90AA1,95,45,0.95
TPM__RNA5SP187,91,41,0.91
TPM__SCARNA4,90,40,0.9
METH__TEAD4,89,39,0.89
TPM__SNORA80A,89,39,0.89
METH__HDAC2,88,38,0.88
METH__ZNF224,88,38,0.88
TPM__RNU1-91P,88,39,0.88
TPM__SNORA29,87,37,0.87
TPM__SNORA80E,87,37,0.87
METH__PPM1D,86,36,0.86
METH__SLC7A6,86,37,0.86
METH__COMMD6,85,35,0.85
CNV__PCDH17,83,33,0.83
CNV__ARHGAP5,83,33,0.83
CNV__KTN1,79,30,0.79
MUT__BRAF,78,28,0.78
CNV__NCOA2,78,30,0.78
CNV__BCL11B,74,25,0.74
CNV__TGFBR2,74,24,0.74
TPM__RNA5SP323,73,23,0.73
METH__RBM14,71,22,0.71
METH__C14orf79,71,22,0.71
TPM__SNORA71D,70,23,0.7
METH__MIR590,70,22,0.7
TPM__RNA5SP203,70,23,0.7
TPM__SNORA26,68,19,0.68
TPM__SNORA15,67,25,0.67
TPM__VTRNA2-1,66,22,0.66
METH__C17orf68,65,17,0.65
TPM__SNORA4,63,17,0.63
CNV__ROS1,62,16,0.62
METH__KLF5,62,17,0.62
CNV__NUTM1,61,18,0.61
CNV__HIF1A,60,14,0.6
CNV__BUB1B,60,15,0.6
METH__LOC390595,60,17,0.6
TPM__RNU4-89P,60,15,0.6
CNV__CNTRL,58,17,0.58
TPM__RPS28P5,58,16,0.58
CNV__RSPO3,58,13,0.58
METH__PPAPDC1B,57,10,0.57
METH__ALG14,56,11,0.56
CNV__EP300,55,14,0.55
CNV__B2M,54,10,0.54
CNV__GOPC,54,13,0.54
METH__FAM21A,54,13,0.54
METH__CALU,53,11,0.53
METH__RPL18,53,8,0.53
CNV__SIX1,52,12,0.52
METH__YWHAB,51,13,0.51
METH__SPHK2,50,10,0.5
CNV__SUSD2,49,6,0.49
CNV__GNAI2,49,9,0.49
CNV__KNL1,49,11,0.49
TPM__SNORA80B,48,9,0.48
TPM__SNORA46,48,7,0.48
CNV__PAX3,47,12,0.47
CNV__NR4A3,47,7,0.47
METH__PSPC1,47,5,0.47
METH__LOC286016,47,9,0.47
CNV__KLF4,44,10,0.44
CNV__ATIC,44,6,0.44
CNV__FHIT,44,5,0.44
CNV__PTPRK,43,5,0.43
CNV__INO80,42,7,0.42
TPM__SNORA16B,42,5,0.42
CNV__TNC,41,10,0.41
CNV__SPEN,41,8,0.41
CNV__RHOA,41,6,0.41
TPM__SNORA49,40,6,0.4
METH__PPRC1,40,6,0.4
CNV__ZNF429,40,8,0.4
METH__PMS2,40,4,0.4
METH__SETD2,40,6,0.4
MUT__FAT1,39,2,0.39
MUT__CDH1,39,2,0.39
MUT__NOTCH1,39,2,0.39
CNV__PTCH1,38,5,0.38
TPM__RNU6ATAC,38,6,0.38
CNV__SGK1,38,5,0.38
METH__SART3,38,5,0.38
CNV__EPHA2,37,2,0.37
CNV__FBLN1,37,3,0.37
METH__RFC2,37,6,0.37
CNV__MAP2,37,6,0.37
