feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
MUT__PTEN,100,50,1.0,0.03999999910593033,-0.23,0.26,True,1.0
MUT__TP53,100,50,1.0,0.0,-0.03,0.24,True,1.0
CNV__SPOP,98,48,0.98,0.029999999329447746,0.23,0.24,True,1.0
CNV__MAML2,94,44,0.94,0.029999999329447746,0.19,0.26,True,0.181
METH__ERCC1,92,42,0.92,0.03999999910593033,-0.09,0.24,False,0.013
MUT__PIK3CA,89,39,0.89,0.029999999329447746,-0.17,0.25,False,0.0
CNV__KMT2A,89,39,0.89,0.019999999552965164,0.19,0.23,False,0.0
CNV__DDX6,88,38,0.88,0.029999999329447746,0.19,0.24,False,0.0
CNV__ARHGEF12,87,37,0.87,0.029999999329447746,0.18,0.24,False,0.0
METH__TMCO1,84,34,0.84,0.019999999552965164,-0.01,0.27,False,0.0
METH__CNOT1,83,33,0.83,0.009999999776482582,0.09,0.23,False,0.0
CNV__SIRPA,80,31,0.8,0.009999999776482582,0.07,0.23,False,0.0
METH__USP12,80,31,0.8,0.019999999552965164,0.1,0.25,False,0.0
METH__PAPD4,78,29,0.78,0.009999999776482582,-0.05,0.25,False,0.0
CNV__PICALM,78,28,0.78,0.019999999552965164,0.17,0.23,False,0.0
CNV__PLCB4,78,31,0.78,0.009999999776482582,0.08,0.24,False,0.0
CNV__KLF5,73,25,0.73,0.0,0.0,0.23,False,0.0
CNV__BCL9L,73,24,0.73,0.019999999552965164,0.18,0.25,False,0.0
CNV__NUMA1,72,24,0.72,0.019999999552965164,0.19,0.26,False,0.0
CNV__DIS3,72,25,0.72,0.0,0.01,0.24,False,0.0
CNV__CBL,71,22,0.71,0.029999999329447746,0.18,0.26,False,0.0
CNV__EPHA3,68,19,0.68,0.029999999329447746,0.17,0.25,False,0.0
CNV__LCK,67,18,0.67,0.009999999776482582,0.14,0.25,False,0.0
CNV__MARK2,67,19,0.67,0.019999999552965164,0.18,0.27,False,0.0
METH__COMMD8,66,17,0.66,0.009999999776482582,0.08,0.23,False,0.0
CNV__PTPN14,66,20,0.66,0.0,0.03,0.24,False,0.0
METH__ST7L,66,19,0.66,0.019999999552965164,-0.04,0.25,False,0.0
CNV__POU2AF1,65,19,0.65,0.009999999776482582,0.15,0.24,False,0.0
CNV__STRN,65,18,0.65,0.029999999329447746,0.19,0.25,False,0.0
CNV__FSTL3,63,14,0.63,0.0,0.01,0.27,False,0.0
CNV__ESRRA,63,14,0.63,0.019999999552965164,0.19,0.27,False,0.0
METH__ARMC10,62,15,0.62,0.009999999776482582,-0.07,0.24,False,0.0
CNV__MEN1,61,15,0.61,0.029999999329447746,0.19,0.27,False,0.0
MUT__KMT2C,61,14,0.61,0.019999999552965164,-0.09,0.25,False,0.0
CNV__ATM,61,15,0.61,0.019999999552965164,0.15,0.25,False,0.0
CNV__FANCE,61,16,0.61,0.0,0.09,0.24,False,0.0
CNV__EPAS1,60,15,0.6,0.029999999329447746,0.19,0.25,False,0.0
CNV__HTRA2,59,13,0.59,0.029999999329447746,0.2,0.27,False,0.0
CNV__CHD4,59,11,0.59,0.029999999329447746,0.18,0.24,False,0.0
CNV__FLI1,59,16,0.59,0.019999999552965164,0.16,0.24,False,0.0
CNV__PCBP1,59,14,0.59,0.029999999329447746,0.2,0.25,False,0.0
CNV__FOXA2,58,16,0.58,0.009999999776482582,0.08,0.25,False,0.0
CNV__SOS1,58,13,0.58,0.029999999329447746,0.19,0.24,False,0.0
CNV__HOXD11,58,15,0.58,0.029999999329447746,0.19,0.25,False,0.0
METH__RASA2,57,10,0.57,0.019999999552965164,-0.06,0.24,False,0.0
TPM__RNA5SP216,57,15,0.57,0.0,0.01,0.23,False,0.0
CNV__KRAS,57,15,0.57,0.009999999776482582,0.19,0.26,False,0.0
CNV__SLC45A3,57,12,0.57,0.0,0.06,0.24,False,0.0
METH__ERCC3,57,13,0.57,0.009999999776482582,0.02,0.26,False,0.0
CNV__H3-3A,57,16,0.57,0.0,0.06,0.24,False,0.0
TPM__SNORA80B,57,13,0.57,0.0,-0.06,0.24,False,0.0
CNV__DCTN1,56,11,0.56,0.029999999329447746,0.2,0.27,False,0.0
CNV__RBFOX1,55,12,0.55,0.0,0.05,0.24,False,0.0
TPM__SNORA80A,54,13,0.54,0.0,-0.01,0.24,False,0.0
CNV__CDKN1B,53,12,0.53,0.029999999329447746,0.18,0.25,False,0.0
CNV__NKTR,53,11,0.53,0.019999999552965164,0.13,0.23,False,0.0
CNV__BCL11A,53,11,0.53,0.029999999329447746,0.2,0.24,False,0.0
CNV__DUSP16,53,10,0.53,0.029999999329447746,0.18,0.24,False,0.0
MUT__BAX,52,6,0.52,0.019999999552965164,-0.17,0.23,True,0.181
CNV__AKT3,52,15,0.52,0.0,0.08,0.24,False,0.0
CNV__FN1,51,12,0.51,0.029999999329447746,0.19,0.23,False,0.0
CNV__CLIP1,51,9,0.51,0.029999999329447746,0.18,0.24,False,0.002
CNV__STK11,51,8,0.51,0.0,0.01,0.25,False,0.013
CNV__CDKN1A,51,8,0.51,0.009999999776482582,0.1,0.25,False,0.013
METH__PTPN12,50,9,0.5,0.009999999776482582,-0.06,0.28,False,0.002
CNV__NXF1,50,9,0.5,0.019999999552965164,0.18,0.28,False,0.002
CNV__FUBP1,49,11,0.49,0.009999999776482582,0.15,0.24,False,0.0
METH__TXNDC12,49,11,0.49,0.019999999552965164,0.09,0.26,False,0.0
TPM__SNORA80E,49,7,0.49,0.0,-0.07,0.23,True,0.053
CNV__ELF3,49,7,0.49,0.0,0.07,0.23,True,0.053
CNV__KDM5A,49,7,0.49,0.019999999552965164,0.15,0.24,True,0.053
CNV__ACKR3,49,13,0.49,0.019999999552965164,0.16,0.25,False,0.0
CNV__WWTR1,47,10,0.47,0.019999999552965164,0.14,0.25,False,0.0
CNV__FOXP1,47,10,0.47,0.019999999552965164,0.12,0.24,False,0.0
CNV__TCEA1,47,12,0.47,0.009999999776482582,0.11,0.23,False,0.0
CNV__ZNF384,47,11,0.47,0.019999999552965164,0.18,0.24,False,0.0
CNV__XPO1,47,9,0.47,0.019999999552965164,0.19,0.24,False,0.002
METH__FASN,47,10,0.47,0.009999999776482582,0.08,0.25,False,0.0
CNV__FAT1,47,6,0.47,0.0,0.04,0.28,True,0.181
CNV__ATF7IP,46,5,0.46,0.029999999329447746,0.18,0.26,True,0.458
CNV__REL,46,6,0.46,0.019999999552965164,0.19,0.24,True,0.181
CNV__SOX21,44,8,0.44,0.0,0.03,0.23,False,0.013
METH__RABL2A,44,4,0.44,0.0,0.03,0.25,True,0.832
CNV__LMO1,44,7,0.44,0.009999999776482582,0.14,0.26,True,0.053
CNV__FANCL,43,6,0.43,0.029999999329447746,0.19,0.25,True,0.181
CNV__EPS15,42,7,0.42,0.019999999552965164,0.15,0.24,True,0.053
CNV__TMPRSS2,41,7,0.41,0.0,0.08,0.24,True,0.053
CNV__HOXD13,39,7,0.39,0.029999999329447746,0.18,0.25,True,0.053
METH__POP4,39,7,0.39,0.0,0.01,0.24,True,0.053
CNV__SRSF3,39,4,0.39,0.009999999776482582,0.1,0.25,True,0.832
CNV__MDM4,39,8,0.39,0.0,0.07,0.24,False,0.013
CNV__ETV6,39,6,0.39,0.029999999329447746,0.18,0.24,True,0.181
CNV__ELK4,39,5,0.39,0.0,0.06,0.24,True,0.458
CNV__PARP4,39,6,0.39,0.0,0.04,0.23,True,0.181
CNV__MAP2,38,6,0.38,0.029999999329447746,0.19,0.23,True,0.181
CNV__HIF1A,38,4,0.38,0.019999999552965164,0.15,0.24,True,0.832
CNV__DOT1L,38,6,0.38,0.0,0.02,0.27,True,0.181
CNV__BARD1,38,6,0.38,0.029999999329447746,0.19,0.23,True,0.181
CNV__COL2A1,37,4,0.37,0.029999999329447746,0.16,0.26,True,0.832
CNV__ACVR1,37,3,0.37,0.029999999329447746,0.18,0.25,True,0.992
CNV__IDH2,37,5,0.37,0.0,0.1,0.22,True,0.458
METH__PRKAB1,37,2,0.37,0.009999999776482582,0.09,0.27,True,1.0
CNV__PIM1,36,7,0.36,0.0,0.09,0.23,True,0.053
CNV__NFE2L2,36,6,0.36,0.029999999329447746,0.19,0.26,True,0.181
CNV__SIX1,35,6,0.35,0.009999999776482582,0.14,0.24,True,0.181
METH__CTR9,35,3,0.35,0.009999999776482582,-0.03,0.27,True,0.992
