feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__ZBED4,100,50,1.0,0.14000000059604645,-0.41,0.11,True,1.0
TPM__BOD1,99,49,0.99,0.14000000059604645,0.33,0.12,True,1.0
METH__MGAT1,91,41,0.91,0.20999999344348907,0.39,0.21,False,0.002
TPM__RHEB,89,39,0.89,0.12999999523162842,0.35,0.08,False,0.0
TPM__SLC38A5,87,37,0.87,0.12999999523162842,-0.33,0.11,False,0.0
METH__DNAH7,87,37,0.87,0.12999999523162842,-0.38,0.17,False,0.0
TPM__ME2,86,36,0.86,0.12999999523162842,-0.38,0.09,False,0.0
TPM__PTTG1IP,81,31,0.81,0.18000000715255737,0.42,0.08,False,0.0
TPM__ADGRG1,80,30,0.8,0.15000000596046448,0.36,0.11,False,0.0
TPM__GULP1,73,24,0.73,0.18000000715255737,0.39,0.14,False,0.0
TPM__PDZD11,71,21,0.71,0.12999999523162842,0.38,0.16,False,0.0
TPM__PLS3,69,19,0.69,0.14000000059604645,0.33,0.12,False,0.0
TPM__LINC01186,67,17,0.67,0.14000000059604645,0.43,0.18,False,0.0
TPM__MGAT4B,65,16,0.65,0.20000000298023224,0.46,0.15,False,0.0
METH__CBFB,65,16,0.65,0.12999999523162842,0.35,0.2,False,0.0
TPM__CAPN2,62,12,0.62,0.12999999523162842,0.4,0.14,False,0.0
TPM__RCSD1,62,12,0.62,0.14000000059604645,-0.22,0.15,False,0.0
METH__TSPAN12,61,12,0.61,0.14000000059604645,-0.35,0.08,False,0.0
TPM__VMP1,60,12,0.6,0.14000000059604645,0.38,0.11,False,0.0
METH__PARP10,60,12,0.6,0.14000000059604645,0.34,0.07,False,0.0
TPM__ATP9A,59,13,0.59,0.15000000596046448,0.34,0.1,False,0.0
TPM__DDN,57,9,0.57,0.12999999523162842,-0.37,0.06,False,0.002
TPM__ARHGEF6,56,8,0.56,0.12999999523162842,-0.32,0.15,False,0.013
TPM__RHOH,55,8,0.55,0.14000000059604645,-0.31,0.19,False,0.013
TPM__ABLIM3,54,7,0.54,0.17000000178813934,0.45,0.11,True,0.053
TPM__TOM1L1,54,6,0.54,0.14000000059604645,0.26,0.15,True,0.181
TPM__SEPTIN6,54,6,0.54,0.18000000715255737,-0.42,0.13,True,0.181
TPM__CTSL,53,4,0.53,0.12999999523162842,0.36,0.12,True,0.832
TPM__SOX9,53,7,0.53,0.12999999523162842,0.39,0.15,True,0.053
METH__EVL,52,9,0.52,0.15000000596046448,0.33,0.15,False,0.002
TPM__ALDH7A1,52,6,0.52,0.14000000059604645,0.27,0.13,True,0.181
METH__BTBD16,49,4,0.49,0.1599999964237213,0.38,0.13,True,0.832
TPM__ARPC1A,48,3,0.48,0.12999999523162842,0.35,0.1,True,0.992
METH__RPS6KA1,48,4,0.48,0.14000000059604645,0.34,0.16,True,0.832
TPM__LGALS3,45,2,0.45,0.15000000596046448,0.37,0.11,True,1.0
TPM__TRG-AS1,45,4,0.45,0.17000000178813934,-0.35,0.21,True,0.832
METH__U2AF1L4,45,2,0.45,0.14000000059604645,0.3,0.2,True,1.0
METH__C7orf23,43,2,0.43,0.12999999523162842,-0.32,0.09,True,1.0
TPM__TPM1,42,1,0.42,0.1599999964237213,0.39,0.2,True,1.0
TPM__NT5E,42,2,0.42,0.17000000178813934,0.43,0.15,True,1.0
TPM__CAST,42,2,0.42,0.12999999523162842,0.37,0.09,True,1.0
TPM__STAC3,42,1,0.42,0.14000000059604645,-0.33,0.16,True,1.0
TPM__IL12RB1,42,2,0.42,0.1599999964237213,-0.26,0.14,True,1.0
TPM__PMEPA1,42,0,0.42,0.1599999964237213,0.4,0.14,False,
TPM__OSBPL10,42,2,0.42,0.12999999523162842,0.33,0.13,True,1.0
TPM__SNX9,41,0,0.41,0.1599999964237213,0.32,0.1,False,
TPM__PVR,41,1,0.41,0.15000000596046448,0.37,0.15,True,1.0
METH__MARVELD2,40,1,0.4,0.12999999523162842,-0.34,0.07,True,1.0
METH__ERRFI1,39,2,0.39,0.14000000059604645,-0.38,0.09,True,1.0
TPM__DAG1,39,0,0.39,0.14000000059604645,0.33,0.09,False,
TPM__FTH1,38,0,0.38,0.14000000059604645,0.36,0.12,False,
TPM__TSPAN1,38,0,0.38,0.12999999523162842,0.43,0.14,False,
METH__RHEB,38,0,0.38,0.1599999964237213,-0.4,0.14,False,
TPM__MET,37,1,0.37,0.20999999344348907,0.46,0.17,True,1.0
METH__FERMT3,37,1,0.37,0.18000000715255737,0.36,0.1,True,1.0
TPM__SHISA4,36,0,0.36,0.15000000596046448,0.38,0.16,False,
TPM__RTN4,35,1,0.35,0.14000000059604645,0.38,0.11,True,1.0
METH__ERBB2,35,0,0.35,0.14000000059604645,-0.34,0.15,False,
TPM__AJUBA,35,1,0.35,0.14000000059604645,0.34,0.09,True,1.0
TPM__ERBB2,35,1,0.35,0.14000000059604645,0.36,0.14,True,1.0
