feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__NRP1,100,50,1.0,0.12999999523162842,-0.31,0.23,True,1.0,unimodal,0.7,True
TPM__AHNAK2,100,50,1.0,0.18000000715255737,0.43,0.21,True,1.0,unimodal,0.7,True
TPM__MIR142HG,100,50,1.0,0.2199999988079071,-0.26,0.25,True,1.0,unimodal,0.7,True
TPM__ARHGAP9,100,50,1.0,0.1899999976158142,-0.36,0.23,True,1.0,unimodal,0.7,True
METH__TMCO4,100,50,1.0,0.05000000074505806,-0.2,0.22,True,1.0,unimodal,0.7,True
METH__TMEM149,100,50,1.0,0.20000000298023224,0.35,0.24,True,1.0,unimodal,0.7,True
TPM__IKZF1,100,50,1.0,0.23000000417232513,-0.35,0.23,True,1.0,unimodal,0.7,True
TPM__PDE1B,100,50,1.0,0.1899999976158142,-0.35,0.22,True,1.0,unimodal,0.7,True
METH__C9orf150,100,50,1.0,0.12999999523162842,-0.3,0.23,True,1.0,unimodal,0.7,True
TPM__PIK3CG,100,50,1.0,0.1599999964237213,-0.23,0.24,True,1.0,unimodal,0.7,True
METH__GPX8,100,50,1.0,0.10000000149011612,-0.29,0.25,True,1.0,unimodal,0.7,True
TPM__MANCR,100,50,1.0,0.07000000029802322,0.41,0.21,True,1.0,unimodal,0.7,True
METH__PFN2,100,50,1.0,0.07000000029802322,-0.21,0.21,True,1.0,unimodal,0.7,True
METH__MAP1LC3B2,100,50,1.0,0.14000000059604645,0.29,0.22,True,1.0,unimodal,0.7,True
METH__C6orf217,98,48,0.98,0.05999999865889549,-0.27,0.22,True,1.0,unimodal,0.7,True
METH__AGPAT9,98,48,0.98,0.07000000029802322,-0.24,0.21,True,1.0,unimodal,0.7,True
METH__SMAD1,96,46,0.96,0.05000000074505806,-0.21,0.21,True,0.832,unimodal,0.7,True
METH__C11orf42,96,46,0.96,0.05000000074505806,0.15,0.21,True,0.832,unimodal,0.7,True
CNV__ARHGAP26,90,40,0.9,0.07000000029802322,0.29,0.24,False,0.0,worst_case,0.8897435897435897,True
METH__DENND3,89,39,0.89,0.029999999329447746,-0.23,0.22,False,0.0,worst_case,0.8897435897435897,True
