feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__NRP1,100,50,1.0,0.12999999523162842,-0.31,0.23,True,1.0
TPM__AHNAK2,100,50,1.0,0.18000000715255737,0.43,0.21,True,1.0
TPM__MIR142HG,100,50,1.0,0.2199999988079071,-0.26,0.25,True,1.0
TPM__ARHGAP9,100,50,1.0,0.1899999976158142,-0.36,0.23,True,1.0
METH__TMCO4,100,50,1.0,0.05000000074505806,-0.2,0.22,True,1.0
METH__TMEM149,100,50,1.0,0.20000000298023224,0.35,0.24,True,1.0
TPM__IKZF1,100,50,1.0,0.23000000417232513,-0.35,0.23,True,1.0
TPM__PDE1B,100,50,1.0,0.1899999976158142,-0.35,0.22,True,1.0
METH__C9orf150,100,50,1.0,0.12999999523162842,-0.3,0.23,True,1.0
TPM__PIK3CG,100,50,1.0,0.1599999964237213,-0.23,0.24,True,1.0
METH__GPX8,100,50,1.0,0.10000000149011612,-0.29,0.25,True,1.0
TPM__MANCR,100,50,1.0,0.07000000029802322,0.41,0.21,True,1.0
METH__PFN2,100,50,1.0,0.07000000029802322,-0.21,0.21,True,1.0
METH__MAP1LC3B2,100,50,1.0,0.14000000059604645,0.29,0.22,True,1.0
METH__C6orf217,98,48,0.98,0.05999999865889549,-0.27,0.22,True,1.0
METH__AGPAT9,98,48,0.98,0.07000000029802322,-0.24,0.21,True,1.0
METH__SMAD1,96,46,0.96,0.05000000074505806,-0.21,0.21,True,0.832
METH__C11orf42,96,46,0.96,0.05000000074505806,0.15,0.21,True,0.832
CNV__ARHGAP26,90,40,0.9,0.07000000029802322,0.29,0.24,False,0.0
METH__DENND3,89,39,0.89,0.029999999329447746,-0.23,0.22,False,0.0
METH__SRPK1,88,38,0.88,0.0,-0.01,0.21,False,0.0
METH__LRP6,88,38,0.88,0.07999999821186066,-0.21,0.27,False,0.0
METH__SGTB,86,36,0.86,0.05000000074505806,-0.07,0.21,False,0.0
METH__TPX2,81,31,0.81,0.07999999821186066,-0.19,0.28,False,0.0
METH__FGGY,80,30,0.8,0.03999999910593033,-0.21,0.22,False,0.0
CNV__MALT1,79,29,0.79,0.009999999776482582,-0.12,0.23,False,0.0
METH__ZDHHC23,78,29,0.78,0.03999999910593033,-0.2,0.21,False,0.0
METH__AP2A1,77,27,0.77,0.05000000074505806,-0.22,0.22,False,0.0
CNV__EBF1,77,28,0.77,0.07000000029802322,0.29,0.22,False,0.0
METH__ATG4D,77,27,0.77,0.019999999552965164,0.08,0.24,False,0.0
CNV__DCC,76,28,0.76,0.009999999776482582,-0.12,0.22,False,0.0
CNV__SMAD4,74,24,0.74,0.009999999776482582,-0.11,0.21,False,0.0
CNV__MRTFA,70,21,0.7,0.0,0.05,0.22,False,0.0
CNV__MAP3K13,70,24,0.7,0.05999999865889549,0.26,0.21,False,0.0
CNV__BIRC3,66,19,0.66,0.03999999910593033,0.22,0.24,False,0.0
CNV__RBFOX2,63,18,0.63,0.0,0.04,0.22,False,0.0
CNV__NFKBIA,62,16,0.62,0.019999999552965164,0.24,0.22,False,0.0
CNV__CD74,62,15,0.62,0.07000000029802322,0.28,0.23,False,0.0
CNV__KLF4,59,12,0.59,0.05999999865889549,0.26,0.22,False,0.0
MUT__KRAS,59,12,0.59,0.019999999552965164,0.14,0.23,False,0.0
TPM__CKS1BP2,58,18,0.58,0.0,0.06,0.21,False,0.0
CNV__NIN,58,14,0.58,0.03999999910593033,0.22,0.21,False,0.0
CNV__KDM3B,57,16,0.57,0.05999999865889549,0.27,0.24,False,0.0
CNV__CCNE1,56,12,0.56,0.009999999776482582,0.19,0.2,False,0.0
CNV__MYH9,55,10,0.55,0.0,0.05,0.2,False,0.0
CNV__FOXA1,54,10,0.54,0.019999999552965164,0.22,0.22,False,0.0
CNV__BCL2,53,10,0.53,0.009999999776482582,-0.09,0.22,False,0.0
CNV__KDSR,53,12,0.53,0.009999999776482582,-0.09,0.22,False,0.0
CNV__UBE2D2,53,16,0.53,0.07000000029802322,0.28,0.25,False,0.0
CNV__BCL9L,52,9,0.52,0.019999999552965164,0.2,0.24,False,0.002
CNV__CREB1,52,10,0.52,0.05000000074505806,0.24,0.27,False,0.0
METH__ARMC10,51,8,0.51,0.05000000074505806,-0.15,0.22,False,0.013
METH__BHLHE41,51,9,0.51,0.05000000074505806,-0.14,0.21,False,0.002
CNV__MAML2,49,9,0.49,0.03999999910593033,0.22,0.23,False,0.002
CNV__LOX,48,11,0.48,0.05999999865889549,0.25,0.22,False,0.0
CNV__FAT3,47,7,0.47,0.03999999910593033,0.21,0.23,True,0.053
CNV__KTN1,46,5,0.46,0.03999999910593033,0.24,0.21,True,0.458
CNV__RGS7,45,8,0.45,0.029999999329447746,0.19,0.22,False,0.013
CNV__FBN2,44,8,0.44,0.05999999865889549,0.25,0.22,False,0.013
METH__RPL23AP7,43,4,0.43,0.0,0.06,0.24,True,0.832
CNV__CHEK2,42,4,0.42,0.009999999776482582,0.05,0.21,True,0.832
CNV__SOS1,42,6,0.42,0.029999999329447746,0.24,0.21,True,0.181
CNV__FAT2,42,5,0.42,0.07000000029802322,0.29,0.23,True,0.458
CNV__CBL,42,7,0.42,0.029999999329447746,0.2,0.25,True,0.053
CNV__BMPR2,41,7,0.41,0.05999999865889549,0.24,0.26,True,0.053
CNV__ITK,41,4,0.41,0.07000000029802322,0.29,0.22,True,0.832
CNV__TAL2,41,5,0.41,0.05999999865889549,0.26,0.22,True,0.458
CNV__AFF4,41,8,0.41,0.05999999865889549,0.24,0.23,False,0.013
CNV__IRF1,41,4,0.41,0.05999999865889549,0.25,0.22,True,0.832
CNV__MITF,41,8,0.41,0.019999999552965164,0.1,0.23,False,0.013
CNV__KCNJ5,40,4,0.4,0.029999999329447746,0.2,0.24,True,0.832
CNV__DDX6,38,5,0.38,0.019999999552965164,0.19,0.24,True,0.458
