feature,Selection count,Pair count,CPSS Score
METH__C7orf70,100,50,1.0
METH__CCM2,100,50,1.0
METH__ZNF697,100,50,1.0
METH__ACTN1,100,50,1.0
METH__HMGCR,100,50,1.0
TPM__NCKAP1L,100,50,1.0
METH__LRP6,100,50,1.0
METH__RAPH1,100,50,1.0
METH__CMTM1,99,49,0.99
METH__AGPHD1,98,48,0.98
METH__AHI1,97,47,0.97
METH__SPRYD3,97,47,0.97
CNV__KRAS,95,45,0.95
METH__PCCA,94,44,0.94
METH__ARHGEF12,93,43,0.93
METH__KLF4,93,43,0.93
METH__ARRDC3,91,41,0.91
METH__PPP2R5B,89,39,0.89
METH__FGGY,87,38,0.87
CNV__BIRC3,86,36,0.86
METH__ARPC5,85,35,0.85
METH__XPR1,85,36,0.85
METH__ARMC10,84,34,0.84
METH__PPAPDC1B,84,34,0.84
METH__CEP290,83,33,0.83
CNV__CDH10,81,35,0.81
METH__NME7,81,32,0.81
METH__CAPNS1,79,30,0.79
METH__GPN3,78,28,0.78
METH__SLC19A2,77,28,0.77
METH__SREBF2,76,27,0.76
CNV__NOTCH2,71,24,0.71
METH__ERCC1,71,25,0.71
CNV__BRCA1,67,21,0.67
CNV__NF2,66,18,0.66
METH__LOC100129716,66,18,0.66
CNV__ETV4,65,20,0.65
METH__PPID,63,15,0.63
METH__PRO0628,62,17,0.62
CNV__REL,62,16,0.62
METH__PLAGL2,62,18,0.62
CNV__HOOK3,61,17,0.61
METH__MFAP3,60,17,0.6
CNV__IKZF1,59,18,0.59
CNV__NRG1,59,14,0.59
CNV__SLC45A3,58,15,0.58
METH__UNC50,58,14,0.58
CNV__TRAF3,58,14,0.58
METH__FZR1,58,16,0.58
CNV__KDM5A,57,15,0.57
CNV__EWSR1,57,13,0.57
CNV__HOXA9,56,17,0.56
METH__LOC81691,56,10,0.56
CNV__TPR,56,15,0.56
CNV__HSP90AA1,55,13,0.55
CNV__PPFIBP1,54,13,0.54
CNV__ERC1,53,15,0.53
CNV__KLK2,53,12,0.53
CNV__HNRNPA2B1,53,13,0.53
CNV__MRTFA,53,8,0.53
METH__C12orf41,53,12,0.53
CNV__CDKN1B,52,10,0.52
CNV__BLM,51,9,0.51
CNV__ETV6,51,11,0.51
METH__DHX34,51,11,0.51
CNV__SIX1,50,9,0.5
CNV__RBFOX2,50,10,0.5
CNV__MAX,49,11,0.49
CNV__GOLGA5,49,12,0.49
CNV__CDC73,49,14,0.49
METH__EAF1,48,10,0.48
CNV__CREB3L1,48,6,0.48
CNV__ELK4,48,9,0.48
METH__SLC39A9,48,9,0.48
METH__SIX5,48,11,0.48
