feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__DDN,98,48,0.98,0.15000000596046448,-0.34,0.12,True,1.0
TPM__GMIP,95,45,0.95,0.15000000596046448,-0.33,0.09,True,0.458
TPM__WFS1,90,40,0.9,0.17000000178813934,0.37,0.13,False,0.0
TPM__ERBB2,88,38,0.88,0.15000000596046448,0.37,0.16,False,0.0
TPM__SCML1,87,37,0.87,0.14000000059604645,0.3,0.14,False,0.0
TPM__RPL10A,85,35,0.85,0.14000000059604645,-0.41,0.12,False,0.0
TPM__TAF4B,83,33,0.83,0.1599999964237213,-0.4,0.1,False,0.0
TPM__TNFAIP1,81,31,0.81,0.12999999523162842,0.33,0.15,False,0.0
TPM__ADAM9,80,30,0.8,0.1899999976158142,0.42,0.16,False,0.0
TPM__TGIF1,77,27,0.77,0.12999999523162842,0.3,0.12,False,0.0
TPM__NPAS2,73,23,0.73,0.12999999523162842,0.35,0.11,False,0.0
TPM__LGMN,72,22,0.72,0.15000000596046448,0.29,0.11,False,0.0
TPM__GULP1,71,21,0.71,0.15000000596046448,0.34,0.14,False,0.0
METH__U2AF1L4,71,22,0.71,0.14000000059604645,0.3,0.11,False,0.0
TPM__PVR,70,22,0.7,0.15000000596046448,0.29,0.07,False,0.0
TPM__CFL2,70,20,0.7,0.15000000596046448,0.34,0.09,False,0.0
TPM__CELSR1,69,19,0.69,0.12999999523162842,0.33,0.1,False,0.0
METH__MGAT1,68,19,0.68,0.18000000715255737,0.33,0.1,False,0.0
TPM__EPN2,68,18,0.68,0.15000000596046448,0.3,0.09,False,0.0
TPM__AGRN,68,18,0.68,0.14000000059604645,0.31,0.13,False,0.0
TPM__NQO1,67,17,0.67,0.12999999523162842,0.34,0.07,False,0.0
METH__B2M,65,17,0.65,0.1599999964237213,0.32,0.12,False,0.0
TPM__IL17RC,64,15,0.64,0.14000000059604645,0.33,0.1,False,0.0
METH__GHRLOS,64,14,0.64,0.14000000059604645,0.31,0.09,False,0.0
TPM__KIF21B,63,16,0.63,0.15000000596046448,-0.33,0.07,False,0.0
TPM__PPP2R3A,63,14,0.63,0.12999999523162842,0.34,0.14,False,0.0
TPM__CNN3,63,15,0.63,0.20000000298023224,0.35,0.13,False,0.0
TPM__RPL3,62,12,0.62,0.12999999523162842,-0.4,0.09,False,0.0
METH__MIR1200,60,10,0.6,0.14000000059604645,-0.4,0.18,False,0.0
METH__HSP90AA1,60,12,0.6,0.14000000059604645,0.28,0.15,False,0.0
TPM__TRG-AS1,60,11,0.6,0.17000000178813934,-0.29,0.13,False,0.0
TPM__CD63,59,12,0.59,0.15000000596046448,0.39,0.11,False,0.0
TPM__CAMK2N1,59,9,0.59,0.15000000596046448,0.36,0.15,False,0.002
TPM__LRP11,58,10,0.58,0.17000000178813934,0.35,0.13,False,0.0
TPM__LYL1,57,9,0.57,0.15000000596046448,-0.22,0.14,False,0.002
METH__CTSZ,57,10,0.57,0.12999999523162842,0.2,0.08,False,0.0
TPM__GPR39,56,10,0.56,0.1899999976158142,0.43,0.17,False,0.0
TPM__PTPN21,56,8,0.56,0.15000000596046448,0.32,0.15,False,0.013
TPM__PLPP2,53,6,0.53,0.17000000178813934,0.35,0.15,True,0.181
METH__PTRF,52,6,0.52,0.1599999964237213,-0.33,0.2,True,0.181
METH__CCDC88B,50,2,0.5,0.15000000596046448,0.29,0.09,True,1.0
TPM__TUFT1,48,4,0.48,0.18000000715255737,0.39,0.12,True,0.832
TPM__MAP4K3,48,7,0.48,0.15000000596046448,0.33,0.15,True,0.053
TPM__CETN2,48,3,0.48,0.14000000059604645,0.38,0.07,True,0.992
TPM__PTTG1IP,48,3,0.48,0.15000000596046448,0.39,0.09,True,0.992
TPM__TRAF3IP3,48,4,0.48,0.2199999988079071,-0.38,0.15,True,0.832
TPM__SNX21,47,3,0.47,0.1899999976158142,0.39,0.18,True,0.992
TPM__LAPTM4B,47,2,0.47,0.12999999523162842,0.22,0.08,True,1.0
TPM__CD38,45,1,0.45,0.17000000178813934,-0.28,0.13,True,1.0
METH__ARHGEF10,44,2,0.44,0.14000000059604645,-0.23,0.14,True,1.0
TPM__RND3,44,4,0.44,0.14000000059604645,0.32,0.17,True,0.832
TPM__EAF2,44,2,0.44,0.15000000596046448,-0.29,0.1,True,1.0
TPM__IL21R,43,3,0.43,0.14000000059604645,-0.27,0.06,True,0.992
TPM__CORO1A,43,2,0.43,0.17000000178813934,-0.29,0.12,True,1.0
TPM__OPHN1,43,1,0.43,0.14000000059604645,0.36,0.11,True,1.0
TPM__ITSN1,43,1,0.43,0.14000000059604645,0.34,0.1,True,1.0
METH__C16orf54,43,0,0.43,0.12999999523162842,0.31,0.13,False,
TPM__CYTH4,43,3,0.43,0.15000000596046448,-0.23,0.13,True,0.992
TPM__AGAP2-AS1,42,1,0.42,0.15000000596046448,0.32,0.12,True,1.0
TPM__SEC14L2,42,2,0.42,0.1599999964237213,0.36,0.1,True,1.0
METH__TERF1,42,1,0.42,0.12999999523162842,-0.29,0.18,True,1.0
TPM__GOLM1,42,2,0.42,0.14000000059604645,0.34,0.06,True,1.0
TPM__TMEM132A,41,2,0.41,0.12999999523162842,0.27,0.12,True,1.0
METH__JUB,41,1,0.41,0.14000000059604645,-0.31,0.12,True,1.0
TPM__CD151,41,3,0.41,0.14000000059604645,0.37,0.13,True,0.992
TPM__PACSIN3,40,2,0.4,0.12999999523162842,0.32,0.07,True,1.0
TPM__EMP2,39,1,0.39,0.1599999964237213,0.35,0.08,True,1.0
METH__C7orf23,39,3,0.39,0.12999999523162842,-0.28,0.14,True,0.992
TPM__RAB13,39,1,0.39,0.17000000178813934,0.34,0.08,True,1.0
TPM__ITGAV,38,2,0.38,0.15000000596046448,0.35,0.13,True,1.0
TPM__GNG12,38,1,0.38,0.18000000715255737,0.35,0.11,True,1.0
TPM__DENND2B,37,0,0.37,0.14000000059604645,0.31,0.16,False,
TPM__WASL,36,0,0.36,0.1899999976158142,0.34,0.2,False,
METH__HMCN1,36,0,0.36,0.12999999523162842,-0.24,0.13,False,
TPM__MYOF,36,0,0.36,0.17000000178813934,0.38,0.16,False,
TPM__MID1,35,0,0.35,0.18000000715255737,0.38,0.12,False,
TPM__EXT1,35,2,0.35,0.12999999523162842,0.31,0.08,True,1.0
TPM__CCND1,35,0,0.35,0.15000000596046448,0.33,0.11,False,
TPM__ASPH,35,3,0.35,0.14000000059604645,0.36,0.09,True,0.992
TPM__BCL2L2,35,3,0.35,0.12999999523162842,0.33,0.15,True,0.992
TPM__ATP9A,35,1,0.35,0.1599999964237213,0.33,0.13,True,1.0
TPM__MATN2,35,1,0.35,0.12999999523162842,0.37,0.16,True,1.0
TPM__CHMP3,34,2,0.34,0.1599999964237213,0.37,0.11,True,1.0
TPM__ASAP2,34,0,0.34,0.1599999964237213,0.3,0.13,False,
