feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__ARHGAP15,100,50,1.0,0.2199999988079071,-0.32,0.25,True,1.0
METH__KLF4,100,50,1.0,0.18000000715255737,-0.3,0.3,True,1.0
TPM__PTPN7,100,50,1.0,0.23999999463558197,-0.29,0.23,True,1.0
METH__PSMB8,100,50,1.0,0.05999999865889549,0.28,0.23,True,1.0
METH__LRRC49,100,50,1.0,0.18000000715255737,-0.25,0.25,True,1.0
TPM__MIR142HG,100,50,1.0,0.25999999046325684,-0.28,0.27,True,1.0
TPM__NCKAP1L,100,50,1.0,0.20000000298023224,-0.31,0.27,True,1.0
TPM__CORO1A-AS1,100,50,1.0,0.17000000178813934,-0.33,0.23,True,1.0
METH__BZRAP1,100,50,1.0,0.2199999988079071,0.36,0.25,True,1.0
METH__LOC100130776,100,50,1.0,0.25,-0.37,0.23,True,1.0
TPM__ACAP1,100,50,1.0,0.1899999976158142,-0.3,0.23,True,1.0
METH__C9orf150,100,50,1.0,0.18000000715255737,-0.3,0.27,True,1.0
METH__TMEM51,100,50,1.0,0.1899999976158142,-0.27,0.27,True,1.0
METH__CD1C,100,50,1.0,0.14000000059604645,-0.28,0.22,True,1.0
METH__MIR1469,100,50,1.0,0.20999999344348907,-0.33,0.22,True,1.0
METH__FAT1,100,50,1.0,0.20999999344348907,-0.33,0.25,True,1.0
METH__TRIM3,100,50,1.0,0.12999999523162842,-0.28,0.28,True,1.0
METH__ANKRD44,100,50,1.0,0.1899999976158142,0.36,0.24,True,1.0
METH__CCM2,100,50,1.0,0.23000000417232513,0.4,0.3,True,1.0
METH__KRI1,100,50,1.0,0.1899999976158142,0.38,0.28,True,1.0
TPM__PPP1R16B,100,50,1.0,0.1599999964237213,-0.28,0.24,True,1.0
TPM__IKZF1,99,49,0.99,0.27000001072883606,-0.35,0.24,True,1.0
METH__C14orf128,99,49,0.99,0.10000000149011612,-0.32,0.26,True,1.0
METH__ATP6V1D,99,49,0.99,0.12999999523162842,-0.25,0.27,True,1.0
METH__RBM9,99,49,0.99,0.17000000178813934,-0.3,0.24,True,1.0
METH__TEAD4,98,48,0.98,0.15000000596046448,-0.27,0.25,True,1.0
METH__BACE1,98,48,0.98,0.15000000596046448,-0.27,0.27,True,1.0
METH__ARHGAP5,97,47,0.97,0.09000000357627869,-0.3,0.29,True,0.992
METH__ZNF697,97,47,0.97,0.17000000178813934,-0.27,0.31,True,0.992
METH__PPIC,97,47,0.97,0.1899999976158142,-0.3,0.23,True,0.992
METH__SYT17,96,46,0.96,0.10000000149011612,-0.15,0.23,True,0.832
METH__INTU,95,45,0.95,0.20999999344348907,-0.34,0.3,True,0.458
METH__SPRYD3,95,45,0.95,0.11999999731779099,-0.27,0.25,True,0.458
METH__ARRDC4,95,45,0.95,0.12999999523162842,-0.23,0.24,True,0.458
METH__SMAD1,94,46,0.94,0.07000000029802322,-0.24,0.26,True,0.832
METH__DSTN,93,43,0.93,0.20000000298023224,-0.34,0.29,True,0.053
METH__GAS2L1,93,43,0.93,0.09000000357627869,-0.15,0.24,True,0.053
METH__CDC42EP4,93,43,0.93,0.12999999523162842,-0.3,0.23,True,0.053
METH__MAGI3,92,42,0.92,0.07999999821186066,-0.27,0.24,False,0.013
METH__ADRA2A,87,37,0.87,0.10999999940395355,-0.2,0.22,False,0.0
METH__PTGR2,86,36,0.86,0.07000000029802322,-0.27,0.27,False,0.0
METH__NRP1,84,35,0.84,0.17000000178813934,-0.3,0.22,False,0.0
METH__TPX2,83,33,0.83,0.11999999731779099,-0.24,0.3,False,0.0
METH__C4orf12,82,33,0.82,0.18000000715255737,-0.28,0.24,False,0.0
METH__FAM84B,76,29,0.76,0.14000000059604645,-0.27,0.23,False,0.0
METH__UBE2C,75,29,0.75,0.029999999329447746,-0.3,0.28,False,0.0
METH__IQCB1,74,25,0.74,0.09000000357627869,0.25,0.22,False,0.0
METH__AHI1,73,23,0.73,0.07000000029802322,-0.29,0.27,False,0.0
METH__KLHL29,72,23,0.72,0.07000000029802322,-0.13,0.24,False,0.0
METH__ZNF230,71,25,0.71,0.10000000149011612,-0.24,0.24,False,0.0
METH__LAPTM4A,70,24,0.7,0.15000000596046448,-0.3,0.26,False,0.0
METH__ZNF227,69,24,0.69,0.03999999910593033,-0.17,0.25,False,0.0
METH__PTPN21,67,20,0.67,0.09000000357627869,-0.22,0.22,False,0.0
METH__PMS2L5,65,18,0.65,0.029999999329447746,-0.13,0.22,False,0.0
CNV__PABPC1,65,21,0.65,0.03999999910593033,0.21,0.23,False,0.0
METH__ZNF434,65,17,0.65,0.05999999865889549,-0.12,0.29,False,0.0
METH__LNPEP,65,16,0.65,0.1599999964237213,0.26,0.27,False,0.0
METH__TBC1D16,63,18,0.63,0.11999999731779099,-0.25,0.23,False,0.0
METH__EAF2,62,19,0.62,0.09000000357627869,0.26,0.23,False,0.0
METH__TOP2A,59,15,0.59,0.12999999523162842,-0.27,0.25,False,0.0
METH__ABCD3,58,14,0.58,0.07999999821186066,-0.23,0.24,False,0.0
METH__C7orf70,58,18,0.58,0.09000000357627869,0.21,0.26,False,0.0
METH__C16orf93,58,10,0.58,0.009999999776482582,0.01,0.23,False,0.0
METH__ISOC2,57,13,0.57,0.029999999329447746,-0.2,0.23,False,0.0
METH__WBSCR27,55,13,0.55,0.029999999329447746,-0.1,0.23,False,0.0
METH__PCDH1,55,11,0.55,0.12999999523162842,-0.27,0.23,False,0.0
METH__KDSR,54,11,0.54,0.05999999865889549,-0.13,0.25,False,0.0
CNV__MUC1,54,12,0.54,0.009999999776482582,0.14,0.23,False,0.0
CNV__PTK6,54,14,0.54,0.05000000074505806,0.24,0.23,False,0.0
METH__EFNA5,49,12,0.49,0.10999999940395355,-0.31,0.27,False,0.0
METH__C6orf217,48,7,0.48,0.07000000029802322,-0.28,0.26,True,0.053
CNV__SS18L1,48,9,0.48,0.05000000074505806,0.23,0.23,False,0.002
CNV__TPM3,48,11,0.48,0.009999999776482582,0.15,0.23,False,0.0
METH__COPB2,48,7,0.48,0.07000000029802322,-0.23,0.23,True,0.053
METH__RAPH1,47,10,0.47,0.07000000029802322,-0.26,0.23,False,0.0
METH__SKI,46,7,0.46,0.09000000357627869,-0.22,0.26,True,0.053
METH__LCA5,45,10,0.45,0.1599999964237213,-0.26,0.24,False,0.0
METH__KDM4D,44,8,0.44,0.07999999821186066,-0.22,0.26,False,0.013
CNV__ELF3,43,8,0.43,0.009999999776482582,0.15,0.23,False,0.013
METH__GPATCH8,43,5,0.43,0.0,-0.01,0.23,True,0.458
CNV__CDC73,43,9,0.43,0.019999999552965164,0.17,0.22,False,0.002
CNV__AJUBA,42,9,0.42,0.019999999552965164,0.17,0.25,False,0.002
CNV__MAP2K1,41,8,0.41,0.029999999329447746,0.16,0.24,False,0.013
CNV__SIN3A,38,6,0.38,0.019999999552965164,0.15,0.23,True,0.181
METH__ACTN1,38,6,0.38,0.17000000178813934,-0.3,0.24,True,0.181
METH__RAD54B,38,6,0.38,0.10000000149011612,-0.22,0.24,True,0.181
CNV__ASXL1,37,5,0.37,0.05000000074505806,0.22,0.23,True,0.458
METH__GMFB,37,7,0.37,0.029999999329447746,-0.13,0.27,True,0.053
CNV__HIF1A,37,7,0.37,0.019999999552965164,0.19,0.24,True,0.053
CNV__SIX1,36,4,0.36,0.029999999329447746,0.2,0.23,True,0.832
METH__MEIS1,36,9,0.36,0.07999999821186066,-0.17,0.23,False,0.002
CNV__KTN1,36,4,0.36,0.029999999329447746,0.19,0.23,True,0.832
CNV__CCNB1IP1,34,5,0.34,0.019999999552965164,0.18,0.22,True,0.458
CNV__PPFIBP1,34,8,0.34,0.0,0.18,0.22,False,0.013
METH__ERCC1,34,1,0.34,0.07999999821186066,-0.14,0.24,True,1.0
METH__FAM115A,32,4,0.32,0.03999999910593033,-0.09,0.25,True,0.832
METH__RAB11FIP5,32,7,0.32,0.05000000074505806,-0.18,0.23,True,0.053
METH__TMEM170A,31,1,0.31,0.0,0.12,0.23,True,1.0
METH__TIAL1,30,5,0.3,0.07999999821186066,0.23,0.23,True,0.458
CNV__ELK4,30,4,0.3,0.019999999552965164,0.16,0.22,True,0.832
CNV__ATF7IP,29,3,0.29,0.019999999552965164,0.15,0.24,True,0.992
CNV__SMAD3,29,1,0.29,0.019999999552965164,0.16,0.24,True,1.0
CNV__GATA2,28,5,0.28,0.029999999329447746,0.21,0.22,True,0.458
CNV__TCL1A,28,4,0.28,0.019999999552965164,0.15,0.23,True,0.832
CNV__GOLGA5,28,4,0.28,0.019999999552965164,0.15,0.24,True,0.832
METH__RPL21,27,1,0.27,0.009999999776482582,0.05,0.22,True,1.0
METH__SOCS4,27,3,0.27,0.0,0.04,0.24,True,0.992
CNV__SLC45A3,27,4,0.27,0.019999999552965164,0.16,0.22,True,0.832
CNV__BTG1,27,2,0.27,0.029999999329447746,0.2,0.22,True,1.0
CNV__CDKN1B,26,4,0.26,0.019999999552965164,0.16,0.24,True,0.832
METH__C18orf19,25,1,0.25,0.009999999776482582,-0.05,0.24,True,1.0
CNV__TBX3,24,2,0.24,0.03999999910593033,0.23,0.23,True,1.0
CNV__ETV6,24,4,0.24,0.019999999552965164,0.16,0.24,True,0.832
CNV__PTEN,24,2,0.24,0.019999999552965164,0.17,0.21,True,1.0
METH__UBL5,23,0,0.23,0.0,-0.05,0.24,False,
CNV__BIRC6,23,4,0.23,0.019999999552965164,0.18,0.22,True,0.832
CNV__CNBP,23,3,0.23,0.029999999329447746,0.21,0.23,True,0.992
METH__DPP3,23,4,0.23,0.009999999776482582,-0.03,0.23,True,0.832
CNV__CYP2C8,22,2,0.22,0.019999999552965164,0.15,0.21,True,1.0
METH__WDHD1,22,1,0.22,0.0,0.03,0.22,True,1.0
METH__CIR1,22,2,0.22,0.05000000074505806,-0.19,0.23,True,1.0
CNV__NIN,22,1,0.22,0.029999999329447746,0.19,0.23,True,1.0
CNV__ACKR3,22,0,0.22,0.019999999552965164,0.18,0.22,False,
CNV__GNAQ,21,1,0.21,0.03999999910593033,0.21,0.26,True,1.0
CNV__FEV,21,1,0.21,0.029999999329447746,0.19,0.23,True,1.0
METH__MYOF,21,0,0.21,0.019999999552965164,-0.18,0.23,False,
CNV__TRIP11,21,1,0.21,0.009999999776482582,0.14,0.23,True,1.0
METH__DDX50,20,1,0.2,0.07000000029802322,-0.18,0.25,True,1.0
CNV__ZNF148,20,0,0.2,0.029999999329447746,0.22,0.24,False,
METH__TMEM106B,20,0,0.2,0.05999999865889549,-0.23,0.23,False,
METH__C17orf80,20,1,0.2,0.029999999329447746,-0.09,0.24,True,1.0
