feature,Selection count,Pair count,CPSS Score
TPM__PPP1R12A-AS1,100,50,1.0
TPM__BCL2L1,99,49,0.99
METH__MTNR1A,96,46,0.96
METH__SRRM2,84,34,0.84
TPM__PYGB,83,33,0.83
TPM__HRCT1,74,24,0.74
TPM__RASAL2-AS1,72,22,0.72
TPM__BFSP1,71,21,0.71
TPM__ITGB1-DT,69,19,0.69
METH__SMCR7,68,18,0.68
TPM__LCP1,68,19,0.68
TPM__ARHGAP12,68,18,0.68
TPM__GNG10,67,19,0.67
TPM__ABHD12,66,16,0.66
METH__MGAT1,65,15,0.65
TPM__TAF5,64,14,0.64
TPM__MRPS18AP1,62,14,0.62
TPM__PVR,59,11,0.59
METH__RUNDC2C,58,11,0.58
TPM__SPATS2L,57,11,0.57
TPM__PTPRH,56,8,0.56
TPM__RND3,56,8,0.56
TPM__KRT80,55,11,0.55
TPM__ZBED4,54,6,0.54
TPM__DNAH5,53,6,0.53
TPM__TNS2,53,6,0.53
TPM__ANKRD1,52,4,0.52
TPM__LAMB1,52,7,0.52
TPM__CAVIN3,52,5,0.52
TPM__MAP4K1,52,7,0.52
METH__MGC29506,51,6,0.51
TPM__GRK2,51,5,0.51
TPM__AOPEP,51,5,0.51
TPM__POLR1H,51,6,0.51
METH__LOC100130776,48,6,0.48
TPM__LAPTM4A,47,5,0.47
TPM__SEPTIN6,47,3,0.47
TPM__PDCD6IP-DT,47,3,0.47
METH__TJP1,47,3,0.47
TPM__AGAP2,46,2,0.46
TPM__MYB,46,2,0.46
TPM__TMEM131L,45,2,0.45
METH__THBS1,45,5,0.45
METH__BTBD16,44,1,0.44
TPM__PHLDA2,44,6,0.44
TPM__FBXL2,44,2,0.44
TPM__ARHGEF28,43,3,0.43
TPM__C19orf33,42,1,0.42
TPM__CETN2,42,4,0.42
TPM__SLC49A4,42,2,0.42
TPM__IL13RA1,42,3,0.42
METH__RHEB,42,2,0.42
TPM__NHSL3,41,1,0.41
TPM__SEMA3C,40,2,0.4
TPM__SPTLC1,40,3,0.4
METH__ZNF214,39,3,0.39
TPM__TMEM51,37,1,0.37
TPM__KRT8P3,37,2,0.37
TPM__SBDS,37,2,0.37
TPM__GMFG,36,1,0.36
TPM__KRT19,36,0,0.36
TPM__UACA,36,1,0.36
TPM__NPTN,35,0,0.35
TPM__PTTG1IP,34,1,0.34
TPM__DCBLD2,34,1,0.34
METH__DDAH1,34,0,0.34
TPM__ARHGEF6,34,0,0.34
METH__JUB,33,0,0.33
TPM__WFDC3,33,6,0.33
TPM__CUEDC1,33,2,0.33
TPM__ASPH,33,0,0.33
METH__MTMR11,32,0,0.32
TPM__AHNAK2,31,0,0.31
TPM__ZBTB45P2,31,3,0.31
TPM__CRIM1-DT,31,0,0.31
TPM__TSPOAP1-AS1,31,0,0.31
TPM__RPL10A,31,8,0.31
METH__CSNK1G3,31,0,0.31
TPM__VMP1,31,11,0.31
TPM__KDM2B,31,1,0.31
TPM__ABLIM3,31,2,0.31
TPM__TNFAIP1,30,1,0.3
TPM__TRAF3IP3,30,0,0.3
TPM__MYO1C,30,0,0.3
TPM__MICAL2,30,1,0.3
METH__HOOK1,30,1,0.3
TPM__PSORS1C1,29,0,0.29
METH__PATL1,29,1,0.29
TPM__GPR39,29,1,0.29
METH__NLRP14,28,1,0.28
TPM__RTN4,28,1,0.28
METH__ANKRD44,28,0,0.28
TPM__SH3BP4,27,0,0.27
TPM__AMOTL2,27,0,0.27
TPM__RBPMS,27,0,0.27
TPM__ANXA4,27,0,0.27
TPM__B4GALT4,26,2,0.26
TPM__DDN,26,0,0.26
TPM__SHB,26,0,0.26
TPM__TACC2,25,0,0.25
TPM__PON2,25,0,0.25
TPM__MEAK7,25,1,0.25
TPM__IL12RB1,25,0,0.25
TPM__CTNND1,25,0,0.25
TPM__ADAM9,25,0,0.25
TPM__PCDH1,25,0,0.25
METH__PIK3CG,25,0,0.25
METH__AADAT,24,1,0.24
TPM__ENC1,24,0,0.24
TPM__EVA1A,24,2,0.24
TPM__SQSTM1,24,4,0.24
TPM__CBFA2T3,24,0,0.24
TPM__ITGB1P1,24,0,0.24
TPM__SNX7,24,0,0.24
TPM__RAI14,24,1,0.24
TPM__CDC42EP1,24,4,0.24
TPM__RBPMS-AS1,24,6,0.24
TPM__SEPTIN10,24,0,0.24
METH__CDC14B,23,0,0.23
TPM__NCKAP1,23,0,0.23
TPM__CHMP3,23,1,0.23
TPM__CORO1A,23,1,0.23
TPM__TRG-AS1,23,1,0.23
TPM__ITGB5,22,0,0.22
TPM__CCDC9B,22,1,0.22
TPM__HCLS1,22,0,0.22
TPM__DST,22,4,0.22
TPM__APLP2,22,0,0.22
METH__PFKFB2,22,0,0.22
TPM__NTN4,21,0,0.21
TPM__NCEH1,21,1,0.21
METH__ARHGAP8,21,0,0.21
TPM__IGFBP6,21,7,0.21
TPM__FCHO2,21,0,0.21
TPM__RRAS,21,1,0.21
TPM__YAP1,21,0,0.21
METH__KRI1,21,0,0.21
METH__ERRFI1,20,1,0.2
TPM__FAT1,20,5,0.2
TPM__VAMP3,20,0,0.2
METH__NR2F2,20,0,0.2
METH__TBC1D10C,20,0,0.2
TPM__TRNP1,20,3,0.2
METH__ZNF579,20,6,0.2
TPM__PTGR1,20,4,0.2
TPM__ELOVL1,20,2,0.2
METH__MARVELD3,20,0,0.2
TPM__BAIAP2,19,0,0.19
TPM__DAG1,19,1,0.19
TPM__CLCF1,19,3,0.19
TPM__SMAP2,19,0,0.19
TPM__ANKLE1,19,1,0.19
TPM__GRAMD2B,19,3,0.19
TPM__ATP1B1,18,0,0.18
TPM__ITGAV,18,4,0.18
TPM__DSTN,18,5,0.18
TPM__NQO1,18,0,0.18
TPM__KDELR3,17,3,0.17
TPM__ID1,17,4,0.17
METH__SLC44A3,17,0,0.17
TPM__FLI1,17,0,0.17
TPM__EPB41L1,17,4,0.17
TPM__F2RL1,17,0,0.17
TPM__PLK2,17,0,0.17
TPM__BOK,17,4,0.17
METH__C1orf55,17,6,0.17
TPM__CAV2,17,0,0.17
TPM__GIPC1,17,0,0.17
TPM__EPS8,17,5,0.17
TPM__HCST,17,0,0.17
METH__MIPOL1,16,1,0.16
TPM__LIF,16,3,0.16
TPM__ARSJ,16,3,0.16
METH__EVL,16,0,0.16
TPM__ABCC3,16,0,0.16
TPM__PSTPIP1,16,0,0.16
TPM__ARHGAP19,16,0,0.16
TPM__GULP1,16,2,0.16
TPM__WWTR1,16,0,0.16
METH__RAVER1,16,0,0.16
TPM__PHLDB1,16,3,0.16
TPM__PARVA,15,0,0.15
TPM__CTDSPL,15,0,0.15
METH__GPR39,15,0,0.15
TPM__LIMD2,15,1,0.15
METH__C13orf29,14,1,0.14
METH__TNK1,14,0,0.14
TPM__PPP1R14B-AS1,14,4,0.14
TPM__CTTN,14,0,0.14
TPM__PLEKHN1,14,1,0.14
TPM__ELMO1,14,1,0.14
TPM__PXDC1,14,0,0.14
TPM__PDGFB,14,4,0.14
TPM__SGMS2,14,2,0.14
TPM__LINC00857,14,1,0.14
TPM__ALDH3B1,14,2,0.14
TPM__KIFC3,14,4,0.14
TPM__MGAT4B,13,1,0.13
METH__CDKN2D,13,0,0.13
TPM__MVP,13,2,0.13
TPM__AMIGO2,13,2,0.13
METH__C21orf125,13,0,0.13
METH__RHOH,13,0,0.13
TPM__BAIAP2L1,13,0,0.13
TPM__ANXA2,12,1,0.12
METH__ZFP112,12,0,0.12
TPM__CDC42BPB,12,0,0.12
METH__FAM129C,12,0,0.12
TPM__SDC1,12,3,0.12
TPM__CARD10,12,0,0.12
TPM__SH3D19,12,2,0.12
METH__RGS1,12,2,0.12
METH__RASSF1,12,2,0.12
TPM__TPM1,12,5,0.12
METH__PLA2R1,12,2,0.12
METH__GAS2L3,11,0,0.11
TPM__S100A10,11,0,0.11
TPM__TGFBI,11,0,0.11
TPM__F3,11,0,0.11
TPM__CLDN12,11,2,0.11
TPM__MIR22HG,11,3,0.11
TPM__EPHA2,11,0,0.11
TPM__SNX21,11,2,0.11
METH__RAB27B,11,2,0.11
TPM__SRGAP1,11,2,0.11
TPM__ANXA2P2,11,0,0.11
TPM__LPIN3,11,2,0.11
METH__CCM2,11,0,0.11
METH__CRIM1,10,2,0.1
TPM__MANBAL,10,1,0.1
TPM__FHL2,10,4,0.1
TPM__KRT8,10,0,0.1
TPM__WWC1,10,1,0.1
TPM__FAM114A1,10,0,0.1
TPM__NIBAN2,10,0,0.1
TPM__PLS3,10,0,0.1
METH__LOC100270746,10,1,0.1
TPM__LAMA5,10,1,0.1
TPM__CDC14B,10,0,0.1
METH__B3GNT5,10,0,0.1
METH__INADL,9,4,0.09
TPM__FERMT3,9,1,0.09
TPM__CSK,9,2,0.09
TPM__NRP1,9,2,0.09
METH__CASZ1,9,0,0.09
METH__HRCT1,9,1,0.09
