feature,Selection count,Pair count,CPSS Score
METH__SNX33,100,50,1.0
METH__BACE1,100,50,1.0
TPM__IKZF1,100,50,1.0
METH__ARHGAP5,100,50,1.0
METH__LRP6,100,50,1.0
METH__CCRN4L,99,49,0.99
METH__JAG1,96,46,0.96
METH__TIAL1,96,46,0.96
METH__TOP2A,95,45,0.95
CNV__SETBP1,93,43,0.93
METH__ATG4D,90,40,0.9
METH__ENKUR,89,39,0.89
METH__FGFR1OP,88,38,0.88
METH__ZDHHC23,86,37,0.86
METH__ERI2,85,35,0.85
METH__ARPC5,84,34,0.84
METH__POLH,84,34,0.84
METH__RPS6KA4,81,31,0.81
CNV__RMI2,79,29,0.79
CNV__SMAD2,79,30,0.79
CNV__CLTCL1,78,29,0.78
METH__ACBD3,78,28,0.78
METH__GPN3,76,26,0.76
CNV__SOCS1,76,27,0.76
METH__MSL1,74,25,0.74
METH__RPS19BP1,72,23,0.72
METH__LRSAM1,72,22,0.72
CNV__MSI2,72,26,0.72
CNV__TNFRSF17,71,24,0.71
METH__IRGQ,71,22,0.71
CNV__PRR14,71,24,0.71
CNV__AKT2,68,21,0.68
METH__DDX23,67,17,0.67
METH__TNPO3,66,18,0.66
METH__USP30,65,20,0.65
CNV__RNF43,63,16,0.63
CNV__FUS,62,19,0.62
CNV__NUP214,62,18,0.62
CNV__ZNF780A,61,13,0.61
CNV__PRKAR1A,60,16,0.6
CNV__HLF,60,15,0.6
METH__RBCK1,58,17,0.58
METH__TMEM150A,58,11,0.58
CNV__RXRA,58,14,0.58
METH__APPL1,58,12,0.58
CNV__BCR,57,15,0.57
CNV__TNFAIP3,54,15,0.54
METH__USP31,54,14,0.54
CNV__BCL2L12,53,12,0.53
METH__AGPHD1,53,12,0.53
CNV__FUBP1,52,12,0.52
CNV__POU2F2,52,13,0.52
CNV__KLK2,50,11,0.5
CNV__CIITA,49,10,0.49
METH__ATE1,48,8,0.48
CNV__CD79A,48,9,0.48
CNV__WNK4,47,10,0.47
CNV__ERCC2,47,10,0.47
CNV__BCL3,46,11,0.46
CNV__SUSD2,46,9,0.46
CNV__TRIM33,45,10,0.45
CNV__DCTN1,45,8,0.45
CNV__EFTUD2,45,5,0.45
CNV__GRIN2A,43,4,0.43
METH__ZNF434,43,7,0.43
CNV__POLD1,43,10,0.43
CNV__CIC,43,6,0.43
CNV__BAX,42,4,0.42
METH__ZNF594,42,7,0.42
CNV__ERCC1,42,9,0.42
METH__ORC3L,40,6,0.4
CNV__SPOP,40,7,0.4
CNV__JAK3,40,7,0.4
CNV__AXIN1,40,4,0.4
CNV__ABI1,39,6,0.39
METH__TECPR2,39,4,0.39
CNV__BCL7A,38,8,0.38
CNV__BRCA1,37,5,0.37
CNV__COL1A1,37,5,0.37
CNV__EHD2,36,6,0.36
METH__ZBTB34,35,5,0.35
CNV__SMARCB1,35,3,0.35
METH__ARID3B,34,4,0.34
METH__ERLEC1,34,4,0.34
CNV__CLIP1,33,2,0.33
METH__ITGB3BP,33,2,0.33
CNV__STAT3,33,5,0.33
METH__SASS6,33,6,0.33
METH__EIF4G2,33,3,0.33
CNV__KIF5B,33,5,0.33
CNV__FAS,32,2,0.32
CNV__PRKD2,32,3,0.32
METH__CWC15,32,5,0.32
CNV__RPS3A,32,5,0.32
METH__TRIP12,32,2,0.32
CNV__BMPR1A,31,2,0.31
CNV__NRP1,30,5,0.3
