feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__CPT1A,99,49,0.99,0.05000000074505806,0.22,0.11,True,1.0
TPM__PYGB,99,49,0.99,0.05000000074505806,0.28,0.1,True,1.0
TPM__LINC00869,97,47,0.97,0.05000000074505806,-0.24,0.03,True,0.992
TPM__BCL2L1,96,46,0.96,0.05999999865889549,0.28,0.09,True,0.832
METH__TP53I3,91,41,0.91,0.07999999821186066,-0.25,0.05,False,0.002
TPM__TNF,88,38,0.88,0.07000000029802322,-0.24,0.11,False,0.0
TPM__BLOC1S5,85,35,0.85,0.05000000074505806,-0.25,0.07,False,0.0
METH__LIPG,84,34,0.84,0.05999999865889549,-0.28,0.06,False,0.0
TPM__GFOD1,84,34,0.84,0.05000000074505806,-0.25,0.01,False,0.0
TPM__C1orf226,83,33,0.83,0.05000000074505806,0.25,0.03,False,0.0
TPM__TAF11,80,30,0.8,0.05999999865889549,-0.25,0.03,False,0.0
TPM__RPS6KA1,79,29,0.79,0.05000000074505806,-0.25,0.04,False,0.0
METH__TBC1D10C,76,26,0.76,0.05000000074505806,0.27,0.11,False,0.0
METH__C1orf230,76,26,0.76,0.05000000074505806,0.25,0.04,False,0.0
METH__IL18BP,72,22,0.72,0.07000000029802322,0.26,0.11,False,0.0
TPM__PBX2,72,22,0.72,0.05000000074505806,-0.22,0.06,False,0.0
METH__NBAS,70,22,0.7,0.05000000074505806,-0.22,0.15,False,0.0
TPM__MOB3A,69,20,0.69,0.05999999865889549,-0.23,0.1,False,0.0
METH__FAM171A1,68,18,0.68,0.05000000074505806,-0.19,0.12,False,0.0
TPM__EEF1A2,68,18,0.68,0.05000000074505806,0.25,0.07,False,0.0
TPM__ARHGEF12,67,17,0.67,0.03999999910593033,0.2,0.04,False,0.0
TPM__JARID2,66,17,0.66,0.05000000074505806,-0.27,0.04,False,0.0
TPM__NCKAP1L,66,18,0.66,0.05999999865889549,-0.25,0.13,False,0.0
TPM__EAF2,61,14,0.61,0.07999999821186066,-0.33,0.07,False,0.0
TPM__CSK,61,12,0.61,0.05000000074505806,-0.24,0.01,False,0.0
METH__KIAA1191,60,11,0.6,0.05000000074505806,0.25,0.15,False,0.0
