feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__HSP90AA1,100,50,1.0,0.07000000029802322,0.3,0.21,True,1.0,unimodal,0.71,True
METH__LRIG3,100,50,1.0,0.07000000029802322,-0.26,0.19,True,1.0,unimodal,0.71,True
METH__DSTN,100,50,1.0,0.05999999865889549,-0.23,0.19,True,1.0,unimodal,0.71,True
METH__GPX8,99,49,0.99,0.019999999552965164,-0.18,0.2,True,1.0,unimodal,0.71,True
METH__LRP6,99,49,0.99,0.03999999910593033,-0.2,0.2,True,1.0,unimodal,0.71,True
METH__EPHA4,98,48,0.98,0.03999999910593033,-0.19,0.2,True,1.0,unimodal,0.71,True
METH__ATP6V1D,97,47,0.97,0.029999999329447746,-0.12,0.21,True,0.992,unimodal,0.71,True
METH__AGPHD1,94,44,0.94,0.019999999552965164,-0.16,0.2,True,0.181,unimodal,0.71,True
METH__ZNF498,92,42,0.92,0.029999999329447746,-0.15,0.2,False,0.013,worst_case,0.8974082073434125,True
METH__BIVM,92,42,0.92,0.029999999329447746,-0.15,0.21,False,0.013,worst_case,0.8974082073434125,True
METH__ARPC5,92,42,0.92,0.019999999552965164,-0.13,0.21,False,0.013,worst_case,0.8974082073434125,True
METH__TCEANC,91,41,0.91,0.019999999552965164,-0.17,0.2,False,0.002,worst_case,0.8974082073434125,True
