feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.12999999523162842,0.35,0.11,True,1.0
TPM__APLP2,95,45,0.95,0.14000000059604645,0.38,0.08,True,0.458
TPM__MOB3A,94,44,0.94,0.10000000149011612,-0.25,0.1,True,0.181
TPM__SLC2A8,94,44,0.94,0.09000000357627869,0.29,0.06,True,0.181
TPM__PDCD6IP-DT,91,41,0.91,0.14000000059604645,0.39,0.11,False,0.002
TPM__GPR39,85,35,0.85,0.11999999731779099,0.35,0.12,False,0.0
TPM__NGEF,82,32,0.82,0.14000000059604645,0.41,0.13,False,0.0
TPM__SNX24,82,32,0.82,0.10000000149011612,0.29,0.05,False,0.0
TPM__KDM2B,81,31,0.81,0.12999999523162842,-0.34,0.1,False,0.0
TPM__PERP,80,30,0.8,0.09000000357627869,0.26,0.12,False,0.0
TPM__ANKLE1,79,29,0.79,0.17000000178813934,-0.41,0.14,False,0.0
TPM__BMP4,78,28,0.78,0.10999999940395355,0.34,0.09,False,0.0
METH__TMPRSS8,77,27,0.77,0.10000000149011612,0.3,0.09,False,0.0
METH__SRRM2,75,25,0.75,0.10000000149011612,0.33,0.05,False,0.0
METH__CDSN,75,25,0.75,0.14000000059604645,0.38,0.11,False,0.0
METH__MGAT1,74,24,0.74,0.1599999964237213,0.32,0.12,False,0.0
TPM__TRNP1,73,23,0.73,0.10999999940395355,0.33,0.11,False,0.0
METH__TBC1D10C,73,23,0.73,0.10000000149011612,0.27,0.09,False,0.0
TPM__ME2,72,22,0.72,0.10000000149011612,-0.34,0.12,False,0.0
TPM__PDE1B,68,19,0.68,0.10000000149011612,-0.29,0.19,False,0.0
TPM__EAF2,68,18,0.68,0.11999999731779099,-0.32,0.11,False,0.0
TPM__FGFRL1,67,17,0.67,0.10999999940395355,0.33,0.04,False,0.0
TPM__BCL11A,66,16,0.66,0.10000000149011612,-0.3,0.08,False,0.0
TPM__FHL2,60,11,0.6,0.10999999940395355,0.32,0.13,False,0.0
TPM__FERMT3,60,11,0.6,0.10999999940395355,-0.24,0.09,False,0.0
TPM__RUNX3,60,12,0.6,0.10000000149011612,-0.31,0.04,False,0.0
TPM__RBPMS,59,10,0.59,0.10999999940395355,0.33,0.07,False,0.0
METH__PSD4,59,10,0.59,0.09000000357627869,0.29,0.05,False,0.0
TPM__EPB41L1,58,10,0.58,0.10000000149011612,0.27,0.1,False,0.0
TPM__PALS1,58,10,0.58,0.10000000149011612,0.31,0.12,False,0.0
TPM__GPRC5A,57,10,0.57,0.12999999523162842,0.36,0.1,False,0.0
METH__ZNF579,56,11,0.56,0.10000000149011612,-0.31,0.06,False,0.0
TPM__KRT80,55,8,0.55,0.11999999731779099,0.36,0.14,False,0.013
TPM__EMP1,55,8,0.55,0.10000000149011612,0.31,0.07,False,0.013
METH__AIF1,55,7,0.55,0.10000000149011612,0.27,0.08,True,0.053
TPM__WIPF1,54,8,0.54,0.12999999523162842,-0.36,0.09,False,0.013
TPM__GMIP,54,7,0.54,0.10000000149011612,-0.29,0.09,True,0.053
TPM__FTH1P2,54,7,0.54,0.10999999940395355,0.34,0.09,True,0.053
TPM__HRCT1,53,6,0.53,0.10000000149011612,0.42,0.17,True,0.181
TPM__LINC01186,52,4,0.52,0.10000000149011612,0.38,0.22,True,0.832
METH__PLEKHA6,52,3,0.52,0.10999999940395355,0.33,0.08,True,0.992
METH__RASSF1,50,2,0.5,0.1599999964237213,0.37,0.08,True,1.0
METH__PARP10,50,4,0.5,0.11999999731779099,0.36,0.11,True,0.832
TPM__CTNNA1,50,3,0.5,0.09000000357627869,0.34,0.13,True,0.992
TPM__PADI1,50,4,0.5,0.10000000149011612,0.4,0.18,True,0.832
TPM__BTC,48,2,0.48,0.11999999731779099,0.38,0.14,True,1.0
TPM__GLCCI1,48,5,0.48,0.09000000357627869,-0.3,0.12,True,0.458
TPM__SHB,48,3,0.48,0.14000000059604645,0.35,0.1,True,0.992
TPM__LAPTM4A,47,3,0.47,0.12999999523162842,0.36,0.14,True,0.992
TPM__NARF-IT1,47,3,0.47,0.09000000357627869,-0.3,0.1,True,0.992
METH__PLA2R1,47,4,0.47,0.10000000149011612,-0.31,0.08,True,0.832
TPM__DOCK1,47,3,0.47,0.10999999940395355,0.27,0.11,True,0.992
TPM__MORC4,46,2,0.46,0.10000000149011612,0.27,0.08,True,1.0
TPM__ZCCHC3,45,2,0.45,0.10000000149011612,-0.34,0.08,True,1.0
TPM__NRROS,45,3,0.45,0.12999999523162842,-0.27,0.1,True,0.992
TPM__CLCF1,45,3,0.45,0.17000000178813934,0.41,0.11,True,0.992
METH__MLL2,44,5,0.44,0.17000000178813934,0.38,0.12,True,0.458
TPM__KRT8P3,44,5,0.44,0.12999999523162842,0.4,0.1,True,0.458
METH__INF2,44,1,0.44,0.09000000357627869,-0.31,0.1,True,1.0
TPM__OCLN,44,3,0.44,0.10000000149011612,0.31,0.06,True,0.992
TPM__SMAP2,43,2,0.43,0.10999999940395355,-0.34,0.1,True,1.0
TPM__MYCBP2,43,2,0.43,0.12999999523162842,-0.36,0.06,True,1.0
TPM__TAX1BP3,42,3,0.42,0.10999999940395355,0.33,0.1,True,0.992
METH__APOB48R,41,3,0.41,0.10000000149011612,0.27,0.09,True,0.992
TPM__AREG,41,1,0.41,0.10999999940395355,0.33,0.1,True,1.0
METH__C21orf125,41,1,0.41,0.11999999731779099,0.32,0.05,True,1.0
TPM__ITGB1P1,41,0,0.41,0.10999999940395355,0.33,0.12,False,
TPM__ARHGAP4,41,1,0.41,0.10000000149011612,-0.31,0.08,True,1.0
TPM__ADAM9,40,1,0.4,0.18000000715255737,0.43,0.13,True,1.0
TPM__CETN2,40,1,0.4,0.10999999940395355,0.35,0.09,True,1.0
TPM__GRAMD2B,39,0,0.39,0.10000000149011612,0.32,0.1,False,
TPM__DCBLD2,39,2,0.39,0.10999999940395355,0.35,0.09,True,1.0
TPM__KLRG1,39,2,0.39,0.10000000149011612,-0.33,0.07,True,1.0
METH__PQLC3,38,3,0.38,0.10999999940395355,0.3,0.15,True,0.992
TPM__EXT1,38,1,0.38,0.09000000357627869,0.28,0.04,True,1.0
TPM__RHPN2,37,1,0.37,0.10999999940395355,0.31,0.06,True,1.0
TPM__TWF1,37,3,0.37,0.10000000149011612,0.34,0.15,True,0.992
TPM__CRIM1,36,1,0.36,0.15000000596046448,0.38,0.12,True,1.0
TPM__DAG1,36,0,0.36,0.10000000149011612,0.3,0.1,False,
TPM__TSKU,35,1,0.35,0.10000000149011612,0.3,0.16,True,1.0
TPM__ARHGEF6,35,2,0.35,0.09000000357627869,-0.29,0.1,True,1.0
TPM__AGAP2,35,0,0.35,0.1599999964237213,-0.4,0.14,False,
TPM__SETDB2,34,1,0.34,0.10000000149011612,-0.32,0.05,True,1.0
METH__JUB,34,1,0.34,0.14000000059604645,-0.37,0.16,True,1.0
METH__MPZL2,34,1,0.34,0.10000000149011612,-0.3,0.05,True,1.0
METH__IL10,34,1,0.34,0.10999999940395355,0.27,0.08,True,1.0
METH__KITLG,34,0,0.34,0.09000000357627869,-0.28,0.09,False,
TPM__DOT1L,34,0,0.34,0.11999999731779099,-0.36,0.07,False,
TPM__PPP1R26-AS1,34,1,0.34,0.09000000357627869,0.31,0.03,True,1.0
TPM__SEPTIN10,33,2,0.33,0.10999999940395355,0.3,0.1,True,1.0
TPM__PLS3,33,5,0.33,0.10000000149011612,0.29,0.1,True,0.458
TPM__KCNAB2,33,0,0.33,0.15000000596046448,-0.37,0.1,False,
TPM__ARHGAP29,33,2,0.33,0.15000000596046448,0.4,0.08,True,1.0
TPM__DDN,32,0,0.32,0.10000000149011612,-0.28,0.08,False,
TPM__ATP8B1,32,1,0.32,0.10999999940395355,0.34,0.12,True,1.0
TPM__CCND1,31,0,0.31,0.10999999940395355,0.27,0.13,False,
TPM__FBLIM1,31,1,0.31,0.10000000149011612,0.3,0.1,True,1.0
METH__PRKAG1,31,3,0.31,0.12999999523162842,0.35,0.12,True,0.992
METH__NCRNA00111,31,1,0.31,0.12999999523162842,-0.38,0.09,True,1.0
TPM__FAT1,30,1,0.3,0.10000000149011612,0.29,0.06,True,1.0
TPM__PLEKHN1,30,1,0.3,0.11999999731779099,0.36,0.12,True,1.0
METH__RAB4B,29,2,0.29,0.09000000357627869,0.3,0.15,True,1.0
METH__HRCT1,29,1,0.29,0.10999999940395355,-0.36,0.11,True,1.0
TPM__LINC00857,29,1,0.29,0.11999999731779099,0.36,0.17,True,1.0
TPM__CTNND1,29,0,0.29,0.10000000149011612,0.3,0.1,False,
METH__TMEM150B,28,1,0.28,0.10000000149011612,0.28,0.1,True,1.0
TPM__RASGRP2,28,0,0.28,0.11999999731779099,-0.28,0.11,False,
TPM__SPATS2L,28,0,0.28,0.09000000357627869,0.31,0.11,False,
TPM__WFS1,28,0,0.28,0.10000000149011612,0.28,0.07,False,
TPM__AP1M2,28,0,0.28,0.10000000149011612,0.3,0.09,False,
TPM__PTGR1,28,0,0.28,0.10000000149011612,0.31,0.08,False,
TPM__PHACTR1,27,4,0.27,0.10000000149011612,-0.33,0.08,True,0.832
TPM__RHBDF1,27,0,0.27,0.1599999964237213,0.35,0.14,False,
TPM__PIK3CG,27,1,0.27,0.10999999940395355,-0.15,0.2,True,1.0
TPM__SEMA3C,27,0,0.27,0.10000000149011612,0.31,0.08,False,
TPM__PLPP2,27,0,0.27,0.14000000059604645,0.34,0.11,False,
TPM__IRAG2,26,0,0.26,0.10999999940395355,-0.2,0.14,False,
TPM__CELF2,26,3,0.26,0.10000000149011612,-0.28,0.09,True,0.992
TPM__RNASEH2B,26,0,0.26,0.10000000149011612,-0.3,0.09,False,
TPM__NIBAN2,26,0,0.26,0.14000000059604645,0.36,0.14,False,
METH__LIMD2,25,2,0.25,0.10999999940395355,0.3,0.05,True,1.0
TPM__RASSF7,25,1,0.25,0.10999999940395355,0.33,0.09,True,1.0
TPM__ATP1B1,25,0,0.25,0.10000000149011612,0.27,0.06,False,
TPM__KLF5,25,0,0.25,0.09000000357627869,0.31,0.08,False,
METH__NFIB,24,0,0.24,0.10000000149011612,-0.2,0.11,False,
TPM__RN7SL689P,24,1,0.24,0.10000000149011612,0.33,0.13,True,1.0
TPM__EPS8,24,1,0.24,0.10000000149011612,0.32,0.05,True,1.0
TPM__CELSR1,24,3,0.24,0.10000000149011612,0.3,0.08,True,0.992
