feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__PTPN7,100,50,1.0,0.15000000596046448,-0.22,0.22,True,1.0
METH__DENND4B,100,50,1.0,0.05000000074505806,0.16,0.2,True,1.0
METH__PRIC285,100,50,1.0,0.1599999964237213,0.35,0.24,True,1.0
TPM__LINC01186,100,50,1.0,0.10000000149011612,0.38,0.22,True,1.0
METH__RAGE,100,50,1.0,0.029999999329447746,0.16,0.21,True,1.0
TPM__FAM83B,100,50,1.0,0.029999999329447746,0.26,0.21,True,1.0
TPM__MIR142HG,100,50,1.0,0.15000000596046448,-0.22,0.27,True,1.0
METH__RAB13,100,50,1.0,0.05999999865889549,-0.18,0.22,True,1.0
MUT__TP53,100,50,1.0,0.0,0.07,0.24,True,1.0
METH__TMEM49,100,50,1.0,0.07999999821186066,-0.26,0.2,True,1.0
METH__NRP1,100,50,1.0,0.07000000029802322,-0.29,0.2,True,1.0
METH__BAT4,100,50,1.0,0.05999999865889549,0.26,0.21,True,1.0
METH__LRIG3,100,50,1.0,0.10000000149011612,-0.29,0.2,True,1.0
METH__LNPEP,99,49,0.99,0.07000000029802322,0.2,0.21,True,1.0
METH__SLC19A2,99,49,0.99,0.019999999552965164,-0.24,0.22,True,1.0
METH__C7orf70,97,47,0.97,0.05999999865889549,0.13,0.21,True,0.992
METH__AGPHD1,97,47,0.97,0.029999999329447746,-0.22,0.21,True,0.992
METH__AHI1,95,45,0.95,0.029999999329447746,-0.24,0.21,True,0.458
CNV__TCIRG1,88,38,0.88,0.019999999552965164,0.22,0.23,False,0.0
CNV__IKZF1,88,38,0.88,0.019999999552965164,0.19,0.23,False,0.0
METH__COMMD6,87,37,0.87,0.029999999329447746,0.21,0.25,False,0.0
METH__PPAPDC1B,86,36,0.86,0.019999999552965164,-0.2,0.22,False,0.0
CNV__LIFR,84,34,0.84,0.009999999776482582,0.16,0.21,False,0.0
CNV__MEN1,81,32,0.81,0.029999999329447746,0.22,0.22,False,0.0
CNV__ARID1B,80,32,0.8,0.009999999776482582,0.14,0.22,False,0.0
METH__SOCS4,80,30,0.8,0.009999999776482582,0.09,0.22,False,0.0
METH__CNOT1,79,29,0.79,0.009999999776482582,0.08,0.24,False,0.0
CNV__ESRRA,77,28,0.77,0.029999999329447746,0.21,0.22,False,0.0
METH__TARS,75,25,0.75,0.03999999910593033,-0.18,0.21,False,0.0
CNV__PICALM,75,27,0.75,0.009999999776482582,0.17,0.21,False,0.0
CNV__EGFR,74,26,0.74,0.0,0.19,0.23,False,0.0
METH__CCDC84,73,24,0.73,0.019999999552965164,0.15,0.25,False,0.0
METH__PPP2R5B,71,22,0.71,0.019999999552965164,-0.16,0.2,False,0.0
METH__PDXP,69,19,0.69,0.009999999776482582,0.11,0.23,False,0.0
CNV__GPHN,68,23,0.68,0.019999999552965164,0.19,0.22,False,0.0
METH__EIF4H,66,19,0.66,0.0,0.07,0.22,False,0.0
CNV__PSIP1,64,19,0.64,0.0,0.05,0.23,False,0.0
METH__KCTD16,62,17,0.62,0.029999999329447746,-0.16,0.22,False,0.0
CNV__MGA,59,19,0.59,0.009999999776482582,0.12,0.23,False,0.0
CNV__SPOP,59,19,0.59,0.029999999329447746,0.17,0.22,False,0.0
CNV__EP300,59,15,0.59,0.0,0.02,0.22,False,0.0
CNV__ITK,58,10,0.58,0.029999999329447746,0.21,0.23,False,0.0
CNV__ARHGEF10,58,14,0.58,0.0,-0.01,0.24,False,0.0
METH__FAM114A2,58,13,0.58,0.009999999776482582,-0.1,0.22,False,0.0
CNV__SOS1,57,12,0.57,0.019999999552965164,0.17,0.22,False,0.0
CNV__FAT2,56,10,0.56,0.029999999329447746,0.21,0.22,False,0.0
CNV__TLX3,56,15,0.56,0.029999999329447746,0.2,0.22,False,0.0
CNV__EZR,55,12,0.55,0.009999999776482582,0.14,0.22,False,0.0
METH__PLD2,54,11,0.54,0.009999999776482582,-0.04,0.22,False,0.0
CNV__COL1A1,54,11,0.54,0.029999999329447746,0.16,0.24,False,0.0
METH__C12orf41,53,12,0.53,0.0,0.07,0.22,False,0.0
CNV__IRF1,53,8,0.53,0.019999999552965164,0.18,0.23,False,0.013
METH__MAN2C1,52,7,0.52,0.029999999329447746,-0.14,0.21,True,0.053
METH__FKTN,49,10,0.49,0.009999999776482582,-0.07,0.21,False,0.0
CNV__TP53,49,9,0.49,0.0,0.12,0.21,False,0.002
CNV__ETV4,49,13,0.49,0.009999999776482582,0.13,0.21,False,0.0
CNV__PAX7,49,13,0.49,0.0,0.04,0.22,False,0.0
CNV__HERPUD1,49,9,0.49,0.029999999329447746,0.19,0.27,False,0.002
CNV__MSH6,48,7,0.48,0.019999999552965164,0.17,0.26,True,0.053
METH__BCAS2,47,7,0.47,0.0,0.05,0.24,True,0.053
CNV__PDGFRB,46,7,0.46,0.029999999329447746,0.21,0.22,True,0.053
CNV__NXF1,46,8,0.46,0.029999999329447746,0.2,0.23,False,0.013
