feature,Selection count,Pair count,CPSS Score
TPM__PTPN7,100,50,1.0
METH__RAB13,100,50,1.0
METH__LRIG3,100,50,1.0
METH__BAT4,100,50,1.0
METH__NRP1,100,50,1.0
METH__TMEM49,100,50,1.0
MUT__TP53,100,50,1.0
METH__DENND4B,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__FAM83B,100,50,1.0
METH__RAGE,100,50,1.0
TPM__LINC01186,100,50,1.0
METH__PRIC285,100,50,1.0
METH__LNPEP,99,49,0.99
METH__SLC19A2,99,49,0.99
METH__C7orf70,97,47,0.97
METH__AGPHD1,97,47,0.97
METH__AHI1,95,45,0.95
CNV__IKZF1,88,38,0.88
CNV__TCIRG1,88,38,0.88
METH__COMMD6,87,37,0.87
METH__PPAPDC1B,86,36,0.86
CNV__LIFR,84,34,0.84
CNV__MEN1,81,32,0.81
CNV__ARID1B,80,32,0.8
METH__SOCS4,80,30,0.8
METH__CNOT1,79,29,0.79
CNV__ESRRA,77,28,0.77
METH__TARS,75,25,0.75
CNV__PICALM,75,27,0.75
CNV__EGFR,74,26,0.74
METH__CCDC84,73,24,0.73
METH__PPP2R5B,71,22,0.71
METH__PDXP,69,19,0.69
CNV__GPHN,68,23,0.68
METH__EIF4H,66,19,0.66
CNV__PSIP1,64,19,0.64
METH__KCTD16,62,17,0.62
CNV__MGA,59,19,0.59
CNV__SPOP,59,19,0.59
CNV__EP300,59,15,0.59
CNV__ITK,58,10,0.58
CNV__ARHGEF10,58,14,0.58
METH__FAM114A2,58,13,0.58
CNV__SOS1,57,12,0.57
CNV__FAT2,56,10,0.56
CNV__TLX3,56,15,0.56
CNV__EZR,55,12,0.55
METH__PLD2,54,11,0.54
CNV__COL1A1,54,11,0.54
METH__C12orf41,53,12,0.53
CNV__IRF1,53,8,0.53
METH__MAN2C1,52,7,0.52
METH__FKTN,49,10,0.49
CNV__TP53,49,9,0.49
CNV__ETV4,49,13,0.49
CNV__PAX7,49,13,0.49
CNV__HERPUD1,49,9,0.49
CNV__MSH6,48,7,0.48
METH__BCAS2,47,7,0.47
CNV__PDGFRB,46,7,0.46
CNV__NXF1,46,8,0.46
METH__RBM14,45,5,0.45
CNV__ZNF208,45,10,0.45
CNV__MSH2,44,5,0.44
CNV__CD74,43,6,0.43
CNV__NPM1,43,4,0.43
METH__TBPL1,43,7,0.43
CNV__NSD1,43,6,0.43
METH__MOBKL1A,42,6,0.42
METH__ACAD9,42,7,0.42
CNV__KMT2C,41,8,0.41
CNV__TAL2,41,7,0.41
CNV__BRD7,41,7,0.41
CNV__SPEN,40,6,0.4
METH__TM9SF2,40,3,0.4
CNV__EML4,40,6,0.4
CNV__CDH11,38,4,0.38
METH__TMED4,37,7,0.37
METH__MED27,37,5,0.37
CNV__H3-3B,37,10,0.37
CNV__ARHGEF10L,37,6,0.37
METH__ID1,36,1,0.36
CNV__CHD2,36,6,0.36
CNV__BCL11A,36,5,0.36
CNV__DCTN1,35,3,0.35
CNV__STRN,35,6,0.35
CNV__CYLD,35,2,0.35
CNV__MAP2K2,32,5,0.32
CNV__CDH1,32,2,0.32
METH__EIF2B5,32,2,0.32
CNV__XPO1,32,6,0.32
CNV__MECOM,32,2,0.32
METH__UQCRH,31,0,0.31
METH__SKI,30,3,0.3
CNV__PTCH1,30,6,0.3
CNV__MLF1,30,4,0.3
CNV__HSP90AB1,30,4,0.3
CNV__NRG1,30,5,0.3
CNV__CCND2,30,6,0.3
CNV__NFKBIE,29,5,0.29
CNV__FANCL,29,0,0.29
METH__PRCC,29,2,0.29
CNV__RGL3,29,2,0.29
METH__EIF3H,28,2,0.28
CNV__PRCC,28,6,0.28
CNV__FCRL4,28,4,0.28
CNV__ZFHX3,28,2,0.28
CNV__DEK,28,3,0.28
CNV__RIPK1,28,2,0.28
CNV__PRDM2,28,3,0.28
CNV__SOX9,28,7,0.28
CNV__FAM174B,28,4,0.28
CNV__TNC,27,4,0.27
CNV__EXT2,27,4,0.27
CNV__POU5F1,26,3,0.26
CNV__EPHA7,26,3,0.26
CNV__KLF4,26,0,0.26
METH__SF1,26,0,0.26
CNV__HTRA2,26,0,0.26
CNV__SH3GL1,26,4,0.26
METH__C5orf30,25,3,0.25
CNV__SRSF2,25,3,0.25
METH__DSN1,25,5,0.25
CNV__ACVR1,25,1,0.25
CNV__AFF4,25,2,0.25
CNV__IRF4,25,4,0.25
METH__MED28,25,3,0.25
CNV__APC,25,1,0.25
