feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__TRNP1,92,42,0.92
TPM__PLPP2,92,42,0.92
TPM__CHMP3,88,38,0.88
TPM__ZBED4,83,33,0.83
METH__MGAT1,82,32,0.82
TPM__RN7SL689P,81,31,0.81
METH__BTBD16,80,30,0.8
TPM__RASAL2-AS1,80,30,0.8
TPM__ANKRD1,75,25,0.75
TPM__CETN2,73,23,0.73
TPM__SPATS2L,71,21,0.71
TPM__SQSTM1,68,19,0.68
TPM__ARSD,68,18,0.68
METH__TBC1D10C,65,15,0.65
TPM__CUEDC1,65,15,0.65
TPM__LARP6,65,15,0.65
TPM__CARD10,64,14,0.64
TPM__PRSS23,64,15,0.64
TPM__PDCD6IP-DT,63,14,0.63
METH__EIF3K,60,16,0.6
TPM__DDN,60,10,0.6
TPM__ATP8B1,58,11,0.58
METH__KRI1,58,13,0.58
TPM__ENC1,56,11,0.56
TPM__AGAP2,56,7,0.56
TPM__KDM2B,55,6,0.55
TPM__RAI14,54,9,0.54
TPM__CORO1A-AS1,54,5,0.54
TPM__FERMT3,54,9,0.54
TPM__TAX1BP3,54,8,0.54
TPM__PTGR1,53,6,0.53
TPM__KIF21B,50,3,0.5
TPM__PTTG1IP,49,3,0.49
TPM__TACC2,49,5,0.49
TPM__IGFBP6,49,5,0.49
TPM__LAPTM4A,48,6,0.48
TPM__CRIM1-DT,48,4,0.48
TPM__ARSJ,48,5,0.48
TPM__ADAM9,48,3,0.48
TPM__PXDC1,47,4,0.47
TPM__C19orf33,46,3,0.46
TPM__SEPTIN6,46,2,0.46
METH__MIR21,46,3,0.46
TPM__TMEM51,46,3,0.46
TPM__CCND1,45,4,0.45
TPM__DCBLD2,45,0,0.45
TPM__NHSL3,44,3,0.44
TPM__CST3,43,5,0.43
TPM__TSPAN1,43,0,0.43
TPM__VMP1,43,5,0.43
TPM__CD63,43,3,0.43
TPM__PARVA,42,2,0.42
TPM__PHLDB2,42,4,0.42
TPM__LGALS3,42,2,0.42
TPM__LAMB1,42,1,0.42
TPM__LRRC8E,41,2,0.41
TPM__SUMF1,39,0,0.39
TPM__EGFR,39,0,0.39
TPM__GULP1,39,2,0.39
TPM__ARHGAP19,39,2,0.39
TPM__PON2,39,2,0.39
METH__RASSF1,38,2,0.38
TPM__BMS1P23,37,1,0.37
TPM__CAV2,37,2,0.37
METH__PROCA1,37,3,0.37
TPM__DOCK1,36,0,0.36
TPM__SHISA4,36,1,0.36
TPM__SDC4,35,1,0.35
TPM__PHLDA1,34,1,0.34
TPM__FLI1,33,0,0.33
TPM__APLP2,33,1,0.33
TPM__TMEM54,32,1,0.32
TPM__SEMA3C,32,0,0.32
TPM__TWF1,32,9,0.32
TPM__ARPIN-AP3S2,32,1,0.32
TPM__BOK,32,0,0.32
TPM__IL12RB1,31,0,0.31
TPM__TNFAIP1,31,1,0.31
TPM__CDCP1,31,0,0.31
TPM__KBTBD8,30,5,0.3
TPM__NACC2,29,0,0.29
METH__ARSJ,29,3,0.29
METH__HCST,29,1,0.29
TPM__AMOTL2,29,0,0.29
METH__MTMR11,28,0,0.28
TPM__EPS8,28,0,0.28
TPM__KIF3B,28,3,0.28
TPM__KIFC3,27,0,0.27
TPM__PTPN21,27,0,0.27
TPM__MET,27,2,0.27
METH__LYPD6,27,0,0.27
TPM__FAT1,26,2,0.26
TPM__ASAP2,26,3,0.26
TPM__PPP1R14B-AS1,26,1,0.26
TPM__WWC1,26,0,0.26
METH__MAP4K1,25,0,0.25
TPM__TPM1,25,0,0.25
TPM__MFNG,25,1,0.25
TPM__AHNAK2,24,0,0.24
TPM__CTNND1,24,0,0.24
TPM__LIMD2,24,1,0.24
TPM__MIR22HG,24,1,0.24
