feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__MET,100,50,1.0,0.30000001192092896,0.55,0.27,True,1.0,unimodal,0.7,True
TPM__SDC4,100,50,1.0,0.33000001311302185,0.56,0.25,True,1.0,unimodal,0.7,True
TPM__PRSS23,100,50,1.0,0.3199999928474426,0.58,0.23,True,1.0,unimodal,0.7,True
TPM__HRCT1,98,48,0.98,0.15000000596046448,0.55,0.23,True,1.0,unimodal,0.7,True
TPM__ITGA3,97,47,0.97,0.3100000023841858,0.56,0.27,True,0.992,unimodal,0.7,True
TPM__EPHA2,97,47,0.97,0.30000001192092896,0.55,0.26,True,0.992,unimodal,0.7,True
TPM__TJP1,96,46,0.96,0.3199999928474426,0.51,0.27,True,0.832,unimodal,0.7,True
TPM__GPR39,95,45,0.95,0.25999999046325684,0.54,0.24,True,0.458,unimodal,0.7,True
METH__JUB,95,45,0.95,0.27000001072883606,-0.5,0.23,True,0.458,unimodal,0.7,True
TPM__BCAR3,94,44,0.94,0.25999999046325684,0.51,0.25,True,0.181,unimodal,0.7,True
TPM__PTPN7,94,44,0.94,0.27000001072883606,-0.32,0.31,True,0.181,unimodal,0.7,True
TPM__IL13RA1,93,43,0.93,0.25999999046325684,0.46,0.25,True,0.053,unimodal,0.7,True
TPM__CTTN,93,43,0.93,0.25999999046325684,0.5,0.26,True,0.053,unimodal,0.7,True
TPM__PON2,93,43,0.93,0.25,0.49,0.25,True,0.053,unimodal,0.7,True
TPM__ADAM9,92,42,0.92,0.30000001192092896,0.56,0.25,False,0.013,worst_case,0.8897435897435897,True
TPM__BCAR1,92,42,0.92,0.30000001192092896,0.53,0.29,False,0.013,worst_case,0.8897435897435897,True
TPM__PLPP2,91,41,0.91,0.27000001072883606,0.5,0.23,False,0.002,worst_case,0.8897435897435897,True
TPM__MIR142HG,91,41,0.91,0.28999999165534973,-0.33,0.36,False,0.002,worst_case,0.8897435897435897,True
METH__BZRAP1,89,40,0.89,0.27000001072883606,0.45,0.28,False,0.0,worst_case,0.8897435897435897,True
METH__PRIC285,89,39,0.89,0.25,0.47,0.32,False,0.0,worst_case,0.8897435897435897,True
TPM__CHMP3,89,39,0.89,0.25999999046325684,0.5,0.22,False,0.0,worst_case,0.8897435897435897,True
TPM__ANXA2,89,39,0.89,0.27000001072883606,0.56,0.25,False,0.0,worst_case,0.8897435897435897,True
