feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__SH3BP1,100,50,1.0,0.10000000149011612,-0.32,0.09,True,1.0
TPM__AKT1S1,92,42,0.92,0.07999999821186066,0.27,0.09,False,0.013
METH__KRT18,90,40,0.9,0.07999999821186066,-0.27,0.07,False,0.0
METH__C20orf195,87,37,0.87,0.09000000357627869,0.3,0.08,False,0.0
METH__MGAT1,80,30,0.8,0.15000000596046448,0.35,0.1,False,0.0
TPM__QSOX1,78,28,0.78,0.10000000149011612,0.31,0.05,False,0.0
TPM__BCAR3,78,28,0.78,0.12999999523162842,0.37,0.11,False,0.0
TPM__GPSM3,72,22,0.72,0.07999999821186066,-0.27,0.09,False,0.0
TPM__BCL2L1,72,22,0.72,0.10000000149011612,0.32,0.08,False,0.0
TPM__WFS1,69,20,0.69,0.10000000149011612,0.3,0.06,False,0.0
TPM__DEPDC5,69,19,0.69,0.10999999940395355,-0.32,0.11,False,0.0
TPM__ITGB1P1,68,19,0.68,0.09000000357627869,0.32,0.13,False,0.0
TPM__EAF2,66,17,0.66,0.10999999940395355,-0.31,0.07,False,0.0
TPM__MCFD2,66,18,0.66,0.09000000357627869,0.31,0.06,False,0.0
METH__LOC100128788,66,16,0.66,0.07999999821186066,0.28,0.06,False,0.0
TPM__LASP1,66,17,0.66,0.10000000149011612,0.34,0.1,False,0.0
TPM__EMP1,66,17,0.66,0.09000000357627869,0.31,0.04,False,0.0
TPM__PPP1R16B,65,17,0.65,0.07999999821186066,-0.24,0.16,False,0.0
TPM__AREG,63,15,0.63,0.09000000357627869,0.32,0.12,False,0.0
METH__TBC1D10C,62,13,0.62,0.09000000357627869,0.28,0.06,False,0.0
TPM__CDCP1,62,14,0.62,0.09000000357627869,0.32,0.08,False,0.0
TPM__KLRG1,60,13,0.6,0.07999999821186066,-0.27,0.1,False,0.0
TPM__NHSL3,59,13,0.59,0.07999999821186066,0.27,0.09,False,0.0
TPM__CREB3,59,10,0.59,0.07999999821186066,0.3,0.05,False,0.0
TPM__SVIL,58,9,0.58,0.07999999821186066,0.27,0.06,False,0.002
TPM__CDC42EP2,58,9,0.58,0.12999999523162842,0.38,0.05,False,0.002
METH__RAB4B,58,11,0.58,0.09000000357627869,0.3,0.07,False,0.0
METH__C6orf15,57,10,0.57,0.09000000357627869,0.31,0.03,False,0.0
METH__ARHGDIB,57,14,0.57,0.07999999821186066,0.25,0.14,False,0.0
METH__BOK,57,8,0.57,0.09000000357627869,-0.3,0.06,False,0.013
TPM__BTC,56,7,0.56,0.10000000149011612,0.36,0.13,True,0.053
TPM__BMP4,56,7,0.56,0.07999999821186066,0.32,0.06,True,0.053
TPM__HRCT1,55,7,0.55,0.07999999821186066,0.4,0.18,True,0.053
TPM__THAP10,54,7,0.54,0.09000000357627869,0.24,0.12,True,0.053
TPM__ANXA4,54,8,0.54,0.11999999731779099,0.34,0.11,False,0.013
TPM__CHMP3,53,6,0.53,0.10999999940395355,0.33,0.06,True,0.181
TPM__APLP2,53,7,0.53,0.10999999940395355,0.35,0.09,True,0.053
METH__POLD3,52,4,0.52,0.07999999821186066,-0.27,0.06,True,0.832
TPM__SH3BP4,51,8,0.51,0.09000000357627869,0.24,0.11,False,0.013
TPM__SMURF2,50,5,0.5,0.07999999821186066,0.29,0.04,True,0.458
METH__MIR150,49,6,0.49,0.10000000149011612,0.32,0.06,True,0.181
METH__EVL,49,4,0.49,0.09000000357627869,0.26,0.11,True,0.832
TPM__PLK2,49,3,0.49,0.10000000149011612,0.32,0.12,True,0.992
TPM__SHB,48,2,0.48,0.11999999731779099,0.33,0.13,True,1.0
TPM__FOSL2,47,5,0.47,0.07999999821186066,0.26,0.03,True,0.458
METH__PPAN,47,5,0.47,0.07999999821186066,0.29,0.12,True,0.458
METH__SLC1A7,46,2,0.46,0.10999999940395355,0.31,0.07,True,1.0
TPM__SNX24,45,2,0.45,0.07999999821186066,0.26,0.08,True,1.0
TPM__TNFAIP1,43,4,0.43,0.09000000357627869,0.27,0.13,True,0.832
TPM__IQSEC2,43,3,0.43,0.10999999940395355,0.3,0.07,True,0.992
METH__HPN,43,1,0.43,0.07999999821186066,0.3,0.09,True,1.0
METH__KRI1,43,2,0.43,0.10999999940395355,0.33,0.11,True,1.0
TPM__TWF1,42,0,0.42,0.09000000357627869,0.31,0.09,False,
TPM__FERMT3,42,1,0.42,0.07999999821186066,-0.24,0.05,True,1.0
TPM__PON2,41,1,0.41,0.12999999523162842,0.37,0.11,True,1.0
TPM__CRYZL2P,41,1,0.41,0.07999999821186066,0.31,0.06,True,1.0
TPM__ACTN1,41,1,0.41,0.07999999821186066,0.26,0.02,True,1.0
TPM__INF2,41,2,0.41,0.09000000357627869,0.28,0.05,True,1.0
METH__PLA2R1,40,3,0.4,0.07999999821186066,-0.29,0.12,True,0.992
TPM__ARPIN-AP3S2,40,1,0.4,0.10000000149011612,0.29,0.05,True,1.0
TPM__ABCC3,39,1,0.39,0.10999999940395355,0.36,0.09,True,1.0
METH__ABHD10,39,0,0.39,0.09000000357627869,-0.29,0.09,False,
TPM__KRT8P3,39,2,0.39,0.11999999731779099,0.38,0.1,True,1.0
TPM__FLI1,39,0,0.39,0.10000000149011612,-0.28,0.11,False,
TPM__MYEOV,39,1,0.39,0.07999999821186066,0.3,0.09,True,1.0
TPM__CAST,38,2,0.38,0.07999999821186066,0.3,0.07,True,1.0
TPM__RAI14,38,0,0.38,0.07999999821186066,0.28,0.09,False,
TPM__PDE1B,38,1,0.38,0.07999999821186066,-0.29,0.15,True,1.0
METH__ST6GALNAC4,37,1,0.37,0.10000000149011612,0.31,0.07,True,1.0
METH__AGXT2L2,37,0,0.37,0.10000000149011612,0.32,0.08,False,
TPM__ITGAV,36,2,0.36,0.07999999821186066,0.28,0.07,True,1.0
METH__VTRNA1-2,36,1,0.36,0.10000000149011612,-0.29,0.08,True,1.0
TPM__WFDC3,36,1,0.36,0.07999999821186066,0.33,0.04,True,1.0
TPM__TFPI,36,1,0.36,0.07999999821186066,0.3,0.07,True,1.0
TPM__SAMD4A,36,1,0.36,0.07999999821186066,0.3,0.09,True,1.0
METH__CCDC88B,36,1,0.36,0.10000000149011612,0.28,0.09,True,1.0
TPM__TRNP1,35,0,0.35,0.10000000149011612,0.31,0.07,False,
TPM__BCL9L,35,0,0.35,0.09000000357627869,0.33,0.09,False,
TPM__SPR,35,1,0.35,0.09000000357627869,0.28,0.04,True,1.0
TPM__NTN4,35,1,0.35,0.07999999821186066,0.33,0.09,True,1.0
TPM__SDSL,34,0,0.34,0.10000000149011612,0.3,0.09,False,
TPM__PSTPIP1,34,3,0.34,0.10000000149011612,-0.31,0.11,True,0.992
TPM__BCL11A,34,6,0.34,0.09000000357627869,-0.27,0.05,True,0.181
METH__POLR1B,34,0,0.34,0.09000000357627869,0.27,0.08,False,
TPM__PXN,34,1,0.34,0.09000000357627869,0.3,0.1,True,1.0
TPM__ATP1B1,34,0,0.34,0.07999999821186066,0.27,0.06,False,
METH__SLA2,34,0,0.34,0.07999999821186066,0.27,0.04,False,
TPM__FHL2,34,1,0.34,0.10999999940395355,0.33,0.14,True,1.0
TPM__ELOVL1,33,1,0.33,0.09000000357627869,0.32,0.09,True,1.0
METH__MIR938,33,0,0.33,0.10999999940395355,0.35,0.08,False,
METH__C16orf54,33,0,0.33,0.10999999940395355,0.31,0.06,False,
TPM__GPAT3,33,1,0.33,0.09000000357627869,0.32,0.05,True,1.0
TPM__TUFT1,32,0,0.32,0.10000000149011612,0.3,0.06,False,
TPM__DCBLD2,32,0,0.32,0.10999999940395355,0.35,0.08,False,
METH__FAM129C,32,1,0.32,0.10999999940395355,0.33,0.08,True,1.0
TPM__TRAF3IP3,31,0,0.31,0.09000000357627869,-0.35,0.13,False,
TPM__LIMD2,31,0,0.31,0.11999999731779099,-0.33,0.09,False,
TPM__AGAP2,30,2,0.3,0.12999999523162842,-0.37,0.11,True,1.0
TPM__NECTIN2,30,0,0.3,0.10999999940395355,0.31,0.13,False,
TPM__CCND1,30,0,0.3,0.09000000357627869,0.25,0.07,False,
TPM__SMAGP,30,0,0.3,0.07999999821186066,0.29,0.03,False,
TPM__SLC35A2,30,3,0.3,0.07999999821186066,0.3,0.08,True,0.992
METH__DOK2,30,3,0.3,0.07999999821186066,0.27,0.02,True,0.992
TPM__PHLDB2,29,1,0.29,0.07999999821186066,0.28,0.08,True,1.0
