feature,Selection count,Pair count,CPSS Score
METH__FAM114A1,100,50,1.0
METH__TEAD4,100,50,1.0
METH__TMEM49,100,50,1.0
METH__MIR574,100,50,1.0
METH__KLF4,100,50,1.0
METH__CMTM1,99,49,0.99
METH__HNRNPC,99,49,0.99
TPM__SCARNA1,99,49,0.99
METH__ZNF230,98,48,0.98
METH__AGPHD1,98,48,0.98
METH__NUDT18,96,46,0.96
METH__USP32,95,45,0.95
METH__NDST2,95,45,0.95
METH__MED16,92,42,0.92
METH__COMMD6,91,41,0.91
METH__LOC729082,91,41,0.91
METH__ZNF655,90,40,0.9
METH__LRP6,90,40,0.9
METH__RAPH1,88,38,0.88
METH__PCCA,86,36,0.86
METH__DNAJA2,86,36,0.86
METH__CGRRF1,86,36,0.86
METH__CENPQ,84,34,0.84
METH__MCRS1,83,33,0.83
METH__PPAPDC1B,83,33,0.83
CNV__MRTFA,81,31,0.81
METH__SREBF2,80,30,0.8
METH__MBOAT1,80,31,0.8
METH__ZFP91-CNTF,78,29,0.78
METH__ERCC1,78,28,0.78
METH__TARS,76,26,0.76
METH__TPX2,76,27,0.76
CNV__WRN,70,23,0.7
CNV__POT1,68,21,0.68
METH__FXR1,67,22,0.67
CNV__BIRC3,67,21,0.67
CNV__EP300,64,15,0.64
CNV__MLLT3,64,20,0.64
CNV__KRAS,63,17,0.63
METH__THNSL1,62,16,0.62
METH__ZNF434,62,20,0.62
CNV__ARHGEF12,59,13,0.59
METH__JUN,58,13,0.58
METH__PNN,58,11,0.58
CNV__CBL,57,12,0.57
CNV__CDK6,56,14,0.56
CNV__BCL9L,54,12,0.54
CNV__NRG1,54,13,0.54
METH__TMEM44,53,10,0.53
CNV__FGFR4,52,11,0.52
CNV__TRRAP,52,12,0.52
CNV__FAT3,52,14,0.52
METH__MIR1291,51,11,0.51
CNV__PDGFRB,50,10,0.5
CNV__ARHGAP26,50,4,0.5
METH__LRRC58,49,7,0.49
CNV__MAML2,48,10,0.48
METH__CAPZA2,47,11,0.47
METH__FTO,47,10,0.47
CNV__NKX2-1,46,9,0.46
METH__SNORA28,45,7,0.45
CNV__NPM1,44,6,0.44
METH__MRPL54,43,6,0.43
CNV__TGFBR2,42,7,0.42
CNV__FAT2,41,6,0.41
CNV__FLCN,41,7,0.41
CNV__UBE2D2,41,5,0.41
METH__HPS6,41,7,0.41
CNV__KDM3B,40,4,0.4
CNV__TGIF1,40,9,0.4
CNV__BCL2,39,4,0.39
METH__MAFF,39,3,0.39
METH__MED27,39,7,0.39
METH__PMCH,38,7,0.38
CNV__NUTM1,38,6,0.38
METH__CCNI,38,7,0.38
METH__CAPS2,37,4,0.37
METH__EDF1,37,3,0.37
METH__SCARNA5,37,2,0.37
METH__EPN2,36,6,0.36
CNV__CCDC6,35,3,0.35
METH__DCLRE1B,35,5,0.35
METH__LYRM7,35,3,0.35
METH__CAPNS1,35,3,0.35
METH__KHDRBS1,33,3,0.33
CNV__NFKBIA,33,5,0.33
CNV__CCNB1IP1,33,1,0.33
CNV__GOPC,33,5,0.33
CNV__FLT4,33,1,0.33
METH__PMS2CL,32,9,0.32
METH__RPGRIP1L,32,1,0.32
METH__SLC38A6,31,3,0.31
CNV__JAK3,31,4,0.31
METH__KDM4D,31,6,0.31
CNV__MEF2B,31,5,0.31
CNV__ZNF626,30,5,0.3
METH__BAT5,30,3,0.3
METH__FBXL17,30,3,0.3
METH__PTGER4,30,2,0.3
METH__KDSR,29,4,0.29
CNV__TLX3,29,2,0.29
METH__ARMC10,29,2,0.29
CNV__NSD1,28,2,0.28
CNV__EPHA2,28,3,0.28
METH__ACAD9,28,4,0.28
METH__USP48,27,1,0.27
METH__VAMP4,26,0,0.26
CNV__ARHGAP5,26,4,0.26
METH__TMEM143,26,3,0.26
CNV__RHPN2,26,4,0.26
METH__RHBDD3,26,4,0.26
CNV__MCM3AP,25,3,0.25
METH__CCNG1,25,4,0.25
METH__OPA3,25,3,0.25
METH__IRF2BP1,25,2,0.25
METH__ATG2B,25,3,0.25
CNV__CTNNB1,24,4,0.24
CNV__ITK,24,2,0.24
METH__STK4,24,4,0.24
CNV__SIX1,24,1,0.24
CNV__SATB1,24,1,0.24
CNV__ARNT,24,2,0.24
CNV__PRR14,24,2,0.24
METH__ANO10,24,3,0.24
METH__ADAM9,23,0,0.23
METH__CCAR1,23,1,0.23
CNV__NRP1,23,4,0.23
CNV__EFTUD2,23,3,0.23
CNV__TP53,23,0,0.23
CNV__BUB1B,23,1,0.23
CNV__RGS7,23,4,0.23
CNV__ZNF93,23,0,0.23
CNV__CDC73,22,1,0.22
CNV__SETDB1,22,2,0.22
METH__PIK3C3,22,6,0.22
CNV__PTEN,21,2,0.21
METH__C12orf41,21,1,0.21
METH__HCFC1,21,0,0.21
CNV__KNL1,20,2,0.2
CNV__HERPUD1,20,1,0.2
CNV__NCOA4,20,1,0.2
CNV__RET,20,2,0.2
CNV__PDGFRA,20,2,0.2
CNV__PDE4DIP,20,2,0.2
CNV__FUS,20,1,0.2
CNV__PTPRC,20,2,0.2
METH__CCDC93,20,1,0.2
METH__RABL2A,19,0,0.19
METH__C20orf7,19,0,0.19
CNV__ELK4,19,0,0.19
CNV__ATIC,19,2,0.19
CNV__ZFP36L1,19,4,0.19
CNV__MYH11,19,2,0.19
CNV__NKTR,19,0,0.19
CNV__MDM4,19,3,0.19
CNV__CEBPA,18,2,0.18
CNV__KMT2B,18,3,0.18
CNV__ATF7IP,18,2,0.18
CNV__MLH1,18,0,0.18
CNV__FANCM,18,2,0.18
CNV__ZNF429,18,1,0.18
CNV__CD74,18,2,0.18
CNV__PPP6C,18,0,0.18
CNV__PML,18,0,0.18
CNV__FEV,18,0,0.18
METH__APBA3,18,0,0.18
CNV__BMPR1A,18,2,0.18
CNV__CRTC1,17,1,0.17
METH__BRD2,17,2,0.17
CNV__EBF1,17,0,0.17
CNV__TLL1,17,1,0.17
CNV__RXRA,17,2,0.17
METH__ESF1,17,1,0.17
METH__C2orf42,17,0,0.17
CNV__RAD51B,17,1,0.17
CNV__PTPN14,17,1,0.17
CNV__CYP2C8,17,0,0.17
CNV__FIP1L1,17,0,0.17
CNV__FOXP1,16,1,0.16
METH__DNAJB11,16,0,0.16
CNV__ELL,16,3,0.16
CNV__FAT1,16,1,0.16
CNV__AXIN1,16,2,0.16
CNV__SMARCE1,16,0,0.16
CNV__INO80,16,2,0.16
CNV__KDR,16,1,0.16
CNV__TRIP11,16,0,0.16
METH__TRIM24,16,2,0.16
CNV__CCR7,16,1,0.16
CNV__TSC1,15,0,0.15
METH__MAD1L1,15,1,0.15
CNV__USP8,15,1,0.15
METH__ADAMTS6,15,1,0.15
CNV__CBLB,15,1,0.15
METH__HNRPA1L-2,15,0,0.15
METH__ICK,15,0,0.15
METH__WNK1,14,1,0.14
METH__LOC400027,14,0,0.14
METH__DNAJC28,14,0,0.14
METH__MARS2,14,0,0.14
METH__RELA,14,0,0.14
METH__PTPLB,14,0,0.14
METH__CDKL3,14,1,0.14
CNV__HMGA2,14,2,0.14
CNV__MYD88,14,0,0.14
CNV__NT5C2,14,2,0.14
METH__EIF3D,14,0,0.14
CNV__FH,13,0,0.13
METH__SF3A2,13,1,0.13
CNV__ELF3,13,0,0.13
CNV__ACSL3,13,0,0.13
CNV__ARID2,13,0,0.13
METH__HIST1H2BD,13,2,0.13
METH__STXBP4,13,1,0.13
METH__GTPBP1,13,0,0.13
CNV__SET,13,0,0.13
CNV__FGFR2,13,0,0.13
METH__DONSON,12,0,0.12
CNV__RMI2,12,0,0.12
CNV__PPFIBP1,12,0,0.12
METH__GNG5,12,0,0.12
CNV__STAT3,12,1,0.12
CNV__ETV4,12,0,0.12
CNV__TFG,12,0,0.12
