feature,Selection count,Pair count,CPSS Score
CNV__ERBB2,100,50,1.0
TPM__IRX2,100,50,1.0
TPM__RNVU1-25,100,50,1.0
CNV__IKZF3,100,50,1.0
CNV__CDK12,100,50,1.0
TPM__MIR200CHG,100,50,1.0
METH__ZNF697,99,49,0.99
MUT__KRAS,96,46,0.96
CNV__CCND1,95,45,0.95
METH__RASA3,93,43,0.93
CNV__FLI1,93,43,0.93
CNV__POU2AF1,91,41,0.91
CNV__KCNJ5,90,40,0.9
CNV__FOXP1,88,38,0.88
MUT__BRAF,86,36,0.86
METH__DCAF16,86,37,0.86
METH__LRP6,85,37,0.85
CNV__DIS3,85,35,0.85
CNV__NUMA1,84,35,0.84
CNV__MYD88,82,32,0.82
CNV__CHCHD7,80,31,0.8
TPM__RNA5SP216,78,31,0.78
TPM__SCARNA4,74,25,0.74
CNV__MLH1,73,23,0.73
CNV__BRCA2,72,22,0.72
CNV__SIX1,71,24,0.71
TPM__SNORA33,68,20,0.68
CNV__SDHA,68,23,0.68
TPM__RNA5SP323,67,19,0.67
CNV__DGCR8,67,22,0.67
CNV__LASP1,67,19,0.67
CNV__DICER1,66,20,0.66
CNV__ZCRB1,66,18,0.66
CNV__RB1,66,20,0.66
CNV__CDH10,65,20,0.65
CNV__HIF1A,65,21,0.65
CNV__CLTCL1,64,21,0.64
CNV__LATS2,64,17,0.64
CNV__KTN1,64,20,0.64
CNV__MLLT6,63,17,0.63
CNV__FOXO1,63,19,0.63
CNV__ASPSCR1,62,18,0.62
METH__RAPH1,62,15,0.62
CNV__TCIRG1,61,16,0.61
CNV__CCDC6,60,12,0.6
TPM__VTRNA2-1,59,13,0.59
TPM__SCARNA8,58,14,0.58
CNV__PRF1,56,16,0.56
CNV__CACNA1D,55,11,0.55
CNV__TSHR,55,16,0.55
CNV__PCMTD1,55,12,0.55
CNV__ABL2,54,13,0.54
MUT__ARID1A,53,8,0.53
TPM__RNVU1-26,53,11,0.53
CNV__TERT,52,14,0.52
CNV__MGA,51,11,0.51
CNV__TET1,50,12,0.5
CNV__SOHLH2,50,11,0.5
CNV__PBRM1,49,10,0.49
CNV__EPHA2,48,9,0.48
CNV__MAX,48,15,0.48
METH__C5orf30,48,10,0.48
CNV__PRDM2,48,10,0.48
CNV__NF1,48,7,0.48
METH__LRCH4,48,12,0.48
METH__WDR61,47,3,0.47
CNV__ARID2,47,6,0.47
MUT__NRAS,46,2,0.46
