feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__GSN,99,49,0.99,0.20999999344348907,0.44,0.16,True,1.0
TPM__PDCD6IP-DT,94,44,0.94,0.18000000715255737,0.45,0.19,True,0.181
METH__RHEB,91,41,0.91,0.20999999344348907,-0.44,0.2,False,0.002
METH__THBS1,85,35,0.85,0.27000001072883606,-0.48,0.19,False,0.0
METH__MGAT1,84,34,0.84,0.1899999976158142,0.36,0.2,False,0.0
TPM__KIF21B,84,34,0.84,0.20999999344348907,-0.4,0.16,False,0.0
TPM__MRPS18AP1,82,32,0.82,0.18000000715255737,-0.36,0.12,False,0.0
TPM__RASAL2-AS1,80,30,0.8,0.18000000715255737,0.44,0.16,False,0.0
METH__YOD1,80,30,0.8,0.23000000417232513,-0.43,0.21,False,0.0
TPM__PMEPA1,77,28,0.77,0.18000000715255737,0.44,0.15,False,0.0
TPM__STAC3,74,25,0.74,0.18000000715255737,-0.39,0.16,False,0.0
TPM__GPC1,71,21,0.71,0.25,0.48,0.17,False,0.0
TPM__TMEM131L,71,21,0.71,0.20000000298023224,-0.39,0.15,False,0.0
TPM__FERMT3,69,20,0.69,0.20000000298023224,-0.34,0.16,False,0.0
METH__MORN4,69,19,0.69,0.1899999976158142,-0.38,0.12,False,0.0
TPM__TGFBI,68,18,0.68,0.1899999976158142,0.46,0.17,False,0.0
TPM__CTSD,66,16,0.66,0.20999999344348907,0.48,0.16,False,0.0
METH__IL10,66,17,0.66,0.18000000715255737,0.37,0.16,False,0.0
METH__CDC42EP4,65,15,0.65,0.18000000715255737,-0.38,0.24,False,0.0
TPM__TRNP1,64,14,0.64,0.18000000715255737,0.43,0.15,False,0.0
METH__RGS14,63,13,0.63,0.1899999976158142,0.37,0.13,False,0.0
TPM__PTPN22,63,15,0.63,0.20999999344348907,-0.32,0.17,False,0.0
METH__CNKSR3,59,10,0.59,0.18000000715255737,-0.34,0.15,False,0.0
METH__CDC42BPA,59,14,0.59,0.18000000715255737,-0.26,0.18,False,0.0
TPM__HCST,59,11,0.59,0.23000000417232513,-0.32,0.23,False,0.0
TPM__AGAP2,58,9,0.58,0.23999999463558197,-0.46,0.17,False,0.002
TPM__GNG12,58,10,0.58,0.23999999463558197,0.45,0.21,False,0.0
TPM__AGRN,57,13,0.57,0.18000000715255737,0.4,0.17,False,0.0
TPM__LINC00511,57,9,0.57,0.20999999344348907,0.47,0.2,False,0.002
TPM__TMEM54,57,8,0.57,0.18000000715255737,0.36,0.2,False,0.013
METH__ANKRD44,56,9,0.56,0.20999999344348907,0.38,0.21,False,0.002
TPM__RASSF5,55,9,0.55,0.17000000178813934,-0.36,0.18,False,0.002
METH__APOB48R,55,7,0.55,0.1899999976158142,0.34,0.17,True,0.053
TPM__TCEAL4,55,10,0.55,0.18000000715255737,0.39,0.2,False,0.0
TPM__LCP1,54,6,0.54,0.18000000715255737,-0.35,0.13,True,0.181
