feature,Selection count,Pair count,CPSS Score
TPM__DOT1L,99,49,0.99
METH__MGAT1,90,40,0.9
TPM__EVA1A,87,37,0.87
TPM__CUEDC1,86,36,0.86
TPM__OSBPL10,85,35,0.85
METH__ZNF214,83,33,0.83
METH__TLCD2,82,32,0.82
TPM__TRG-AS1,82,32,0.82
TPM__KIF21B,82,32,0.82
TPM__SLC35D2,81,31,0.81
TPM__TRNP1,80,30,0.8
TPM__RASAL2-AS1,78,28,0.78
TPM__SAMD4A,77,27,0.77
TPM__SELPLG,76,26,0.76
TPM__CHMP3,76,26,0.76
METH__PTGFRN,71,22,0.71
TPM__EXT1,69,19,0.69
METH__RASSF1,67,18,0.67
TPM__CARMIL2,66,19,0.66
METH__P4HA2,63,15,0.63
METH__SLC44A2,61,13,0.61
TPM__TNFAIP1,59,11,0.59
TPM__EMP1,58,10,0.58
TPM__DDN,57,10,0.57
TPM__CARD10,56,7,0.56
TPM__DKK1,56,7,0.56
TPM__THAP10,56,8,0.56
TPM__ELMO1,55,7,0.55
METH__THAP10,55,7,0.55
TPM__NPTN,54,6,0.54
TPM__EPS8,53,6,0.53
TPM__PSTPIP1,50,5,0.5
TPM__TAX1BP3,50,6,0.5
TPM__AOPEP,50,6,0.5
TPM__TNS2,48,7,0.48
TPM__SDC4,48,2,0.48
METH__PFKFB2,48,7,0.48
TPM__ATP1B1,48,4,0.48
METH__POLD3,47,4,0.47
TPM__TMEM51,47,4,0.47
TPM__CRIM1-DT,46,5,0.46
METH__EPHA2,46,1,0.46
TPM__CNN3,45,2,0.45
TPM__CCND1,45,2,0.45
TPM__MYCBP2,45,4,0.45
TPM__CTSD,45,3,0.45
TPM__PHLDB1,44,3,0.44
TPM__SNX33,44,2,0.44
TPM__CST3,43,4,0.43
TPM__ARHGAP19,43,3,0.43
TPM__ZNF101,43,2,0.43
METH__CD160,42,3,0.42
TPM__RAI14,42,1,0.42
TPM__PLPP2,42,3,0.42
TPM__ADAM9,42,3,0.42
TPM__CCDC9B,41,3,0.41
TPM__PXDC1,41,2,0.41
TPM__FLI1,41,6,0.41
TPM__PTTG1IP,41,4,0.41
TPM__PARVA,40,2,0.4
TPM__LIF,40,4,0.4
TPM__ASPH,40,3,0.4
METH__LAPTM4A,40,0,0.4
METH__MAP1LC3B2,40,2,0.4
TPM__AMIGO2,39,3,0.39
TPM__ARHGAP9,37,1,0.37
TPM__CAMK2N1,37,1,0.37
TPM__C19orf33,37,3,0.37
TPM__SEPTIN6,37,1,0.37
TPM__LARP6,37,3,0.37
TPM__S100A13,37,3,0.37
METH__CD22,37,0,0.37
TPM__CORO7,37,4,0.37
TPM__CLCF1,37,1,0.37
TPM__IGFBP6,36,1,0.36
TPM__NPAS2,36,0,0.36
TPM__OPHN1,36,0,0.36
TPM__NACC2,36,0,0.36
TPM__NR2F2,35,1,0.35
TPM__EAF2,35,1,0.35
TPM__MET,35,0,0.35
METH__PER3,35,1,0.35
TPM__CD63,35,1,0.35
METH__KRI1,35,1,0.35
TPM__TBC1D10C,34,1,0.34
METH__FERMT3,34,2,0.34
TPM__CXCR4,34,1,0.34
TPM__GULP1,34,2,0.34
TPM__CAPN2,34,0,0.34
TPM__ABLIM3,33,3,0.33
TPM__UBTD1,33,1,0.33
METH__PRIC285,33,2,0.33
TPM__NQO1,33,1,0.33
TPM__THSD4,33,1,0.33
METH__RAB27B,32,1,0.32
TPM__KDM2B,32,1,0.32
TPM__SSH3,32,3,0.32
TPM__RND3,32,1,0.32
TPM__SNX9,32,0,0.32
