feature,Selection count,Pair count,CPSS Score
METH__BZRAP1,100,50,1.0
TPM__DCBLD2,100,50,1.0
TPM__PRSS23,100,50,1.0
TPM__CD151,100,50,1.0
TPM__CD53,100,50,1.0
TPM__SEPTIN6,100,50,1.0
TPM__MFNG,100,50,1.0
METH__MIR142,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__BTC,100,50,1.0
METH__AGAP2,99,49,0.99
TPM__ELMO1,99,49,0.99
TPM__BCAR1,99,49,0.99
TPM__MET,99,49,0.99
TPM__MYOF,99,49,0.99
METH__EIF3K,99,49,0.99
TPM__IKZF1,99,49,0.99
TPM__IRAG2,98,48,0.98
TPM__LMNA,98,48,0.98
TPM__EPHA2,98,48,0.98
TPM__ANXA2,98,48,0.98
TPM__FKBP9,98,48,0.98
TPM__KRT15,98,48,0.98
TPM__SLC35D2,98,48,0.98
TPM__BMS1P23,98,48,0.98
TPM__AMOTL2,98,48,0.98
TPM__CHMP3,98,48,0.98
TPM__TNFRSF12A,97,47,0.97
TPM__PPIC,97,47,0.97
TPM__CCN1,96,46,0.96
TPM__MATN3,96,46,0.96
TPM__UBTD1,96,46,0.96
TPM__MYB,96,46,0.96
TPM__GPRC5A,96,46,0.96
TPM__NQO1,96,46,0.96
TPM__ANXA2P2,95,45,0.95
METH__DSTN,95,45,0.95
TPM__ARHGAP29,94,44,0.94
TPM__NCKAP1,94,44,0.94
METH__LOC100130776,94,44,0.94
TPM__CTTN,94,44,0.94
METH__TREX1,94,44,0.94
TPM__PLPP2,92,42,0.92
METH__MIR1200,91,41,0.91
TPM__WWTR1,91,41,0.91
METH__PTPN7,91,42,0.91
TPM__CCDC9B,91,41,0.91
TPM__LINC01186,90,40,0.9
TPM__PHLDA2,90,41,0.9
TPM__PXDC1,90,40,0.9
TPM__SGMS2,89,39,0.89
TPM__PTPN21,89,39,0.89
TPM__DNAH5,89,39,0.89
TPM__PPP1R14B-AS1,89,39,0.89
TPM__ITGAV,89,39,0.89
TPM__EPHA2-AS1,89,39,0.89
