feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__PPP1R16B,100,50,1.0,0.18000000715255737,-0.35,0.19,True,1.0
TPM__TRAF3IP3,100,50,1.0,0.27000001072883606,-0.41,0.23,True,1.0
TPM__LAPTM4A,100,50,1.0,0.18000000715255737,0.43,0.19,True,1.0
TPM__ARHGAP9,100,50,1.0,0.23999999463558197,-0.39,0.23,True,1.0
METH__MIR142,100,50,1.0,0.23999999463558197,0.35,0.22,True,1.0
METH__THBS1,100,50,1.0,0.23999999463558197,-0.46,0.22,True,1.0
METH__BZRAP1,100,50,1.0,0.27000001072883606,0.42,0.23,True,1.0
TPM__PPIC,100,50,1.0,0.30000001192092896,0.51,0.22,True,1.0
TPM__PRSS23,100,50,1.0,0.23999999463558197,0.48,0.22,True,1.0
TPM__WAS,100,50,1.0,0.2800000011920929,-0.38,0.19,True,1.0
METH__TJP1,100,50,1.0,0.2800000011920929,-0.44,0.21,True,1.0
TPM__NCKAP1,100,50,1.0,0.25,0.34,0.2,True,1.0
TPM__NCKAP1L,100,50,1.0,0.25999999046325684,-0.37,0.21,True,1.0
TPM__DAG1,100,50,1.0,0.25,0.48,0.2,True,1.0
METH__LAMB2,100,50,1.0,0.18000000715255737,-0.14,0.21,True,1.0
METH__MAP1LC3B2,100,50,1.0,0.15000000596046448,0.31,0.2,True,1.0
TPM__ANXA2,100,50,1.0,0.1899999976158142,0.45,0.21,True,1.0
TPM__BCAR1,100,50,1.0,0.23000000417232513,0.4,0.21,True,1.0
TPM__ARHGAP4,100,50,1.0,0.1599999964237213,-0.37,0.2,True,1.0
METH__CCM2,100,50,1.0,0.25,0.4,0.2,True,1.0
TPM__HRCT1,100,50,1.0,0.10999999940395355,0.46,0.2,True,1.0
TPM__WASL,100,50,1.0,0.1599999964237213,0.33,0.2,True,1.0
TPM__CXCR4,100,50,1.0,0.1599999964237213,-0.32,0.2,True,1.0
TPM__LINC01273,100,50,1.0,0.12999999523162842,0.42,0.2,True,1.0
TPM__ARHGAP29,100,50,1.0,0.2199999988079071,0.47,0.2,True,1.0
TPM__PCDH1,100,50,1.0,0.17000000178813934,0.43,0.2,True,1.0
METH__AGAP2,100,50,1.0,0.20000000298023224,-0.33,0.2,True,1.0
TPM__SSH3,100,50,1.0,0.20999999344348907,0.45,0.23,True,1.0
METH__EIF3K,100,50,1.0,0.23000000417232513,0.4,0.21,True,1.0
TPM__AMOTL2,100,50,1.0,0.2800000011920929,0.48,0.24,True,1.0
TPM__TNFRSF12A,100,50,1.0,0.27000001072883606,0.47,0.24,True,1.0
TPM__IKZF1,100,50,1.0,0.27000001072883606,-0.34,0.24,True,1.0
TPM__NHSL3,100,50,1.0,0.25999999046325684,0.46,0.24,True,1.0
TPM__SDC4,100,50,1.0,0.2800000011920929,0.5,0.19,True,1.0
TPM__GPC1,100,50,1.0,0.20999999344348907,0.4,0.19,True,1.0
TPM__BCAM,99,49,0.99,0.1899999976158142,0.43,0.19,True,1.0
TPM__PXN,99,49,0.99,0.23000000417232513,0.44,0.21,True,1.0
TPM__UACA,99,49,0.99,0.20000000298023224,0.42,0.2,True,1.0
METH__PRIC285,99,49,0.99,0.25,0.43,0.2,True,1.0
TPM__CD38,99,49,0.99,0.17000000178813934,-0.28,0.22,True,1.0
