feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__HRCT1,100,50,1.0,0.07999999821186066,0.39,0.19,True,1.0,unimodal,0.71,True
METH__TMEM49,100,50,1.0,0.10999999940395355,-0.29,0.19,True,1.0,unimodal,0.71,True
TPM__TNFRSF12A,100,50,1.0,0.20999999344348907,0.48,0.2,True,1.0,unimodal,0.71,True
TPM__NIBAN2,100,50,1.0,0.12999999523162842,0.42,0.22,True,1.0,unimodal,0.71,True
TPM__LINC00973,100,50,1.0,0.11999999731779099,0.42,0.2,True,1.0,unimodal,0.71,True
METH__SPAG9,100,50,1.0,0.10000000149011612,-0.27,0.2,True,1.0,unimodal,0.71,True
METH__MIR574,100,50,1.0,0.05000000074505806,-0.32,0.19,True,1.0,unimodal,0.71,True
TPM__LINC00702,100,50,1.0,0.10000000149011612,0.37,0.2,True,1.0,unimodal,0.71,True
METH__LOC285074,99,49,0.99,0.0,0.09,0.21,True,1.0,unimodal,0.71,True
METH__TTC32,97,47,0.97,0.019999999552965164,-0.21,0.2,True,0.992,unimodal,0.71,True
TPM__VTRNA2-1,97,47,0.97,0.019999999552965164,0.15,0.22,True,0.992,unimodal,0.71,True
METH__AP1B1,97,47,0.97,0.05999999865889549,0.24,0.2,True,0.992,unimodal,0.71,True
METH__SYNGR4,96,46,0.96,0.029999999329447746,-0.04,0.2,True,0.832,unimodal,0.71,True
METH__PTGR2,95,45,0.95,0.019999999552965164,-0.16,0.2,True,0.458,unimodal,0.71,True
METH__LCA5,95,45,0.95,0.019999999552965164,-0.18,0.17,True,0.458,unimodal,0.71,True
METH__CMTM1,91,41,0.91,0.019999999552965164,0.15,0.2,False,0.002,worst_case,0.89680330634278,True
