feature,Selection count,Pair count,CPSS Score
METH__MIR132,98,48,0.98
TPM__MIR3648-1,97,47,0.97
METH__ANKRD12,95,45,0.95
METH__TMEM150A,92,42,0.92
CNV__KLHL6,92,42,0.92
METH__ZNF664,91,41,0.91
METH__PHLPP1,91,41,0.91
CNV__TBL1XR1,90,40,0.9
CNV__FOXL2,89,39,0.89
MUT__KRAS,87,37,0.87
METH__C20orf111,87,38,0.87
CNV__EZH2,85,35,0.85
METH__C7orf70,82,32,0.82
CNV__SOX2,82,32,0.82
CNV__CCNE1,81,33,0.81
CNV__ZNF780A,80,30,0.8
CNV__KEL,80,30,0.8
CNV__PIK3CA,79,30,0.79
METH__C6orf106,79,29,0.79
CNV__PIK3CB,79,30,0.79
CNV__SND1,78,28,0.78
TPM__RNA5SP187,77,28,0.77
CNV__MITF,77,27,0.77
METH__ERCC3,76,26,0.76
CNV__ATIC,74,25,0.74
CNV__TFG,73,23,0.73
CNV__ACKR3,73,25,0.73
CNV__NF2,72,22,0.72
CNV__NEFH,71,21,0.71
CNV__CHEK2,71,22,0.71
CNV__SP140,71,26,0.71
CNV__CD79A,71,21,0.71
CNV__CREB1,71,23,0.71
CNV__CEBPA,70,21,0.7
CNV__RHPN2,70,20,0.7
METH__TMEM44,70,21,0.7
CNV__ACVR1,69,20,0.69
TPM__RNVU1-26,69,21,0.69
CNV__ACSL3,69,24,0.69
CNV__XPO1,69,22,0.69
CNV__FOXP1,69,23,0.69
CNV__GOPC,68,21,0.68
TPM__SNORA29,68,22,0.68
CNV__BARD1,67,20,0.67
CNV__ZNRF3,67,19,0.67
METH__USP31,66,19,0.66
CNV__CASP8,65,19,0.65
METH__CCAR1,64,17,0.64
METH__HNRNPA3,61,12,0.61
METH__DDX50,60,12,0.6
CNV__RASA2,60,15,0.6
CNV__POU2F2,60,13,0.6
CNV__TGFBR2,60,14,0.6
METH__C6orf217,59,14,0.59
CNV__FGD5,59,14,0.59
CNV__EWSR1,59,11,0.59
CNV__ATR,58,14,0.58
CNV__LRP1B,58,9,0.58
CNV__MN1,58,13,0.58
MUT__APC,58,11,0.58
CNV__BAX,58,12,0.58
CNV__REL,58,13,0.58
CNV__LATS2,58,17,0.58
CNV__PTMA,56,11,0.56
METH__LRRC1,55,12,0.55
CNV__NBEA,54,14,0.54
CNV__SATB1,54,12,0.54
METH__EIF2B5,54,12,0.54
CNV__CTNNB1,54,13,0.54
METH__PPAPDC1B,54,12,0.54
CNV__SOHLH2,54,15,0.54
TPM__SCARNA22,53,12,0.53
CNV__PATZ1,53,9,0.53
TPM__SNORA80E,53,11,0.53
CNV__FHIT,52,11,0.52
CNV__SDHAF2,52,9,0.52
CNV__IDH1,51,12,0.51
CNV__FLT3,49,11,0.49
MUT__LRP1B,49,4,0.49
CNV__XPC,49,7,0.49
CNV__MAP2,48,11,0.48
CNV__RBFOX2,48,6,0.48
TPM__VTRNA2-1,47,11,0.47
CNV__CRTC1,47,7,0.47
CNV__NXF1,47,7,0.47
CNV__ROS1,46,7,0.46
CNV__MEF2B,46,9,0.46
CNV__IFNAR1,46,14,0.46
CNV__SGK1,46,8,0.46
CNV__ELL,46,6,0.46
CNV__NFE2L2,46,8,0.46
CNV__BMPR2,45,10,0.45
CNV__FEV,45,7,0.45
CNV__ID3,45,10,0.45
CNV__PTPRK,45,9,0.45
CNV__AFF3,44,9,0.44
CNV__FUS,43,10,0.43
CNV__RSPO3,42,10,0.42
CNV__MTOR,42,8,0.42
CNV__HOXD13,42,4,0.42
TPM__SCARNA4,41,4,0.41
CNV__TPM4,41,4,0.41
TPM__RNA5S9,41,6,0.41
METH__FUBP1,40,8,0.4
METH__DSN1,40,6,0.4
METH__SLC35F5,40,4,0.4
CNV__PAX3,40,4,0.4
MUT__ARID1A,40,3,0.4
CNV__STK11,39,3,0.39
CNV__EPHA3,39,5,0.39
CNV__FN1,39,5,0.39
TPM__RNU4-89P,38,9,0.38
CNV__MAP2K2,38,5,0.38
METH__KLHL11,38,7,0.38
METH__CAPN10,38,5,0.38
METH__ORC1L,37,6,0.37
METH__ATXN1,36,9,0.36
CNV__JAK3,36,4,0.36
MUT__SMAD4,36,2,0.36
CNV__DNAJB1,36,4,0.36
METH__ZNF74,36,3,0.36
CNV__FSTL3,36,3,0.36
TPM__RNU4-52P,36,4,0.36
CNV__VHL,36,5,0.36
MUT__PIK3R1,35,2,0.35
CNV__TNFAIP3,35,7,0.35
CNV__BRCA2,34,5,0.34
CNV__BCLAF1,33,3,0.33
CNV__CALR,33,4,0.33
CNV__TMEM127,32,3,0.32
METH__AHI1,32,3,0.32
CNV__SUSD2,32,5,0.32
CNV__KEAP1,32,3,0.32
CNV__MCM3AP,32,8,0.32
CNV__RANBP2,32,2,0.32
CNV__MLH1,32,5,0.32
CNV__SMARCA4,32,1,0.32
CNV__PAX8,32,4,0.32
CNV__NKTR,32,5,0.32
CNV__BCR,31,3,0.31
CNV__SMARCB1,31,4,0.31
METH__SLC19A2,30,3,0.3
CNV__CASZ1,30,7,0.3
CNV__OLIG2,30,2,0.3
CNV__RGL3,30,1,0.3
CNV__LYL1,30,2,0.3
CNV__HOXD11,29,4,0.29
CNV__DAZAP1,29,3,0.29
CNV__BRD4,29,2,0.29
CNV__XPA,29,5,0.29
TPM__SNORA14B,29,4,0.29
CNV__MYD88,28,4,0.28
METH__SDF2L1,28,2,0.28
CNV__TMPRSS2,28,2,0.28
CNV__RUNX1,28,3,0.28
CNV__SF3B1,27,2,0.27
CNV__FANCD2,27,4,0.27
MUT__FBXW7,27,0,0.27
METH__POLR1C,27,2,0.27
MUT__FAT3,27,1,0.27
CNV__IFNGR1,26,1,0.26
CNV__MYOD1,26,3,0.26
TPM__SNORA2B,26,3,0.26
CNV__NSD2,25,4,0.25
METH__FNBP4,25,1,0.25
CNV__FGFR3,23,3,0.23
METH__LOC81691,23,1,0.23
METH__MFSD11,23,2,0.23
METH__PNN,23,1,0.23
CNV__TEC,22,4,0.22
CNV__DNM2,22,2,0.22
TPM__SNORA46,21,1,0.21
CNV__FANCF,20,1,0.2
METH__KAT2B,20,0,0.2
METH__PTPN12,19,0,0.19
METH__ISY1,19,2,0.19
METH__MAX,19,2,0.19
METH__FAM126B,19,0,0.19
METH__ZNF646,19,0,0.19
CNV__ERG,18,2,0.18
MUT__RB1,18,1,0.18
METH__COPB2,18,1,0.18
MUT__KEAP1,17,0,0.17
METH__TMEM194A,17,1,0.17
METH__RPS14,16,0,0.16
TPM__SNORA16B,16,2,0.16
MUT__PIK3CA,15,0,0.15
CNV__RPS3A,15,3,0.15
MUT__PTEN,15,2,0.15
METH__ZRANB2,15,0,0.15
MUT__VHL,15,0,0.15
MUT__STK11,15,0,0.15
METH__ZFAND5,15,1,0.15
METH__E2F7,14,1,0.14
MUT__SDHA,14,0,0.14
MUT__ZNF208,14,0,0.14
CNV__ENPEP,14,0,0.14
METH__PSME4,14,0,0.14
CNV__FBXW7,14,0,0.14
CNV__PMS1,14,2,0.14
MUT__HLA-A,13,0,0.13
METH__UROD,12,0,0.12
CNV__ALB,12,0,0.12
METH__ERCC1,12,0,0.12
METH__CCDC41,11,1,0.11
METH__ATAD1,11,0,0.11
MUT__NRAS,10,0,0.1
METH__PSMG1,10,0,0.1
METH__UGGT1,10,0,0.1
METH__ZNF823,10,0,0.1
MUT__PBRM1,10,0,0.1
METH__RPPH1,9,0,0.09
METH__TMEM87A,9,0,0.09
METH__ROBLD3,9,0,0.09
MUT__EP300,8,0,0.08
METH__FOS,8,0,0.08
METH__EIF3D,7,0,0.07
METH__C5orf44,7,0,0.07
METH__EPB41L2,7,0,0.07
METH__RUFY2,7,0,0.07
METH__C12orf65,7,0,0.07
METH__ZNF263,7,0,0.07
METH__RNF146,7,0,0.07
MUT__PABPC1,7,0,0.07
METH__PCNP,6,0,0.06
MUT__CDKN2A,6,0,0.06
METH__UPF1,6,0,0.06
METH__MAEA,6,0,0.06
METH__NME6,6,1,0.06
METH__ZNF142,6,0,0.06
MUT__POLQ,6,0,0.06
MUT__KMT2D,6,0,0.06
METH__HECTD3,5,1,0.05
METH__CEP70,5,0,0.05
METH__KIAA0652,5,0,0.05
METH__C22orf13,5,0,0.05
METH__IFNGR1,5,0,0.05
METH__DNAJB9,5,0,0.05
METH__SON,5,0,0.05
METH__SETD3,5,0,0.05
METH__SCYL3,5,0,0.05
METH__SAFB2,5,0,0.05
MUT__ATM,4,0,0.04
MUT__BRCA2,4,0,0.04
METH__ZNF292,4,0,0.04
METH__UBQLN4,4,0,0.04
METH__CYCS,4,0,0.04
MUT__RHOA,4,0,0.04
MUT__ARID2,4,0,0.04
METH__CTR9,4,0,0.04
METH__RAPGEF6,4,0,0.04
METH__RAB2B,4,0,0.04
METH__RG9MTD2,4,0,0.04
METH__MIR636,4,0,0.04
METH__CDC45L,4,0,0.04
METH__ABHD13,4,0,0.04
MUT__BRAF,3,0,0.03
METH__MTMR4,3,0,0.03
METH__RMND1,3,0,0.03
METH__PIBF1,3,0,0.03
METH__SNORD74,3,0,0.03
MUT__SMARCA4,3,0,0.03
METH__SEC22C,3,0,0.03
METH__WDR92,3,0,0.03
METH__RPS6KB1,3,0,0.03
METH__TMEM146,3,0,0.03
MUT__HLA-B,3,0,0.03
METH__WDR62,3,0,0.03
METH__JUN,3,0,0.03
METH__UBR2,3,0,0.03
METH__TDG,3,0,0.03
METH__UTP6,3,0,0.03
METH__HNRNPA2B1,3,0,0.03
METH__HIST1H1C,3,0,0.03
METH__DDX10,3,0,0.03
METH__TROAP,3,0,0.03
METH__SLC35A1,2,0,0.02
METH__C7orf55,2,0,0.02
METH__QRICH2,2,0,0.02
METH__WDR91,2,0,0.02
METH__TPP2,2,0,0.02
METH__MLL5,2,0,0.02
METH__SAPS1,2,0,0.02
METH__RIBC1,2,0,0.02
METH__TOMM7,2,0,0.02
METH__SFRS6,2,0,0.02
METH__ZNF326,2,0,0.02
METH__RABL2A,2,0,0.02
MUT__KMT2C,2,0,0.02
MUT__FAT1,2,0,0.02
METH__CDK13,2,0,0.02
METH__NDUFV2,2,0,0.02
METH__FAM76B,2,0,0.02
METH__B3GALNT2,2,0,0.02
METH__SNRNP70,2,0,0.02
MUT__MSH2,2,0,0.02
METH__DDX21,2,0,0.02
METH__GNAI3,2,0,0.02
METH__METTL3,2,0,0.02
METH__RBM14,2,0,0.02
METH__GOPC,2,0,0.02
METH__ZNF367,2,0,0.02
METH__BRIP1,2,0,0.02
METH__C13orf23,2,0,0.02
MUT__SPEN,2,0,0.02
MUT__TRRAP,1,0,0.01
METH__FANCM,1,0,0.01
METH__DDX5,1,0,0.01
MUT__FAT4,1,0,0.01
METH__CTCF,1,0,0.01
METH__SH3BP5L,1,0,0.01
METH__QSER1,1,0,0.01
METH__PIK3R3,1,0,0.01
METH__TIPRL,1,0,0.01
METH__CUL2,1,0,0.01
METH__TOX4,1,0,0.01
METH__BTF3L4,1,0,0.01
METH__LANCL1,1,0,0.01
MUT__KMT2B,1,0,0.01
METH__SUPT5H,1,0,0.01
METH__PTGER4,1,0,0.01
MUT__FBN2,1,0,0.01
METH__GPBP1,1,0,0.01
METH__C22orf29,1,0,0.01
METH__PASK,1,0,0.01
METH__GGPS1,1,0,0.01
METH__NFKBIA,1,0,0.01
METH__PRKDC,1,0,0.01
MUT__DNMT3A,1,0,0.01
METH__DOCK4,1,0,0.01
METH__SPTAN1,1,0,0.01
MUT__MAP2,1,0,0.01
METH__MIR933,1,0,0.01
METH__C1orf31,1,0,0.01
METH__LOC389765,1,0,0.01
METH__HIST2H2AC,1,0,0.01
METH__DHFRL1,1,0,0.01
METH__SNRPD3,1,0,0.01
METH__GPBP1L1,1,0,0.01
METH__MRPL22,1,0,0.01
METH__IRF2BP2,1,0,0.01
METH__PPP1R7,1,0,0.01
METH__NUDCD1,1,0,0.01
METH__INTS8,1,0,0.01
METH__XRRA1,1,0,0.01
METH__CLPX,1,0,0.01
METH__GLCCI1,1,0,0.01
METH__TRAFD1,1,0,0.01
METH__DVL1,1,0,0.01
METH__OTUD6B,1,0,0.01
METH__NSUN3,1,0,0.01
MUT__NFE2L2,1,0,0.01
MUT__ATF7IP,1,0,0.01
METH__AGBL5,1,0,0.01
METH__ARL5B,1,0,0.01
MUT__NF1,1,0,0.01
METH__WAC,1,0,0.01
METH__CCNK,1,0,0.01
METH__EXOSC8,1,0,0.01
METH__FKBP3,1,0,0.01
METH__HIGD2A,1,0,0.01
METH__ENY2,1,0,0.01
METH__METTL12,0,0,0.0
METH__TUBG1,0,0,0.0
METH__GLT25D1,0,0,0.0
METH__SERPINI1,0,0,0.0
METH__STT3B,0,0,0.0
METH__CDCA2,0,0,0.0
METH__CENPF,0,0,0.0
METH__PRPF40A,0,0,0.0
METH__C1GALT1,0,0,0.0
METH__SETD2,0,0,0.0
METH__CD164,0,0,0.0
MUT__BRCA1,0,0,0.0
METH__RNASEH1,0,0,0.0
METH__HMMR,0,0,0.0
METH__ZNF277,0,0,0.0
