feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__EDN1,100,50,1.0,0.05000000074505806,-0.35,0.24,True,1.0,unimodal,0.71,True
TPM__DEFB1,100,50,1.0,0.029999999329447746,0.24,0.19,True,1.0,unimodal,0.71,True
TPM__CORO1A-AS1,100,50,1.0,0.12999999523162842,-0.28,0.21,True,1.0,unimodal,0.71,True
TPM__TM4SF1-AS1,100,50,1.0,0.09000000357627869,0.43,0.21,True,1.0,unimodal,0.71,True
TPM__HNF1B,100,50,1.0,0.07000000029802322,0.27,0.21,True,1.0,unimodal,0.71,True
METH__PAWR,100,50,1.0,0.07999999821186066,-0.37,0.19,True,1.0,unimodal,0.71,True
TPM__MIR200CHG,100,50,1.0,0.07999999821186066,0.23,0.2,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.1899999976158142,-0.23,0.21,True,1.0,unimodal,0.71,True
METH__RNASEH2B,100,50,1.0,0.05000000074505806,0.23,0.21,True,1.0,unimodal,0.71,True
METH__ABHD10,100,50,1.0,0.18000000715255737,-0.38,0.23,True,1.0,unimodal,0.71,True
METH__PTPRCAP,100,50,1.0,0.1899999976158142,0.44,0.19,True,1.0,unimodal,0.71,True
METH__RHOH,100,50,1.0,0.18000000715255737,0.33,0.21,True,1.0,unimodal,0.71,True
TPM__PDE1B,100,50,1.0,0.1899999976158142,-0.35,0.21,True,1.0,unimodal,0.71,True
TPM__IL12RB1,100,50,1.0,0.1599999964237213,-0.25,0.22,True,1.0,unimodal,0.71,True
METH__CDC42EP4,100,50,1.0,0.14000000059604645,-0.36,0.2,True,1.0,unimodal,0.71,True
TPM__LIN28B,100,50,1.0,0.05000000074505806,-0.19,0.19,True,1.0,unimodal,0.71,True
METH__MIR1205,100,50,1.0,0.05999999865889549,0.23,0.18,True,1.0,unimodal,0.71,True
TPM__SLC22A3,100,50,1.0,0.05000000074505806,0.3,0.23,True,1.0,unimodal,0.71,True
METH__TCEANC,99,49,0.99,0.05000000074505806,-0.29,0.21,True,1.0,unimodal,0.71,True
METH__TPX2,99,49,0.99,0.10999999940395355,-0.24,0.22,True,1.0,unimodal,0.71,True
METH__SPAG9,99,49,0.99,0.14000000059604645,-0.31,0.23,True,1.0,unimodal,0.71,True
METH__FAM96B,99,49,0.99,0.07000000029802322,-0.25,0.22,True,1.0,unimodal,0.71,True
METH__AGPHD1,98,48,0.98,0.07000000029802322,-0.26,0.23,True,1.0,unimodal,0.71,True
METH__RBL1,98,48,0.98,0.09000000357627869,0.31,0.2,True,1.0,unimodal,0.71,True
METH__RAPH1,98,48,0.98,0.05999999865889549,-0.27,0.2,True,1.0,unimodal,0.71,True
METH__AP1B1,98,48,0.98,0.05999999865889549,0.26,0.24,True,1.0,unimodal,0.71,True
METH__TMEM106B,95,46,0.95,0.05999999865889549,-0.21,0.19,True,0.832,unimodal,0.71,True
METH__TMEM150A,94,44,0.94,0.05000000074505806,-0.22,0.19,True,0.181,unimodal,0.71,True
METH__C9orf21,94,44,0.94,0.019999999552965164,-0.11,0.19,True,0.181,unimodal,0.71,True
METH__FZD4,93,43,0.93,0.07000000029802322,-0.23,0.19,True,0.053,unimodal,0.71,True
METH__MRPL41,92,42,0.92,0.05000000074505806,-0.22,0.24,False,0.013,worst_case,0.899002493765586,True
TPM__HSBP1P2,91,41,0.91,0.009999999776482582,0.12,0.19,False,0.002,worst_case,0.899002493765586,True
METH__LNPEP,90,40,0.9,0.10000000149011612,0.24,0.21,False,0.0,worst_case,0.899002493765586,True
METH__ASTE1,90,40,0.9,0.029999999329447746,-0.25,0.22,False,0.0,worst_case,0.899002493765586,True
