feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__EDN1,100,50,1.0,0.05000000074505806,-0.35,0.24,True,1.0
TPM__DEFB1,100,50,1.0,0.029999999329447746,0.24,0.19,True,1.0
TPM__CORO1A-AS1,100,50,1.0,0.12999999523162842,-0.28,0.21,True,1.0
TPM__TM4SF1-AS1,100,50,1.0,0.09000000357627869,0.43,0.21,True,1.0
TPM__HNF1B,100,50,1.0,0.07000000029802322,0.27,0.21,True,1.0
METH__PAWR,100,50,1.0,0.07999999821186066,-0.37,0.19,True,1.0
TPM__MIR200CHG,100,50,1.0,0.07999999821186066,0.23,0.2,True,1.0
TPM__MIR142HG,100,50,1.0,0.1899999976158142,-0.23,0.21,True,1.0
METH__RNASEH2B,100,50,1.0,0.05000000074505806,0.23,0.21,True,1.0
METH__ABHD10,100,50,1.0,0.18000000715255737,-0.38,0.23,True,1.0
METH__PTPRCAP,100,50,1.0,0.1899999976158142,0.44,0.19,True,1.0
METH__RHOH,100,50,1.0,0.18000000715255737,0.33,0.21,True,1.0
TPM__PDE1B,100,50,1.0,0.1899999976158142,-0.35,0.21,True,1.0
TPM__IL12RB1,100,50,1.0,0.1599999964237213,-0.25,0.22,True,1.0
METH__CDC42EP4,100,50,1.0,0.14000000059604645,-0.36,0.2,True,1.0
TPM__LIN28B,100,50,1.0,0.05000000074505806,-0.19,0.19,True,1.0
METH__MIR1205,100,50,1.0,0.05999999865889549,0.23,0.18,True,1.0
TPM__SLC22A3,100,50,1.0,0.05000000074505806,0.3,0.23,True,1.0
METH__TCEANC,99,49,0.99,0.05000000074505806,-0.29,0.21,True,1.0
METH__TPX2,99,49,0.99,0.10999999940395355,-0.24,0.22,True,1.0
METH__SPAG9,99,49,0.99,0.14000000059604645,-0.31,0.23,True,1.0
METH__FAM96B,99,49,0.99,0.07000000029802322,-0.25,0.22,True,1.0
METH__AGPHD1,98,48,0.98,0.07000000029802322,-0.26,0.23,True,1.0
METH__RBL1,98,48,0.98,0.09000000357627869,0.31,0.2,True,1.0
METH__RAPH1,98,48,0.98,0.05999999865889549,-0.27,0.2,True,1.0
METH__AP1B1,98,48,0.98,0.05999999865889549,0.26,0.24,True,1.0
METH__TMEM106B,95,46,0.95,0.05999999865889549,-0.21,0.19,True,0.832
METH__TMEM150A,94,44,0.94,0.05000000074505806,-0.22,0.19,True,0.181
METH__C9orf21,94,44,0.94,0.019999999552965164,-0.11,0.19,True,0.181
METH__FZD4,93,43,0.93,0.07000000029802322,-0.23,0.19,True,0.053
METH__MRPL41,92,42,0.92,0.05000000074505806,-0.22,0.24,False,0.013
TPM__HSBP1P2,91,41,0.91,0.009999999776482582,0.12,0.19,False,0.002
METH__LNPEP,90,40,0.9,0.10000000149011612,0.24,0.21,False,0.0
METH__ASTE1,90,40,0.9,0.029999999329447746,-0.25,0.22,False,0.0
METH__SREBF2,88,39,0.88,0.009999999776482582,0.17,0.19,False,0.0
METH__SKI,87,37,0.87,0.07999999821186066,-0.23,0.22,False,0.0
METH__HMGCR,85,36,0.85,0.09000000357627869,-0.28,0.21,False,0.0
CNV__CDH10,84,34,0.84,0.05000000074505806,0.24,0.21,False,0.0
TPM__RNVU1-26,79,29,0.79,0.03999999910593033,-0.19,0.22,False,0.0
TPM__SNORA18,71,25,0.71,0.0,0.03,0.21,False,0.0
METH__SLC25A19,68,20,0.68,0.0,-0.03,0.2,False,0.0
CNV__TNFRSF17,68,22,0.68,0.05000000074505806,0.23,0.2,False,0.0
CNV__NIPBL,67,21,0.67,0.03999999910593033,0.21,0.23,False,0.0
METH__PPAPDC1B,65,19,0.65,0.05999999865889549,-0.24,0.22,False,0.0
METH__CHMP2B,63,15,0.63,0.03999999910593033,-0.16,0.21,False,0.0
CNV__PRR14,60,16,0.6,0.03999999910593033,0.22,0.22,False,0.0
CNV__LZTR1,60,15,0.6,0.009999999776482582,0.17,0.21,False,0.0
CNV__LIFR,58,15,0.58,0.03999999910593033,0.22,0.22,False,0.0
CNV__CLTCL1,58,14,0.58,0.019999999552965164,0.14,0.21,False,0.0
METH__TXNDC12,58,14,0.58,0.029999999329447746,0.13,0.2,False,0.0
METH__KLHL18,56,12,0.56,0.05999999865889549,-0.2,0.23,False,0.0
CNV__APOBEC3B,55,13,0.55,0.0,0.02,0.21,False,0.0
METH__MIR1915,53,11,0.53,0.05000000074505806,-0.25,0.2,False,0.0
CNV__CLIP1,52,5,0.52,0.03999999910593033,0.21,0.22,True,0.458
METH__ZNF8,51,10,0.51,0.0,-0.11,0.21,False,0.0
CNV__SRSF2,50,11,0.5,0.03999999910593033,0.2,0.22,False,0.0
METH__PLD2,50,13,0.5,0.019999999552965164,-0.12,0.23,False,0.0
CNV__SEPTIN9,49,8,0.49,0.03999999910593033,0.2,0.21,False,0.013
METH__C18orf10,49,10,0.49,0.009999999776482582,-0.19,0.22,False,0.0
CNV__POLQ,49,9,0.49,0.029999999329447746,0.2,0.2,False,0.002
CNV__IL7R,48,16,0.48,0.029999999329447746,0.21,0.21,False,0.0
CNV__FUS,48,8,0.48,0.03999999910593033,0.22,0.21,False,0.013
CNV__NSD3,47,13,0.47,0.0,0.03,0.2,False,0.0
CNV__HNF1A,46,10,0.46,0.029999999329447746,0.22,0.2,False,0.0
TPM__SNORA70,45,6,0.45,0.0,-0.04,0.22,True,0.181
METH__C6orf106,45,6,0.45,0.009999999776482582,-0.12,0.2,True,0.181
CNV__FBLN1,44,8,0.44,0.0,0.05,0.21,False,0.013
CNV__BCL7A,44,5,0.44,0.03999999910593033,0.21,0.2,True,0.458
CNV__GRIN2A,43,5,0.43,0.029999999329447746,0.2,0.22,True,0.458
TPM__RPS28P5,43,9,0.43,0.0,0.01,0.23,False,0.002
CNV__TBX3,42,5,0.42,0.03999999910593033,0.22,0.21,True,0.458
CNV__XPO1,42,6,0.42,0.019999999552965164,0.18,0.2,True,0.181
CNV__CUL3,40,3,0.4,0.029999999329447746,0.19,0.21,True,0.992
CNV__H3-3B,40,7,0.4,0.029999999329447746,0.2,0.22,True,0.053
CNV__PML,40,3,0.4,0.029999999329447746,0.16,0.22,True,0.992
CNV__MYH11,38,4,0.38,0.019999999552965164,0.2,0.22,True,0.832
CNV__BCL11A,38,5,0.38,0.029999999329447746,0.19,0.2,True,0.458
CNV__SOCS1,38,9,0.38,0.03999999910593033,0.22,0.22,False,0.002
METH__C22orf30,38,5,0.38,0.009999999776482582,0.09,0.24,True,0.458
MUT__PTEN,37,5,0.37,0.009999999776482582,-0.12,0.22,True,0.458
CNV__FANCL,37,4,0.37,0.029999999329447746,0.2,0.2,True,0.832
CNV__NXF1,36,2,0.36,0.03999999910593033,0.21,0.2,True,1.0
MUT__KRAS,36,2,0.36,0.009999999776482582,0.11,0.22,True,1.0
CNV__CIITA,36,6,0.36,0.03999999910593033,0.21,0.22,True,0.181
CNV__FGFR1,36,4,0.36,0.0,0.03,0.2,True,0.832
CNV__RMI2,36,5,0.36,0.03999999910593033,0.22,0.22,True,0.458
METH__C7orf70,35,3,0.35,0.029999999329447746,0.06,0.23,True,0.992
CNV__RNF213,34,6,0.34,0.03999999910593033,0.19,0.19,True,0.181
CNV__SOHLH2,34,2,0.34,0.009999999776482582,0.1,0.21,True,1.0
METH__FAM105B,34,2,0.34,0.029999999329447746,-0.15,0.25,True,1.0
CNV__EWSR1,33,5,0.33,0.0,0.06,0.19,True,0.458
CNV__DGCR8,32,1,0.32,0.019999999552965164,0.15,0.21,True,1.0
CNV__SMAD3,32,1,0.32,0.029999999329447746,0.16,0.25,True,1.0
METH__ALG3,32,3,0.32,0.009999999776482582,-0.12,0.21,True,0.992
CNV__CYLD,32,4,0.32,0.029999999329447746,0.16,0.19,True,0.832
CNV__RNF6,31,3,0.31,0.009999999776482582,0.09,0.21,True,0.992
TPM__SNORA71D,31,5,0.31,0.0,-0.05,0.22,True,0.458
CNV__CANT1,31,3,0.31,0.029999999329447746,0.19,0.2,True,0.992
CNV__PDGFB,29,2,0.29,0.0,0.06,0.2,True,1.0
CNV__CNOT3,29,5,0.29,0.009999999776482582,0.15,0.2,True,0.458
METH__AAK1,28,3,0.28,0.009999999776482582,0.11,0.22,True,0.992
CNV__SDHAF2,28,2,0.28,0.03999999910593033,0.21,0.2,True,1.0
CNV__MAPK1,27,3,0.27,0.009999999776482582,0.12,0.21,True,0.992
CNV__ESRRA,27,1,0.27,0.03999999910593033,0.2,0.19,True,1.0
CNV__NF2,27,3,0.27,0.0,0.06,0.19,True,0.992
METH__BIRC6,25,1,0.25,0.03999999910593033,-0.12,0.21,True,1.0
CNV__ACSL3,25,2,0.25,0.029999999329447746,0.19,0.21,True,1.0
TPM__SNORA15,24,4,0.24,0.0,-0.01,0.2,True,0.832
CNV__MAP2K1,23,0,0.23,0.029999999329447746,0.16,0.25,False,
TPM__SNORA27,23,2,0.23,0.0,-0.06,0.21,True,1.0
CNV__MITF,23,2,0.23,0.009999999776482582,0.1,0.2,True,1.0
MUT__EP300,23,0,0.23,0.0,-0.06,0.22,False,
CNV__SIN3A,22,0,0.22,0.019999999552965164,0.15,0.24,False,
METH__WDR43,22,2,0.22,0.0,0.03,0.22,True,1.0
CNV__PATZ1,21,1,0.21,0.0,0.05,0.2,True,1.0
CNV__RBFOX2,21,1,0.21,0.0,0.05,0.2,True,1.0
CNV__TSC2,20,0,0.2,0.029999999329447746,0.18,0.21,False,
CNV__TFAP4,20,2,0.2,0.019999999552965164,0.16,0.22,True,1.0
CNV__CREBBP,19,1,0.19,0.029999999329447746,0.17,0.21,True,1.0
CNV__RRAS2,18,1,0.18,0.009999999776482582,0.1,0.2,True,1.0
CNV__PAX3,18,0,0.18,0.029999999329447746,0.19,0.21,False,
CNV__CREB1,18,0,0.18,0.019999999552965164,0.16,0.2,False,
METH__MTMR14,18,1,0.18,0.0,-0.04,0.21,True,1.0
CNV__BARD1,17,1,0.17,0.029999999329447746,0.18,0.22,True,1.0
CNV__FN1,16,0,0.16,0.019999999552965164,0.17,0.22,False,
CNV__NEFH,16,0,0.16,0.009999999776482582,0.06,0.2,False,
METH__MIR1237,16,1,0.16,0.009999999776482582,0.08,0.2,True,1.0
CNV__MYH9,16,0,0.16,0.0,0.04,0.2,False,
CNV__NT5C2,16,1,0.16,0.019999999552965164,0.13,0.22,True,1.0
CNV__SUSD2,16,0,0.16,0.019999999552965164,0.12,0.2,False,
CNV__HRAS,16,0,0.16,0.009999999776482582,0.09,0.2,False,
CNV__ATIC,15,1,0.15,0.019999999552965164,0.17,0.22,True,1.0
CNV__JAK1,15,1,0.15,0.009999999776482582,0.11,0.2,True,1.0
CNV__MYOD1,15,0,0.15,0.009999999776482582,0.1,0.22,False,
METH__ZNF277,15,0,0.15,0.019999999552965164,-0.13,0.2,False,
CNV__TAL2,15,1,0.15,0.019999999552965164,0.15,0.21,True,1.0
TPM__SCARNA8,14,1,0.14,0.0,-0.06,0.22,True,1.0
CNV__RBFOX1,14,0,0.14,0.029999999329447746,0.17,0.22,False,
TPM__SNORA33,14,1,0.14,0.0,-0.07,0.22,True,1.0
CNV__LMO1,14,0,0.14,0.009999999776482582,0.1,0.19,False,
CNV__TCF12,14,0,0.14,0.019999999552965164,0.13,0.24,False,
CNV__ERBB4,13,0,0.13,0.029999999329447746,0.17,0.22,False,
CNV__FANCF,13,0,0.13,0.009999999776482582,0.11,0.24,False,
METH__TH1L,13,2,0.13,0.009999999776482582,-0.05,0.21,True,1.0
METH__IMMP1L,13,1,0.13,0.019999999552965164,-0.15,0.22,True,1.0
METH__POLK,13,0,0.13,0.0,0.01,0.21,False,
CNV__WT1,13,0,0.13,0.019999999552965164,0.14,0.2,False,
CNV__IDH1,13,0,0.13,0.019999999552965164,0.16,0.21,False,
CNV__MYO5A,13,1,0.13,0.019999999552965164,0.13,0.23,True,1.0
CNV__KEAP1,12,0,0.12,0.0,0.06,0.2,False,
METH__SEC22B,12,1,0.12,0.0,-0.0,0.2,True,1.0
CNV__RPL5,12,0,0.12,0.009999999776482582,0.12,0.23,False,
CNV__SP140,12,0,0.12,0.029999999329447746,0.17,0.2,False,
CNV__TLX1,12,0,0.12,0.019999999552965164,0.12,0.21,False,
METH__C15orf57,12,0,0.12,0.009999999776482582,-0.0,0.23,False,
METH__RPS14,11,0,0.11,0.019999999552965164,-0.14,0.24,False,
CNV__PPP6C,11,1,0.11,0.019999999552965164,0.13,0.21,True,1.0
METH__C17orf81,11,0,0.11,0.0,0.04,0.21,False,
CNV__CASP8,11,0,0.11,0.019999999552965164,0.16,0.23,False,
CNV__TSC1,10,2,0.1,0.019999999552965164,0.13,0.21,True,1.0
CNV__SUFU,10,1,0.1,0.019999999552965164,0.14,0.22,True,1.0
CNV__RXRA,10,1,0.1,0.019999999552965164,0.14,0.2,True,1.0
CNV__RALGDS,10,0,0.1,0.019999999552965164,0.13,0.21,False,
CNV__SET,10,0,0.1,0.019999999552965164,0.15,0.2,False,
CNV__KLF4,10,2,0.1,0.019999999552965164,0.15,0.21,True,1.0
CNV__BCL10,10,0,0.1,0.009999999776482582,0.12,0.23,False,
CNV__TNC,9,0,0.09,0.019999999552965164,0.15,0.22,False,
CNV__FAT1,9,0,0.09,0.0,0.03,0.21,False,
METH__ATP13A1,9,0,0.09,0.0,0.01,0.2,False,
METH__SKIV2L2,9,0,0.09,0.029999999329447746,-0.15,0.22,False,
CNV__USP8,8,0,0.08,0.019999999552965164,0.13,0.24,False,
METH__PIH1D2,8,0,0.08,0.009999999776482582,-0.07,0.2,False,
CNV__ABL1,8,1,0.08,0.009999999776482582,0.12,0.21,True,1.0
