feature,Selection count,Pair count,CPSS Score
TPM__SINHCAF,100,50,1.0
TPM__CAMK2N1,93,43,0.93
TPM__PDZD11,91,41,0.91
METH__MIR150,86,36,0.86
TPM__CCND1,82,32,0.82
TPM__TPM1,81,31,0.81
METH__PDIA5,80,30,0.8
TPM__ANP32B,78,28,0.78
TPM__FMNL1,76,26,0.76
TPM__VEPH1,76,26,0.76
TPM__LAMB1,75,25,0.75
TPM__ABHD12,75,26,0.75
TPM__TRNP1,74,24,0.74
METH__LAT,73,23,0.73
TPM__IL21R,72,23,0.72
TPM__DCAF15,72,22,0.72
TPM__EVA1A,71,21,0.71
TPM__GMIP,68,18,0.68
METH__SHISA4,68,19,0.68
METH__CEBPE,66,16,0.66
TPM__DUSP23,65,15,0.65
TPM__BMS1P23,64,15,0.64
TPM__TMEM51,64,15,0.64
TPM__PSTPIP1,64,15,0.64
TPM__TRAF3IP3,64,16,0.64
TPM__SH3BP4,63,13,0.63
TPM__CBR3-AS1,61,11,0.61
METH__PARP10,60,10,0.6
TPM__LYL1,60,11,0.6
TPM__PRPF38A,59,11,0.59
TPM__PYGB,59,12,0.59
TPM__BCL11A,57,9,0.57
TPM__BFSP1,57,10,0.57
TPM__MID2,56,6,0.56
TPM__FN1,56,8,0.56
TPM__RPL3,55,9,0.55
TPM__ATP9A,55,7,0.55
TPM__RPS6,55,6,0.55
TPM__RRN3P1,55,8,0.55
TPM__RPL18A,54,9,0.54
TPM__TBC1D9,54,8,0.54
TPM__MLPH,53,7,0.53
TPM__UBTD1,53,6,0.53
TPM__METRN,52,7,0.52
TPM__TBC1D10C,52,8,0.52
TPM__FHL2,52,7,0.52
TPM__DCP2,51,4,0.51
TPM__CHMP3,51,6,0.51
TPM__WFS1,50,3,0.5
TPM__CORO1A-AS1,50,4,0.5
METH__RASSF1,50,4,0.5
TPM__PLXNB3,50,5,0.5
TPM__LBR,50,7,0.5
TPM__PHLDA3,49,6,0.49
TPM__PTGR1,49,3,0.49
METH__PRSS23,49,4,0.49
TPM__RFXAP,48,4,0.48
METH__CBFB,48,2,0.48
TPM__EPS8,47,5,0.47
METH__LMCD1,46,6,0.46
TPM__FCHO1,46,1,0.46
TPM__LGALS3,46,4,0.46
TPM__PLS3,44,2,0.44
TPM__ITGB5,44,3,0.44
TPM__PPP2R3A,44,2,0.44
TPM__CTNNA1,44,2,0.44
TPM__RAPH1,44,1,0.44
TPM__CDT1,44,1,0.44
TPM__AGRN,44,4,0.44
TPM__FERMT3,43,0,0.43
TPM__GGCX,43,3,0.43
TPM__CD63,43,3,0.43
TPM__PSAP,43,3,0.43
TPM__GSN,42,1,0.42
METH__C7orf63,42,2,0.42
METH__PKN1,42,2,0.42
METH__MGAT1,42,2,0.42
TPM__TRG-AS1,41,2,0.41
TPM__PRSS23,40,2,0.4
TPM__RPL11,40,1,0.4
TPM__NRBP2,39,0,0.39
TPM__KDELR2,39,1,0.39
TPM__CUEDC1,39,2,0.39
TPM__NQO1,39,2,0.39
TPM__OPHN1,39,1,0.39
METH__BZRAP1,39,0,0.39
TPM__BAIAP2,38,0,0.38
TPM__LMCD1,38,2,0.38
TPM__TNFRSF13C,36,0,0.36
TPM__ITGB1P1,36,0,0.36
TPM__ARHGAP29,36,1,0.36
METH__S100A13,36,0,0.36
TPM__TMEM54,35,0,0.35
TPM__MRPS18AP1,35,0,0.35
METH__AGAP2,35,2,0.35
TPM__POLR1H,35,2,0.35
TPM__GNG12,35,1,0.35
METH__FAT1,34,0,0.34
METH__AGXT2L2,34,1,0.34
TPM__KDM2B,34,1,0.34
METH__NCKAP1,33,1,0.33
TPM__RIN2,33,2,0.33
TPM__HVCN1,33,0,0.33
TPM__FAM210B,33,0,0.33
METH__FCHO1,32,0,0.32
TPM__SNRPA,32,0,0.32
TPM__APMAP,32,1,0.32
TPM__WASL,32,0,0.32
TPM__ZBTB39,31,0,0.31
TPM__RSL24D1,31,0,0.31
TPM__ERBB2,31,0,0.31
TPM__THBS1,31,0,0.31
METH__MAP1LC3B2,31,0,0.31
TPM__IQSEC2,31,0,0.31
TPM__PDE1B,31,0,0.31
TPM__SOX13,30,0,0.3
METH__ADAMTS9,30,0,0.3
TPM__GPC1,30,1,0.3
TPM__SEC14L2,30,0,0.3
TPM__CCDC149,30,4,0.3
TPM__CCDC88C,30,0,0.3
METH__NLRC3,29,0,0.29
TPM__GBA1,29,1,0.29
TPM__EMP2,29,0,0.29
TPM__TNS2,28,1,0.28
METH__PROCA1,27,1,0.27
TPM__BCAR1,27,0,0.27
TPM__TMEM131L,27,0,0.27
TPM__TSPAN4,27,1,0.27
TPM__PON2,27,1,0.27
TPM__SH3RF1,27,2,0.27
TPM__MORC4,26,0,0.26
TPM__LAPTM4A,26,2,0.26
TPM__CETN2,26,0,0.26
TPM__SHTN1,26,2,0.26
TPM__SEPTIN10,26,1,0.26
METH__C6orf41,26,1,0.26
TPM__FAM174A,26,2,0.26
TPM__SEMA3C,25,0,0.25
TPM__PIK3CG,25,0,0.25
TPM__TAF5,25,0,0.25
TPM__NPTN,24,5,0.24
TPM__PXDC1,24,0,0.24
TPM__ADAT2,24,0,0.24
TPM__ELMO1,24,2,0.24
METH__MOCOS,24,0,0.24
TPM__IL17RC,24,1,0.24
TPM__CDC25A,23,0,0.23
METH__MIR1469,23,0,0.23
TPM__ARSD,23,6,0.23
TPM__HCLS1,23,0,0.23
TPM__ABLIM3,23,7,0.23
TPM__SDC1,23,0,0.23
METH__TBC1D10C,22,0,0.22
TPM__CTSD,22,0,0.22
TPM__CEP170B,22,1,0.22
TPM__NR2F2,22,0,0.22
TPM__ARPIN,22,0,0.22
METH__CASZ1,22,0,0.22
TPM__RHOH,22,0,0.22
METH__CTGF,22,3,0.22
TPM__PTTG1IP,22,1,0.22
TPM__CD37,22,0,0.22
TPM__NFATC3,21,0,0.21
TPM__CORO1A,21,0,0.21
TPM__TWF1,21,3,0.21
TPM__TM4SF1,21,0,0.21
TPM__GPX8,20,0,0.2
TPM__PVR,20,0,0.2
TPM__KIF21B,20,0,0.2
METH__GULP1,20,0,0.2
TPM__DAZAP1,20,0,0.2
TPM__UACA,20,1,0.2
METH__RAVER1,19,0,0.19
METH__LOC100302401,19,0,0.19
TPM__PPP1R16B,19,0,0.19
METH__IL10,19,0,0.19
TPM__RPL10A,19,0,0.19
TPM__ACTN1,19,0,0.19
TPM__UEVLD,19,3,0.19
TPM__TAF4B,18,1,0.18
TPM__HDAC11,18,0,0.18
TPM__BCAM,18,1,0.18
TPM__SUMF1,18,4,0.18
TPM__GFI1,18,0,0.18
METH__ACTN1,18,0,0.18
TPM__CBR3,17,6,0.17
TPM__IQCB1,17,0,0.17
METH__RASAL2,17,0,0.17
TPM__SH3D19,17,0,0.17
METH__LCA5,17,1,0.17
TPM__PIK3AP1,17,1,0.17
METH__RHEB,17,3,0.17
TPM__P4HA2,17,0,0.17
TPM__WWTR1,17,0,0.17
TPM__RBM15,17,0,0.17
TPM__INPP5D,17,0,0.17
TPM__TCF3,17,0,0.17
TPM__TNKS1BP1,17,0,0.17
TPM__PLCG2,17,0,0.17
