feature,Selection count,Pair count,CPSS Score
METH__ZFP112,92,42,0.92
METH__DYNLRB2,91,41,0.91
TPM__ATF4,91,41,0.91
METH__ZNF790,90,40,0.9
TPM__CNN3-DT,86,36,0.86
METH__RUFY1,84,34,0.84
TPM__PCAT6,80,30,0.8
TPM__MTO1,80,30,0.8
TPM__SIPA1L2,80,30,0.8
TPM__FIGN,79,29,0.79
TPM__B4GALT7,79,29,0.79
METH__ZNF630,77,27,0.77
METH__C3orf25,75,25,0.75
METH__ZNF141,75,26,0.75
TPM__YARS1,71,21,0.71
TPM__MYC,70,20,0.7
METH__LARGE,69,19,0.69
TPM__THBS1-IT1,67,19,0.67
TPM__C1QBP,67,17,0.67
TPM__RHEB,66,17,0.66
TPM__SLC38A5,65,17,0.65
METH__CLIP1,65,17,0.65
TPM__FAM174A,63,13,0.63
TPM__SNTA1,63,14,0.63
TPM__PCDHB10,61,11,0.61
METH__PDLIM3,61,13,0.61
METH__CHST14,60,11,0.6
TPM__GRAMD2B,59,12,0.59
METH__C8orf45,59,12,0.59
TPM__MRPL16,59,10,0.59
TPM__ICAM2,59,10,0.59
TPM__AOPEP,58,11,0.58
METH__STK25,57,10,0.57
TPM__SNHG3,57,8,0.57
METH__ZNF615,57,9,0.57
TPM__PDSS1,56,8,0.56
TPM__LBR,56,8,0.56
TPM__PALLD,56,9,0.56
TPM__PPP1R37,56,7,0.56
TPM__DENND2B,55,8,0.55
TPM__SEMA5A,53,8,0.53
TPM__EXOSC8,52,5,0.52
METH__TRPV2,50,5,0.5
TPM__EEF1B2,49,3,0.49
TPM__HSPB8,49,4,0.49
TPM__RGS3,48,3,0.48
TPM__FRMD6-AS1,48,5,0.48
TPM__RSL24D1,48,4,0.48
TPM__MYLK,48,3,0.48
TPM__DNAH5,47,5,0.47
METH__GPR39,47,4,0.47
TPM__HASPIN,46,3,0.46
TPM__GAR1,46,4,0.46
TPM__NAV2,46,4,0.46
TPM__TRIO,45,2,0.45
TPM__TTC23L-AS1,45,2,0.45
METH__AGAP2,44,2,0.44
TPM__CEBPD,44,4,0.44
TPM__SPACA6,43,3,0.43
TPM__ARHGEF28,42,3,0.42
TPM__ATOSB,41,3,0.41
METH__PDZD4,40,0,0.4
METH__RHEB,40,2,0.4
TPM__ARHGAP30,39,0,0.39
TPM__TSPOAP1-AS1,39,0,0.39
METH__CTGF,39,0,0.39
METH__ZNF462,37,1,0.37
TPM__ITFG1,37,2,0.37
TPM__ADAT2,36,1,0.36
TPM__PCDHGC3,35,2,0.35
METH__GPR137B,35,0,0.35
TPM__RTL8A,35,0,0.35
METH__SYDE1,34,1,0.34
METH__SHISA5,34,2,0.34
TPM__SFXN4,34,1,0.34
METH__KLF3,33,0,0.33
TPM__PFN2,33,0,0.33
TPM__TUBB3,33,0,0.33
METH__CFDP1,33,1,0.33
TPM__NAT10,33,0,0.33
METH__FLJ13197,33,0,0.33
METH__TACR1,32,0,0.32
METH__MRPS24,32,1,0.32
TPM__L1CAM,32,2,0.32
TPM__TMEM132A,32,1,0.32
TPM__FN1,32,1,0.32
TPM__RASAL2-AS1,32,0,0.32
METH__LZTFL1,31,0,0.31
TPM__CBR3-AS1,31,2,0.31
TPM__SNHG1,31,2,0.31
TPM__TNFAIP1,31,0,0.31
METH__PRIMA1,30,0,0.3
METH__DIRAS2,30,0,0.3
METH__ANKRD20B,30,2,0.3
TPM__PAM,30,1,0.3
METH__DDAH1,30,0,0.3
TPM__CDT1,29,0,0.29
METH__RNF180,29,0,0.29
METH__ZFP3,29,1,0.29
TPM__ITGAV,29,1,0.29
TPM__SNAI2,29,0,0.29
TPM__TEAD1,29,0,0.29
TPM__PPP1R3C,29,8,0.29
TPM__FCHO2,28,1,0.28
METH__MIER3,28,3,0.28
METH__HUNK,28,0,0.28
TPM__DDN,27,0,0.27
METH__CRIM1,27,0,0.27
METH__HIST2H2BA,27,2,0.27
METH__LOC100130776,27,0,0.27
METH__CHFR,26,0,0.26
METH__PER3,26,0,0.26
METH__MAP4K3,26,0,0.26
METH__PIK3CG,26,0,0.26
TPM__ZNF589,26,1,0.26
TPM__TPM1-AS,26,0,0.26
METH__PLAC2,25,1,0.25
TPM__TCTN2,25,0,0.25
TPM__GNG12,25,0,0.25
METH__MLF1,25,0,0.25
TPM__LYAR,25,1,0.25
TPM__LINC00475,25,2,0.25
TPM__CAP2,24,0,0.24
METH__BOC,24,0,0.24
TPM__SHISA4,24,0,0.24
METH__LAMB2,24,0,0.24
TPM__PMEPA1,24,1,0.24
TPM__ALDH7A1,24,1,0.24
TPM__ZDHHC1,24,1,0.24
METH__PCDH7,23,1,0.23
TPM__FCHO1,23,1,0.23
METH__TIGD3,23,2,0.23
TPM__GULP1,23,2,0.23
TPM__ARHGAP19,23,1,0.23
METH__ARHGEF10,23,0,0.23
TPM__ATP9A,22,0,0.22
TPM__CSK,22,0,0.22
TPM__DKK3,22,2,0.22
METH__CNN3,22,0,0.22
TPM__EPAS1,22,0,0.22
TPM__ABLIM3,22,2,0.22
TPM__CUEDC1,21,1,0.21
TPM__PPARGC1B,21,7,0.21
METH__THBS1,21,0,0.21
METH__IMPAD1,21,0,0.21
METH__WNK3,21,0,0.21
METH__GOLGA5,20,2,0.2
TPM__AGAP2,20,0,0.2
METH__TEF,20,0,0.2
METH__ACTN1,20,0,0.2
TPM__ENC1,20,0,0.2
METH__DNAH6,20,2,0.2
TPM__PDE1B,20,0,0.2
TPM__MANBAL,20,0,0.2
METH__PCGF2,19,1,0.19
METH__GHR,19,0,0.19
TPM__TNS3,19,5,0.19
METH__TBC1D9,19,1,0.19
TPM__AMOTL2,19,0,0.19
TPM__RASAL2,19,0,0.19
METH__CNRIP1,19,3,0.19
TPM__HTRA1,19,1,0.19
METH__BMPR2,18,0,0.18
METH__CDC42BPB,18,0,0.18
TPM__VAV1,18,0,0.18
TPM__POLR1H,18,3,0.18
METH__C20orf194,18,1,0.18
METH__ACHE,18,0,0.18
TPM__ITGB8,18,1,0.18
TPM__ADGRG1,18,1,0.18
TPM__GNS,18,4,0.18
TPM__DDX21,18,0,0.18
METH__FZD8,17,0,0.17
TPM__SLC4A3,17,5,0.17
METH__MARVELD3,17,0,0.17
TPM__EPB41L1,17,1,0.17
TPM__VASN,17,4,0.17
METH__FN3K,17,0,0.17
TPM__GPC1,17,0,0.17
TPM__RAI14,17,0,0.17
METH__PROCA1,17,2,0.17
METH__WDR35,17,0,0.17
TPM__TGFB1I1,16,0,0.16
TPM__DLGAP4,16,0,0.16
METH__C6orf155,16,2,0.16
METH__HOXD1,16,6,0.16
TPM__TPM1,16,0,0.16
METH__SLC1A1,16,2,0.16
TPM__IL17RC,16,0,0.16
TPM__MAPRE3,15,5,0.15
METH__DNAH7,15,4,0.15
TPM__IQCJ-SCHIP1,15,2,0.15
METH__CAMK2B,15,0,0.15
METH__TMEM45A,14,0,0.14
METH__ABHD10,14,1,0.14
TPM__PRKCB,14,0,0.14
METH__CCDC107,14,3,0.14
TPM__LAPTM4A,14,0,0.14
METH__FLJ35024,14,3,0.14
METH__VLDLR,14,3,0.14
TPM__PPIC,14,0,0.14
TPM__ITGB1P1,14,0,0.14
TPM__ZNF503,14,2,0.14
TPM__ETNK2,13,1,0.13
METH__SNCAIP,13,0,0.13
TPM__TGFB2,13,4,0.13
TPM__RBPMS,13,3,0.13
METH__TCEAL2,13,1,0.13
METH__GULP1,13,0,0.13
TPM__LEPROT,13,4,0.13
TPM__ATP1B1,13,4,0.13
METH__LOC148709,13,2,0.13
TPM__CRIP2,13,0,0.13
TPM__RPL9,13,3,0.13
TPM__TUFT1,13,1,0.13
TPM__LINC00511,13,1,0.13
METH__NALCN,13,3,0.13
TPM__PRICKLE2,13,4,0.13
METH__FERMT3,13,0,0.13
TPM__CDC42EP3,13,1,0.13
METH__FNBP1,12,0,0.12
METH__GPR176,12,0,0.12
METH__MIR1252,12,1,0.12
METH__NLRP14,12,1,0.12
METH__AGBL4,12,0,0.12
TPM__GPRC5B,12,2,0.12
TPM__CARD8-AS1,12,3,0.12
TPM__SEZ6L2,12,4,0.12
METH__KIF13A,12,3,0.12
METH__MTERF,12,3,0.12
METH__LGMN,12,0,0.12
TPM__DCBLD2,12,1,0.12
TPM__NTN4,12,2,0.12
TPM__SERTAD4,11,1,0.11
METH__SEMA6D,11,0,0.11
TPM__TJP1,11,0,0.11
TPM__TMEM51,11,0,0.11
TPM__TBC1D9,11,3,0.11
TPM__ARHGEF17,11,1,0.11
TPM__RTL8B,11,0,0.11
TPM__CD276,11,0,0.11
METH__EFHD1,11,0,0.11
METH__GPRC5C,11,2,0.11
METH__C1orf51,11,3,0.11
METH__ZFP2,11,3,0.11
TPM__PXDC1,11,0,0.11
TPM__LOX,11,1,0.11
TPM__ARSJ,11,2,0.11
TPM__CDH2,11,2,0.11
TPM__ANP32A,11,4,0.11
TPM__RHOH,11,1,0.11
METH__KCNC1,11,0,0.11
METH__SNED1,10,2,0.1
METH__AFAP1L1,10,1,0.1
TPM__BMS1P23,10,1,0.1
METH__MGC2889,10,1,0.1
TPM__MARCKS,10,4,0.1
TPM__SPEG,10,2,0.1
TPM__OBSL1,10,0,0.1
METH__ZNF433,10,0,0.1
TPM__NDST1,10,0,0.1
METH__MATN3,10,3,0.1
TPM__RND3,10,2,0.1
METH__HS6ST3,10,0,0.1
TPM__LAMC1,10,3,0.1
TPM__RNASEH2B,10,1,0.1
TPM__CALD1,10,2,0.1
TPM__MYO1B,10,0,0.1
TPM__NOP14,10,1,0.1
METH__LAMB1,10,4,0.1
METH__SPIRE2,10,1,0.1
METH__EFNB3,10,2,0.1
METH__ZNF793,9,1,0.09
TPM__TCEAL4,9,1,0.09
METH__SH3BGRL2,9,1,0.09
TPM__VRK1,9,1,0.09
METH__IRS4,9,0,0.09
TPM__ANP32B,9,2,0.09
METH__TCF7L1,9,0,0.09
METH__GALNT11,9,0,0.09
TPM__S100A13,9,2,0.09
TPM__IGFBP3,9,1,0.09
METH__HMCN1,9,0,0.09
TPM__SNX21,9,0,0.09
TPM__THBS1-AS1,9,0,0.09
TPM__ABHD12,9,1,0.09
METH__SPRYD3,9,1,0.09
TPM__FRMD6,9,0,0.09
METH__FEZ1,9,0,0.09
TPM__ARHGAP9,9,0,0.09
METH__PLXDC2,9,0,0.09
TPM__DAG1,9,1,0.09
TPM__KIF21B,9,2,0.09
METH__NPNT,9,0,0.09
TPM__CTSD,9,0,0.09
METH__DPY19L2P4,9,0,0.09
METH__FAM47E,9,0,0.09
TPM__PLOD2,9,1,0.09
METH__GPD2,9,2,0.09
METH__FLJ41603,9,3,0.09
METH__DNAH11,8,0,0.08
TPM__MND1,8,1,0.08
METH__RHOBTB1,8,0,0.08
TPM__MARS2,8,0,0.08
METH__KCND3,8,0,0.08
METH__CECR6,8,2,0.08
TPM__MATN2,8,1,0.08
METH__TBC1D19,8,2,0.08
METH__COL12A1,8,0,0.08
METH__INHBB,8,0,0.08
METH__CELSR1,8,3,0.08
METH__AK1,8,2,0.08
TPM__FAM78A,8,3,0.08
METH__RAVER1,8,0,0.08
METH__PLEKHA1,8,0,0.08
TPM__NOB1,8,0,0.08
METH__LGI3,8,2,0.08
TPM__SLC49A4,8,0,0.08
METH__PRSS12,8,1,0.08
TPM__PLS3,8,1,0.08
TPM__PHLDB1,7,0,0.07
TPM__MLF1,7,1,0.07
TPM__CCDC80,7,3,0.07
METH__MAP7,7,0,0.07
METH__ELMOD1,7,0,0.07
TPM__P4HA2,7,1,0.07
TPM__TAF4B,7,1,0.07
TPM__ADAM12,7,1,0.07
TPM__TCEAL3,7,1,0.07
TPM__CKAP4,7,2,0.07
METH__TBX2,7,0,0.07
TPM__SERTAD4-AS1,7,1,0.07
METH__MYO1G,7,0,0.07
TPM__COL8A1,7,1,0.07
METH__TTC23L,7,2,0.07
TPM__GALNT11,7,1,0.07
TPM__PTPRK,7,1,0.07
TPM__PTPN21,7,2,0.07
TPM__AFAP1L1,6,0,0.06
METH__OSBPL1A,6,2,0.06
TPM__RIN2,6,1,0.06
METH__CCDC28B,6,1,0.06
TPM__CEP170B,6,0,0.06
TPM__POMGNT1,6,0,0.06
METH__EPS8,6,1,0.06
METH__PRKAA2,6,0,0.06
TPM__TSPAN9,6,1,0.06
METH__ZBTB48,6,1,0.06
TPM__SCARB2,6,1,0.06
METH__C7orf23,6,1,0.06
TPM__NUAK1,6,2,0.06
TPM__SRGAP1,6,0,0.06
METH__RRP15,6,2,0.06
METH__ABHD5,6,1,0.06
METH__CCM2,6,0,0.06
METH__FLJ44817,6,1,0.06
TPM__PEA15,6,1,0.06
TPM__NIBAN2,6,0,0.06
METH__IGSF3,6,2,0.06
TPM__PIK3CG,6,0,0.06
TPM__TWNK,6,0,0.06
TPM__FKBP9,6,0,0.06
TPM__RPL34,6,1,0.06
