feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__CHCHD4,100,50,1.0,0.029999999329447746,0.19,0.18,True,1.0
METH__LRIG3,100,50,1.0,0.05000000074505806,-0.13,0.15,True,1.0
TPM__SLC7A5P1,100,50,1.0,0.009999999776482582,-0.04,0.19,True,1.0
TPM__IFNWP19,100,50,1.0,0.019999999552965164,0.13,0.18,True,1.0
METH__NOMO3,100,50,1.0,0.019999999552965164,-0.11,0.17,True,1.0
TPM__NUAK1,100,50,1.0,0.07999999821186066,0.28,0.17,True,1.0
TPM__KRT15,100,50,1.0,0.03999999910593033,0.24,0.16,True,1.0
METH__ZNF697,100,50,1.0,0.05000000074505806,-0.11,0.15,True,1.0
METH__AHI1,99,49,0.99,0.03999999910593033,-0.19,0.19,True,1.0
METH__PTPN21,98,48,0.98,0.03999999910593033,-0.16,0.15,True,1.0
METH__TRPM4,96,46,0.96,0.029999999329447746,-0.1,0.17,True,0.832
TPM__RNU2-11P,95,45,0.95,0.0,0.0,0.16,True,0.458
METH__MIR2116,93,43,0.93,0.009999999776482582,0.13,0.18,True,0.053
METH__C10orf114,93,43,0.93,0.019999999552965164,-0.03,0.17,True,0.053
TPM__SNORA63,91,41,0.91,0.009999999776482582,0.08,0.18,False,0.002
METH__SNX33,91,41,0.91,0.029999999329447746,-0.11,0.16,False,0.002
CNV__PMS2,88,38,0.88,0.009999999776482582,0.14,0.16,False,0.0
CNV__BRAF,85,35,0.85,0.009999999776482582,0.13,0.17,False,0.0
TPM__RNVU1-28,84,37,0.84,0.0,-0.02,0.16,False,0.0
TPM__SCARNA22,84,36,0.84,0.0,0.03,0.19,False,0.0
METH__SSU72,83,33,0.83,0.019999999552965164,-0.05,0.16,False,0.0
CNV__IL7R,83,33,0.83,0.019999999552965164,0.18,0.17,False,0.0
METH__PEX7,81,32,0.81,0.029999999329447746,-0.13,0.17,False,0.0
TPM__SNORA72,80,30,0.8,0.0,0.04,0.15,False,0.0
TPM__HSBP1P2,80,34,0.8,0.0,0.01,0.15,False,0.0
TPM__SNORA2C,79,30,0.79,0.0,0.0,0.15,False,0.0
METH__CCT6P1,76,26,0.76,0.009999999776482582,0.11,0.17,False,0.0
TPM__SNORA7B,74,27,0.74,0.0,-0.0,0.17,False,0.0
TPM__SNORA80E,73,23,0.73,0.0,-0.05,0.17,False,0.0
CNV__PIK3CA,73,27,0.73,0.009999999776482582,0.16,0.16,False,0.0
TPM__SNORA47,72,22,0.72,0.009999999776482582,-0.06,0.18,False,0.0
MUT__EP300,72,22,0.72,0.009999999776482582,-0.12,0.27,False,0.0
MUT__KMT2D,71,22,0.71,0.019999999552965164,-0.13,0.28,False,0.0
TPM__SNORA4,71,23,0.71,0.0,-0.03,0.16,False,0.0
TPM__SNORD22,71,23,0.71,0.0,0.05,0.19,False,0.0
CNV__CCND1,68,21,0.68,0.009999999776482582,0.14,0.16,False,0.0
TPM__RNA5SP323,66,18,0.66,0.0,0.01,0.21,False,0.0
CNV__CARD11,64,21,0.64,0.009999999776482582,0.12,0.15,False,0.0
TPM__RNU1-91P,60,16,0.6,0.0,-0.04,0.15,False,0.0
TPM__RNU4-52P,59,14,0.59,0.0,0.02,0.18,False,0.0
TPM__SNORA70,58,18,0.58,0.0,-0.0,0.16,False,0.0
METH__ZSWIM6,57,12,0.57,0.029999999329447746,-0.04,0.17,False,0.0
TPM__SNORA80B,56,15,0.56,0.0,-0.02,0.19,False,0.0
TPM__SNORA20,55,16,0.55,0.0,0.01,0.16,False,0.0
