feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__SLC38A5,100,50,1.0,0.11999999731779099,-0.35,0.11,True,1.0
TPM__BCL2L1,100,50,1.0,0.12999999523162842,0.38,0.12,True,1.0
METH__SRRM2,99,49,0.99,0.10999999940395355,0.32,0.02,True,1.0
TPM__AGAP2,98,48,0.98,0.23000000417232513,-0.51,0.15,True,1.0
METH__MIR150,94,44,0.94,0.12999999523162842,0.35,0.12,True,0.181
TPM__SBDS,94,44,0.94,0.10999999940395355,0.38,0.11,True,0.181
TPM__PVR,84,34,0.84,0.12999999523162842,0.34,0.13,False,0.0
TPM__SNX21,82,32,0.82,0.11999999731779099,0.34,0.06,False,0.0
TPM__MAST3,81,31,0.81,0.10999999940395355,-0.35,0.08,False,0.0
TPM__GPAT3,81,31,0.81,0.14000000059604645,0.41,0.08,False,0.0
METH__PARP10,80,30,0.8,0.14000000059604645,0.38,0.15,False,0.0
TPM__RIOK1,80,30,0.8,0.10999999940395355,-0.34,0.07,False,0.0
TPM__CDC25A,77,27,0.77,0.10999999940395355,-0.36,0.13,False,0.0
TPM__AGER,76,26,0.76,0.10999999940395355,-0.35,0.04,False,0.0
TPM__TRABD,76,26,0.76,0.10999999940395355,-0.36,0.09,False,0.0
TPM__RTN4,74,24,0.74,0.11999999731779099,0.39,0.14,False,0.0
TPM__APLP2,73,23,0.73,0.12999999523162842,0.39,0.14,False,0.0
TPM__ITPRIPL1,70,20,0.7,0.10999999940395355,-0.33,0.1,False,0.0
TPM__MRPS18AP1,69,19,0.69,0.12999999523162842,-0.36,0.03,False,0.0
METH__FERMT3,69,19,0.69,0.14000000059604645,0.35,0.16,False,0.0
TPM__USP38-DT,68,19,0.68,0.11999999731779099,-0.38,0.12,False,0.0
TPM__PTGR1,68,18,0.68,0.10999999940395355,0.33,0.08,False,0.0
TPM__EVA1A,66,17,0.66,0.11999999731779099,0.39,0.13,False,0.0
METH__CADPS2,65,17,0.65,0.11999999731779099,-0.27,0.15,False,0.0
TPM__TM4SF1,63,13,0.63,0.12999999523162842,0.39,0.14,False,0.0
TPM__PSAP,63,14,0.63,0.11999999731779099,0.38,0.07,False,0.0
TPM__KDM2B,62,12,0.62,0.1599999964237213,-0.4,0.09,False,0.0
TPM__NCEH1,61,12,0.61,0.11999999731779099,0.37,0.05,False,0.0
TPM__MGAT4B,60,10,0.6,0.1599999964237213,0.45,0.08,False,0.0
METH__LOC283404,59,11,0.59,0.14000000059604645,0.38,0.12,False,0.0
TPM__SPATS2L,57,8,0.57,0.15000000596046448,0.41,0.09,False,0.013
TPM__LGALS3,57,11,0.57,0.15000000596046448,0.41,0.1,False,0.0
TPM__MIR22HG,57,8,0.57,0.10999999940395355,0.34,0.06,False,0.013
TPM__CD37,56,8,0.56,0.1599999964237213,-0.38,0.14,False,0.013
TPM__AGRN,56,8,0.56,0.11999999731779099,0.33,0.08,False,0.013
TPM__ELOVL1,55,10,0.55,0.11999999731779099,0.4,0.12,False,0.0
TPM__C16orf86,55,7,0.55,0.10999999940395355,-0.33,0.09,True,0.053
METH__GCET2,55,8,0.55,0.12999999523162842,0.37,0.1,False,0.013
TPM__RFX5,55,7,0.55,0.10999999940395355,-0.35,0.08,True,0.053
TPM__ANXA4,53,6,0.53,0.1599999964237213,0.41,0.15,True,0.181
TPM__NECTIN2,53,8,0.53,0.11999999731779099,0.33,0.11,False,0.013
TPM__KRT8P3,53,8,0.53,0.11999999731779099,0.41,0.1,False,0.013
TPM__SFI1,52,5,0.52,0.10999999940395355,-0.34,0.07,True,0.458
TPM__BCL11A,52,7,0.52,0.11999999731779099,-0.33,0.08,True,0.053
TPM__SH3BP4,50,3,0.5,0.14000000059604645,0.35,0.11,True,0.992
TPM__RN7SL689P,49,2,0.49,0.10999999940395355,0.37,0.15,True,1.0
TPM__GRAMD2B,49,6,0.49,0.10999999940395355,0.35,0.09,True,0.181
TPM__PMEPA1,49,3,0.49,0.10999999940395355,0.35,0.08,True,0.992
TPM__IRAG2,49,5,0.49,0.11999999731779099,-0.26,0.11,True,0.458
TPM__NPAS2,47,4,0.47,0.12999999523162842,0.39,0.11,True,0.832
TPM__IQCB1,47,5,0.47,0.10999999940395355,-0.35,0.09,True,0.458
METH__CAPN2,47,5,0.47,0.10999999940395355,-0.35,0.07,True,0.458
TPM__CTNNA1,45,2,0.45,0.11999999731779099,0.39,0.12,True,1.0
TPM__KLRG1,45,3,0.45,0.12999999523162842,-0.37,0.08,True,0.992
TPM__PARVA,45,6,0.45,0.12999999523162842,0.35,0.13,True,0.181
METH__IFITM1,44,1,0.44,0.11999999731779099,0.33,0.11,True,1.0
TPM__KRT80,44,1,0.44,0.12999999523162842,0.39,0.1,True,1.0
TPM__RIN2,43,2,0.43,0.15000000596046448,0.38,0.19,True,1.0
TPM__ACTN1,43,2,0.43,0.10999999940395355,0.34,0.12,True,1.0
TPM__ANKRD1,43,2,0.43,0.10999999940395355,0.4,0.05,True,1.0
TPM__SYNJ2,42,1,0.42,0.10999999940395355,0.34,0.1,True,1.0
TPM__CLIP1,42,1,0.42,0.10999999940395355,0.34,0.14,True,1.0
TPM__SEPTIN6,41,1,0.41,0.17000000178813934,-0.42,0.13,True,1.0
METH__MGAT1,41,3,0.41,0.15000000596046448,0.34,0.11,True,0.992
TPM__S100A6,41,1,0.41,0.17000000178813934,0.46,0.14,True,1.0
METH__GOLGA5,41,3,0.41,0.10999999940395355,-0.3,0.12,True,0.992
TPM__PTTG1IP,41,0,0.41,0.14000000059604645,0.4,0.13,False,
TPM__CDC42BPA,40,3,0.4,0.10999999940395355,0.26,0.11,True,0.992
TPM__TMED8,40,1,0.4,0.11999999731779099,-0.36,0.11,True,1.0
TPM__ABLIM3,40,2,0.4,0.12999999523162842,0.43,0.08,True,1.0
METH__ERRFI1,39,0,0.39,0.1599999964237213,-0.4,0.13,False,
METH__POLD3,39,2,0.39,0.10999999940395355,-0.34,0.14,True,1.0
METH__INPP5D,39,0,0.39,0.14000000059604645,0.35,0.16,False,
TPM__PPARG,38,2,0.38,0.10999999940395355,0.34,0.08,True,1.0
METH__PRSS23,38,1,0.38,0.14000000059604645,-0.37,0.13,True,1.0
METH__C13orf29,38,1,0.38,0.10999999940395355,-0.34,0.17,True,1.0
TPM__RASAL2,38,1,0.38,0.12999999523162842,0.33,0.1,True,1.0
TPM__PON2,37,0,0.37,0.12999999523162842,0.38,0.11,False,
TPM__SPR,37,2,0.37,0.10999999940395355,0.34,0.07,True,1.0
TPM__EPS8,37,1,0.37,0.15000000596046448,0.4,0.05,True,1.0
TPM__MYB,36,0,0.36,0.10999999940395355,-0.34,0.12,False,
TPM__CD59,35,0,0.35,0.10999999940395355,0.36,0.1,False,
TPM__IQSEC2,35,2,0.35,0.11999999731779099,0.34,0.09,True,1.0
TPM__RND3,35,1,0.35,0.11999999731779099,0.35,0.1,True,1.0
TPM__AHNAK,35,0,0.35,0.10999999940395355,0.35,0.06,False,
TPM__EAF2,35,0,0.35,0.12999999523162842,-0.33,0.1,False,
TPM__TUFT1,34,1,0.34,0.1599999964237213,0.4,0.09,True,1.0
TPM__WASL,34,0,0.34,0.10999999940395355,0.31,0.08,False,
TPM__DOT1L,34,1,0.34,0.12999999523162842,-0.39,0.1,True,1.0
TPM__TAX1BP3,33,0,0.33,0.10999999940395355,0.37,0.09,False,
TPM__S100A13,33,2,0.33,0.12999999523162842,0.39,0.08,True,1.0
TPM__KLF4,33,1,0.33,0.11999999731779099,0.38,0.13,True,1.0
METH__CCDC12,33,1,0.33,0.15000000596046448,-0.35,0.17,True,1.0
TPM__TOM1L1,33,1,0.33,0.11999999731779099,0.24,0.11,True,1.0
TPM__WFS1,33,1,0.33,0.10999999940395355,0.34,0.12,True,1.0
METH__PROCA1,30,0,0.3,0.11999999731779099,0.35,0.15,False,
TPM__ARHGAP4,30,0,0.3,0.10999999940395355,-0.34,0.07,False,
TPM__NR2F2,30,2,0.3,0.14000000059604645,0.36,0.16,True,1.0
TPM__PLCG2,30,0,0.3,0.10999999940395355,-0.28,0.09,False,
TPM__FKBP9,30,1,0.3,0.14000000059604645,0.36,0.15,True,1.0
TPM__ELMO1,29,0,0.29,0.15000000596046448,-0.34,0.1,False,
TPM__RAI14,29,1,0.29,0.11999999731779099,0.36,0.13,True,1.0
TPM__CRIM1,29,0,0.29,0.15000000596046448,0.4,0.14,False,
METH__TBC1D10C,29,0,0.29,0.12999999523162842,0.35,0.12,False,
TPM__LIF,28,0,0.28,0.12999999523162842,0.39,0.1,False,
TPM__PLK2,28,0,0.28,0.15000000596046448,0.4,0.13,False,
TPM__TRAF3IP3,27,0,0.27,0.1599999964237213,-0.43,0.15,False,
TPM__CTSD,27,0,0.27,0.15000000596046448,0.43,0.13,False,
TPM__DOCK1,26,0,0.26,0.11999999731779099,0.27,0.12,False,
TPM__SOX13,26,0,0.26,0.10999999940395355,0.32,0.12,False,
TPM__AMIGO2,26,2,0.26,0.11999999731779099,0.35,0.05,True,1.0
TPM__MLPH,26,2,0.26,0.12999999523162842,0.4,0.14,True,1.0
METH__PTPN14,26,0,0.26,0.10999999940395355,-0.36,0.17,False,
TPM__CUEDC1,26,0,0.26,0.15000000596046448,0.39,0.12,False,
TPM__PPP1R14B-AS1,26,0,0.26,0.12999999523162842,0.4,0.09,False,
TPM__SQSTM1,26,0,0.26,0.14000000059604645,0.4,0.15,False,
TPM__SHISA4,26,1,0.26,0.12999999523162842,0.38,0.09,True,1.0
TPM__CAV2,25,0,0.25,0.11999999731779099,0.33,0.09,False,
TPM__ZCCHC3,25,1,0.25,0.10999999940395355,-0.37,0.05,True,1.0
TPM__BMS1P23,25,1,0.25,0.11999999731779099,0.38,0.14,True,1.0
TPM__ITGB5,25,0,0.25,0.1599999964237213,0.42,0.14,False,
TPM__SNX9,25,0,0.25,0.14000000059604645,0.35,0.11,False,
METH__VTRNA1-2,25,0,0.25,0.10999999940395355,-0.29,0.13,False,
METH__PIK3CG,25,0,0.25,0.10999999940395355,0.31,0.09,False,
TPM__TGM2,25,0,0.25,0.14000000059604645,0.38,0.09,False,
METH__SSH3,24,1,0.24,0.12999999523162842,-0.3,0.13,True,1.0
