feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__KLF4,100,50,1.0,0.10999999940395355,-0.28,0.23,True,1.0
METH__C4orf12,100,50,1.0,0.10000000149011612,-0.22,0.21,True,1.0
METH__CCM2,100,50,1.0,0.17000000178813934,0.38,0.22,True,1.0
METH__TERF1,100,50,1.0,0.10999999940395355,-0.33,0.2,True,1.0
TPM__MIR142HG,100,50,1.0,0.1599999964237213,-0.29,0.25,True,1.0
METH__C20orf4,100,50,1.0,0.07000000029802322,-0.29,0.19,True,1.0
TPM__PRSS23,100,50,1.0,0.18000000715255737,0.45,0.22,True,1.0
METH__TOP2A,100,50,1.0,0.09000000357627869,-0.24,0.25,True,1.0
METH__ONECUT2,99,49,0.99,0.07000000029802322,-0.16,0.22,True,1.0
METH__WIBG,99,49,0.99,0.10999999940395355,0.3,0.21,True,1.0
METH__INTU,99,49,0.99,0.10999999940395355,-0.24,0.25,True,1.0
METH__PPIC,98,48,0.98,0.12999999523162842,-0.33,0.22,True,1.0
METH__SRGAP1,97,47,0.97,0.05999999865889549,-0.23,0.22,True,0.992
METH__C9orf150,97,47,0.97,0.10999999940395355,-0.29,0.23,True,0.992
METH__AGPHD1,96,46,0.96,0.05000000074505806,-0.24,0.21,True,0.832
CNV__RBM39,95,45,0.95,0.07000000029802322,0.3,0.21,True,0.458
TPM__SCARNA1,89,39,0.89,0.009999999776482582,-0.18,0.19,False,0.0
METH__SPRYD3,88,38,0.88,0.07999999821186066,-0.24,0.21,False,0.0
METH__MRPS35,82,32,0.82,0.07000000029802322,-0.24,0.21,False,0.0
CNV__FLT4,81,31,0.81,0.05999999865889549,0.29,0.21,False,0.0
CNV__KDM3B,81,31,0.81,0.05999999865889549,0.27,0.22,False,0.0
CNV__FANCM,75,28,0.75,0.05999999865889549,0.26,0.22,False,0.0
CNV__TCF4,75,25,0.75,0.0,-0.04,0.22,False,0.0
CNV__KMT2A,73,25,0.73,0.05000000074505806,0.25,0.22,False,0.0
CNV__CBL,69,22,0.69,0.05999999865889549,0.26,0.23,False,0.0
METH__TMEM106B,68,20,0.68,0.03999999910593033,-0.19,0.2,False,0.0
CNV__ASXL1,68,22,0.68,0.07000000029802322,0.29,0.24,False,0.0
CNV__DCSTAMP,68,21,0.68,0.05000000074505806,0.26,0.22,False,0.0
MUT__KRAS,68,18,0.68,0.009999999776482582,0.1,0.2,False,0.0
METH__LATS2,67,21,0.67,0.05000000074505806,-0.14,0.2,False,0.0
CNV__HOXA9,67,21,0.67,0.05000000074505806,0.25,0.21,False,0.0
CNV__FGFR4,67,19,0.67,0.05000000074505806,0.29,0.21,False,0.0
CNV__CD74,67,21,0.67,0.07000000029802322,0.28,0.23,False,0.0
CNV__NSD1,66,21,0.66,0.05999999865889549,0.29,0.21,False,0.0
METH__RAPH1,66,18,0.66,0.03999999910593033,-0.27,0.2,False,0.0
CNV__CD274,65,17,0.65,0.0,0.05,0.19,False,0.0
CNV__ARHGEF12,65,19,0.65,0.05999999865889549,0.26,0.22,False,0.0
METH__PTPN21,64,16,0.64,0.05999999865889549,-0.2,0.21,False,0.0
CNV__DDX6,64,21,0.64,0.05000000074505806,0.26,0.26,False,0.0
METH__TRPM4,64,18,0.64,0.05000000074505806,-0.19,0.19,False,0.0
CNV__ZEB1,64,19,0.64,0.029999999329447746,0.17,0.21,False,0.0
CNV__TLX3,63,19,0.63,0.07000000029802322,0.29,0.2,False,0.0
CNV__HOXA11,62,13,0.62,0.05000000074505806,0.25,0.21,False,0.0
CNV__PABPC1,62,17,0.62,0.05999999865889549,0.26,0.22,False,0.0
CNV__FAT2,60,15,0.6,0.07000000029802322,0.28,0.24,False,0.0
CNV__BCL9L,59,15,0.59,0.05000000074505806,0.26,0.24,False,0.0
CNV__ATM,58,14,0.58,0.03999999910593033,0.22,0.23,False,0.0
CNV__PAFAH1B2,58,14,0.58,0.05000000074505806,0.24,0.22,False,0.0
CNV__SDHD,57,13,0.57,0.029999999329447746,0.22,0.24,False,0.0
CNV__NRP1,57,13,0.57,0.019999999552965164,0.18,0.21,False,0.0
CNV__BCL2,56,16,0.56,0.0,-0.03,0.22,False,0.0
CNV__MAML2,55,14,0.55,0.05000000074505806,0.24,0.21,False,0.0
CNV__NF2,55,8,0.55,0.009999999776482582,0.1,0.22,False,0.013
CNV__EBF1,55,11,0.55,0.07000000029802322,0.28,0.21,False,0.0
CNV__MAPK1,54,13,0.54,0.019999999552965164,0.17,0.21,False,0.0
CNV__HOXD11,53,10,0.53,0.05000000074505806,0.26,0.23,False,0.0
METH__MFSD10,53,11,0.53,0.009999999776482582,-0.03,0.21,False,0.0
CNV__IL6ST,53,11,0.53,0.03999999910593033,0.22,0.22,False,0.0
CNV__ITK,52,13,0.52,0.05999999865889549,0.27,0.21,False,0.0
CNV__SETBP1,52,10,0.52,0.0,-0.01,0.22,False,0.0
CNV__MAP3K1,50,12,0.5,0.03999999910593033,0.22,0.23,False,0.0
CNV__KIF5B,50,8,0.5,0.019999999552965164,0.17,0.2,False,0.013
METH__DAG1,49,8,0.49,0.019999999552965164,-0.13,0.21,False,0.013
CNV__NEFH,49,10,0.49,0.009999999776482582,0.1,0.22,False,0.0
CNV__UBR5,49,11,0.49,0.029999999329447746,0.26,0.21,False,0.0
CNV__KCNJ5,49,9,0.49,0.05999999865889549,0.25,0.27,False,0.002
CNV__KDSR,49,9,0.49,0.0,-0.03,0.22,False,0.002
METH__MIR132,47,5,0.47,0.05000000074505806,-0.18,0.2,True,0.458
CNV__AFF4,47,11,0.47,0.05000000074505806,0.25,0.22,False,0.0
CNV__FLI1,47,7,0.47,0.05999999865889549,0.25,0.27,True,0.053
CNV__ARHGAP26,46,8,0.46,0.05999999865889549,0.28,0.24,False,0.013
CNV__DDX10,45,7,0.45,0.029999999329447746,0.22,0.24,True,0.053
CNV__ERBB2,44,4,0.44,0.009999999776482582,0.24,0.2,True,0.832
CNV__UBE2D2,44,7,0.44,0.05999999865889549,0.27,0.23,True,0.053
METH__TMEM18,44,7,0.44,0.0,0.04,0.21,True,0.053
CNV__PDGFRB,43,5,0.43,0.07000000029802322,0.28,0.23,True,0.458
CNV__CASP8,43,4,0.43,0.05000000074505806,0.25,0.26,True,0.832
METH__KDM4D,43,7,0.43,0.05000000074505806,-0.21,0.23,True,0.053
CNV__TAF15,40,3,0.4,0.03999999910593033,0.23,0.23,True,0.992
CNV__FUS,40,5,0.4,0.05999999865889549,0.26,0.24,True,0.458
METH__COMMD6,40,4,0.4,0.03999999910593033,0.2,0.25,True,0.832
CNV__ACVR1,39,2,0.39,0.05999999865889549,0.27,0.23,True,1.0
CNV__BMPR2,39,5,0.39,0.05000000074505806,0.25,0.25,True,0.458
METH__CHD9,39,4,0.39,0.03999999910593033,-0.16,0.2,True,0.832
METH__C20orf27,38,6,0.38,0.0,-0.05,0.23,True,0.181
CNV__NBN,38,4,0.38,0.019999999552965164,0.22,0.21,True,0.832
METH__ARHGEF12,37,4,0.37,0.05000000074505806,-0.19,0.21,True,0.832
CNV__IRF1,37,7,0.37,0.05000000074505806,0.25,0.22,True,0.053
CNV__TCIRG1,36,5,0.36,0.029999999329447746,0.25,0.26,True,0.458
CNV__HOXD13,36,4,0.36,0.05999999865889549,0.26,0.24,True,0.832
CNV__RASA1,36,5,0.36,0.03999999910593033,0.22,0.24,True,0.458
CNV__FBN2,36,4,0.36,0.05000000074505806,0.24,0.21,True,0.832
METH__COPB2,35,3,0.35,0.03999999910593033,-0.23,0.22,True,0.992
CNV__MSI2,35,3,0.35,0.05000000074505806,0.22,0.21,True,0.992
CNV__RBFOX2,34,3,0.34,0.009999999776482582,0.11,0.19,True,0.992
CNV__SF3B1,33,3,0.33,0.05000000074505806,0.26,0.26,True,0.992
METH__ARMC10,32,2,0.32,0.03999999910593033,-0.19,0.21,True,1.0
CNV__HLF,32,5,0.32,0.029999999329447746,0.21,0.21,True,0.458
